ax: 0.0185089 | ay: 0.0410919 | az: -0.0544128
ax: -0.50856 | ay: -1.02272 | az: -0.0680389
ax: -0.063446 | ay: 0.255066 | az: 0.428101
ax: 0.240952 | ay: -0.0448151 | az: -0.367645
ax: -0.0917511 | ay: -0.163422 | az: -0.393845
ax: 0.00398254 | ay: -0.318207 | az: -0.27066
ax: -0.00453186 | ay: -0.00637817 | az: -0.143036
ax: -0.0358429 | ay: 0.298721 | az: 0.179459
ax: -0.069519 | ay: 0.254013 | az: 0.0717926
ax: -0.11377 | ay: 0.0255127 | az: -0.00221252
ax: 0.0293427 | ay: -0.0917358 | az: -0.174637
ax: 0.066864 | ay: 0.0330505 | az: -0.14769
ax: -0.00947571 | ay: 0.154816 | az: 0.0650482
ax: -0.0683289 | ay: 0.0817108 | az: 0.106781
ax: -0.0186615 | ay: -0.0708008 | az: 0.0195465
ax: 0.00958252 | ay: -0.00486755 | az: -0.0268707
ax: -0.00743103 | ay: 0.0865173 | az: -0.0463715
ax: -0.0357208 | ay: 0.0125732 | az: -0.0237427
ax: -0.0410919 | ay: 0.0242615 | az: -0.0513
ax: -0.014328 | ay: 0.0587311 | az: -0.102875
ax: -0.0106201 | ay: 0.0583191 | az: -0.0199738
ax: -0.0604706 | ay: 0.0876923 | az: -0.00158691
ax: -0.103195 | ay: 0.0157623 | az: 0.0487213
ax: -0.0966339 | ay: 0.0284271 | az: 0.0132446
ax: -0.0755615 | ay: 0.0740356 | az: -0.0318298
ax: -0.0789185 | ay: 0.0586395 | az: -0.0662689
ax: -0.0135345 | ay: 0.0439301 | az: -0.0171204
ax: -0.119537 | ay: 0.130966 | az: 0.0816498
ax: -0.130997 | ay: 0.0976715 | az: 0.0167847
ax: -0.148666 | ay: 0.107285 | az: -0.0630035
ax: -0.138855 | ay: 0.21286 | az: -0.0149536
ax: -0.070816 | ay: 0.253403 | az: 0.00248718
ax: -0.15274 | ay: 0.231934 | az: 0.0423889
ax: -0.142212 | ay: 0.258698 | az: 0.0273132
ax: -0.190323 | ay: 0.35701 | az: -0.0522919
ax: -0.517151 | ay: 0.534454 | az: -0.193726
ax: -0.829391 | ay: 0.613815 | az: -0.517395
ax: -0.935165 | ay: 0.635666 | az: -0.470047
ax: -0.617477 | ay: 1.10332 | az: -0.593933
ax: -0.222641 | ay: 0.500656 | az: -0.184921
ax: -0.407974 | ay: 0.406113 | az: -0.308777
ax: -0.246933 | ay: 0.0602264 | az: -0.241165
ax: 0.277069 | ay: -0.132523 | az: -0.341751
ax: 0.469574 | ay: 0.569229 | az: -0.302521
ax: 0.751419 | ay: 0.827637 | az: -0.359512
ax: 0.770309 | ay: 0.913055 | az: -0.174301
ax: 0.629486 | ay: 0.708405 | az: -0.0971527
ax: 0.554504 | ay: 0.57811 | az: -0.0427246
ax: 0.495209 | ay: 0.465729 | az: -0.0147705
ax: 0.385422 | ay: 0.431625 | az: -0.0326691
time: 1
[20210614162455.748]
> sum ax: -1.69005 | sum ay: 9.83527 | sum az: -4.91241
>> avg ax: -0.033801 | avg ay: 0.196705 | avg az: -0.0982483
>>> vx: -0.165625 | vy: 0.963856 | vz: -0.481417
>>> sx: -0.182088 | sy: 0.159953 | sz: -0.161462
>>> a: 0.222459
>>> v: 1.09005
>>> s: 0.291223

ax: 0.230438 | ay: 0.367645 | az: -0.0265198
ax: 0.00808716 | ay: 0.391586 | az: 0.0259247
ax: -0.308182 | ay: 0.271332 | az: 0.0181427
ax: -0.62558 | ay: 0.182266 | az: 0.067276
ax: -1.03163 | ay: -0.173218 | az: 0.0243225
ax: -1.05255 | ay: -0.402863 | az: -0.000717163
ax: -1.09444 | ay: -0.869568 | az: -0.0706635
ax: -1.01173 | ay: -1.70021 | az: -0.0512238
ax: -0.85582 | ay: -2.35989 | az: 0.74086
ax: -0.25415 | ay: -2.17502 | az: 0.289047
ax: -0.597275 | ay: -1.34987 | az: -0.221191
ax: -0.231186 | ay: -1.07526 | az: 0.0853271
