ax: -0.680969 | ay: 0.944183 | az: 1.22603
ax: -0.0640411 | ay: -0.598785 | az: 0.00325012
ax: -0.226456 | ay: -0.108429 | az: 0.531982
ax: 0.18486 | ay: 0.481201 | az: -0.18248
ax: 0.123077 | ay: 1.62402 | az: -0.442551
ax: -0.374466 | ay: -0.056427 | az: 0.175812
ax: -0.318512 | ay: -0.179367 | az: -0.0411835
ax: -0.269287 | ay: -0.197159 | az: -0.185989
ax: -0.178391 | ay: -0.290421 | az: -0.144043
ax: -0.163467 | ay: -0.355179 | az: 0.0598907
ax: -0.0505371 | ay: -0.0329895 | az: 0.00108337
ax: 0.0622406 | ay: 0.0020752 | az: -0.115021
ax: -0.0184326 | ay: 0.0119019 | az: -0.0483093
ax: -0.0799103 | ay: -0.0366821 | az: -0.0581818
ax: -0.132523 | ay: 0.0276489 | az: -0.10878
ax: 0.0438232 | ay: 0.10524 | az: -0.140518
ax: 0.0692749 | ay: 0.124466 | az: -0.0810394
ax: 0.0246887 | ay: 0.114929 | az: 0.022995
ax: -0.0299225 | ay: 0.0409241 | az: 0.0509796
ax: 0.0065918 | ay: 0.0788727 | az: 0.0133667
ax: 0.0101318 | ay: 0.106262 | az: 0.00205994
ax: 0.012085 | ay: 0.124481 | az: 0.0418091
ax: -0.0148621 | ay: 0.135956 | az: -0.075592
ax: 0.00596619 | ay: 0.0249329 | az: -0.102509
ax: 0.00575256 | ay: 0.0404968 | az: -0.0755157
ax: -0.0389709 | ay: 0.110458 | az: -0.113266
ax: 0.00799561 | ay: 0.118073 | az: -0.130066
ax: -0.0265198 | ay: 0.111221 | az: -0.118454
ax: -0.0247955 | ay: 0.141953 | az: -0.0984039
ax: -0.0170898 | ay: 0.121078 | az: -0.0850525
ax: -0.00975037 | ay: 0.100052 | az: -0.0559692
ax: -0.0335999 | ay: 0.152267 | az: -0.0639648
ax: -0.035553 | ay: 0.123505 | az: -0.11351
ax: -0.0253906 | ay: 0.121933 | az: -0.0226746
ax: -0.0510101 | ay: 0.0701599 | az: 0.00608826
ax: -0.0558624 | ay: 0.100693 | az: 0.0130463
ax: -0.0604553 | ay: 0.140076 | az: -0.00662231
ax: -0.035202 | ay: 0.15799 | az: -0.0267181
ax: -0.0509949 | ay: 0.169571 | az: 0.0224457
ax: -0.0290833 | ay: 0.232483 | az: -0.0106506
ax: -0.203217 | ay: 0.377777 | az: -0.130417
ax: -0.625549 | ay: 0.409485 | az: -0.380981
ax: -0.975281 | ay: 0.507996 | az: -0.676865
ax: -1.0352 | ay: 0.570938 | az: -0.355438
ax: -1.05081 | ay: 0.844116 | az: -0.183212
ax: -0.342041 | ay: 1.06007 | az: -0.248444
ax: 0.0772552 | ay: 0.698334 | az: -0.633987
ax: 0.160522 | ay: 0.000808716 | az: -0.462753
ax: 0.367935 | ay: 0.489182 | az: -0.259735
ax: 0.650467 | ay: 1.06012 | az: -0.0411987
time: 1
[20210614162617.096]
> sum ax: -5.51549 | sum ay: 10.1225 | sum az: -3.84926
>> avg ax: -0.11031 | avg ay: 0.20245 | avg az: -0.0769852
>>> vx: -0.540518 | vy: 0.992005 | vz: -0.377227
>>> sx: -0.255797 | sy: 0.305629 | sz: -0.0138552
>>> a: 0.243066
>>> v: 1.19102
>>> s: 0.39879

ax: 0.874405 | ay: 1.0349 | az: -0.361816
ax: 0.573486 | ay: 0.703766 | az: -0.290588
ax: 0.426453 | ay: 0.585327 | az: -0.111893
ax: 0.319717 | ay: 0.530746 | az: -0.0816498
ax: 0.203049 | ay: 0.373444 | az: -0.04953
ax: 0.0997314 | ay: 0.35675 | az: 0.0423126
ax: -0.0108185 | ay: 0.26004 | az: 0.0340576
ax: -0.262619 | ay: 0.0801392 | az: -0.00134277
ax: -0.429291 | ay: 0.146088 | az: 0.110245
ax: -0.642899 | ay: 0.139206 | az: 0.179825
ax: -0.78392 | ay: -0.195923 | az: 0.188126
ax: -0.863205 | ay: -0.502121 | az: 0.188934
ax: -0.72934 | ay: -0.550339 | az: 0.194443
ax: -0.538864 | ay: -0.813187 | az: 0.126312
ax: -0.582336 | ay: -1.17964 | az: 0.138428
ax: -0.353271 | ay: -1.59296 | az: 0.144302
ax: -0.235809 | ay: -1.04649 | az: 0.283737
ax: -0.240082 | ay: -0.91037 | az: 0.156693
ax: -0.109161 | ay: -0.956955 | az: 0.179031
ax: -0.0990295 | ay: -0.857224 | az: 0.265289
ax: -0.207001 | ay: -0.744843 | az: 0.169586
ax: -0.046463 | ay: 0.160294 | az: 0.228867
ax: 0.16803 | ay: 1.67162 | az: -0.618637
ax: -0.809845 | ay: 0.0612488 | az: 0.967972
ax: -0.58548 | ay: -0.545059 | az: 0.358841
