ax: 0.0338593 | ay: -0.116165 | az: 0.225922
ax: 0.00465393 | ay: 0.098999 | az: 0.00953674
ax: -0.0171967 | ay: 0.065979 | az: -0.0228882
ax: -0.0377808 | ay: 0.0847168 | az: -0.0428925
ax: 0.0313568 | ay: 0.115036 | az: -0.0387878
ax: 0.0541382 | ay: 0.241684 | az: -0.0162506
ax: 0.0594025 | ay: 0.428528 | az: 0.00891113
ax: -0.0185852 | ay: 0.251511 | az: -0.069519
ax: -0.115494 | ay: -0.119614 | az: -0.235535
ax: -0.179718 | ay: 0.0184174 | az: -0.327255
ax: -0.203598 | ay: 0.278229 | az: -0.12529
ax: -0.225082 | ay: 0.845474 | az: -0.216919
ax: -0.305435 | ay: 0.461517 | az: -0.264923
ax: -0.513062 | ay: -0.0432281 | az: -0.0419922
ax: -1.0347 | ay: 0.100235 | az: -0.436707
ax: -1.05139 | ay: 1.20979 | az: -0.678391
ax: -1.07225 | ay: 1.12781 | az: -0.559036
ax: -0.854584 | ay: 1.86853 | az: -0.661987
ax: 0.285568 | ay: 0.139893 | az: -0.385895
ax: 0.676117 | ay: -0.0700989 | az: -0.0605774
ax: 0.736221 | ay: 1.45665 | az: -0.331512
ax: 1.04494 | ay: 0.90831 | az: -0.310989
ax: 0.99762 | ay: 0.716354 | az: -0.468704
ax: 0.80658 | ay: 0.632568 | az: -0.289154
ax: 0.737305 | ay: 0.56601 | az: -0.0765381
ax: 0.449783 | ay: 0.39801 | az: 0.0637817
ax: 0.257812 | ay: 0.374664 | az: 0.112961
ax: -0.0759888 | ay: 0.399719 | az: 0.246918
ax: -0.338181 | ay: 0.20517 | az: 0.196747
ax: -0.45668 | ay: 0.059906 | az: 0.158798
ax: -0.60437 | ay: -0.0762939 | az: 0.0530853
ax: -0.724808 | ay: -0.173355 | az: 0.00808716
ax: -0.777267 | ay: -0.276474 | az: 0.016922
ax: -0.768921 | ay: -0.370834 | az: -0.0179138
ax: -0.602783 | ay: -0.67601 | az: -0.129929
ax: -0.512375 | ay: -1.01329 | az: -0.121933
ax: -0.46489 | ay: -1.26822 | az: 0.0912781
ax: -0.286133 | ay: -0.847626 | az: 0.406296
ax: -0.242981 | ay: -0.382187 | az: 0.309509
ax: -0.181824 | ay: -0.66597 | az: 0.290649
ax: -0.132538 | ay: -0.919067 | az: 0.486893
ax: -0.178726 | ay: -0.748001 | az: 0.502548
ax: -0.186417 | ay: -0.881119 | az: 0.461777
ax: -0.0350037 | ay: 1.04778 | az: -0.444
ax: -0.553955 | ay: 0.994995 | az: 0.56105
ax: -0.965195 | ay: -0.97084 | az: 0.385132
ax: -0.446228 | ay: -0.260315 | az: -0.00917053
ax: -0.0624695 | ay: -0.201538 | az: -0.0511017
ax: 0.00312805 | ay: -0.182419 | az: -0.191666
ax: -0.0300598 | ay: -0.214355 | az: -0.174118
time: 1
[20210614162727.475]
> sum ax: -8.07819 | sum ay: 4.61946 | sum az: -2.20477
>> avg ax: -0.161564 | avg ay: 0.0923892 | avg az: -0.0440955
>>> vx: -0.791662 | vy: 0.452707 | vz: -0.216068
>>> sx: -0.281481 | sy: 0.612139 | sz: -0.271159
>>> a: 0.191267
>>> v: 0.937208
>>> s: 0.726273

ax: -0.100449 | ay: -0.135178 | az: -0.112183
ax: -0.0181732 | ay: -0.0336456 | az: -0.056366
ax: 0.0247345 | ay: 0.204468 | az: 0.0134583
ax: 0.10704 | ay: 0.269989 | az: -0.0341797
ax: 0.101181 | ay: 0.264252 | az: -0.0667572
ax: 0.074585 | ay: 0.189346 | az: -0.19841
ax: 0.0456696 | ay: 0.133911 | az: -0.141937
ax: -0.00848389 | ay: 0.013443 | az: 0.01091
ax: -0.0705414 | ay: 0.0966187 | az: 0.0668793
ax: -0.0373993 | ay: 0.112396 | az: 0.0670624
ax: 0.00219727 | ay: 0.169632 | az: -0.0399628
ax: 0.00990295 | ay: 0.165939 | az: -0.172684
ax: 0.0176392 | ay: 0.152069 | az: -0.242844
ax: 0.0244751 | ay: 0.180191 | az: -0.216675
ax: -0.0131073 | ay: 0.27565 | az: -0.105408
ax: 0.0226746 | ay: 0.289246 | az: -0.0470123
ax: -0.0601196 | ay: 0.22905 | az: -0.0568237
ax: -0.0661469 | ay: 0.195358 | az: -0.0643921
ax: -0.16188 | ay: 0.328369 | az: -0.00572205
ax: -0.20842 | ay: 0.299133 | az: -0.0367889
ax: -0.392944 | ay: 0.394333 | az: -0.0770874
ax: -0.860764 | ay: 0.415619 | az: -0.292648
ax: -1.03918 | ay: 0.626923 | az: -0.361526
ax: -1.05179 | ay: 0.713211 | az: -0.165253
ax: -0.470139 | ay: 1.36372 | az: -0.284851
ax: -0.221054 | ay: 0.656754 | az: -0.737869
ax: 0.0118256 | ay: 0.340973 | az: -0.694382
ax: 0.290695 | ay: 0.629288 | az: -0.571716
ax: 0.459457 | ay: 1.19122 | az: -0.12561
ax: 0.6483 | ay: 1.12502 | az: -0.152618
ax: 0.603027 | ay: 1.07939 | az: -0.134811
ax: 0.574799 | ay: 0.911514 | az: -0.143875
ax: 0.488953 | ay: 0.755997 | az: -0.107269
ax: 0.418884 | ay: 0.549408 | az: -0.108658
ax: 0.333939 | ay: 0.376282 | az: -0.145981
ax: 0.173172 | ay: 0.200302 | az: -0.185623
ax: -0.0567627 | ay: 0.242661 | az: 0.0318298
ax: -0.333252 | ay: 0.0874329 | az: 0.0210876
ax: -0.593124 | ay: 0.0126343 | az: 0.00468445
ax: -1.03767 | ay: -0.221405 | az: 0.172668
ax: -1.06519 | ay: -0.777817 | az: 0.16655
ax: -0.813293 | ay: -1.06125 | az: 0.0498505
ax: -0.900497 | ay: -1.36287 | az: -0.00152588
ax: -0.92453 | ay: -2.06145 | az: 0.57135
ax: -0.31366 | ay: -1.84985 | az: 0.44014
ax: -0.470963 | ay: -1.5507 | az: 0.382568
ax: -0.439041 | ay: -0.841415 | az: 0.334671
ax: -0.369171 | ay: 1.63014 | az: 0.656555
ax: -0.733978 | ay: -0.914322 | az: 0.464386
ax: -0.410965 | ay: -0.550537 | az: 0.0535278
time: 2
[20210614162728.477]
> sum ax: -8.80954 | sum ay: 5.51144 | sum az: -2.38127
>> avg ax: -0.176191 | avg ay: 0.110229 | avg az: -0.0476254
>>> vx: -0.863335 | vy: 0.540121 | vz: -0.233365
>>> sx: -0.209282 | sy: 0.637965 | sz: -0.277681
>>> a: 0.213218
>>> v: 1.04477
>>> s: 0.726571

ax: -0.469543 | ay: -0.602966 | az: -0.0392303
ax: 0.0842896 | ay: -0.119751 | az: -0.33403
ax: -0.0862122 | ay: -0.50177 | az: -0.149475
ax: -0.073761 | ay: -0.0650024 | az: 0.16507
ax: -0.0227203 | ay: 0.116074 | az: 0.0197449
ax: -0.0518494 | ay: 0.276321 | az: 0.0562134
ax: -0.0298462 | ay: 0.218231 | az: -0.108139
ax: 0.0421295 | ay: -0.0770721 | az: -0.166855
ax: 0.0749054 | ay: 0.11763 | az: -0.120071
