ax: -1.10081 | ay: 1.62151 | az: -0.324585
ax: -0.786011 | ay: 0.301178 | az: 0.0471497
ax: -0.692719 | ay: 0.0913086 | az: 0.00100708
ax: -0.649887 | ay: -0.210693 | az: -0.0887604
ax: -0.600906 | ay: -0.402802 | az: -0.0661926
ax: -0.400665 | ay: -0.539886 | az: -0.00617981
ax: -0.272049 | ay: -0.676193 | az: 0.0475006
ax: -0.305237 | ay: -0.934814 | az: 0.150101
ax: -0.0850067 | ay: -0.690765 | az: 0.189987
ax: -0.0670013 | ay: -0.454514 | az: -0.077652
ax: -0.122513 | ay: -0.720078 | az: -0.29718
ax: -0.00309753 | ay: -0.910614 | az: -0.427353
ax: -0.132828 | ay: 0.66156 | az: -0.331024
ax: -0.243698 | ay: 1.95081 | az: 0.0114136
ax: -0.624222 | ay: -0.523514 | az: 0.415115
ax: -0.242783 | ay: -0.118973 | az: -0.190048
ax: -0.448029 | ay: -0.0532532 | az: 0.240311
ax: -0.0123291 | ay: 0.392578 | az: 0.131668
ax: 0.00389099 | ay: 0.150833 | az: -0.026474
ax: 0.0681305 | ay: 0.379807 | az: -0.258224
ax: -0.0388641 | ay: 0.423645 | az: -0.239944
ax: -0.0190582 | ay: 0.516495 | az: -0.11763
ax: -0.0144348 | ay: 0.478256 | az: -0.172745
ax: -0.0129852 | ay: 0.40242 | az: -0.132248
ax: 0.0151825 | ay: 0.475632 | az: -0.0990906
ax: -0.000442505 | ay: 0.526352 | az: -0.0313873
ax: 0.0168152 | ay: 0.500977 | az: -0.0367279
ax: 0.0314331 | ay: 0.38092 | az: -0.187622
ax: 0.0678253 | ay: 0.313705 | az: -0.203522
ax: 0.0544281 | ay: 0.322067 | az: -0.191437
ax: -0.0213318 | ay: 0.289215 | az: -0.120667
ax: -0.0575714 | ay: 0.250336 | az: 0.0233459
ax: -0.0978851 | ay: 0.229752 | az: 0.094574
ax: -0.0804138 | ay: 0.234741 | az: 0.113617
ax: -0.0503235 | ay: 0.289322 | az: -0.0201111
ax: -0.0173187 | ay: 0.499054 | az: -0.161209
ax: -0.0621948 | ay: 0.233398 | az: -0.146698
ax: -0.00810242 | ay: 0.229004 | az: -0.0285034
ax: -0.00250244 | ay: 0.23674 | az: 0.114014
ax: -0.12381 | ay: 0.31694 | az: 0.0518494
ax: -0.0828552 | ay: 0.453262 | az: -0.163391
ax: -0.090744 | ay: 0.502884 | az: -0.312042
ax: -0.130066 | ay: 0.202194 | az: -0.243286
ax: -0.162628 | ay: 0.289536 | az: -0.19606
ax: -0.251617 | ay: 0.346756 | az: -0.0362854
ax: -0.648911 | ay: 0.540421 | az: -0.278854
ax: -1.05437 | ay: 0.352554 | az: -0.432953
ax: -1.06305 | ay: 0.315125 | az: 0.139832
ax: -1.07835 | ay: 1.01459 | az: -0.473892
ax: -0.478012 | ay: 1.2063 | az: -0.338287
time: 1
[20210614162840.071]
> sum ax: -12.1799 | sum ay: 11.6861 | sum az: -4.68678
>> avg ax: -0.243599 | avg ay: 0.233721 | avg az: -0.0937357
>>> vx: -1.19363 | vy: 1.14523 | vz: -0.459305
>>> sx: -0.63293 | sy: 0.286118 | sz: -0.169316
>>> a: 0.35036
>>> v: 1.71677
>>> s: 0.714934

ax: 0.0133514 | ay: 1.12334 | az: -0.437653
ax: 0.125275 | ay: -0.0517578 | az: -0.452744
ax: 0.367661 | ay: -0.0919647 | az: -0.440659
ax: 0.45903 | ay: 0.937363 | az: 0.0141907
ax: 0.778046 | ay: 0.941574 | az: -0.275848
ax: 0.730392 | ay: 0.763535 | az: -0.310974
ax: 0.600021 | ay: 0.693024 | az: -0.100845
ax: 0.58139 | ay: 0.629318 | az: -0.00933838
ax: 0.427017 | ay: 0.545425 | az: 0.0528717
ax: 0.277863 | ay: 0.442215 | az: 0.0404205
ax: 0.108704 | ay: 0.337234 | az: 0.0309296
ax: -0.190445 | ay: 0.341156 | az: 0.120026
ax: -0.460785 | ay: 0.161758 | az: 0.110992
ax: -0.561508 | ay: 0.00778198 | az: 0.0754395
ax: -0.714554 | ay: -0.00570679 | az: 0.0789185
ax: -0.739746 | ay: -0.0723572 | az: 0.206879
ax: -0.634766 | ay: -0.225082 | az: 0.176666
ax: -0.52211 | ay: -0.407257 | az: 0.0738831
ax: -0.479996 | ay: -0.676056 | az: 0.00764465
ax: -0.456635 | ay: -0.866333 | az: 0.115906
ax: -0.587448 | ay: -1.55432 | az: 0.142761
ax: -0.237564 | ay: -1.56966 | az: 0.0965271
ax: -0.235153 | ay: -0.909988 | az: 0.11618
ax: -0.228989 | ay: -0.571228 | az: 0.0695953
ax: -0.0332489 | ay: -0.894409 | az: -0.0563049
ax: -0.229019 | ay: -0.927795 | az: 0.457001
ax: -0.313858 | ay: 1.74591 | az: 0.25119
ax: -0.449722 | ay: 0.57222 | az: 0.583374
ax: -0.536423 | ay: -1.38341 | az: -0.183762
ax: -0.464157 | ay: -0.229721 | az: -0.0797577
ax: -0.191544 | ay: -0.112961 | az: 0.0404968
ax: 0.137985 | ay: -0.264481 | az: -0.299438
ax: 0.0543671 | ay: -0.0694733 | az: -0.156372
ax: 0.0368347 | ay: 0.25235 | az: 0.0474243
ax: -0.0821838 | ay: 0.169144 | az: 0.203735
ax: -0.0563202 | ay: 0.135742 | az: 0.147232
ax: -0.0648499 | ay: 0.094574 | az: -0.0934448
ax: 0.0565491 | ay: 0.145554 | az: -0.291336
ax: 0.00791931 | ay: 0.225479 | az: -0.0504761
ax: 0.0312347 | ay: 0.195084 | az: 0.0295258
ax: -0.0167389 | ay: 0.135757 | az: 0.0441589
ax: -0.0194092 | ay: 0.070343 | az: -0.0249786
ax: 0.00665283 | ay: 0.047348 | az: -0.0598145
ax: 0.0278015 | ay: 0.0595856 | az: -0.0570374
ax: -0.0138245 | ay: 0.0271606 | az: 0.00382996
ax: -0.0273743 | ay: 0.091568 | az: -0.00328064
ax: -0.0526428 | ay: 0.0938873 | az: -0.0340729
ax: -0.00544739 | ay: 0.108307 | az: -0.109619
ax: -0.0476532 | ay: 0.0797882 | az: -0.173264
ax: 0.0297241 | ay: 0.19873 | az: -0.047287
time: 2
[20210614162841.084]
> sum ax: -3.7963 | sum ay: 0.488297 | sum az: -0.410507
>> avg ax: -0.0759259 | avg ay: 0.00976593 | avg az: -0.00821014
>>> vx: -0.372037 | vy: 0.047853 | vz: -0.0402297
>>> sx: -0.100534 | sy: 0.164206 | sz: -0.057447
>>> a: 0.0769904
>>> v: 0.377253
>>> s: 0.200925

ax: -0.10141 | ay: 0.257217 | az: 0.0660248
ax: -0.0939178 | ay: 0.203583 | az: -0.00701904
ax: -0.122116 | ay: 0.135544 | az: -0.11824
ax: -0.196976 | ay: 0.125336 | az: -0.196075
ax: -0.225967 | ay: 0.160461 | az: -0.0936584
ax: -0.454819 | ay: 0.275757 | az: 0.022934
ax: -0.889709 | ay: 0.451141 | az: -0.0938263
ax: -1.03275 | ay: 0.456146 | az: -0.118378
ax: -1.03964 | ay: 0.395004 | az: -0.0867157
ax: -0.921906 | ay: 1.61555 | az: -0.723602
ax: -0.30014 | ay: 1.16919 | az: -0.419632
ax: 0.0908508 | ay: 0.508423 | az: -0.439651
ax: 0.166992 | ay: -0.199142 | az: -0.591156
ax: 0.366516 | ay: 0.464859 | az: -0.488281
ax: 0.533615 | ay: 0.983444 | az: -0.147766
ax: 0.721603 | ay: 1.10051 | az: -0.218185
ax: 0.6548 | ay: 0.996704 | az: -0.130936
ax: 0.581985 | ay: 0.760361 | az: -0.0144348
ax: 0.533264 | ay: 0.64061 | az: 0.0428467
ax: 0.460052 | ay: 0.480759 | az: 0.00750732
ax: 0.343613 | ay: 0.322815 | az: 0.00727844
ax: 0.208099 | ay: 0.283463 | az: -0.00999451
ax: -0.0593414 | ay: 0.223495 | az: -0.0308685
ax: -0.436539 | ay: 0.0302582 | az: 0.0241547
ax: -0.747574 | ay: -0.0517578 | az: 0.105209
ax: -1.10376 | ay: -0.402435 | az: 0.0953369
ax: -1.13716 | ay: -1.04182 | az: 0.184814
ax: -1.18478 | ay: -1.45978 | az: 0.31218
ax: -1.17705 | ay: -1.88615 | az: 0.610306
ax: -1.03835 | ay: -2.5898 | az: 0.692963
ax: -0.490524 | ay: -2.13092 | az: 0.329269
ax: -0.529526 | ay: -1.46115 | az: 0.466736
ax: -0.292557 | ay: -0.13739 | az: 0.241425
ax: -0.710861 | ay: 1.49448 | az: 0.935272
ax: -0.880646 | ay: -1.45654 | az: 0.582626
ax: -0.421814 | ay: -0.477692 | az: -0.0657654
ax: -0.689468 | ay: -0.858948 | az: 0.0437317
ax: 0.193192 | ay: -0.0505524 | az: -0.0979309
ax: -0.0425415 | ay: -0.539383 | az: -0.15744
ax: -0.133194 | ay: -0.217651 | az: -0.0830841
ax: 0.053009 | ay: -0.00384521 | az: -0.081604
ax: -0.0906677 | ay: -0.090271 | az: 0.0439911
ax: -0.117111 | ay: 0.0653076 | az: -0.00909424
ax: -0.0543823 | ay: -0.0856628 | az: -0.0641785
ax: 0.0335083 | ay: 0.0831909 | az: -0.0425262
ax: 0.0834961 | ay: -0.000305176 | az: -0.0319214
ax: 0.0492554 | ay: 0.0496979 | az: 0.0940552
ax: -0.0668182 | ay: -0.00764465 | az: 0.0976105
ax: -0.0245667 | ay: -0.0814972 | az: 0.0221558
ax: -0.0144958 | ay: -0.0703125 | az: 0.015152
time: 3
[20210614162842.074]
> sum ax: -11.7492 | sum ay: -1.56735 | sum az: 0.481613
>> avg ax: -0.234984 | avg ay: -0.031347 | avg az: 0.00963226
>>> vx: -1.15142 | vy: -0.1536 | vz: 0.0471982
>>> sx: -0.600059 | sy: 0.354776 | sz: -0.125654
>>> a: 0.237262
>>> v: 1.16258
>>> s: 0.708326

ax: -0.0196228 | ay: 0.0499115 | az: -0.0228424
ax: -0.0494232 | ay: -0.00566101 | az: -0.0439606
ax: -0.00613403 | ay: -0.00894165 | az: -0.0807343
ax: -0.0511017 | ay: -0.094986 | az: -0.0446777
ax: -0.043457 | ay: -0.0652161 | az: 0.00372314
ax: -0.0413513 | ay: 0.0219574 | az: 0.0370331
ax: -0.00686646 | ay: 0.0385284 | az: 0.0614319
ax: -0.0704346 | ay: 0.118378 | az: 0.0275269
ax: -0.0213165 | ay: 0.110458 | az: -0.0873108
ax: -0.0920868 | ay: 0.07901 | az: -0.109802
ax: -0.153946 | ay: 0.14888 | az: -0.0177002
ax: -0.302811 | ay: 0.191895 | az: -0.0492706
ax: -0.612503 | ay: 0.0974731 | az: -0.0480194
ax: -1.01297 | ay: 0.209 | az: -0.198669
ax: -1.01646 | ay: 0.241898 | az: -0.0493622
ax: -1.02258 | ay: 1.37651 | az: -0.831863
ax: -0.585815 | ay: 1.20341 | az: -0.400009
ax: -0.0215759 | ay: 1.26465 | az: -0.385315
ax: 0.222855 | ay: -0.250565 | az: -0.506012
ax: 0.53186 | ay: -0.226212 | az: -0.640427
ax: 0.558884 | ay: 1.18361 | az: -0.00979614
ax: 0.855118 | ay: 1.24199 | az: -0.222137
ax: 0.766052 | ay: 0.990005 | az: -0.29953
ax: 0.554565 | ay: 0.795288 | az: -0.0969696
ax: 0.5047 | ay: 0.548203 | az: 0.0414886
ax: 0.307312 | ay: 0.344131 | az: 0.0393677
ax: 0.152908 | ay: 0.211075 | az: 0.0547028
ax: -0.0783081 | ay: 0.18454 | az: 0.100693
ax: -0.451416 | ay: 0.0523834 | az: 0.149872
ax: -0.85817 | ay: -0.11087 | az: 0.205521
ax: -1.1349 | ay: -0.472137 | az: 0.268326
ax: -1.17424 | ay: -0.802765 | az: 0.355469
ax: -1.22878 | ay: -1.44447 | az: 0.358688
