ax: -0.0227814 | ay: -0.00775146 | az: -0.00610352
ax: -0.0574036 | ay: -0.204773 | az: -0.0506897
ax: -0.0303497 | ay: -0.109802 | az: -0.0312958
ax: -0.0639954 | ay: -0.0382996 | az: 0.00799561
ax: -0.042511 | ay: 0.014801 | az: -0.00949097
ax: -0.0349731 | ay: 0.036026 | az: -0.0883942
ax: 0.0209045 | ay: 0.0185242 | az: -0.0580597
ax: 0.0323486 | ay: 0.0218964 | az: -0.0643005
ax: 0.0224457 | ay: -0.00140381 | az: 0.00950623
ax: -0.0138092 | ay: -0.0101471 | az: 0.0890656
ax: -0.033432 | ay: -0.00654602 | az: 0.0341492
ax: -0.0184174 | ay: -0.0594788 | az: 0.00378418
ax: 0.00450134 | ay: -0.108704 | az: -0.0176849
ax: -0.0190582 | ay: -0.0753632 | az: 0.00222778
ax: -0.0221863 | ay: -0.0427856 | az: 0.00135803
ax: -0.0377655 | ay: -0.00830078 | az: 0.0404053
ax: -0.0423737 | ay: -0.0235596 | az: 0.00421143
ax: -0.0372009 | ay: -0.047226 | az: -0.0816193
ax: -0.0308075 | ay: -0.0771027 | az: -0.125992
ax: -0.0431519 | ay: -0.00611877 | az: -0.0529327
ax: -0.00613403 | ay: 0.0990753 | az: 0.0220642
ax: -0.025116 | ay: 0.148117 | az: 0.039505
ax: -0.0217285 | ay: 0.095047 | az: -0.0065155
ax: -0.030899 | ay: -0.0795593 | az: -0.13327
ax: -0.0178375 | ay: 0.0385742 | az: -0.152328
ax: -0.0444794 | ay: 0.15506 | az: -0.0562744
ax: -0.136505 | ay: 0.258041 | az: -0.00582886
ax: -0.157318 | ay: 0.120209 | az: -0.0334778
ax: -0.193726 | ay: 0.217377 | az: -0.055954
ax: -0.438309 | ay: 0.280731 | az: -0.202286
ax: -0.862747 | ay: 0.224579 | az: -0.332535
ax: -1.01784 | ay: 0.322479 | az: -0.132416
ax: -1.02257 | ay: 0.494354 | az: 0.0743408
ax: -0.511688 | ay: 1.25081 | az: -0.191818
ax: 0.0160065 | ay: 0.906891 | az: -0.399094
ax: 0.188873 | ay: 0.132416 | az: -0.524948
ax: 0.46524 | ay: -0.135696 | az: -0.622467
ax: 0.518829 | ay: 0.738129 | az: -0.144211
ax: 0.863632 | ay: 0.868729 | az: -0.109528
ax: 0.750717 | ay: 0.82103 | az: -0.21109
ax: 0.530136 | ay: 0.669388 | az: -0.0671692
ax: 0.501724 | ay: 0.570297 | az: 0.0726929
ax: 0.413498 | ay: 0.387512 | az: 0.0562592
ax: 0.278824 | ay: 0.255737 | az: 0.00320435
ax: 0.124191 | ay: 0.194366 | az: -0.0539246
ax: -0.118607 | ay: 0.132278 | az: -0.0381927
ax: -0.48114 | ay: -0.00160217 | az: 0.028717
ax: -0.749908 | ay: -0.0478516 | az: 0.13855
ax: -1.10164 | ay: -0.319763 | az: 0.0753784
ax: -1.14642 | ay: -0.876755 | az: 0.0218964
time: 1
[20210614163041.092]
> sum ax: -3.90295 | sum ay: 7.18388 | sum az: -3.33458
>> avg ax: -0.0780591 | avg ay: 0.143678 | avg az: -0.0666916
>>> vx: -0.382489 | vy: 0.704021 | vz: -0.326789
>>> sx: -0.125984 | sy: 0.20256 | sz: -0.133465
>>> a: 0.176591
>>> v: 0.865294
>>> s: 0.273341

ax: -1.09514 | ay: -1.24176 | az: 0.00248718
ax: -0.82016 | ay: -1.41069 | az: 0.13208
ax: -0.856628 | ay: -1.98238 | az: 0.354935
ax: -0.417633 | ay: -1.68843 | az: 0.530136
ax: -0.431305 | ay: -0.988403 | az: 0.510712
