ax: -0.0604553 | ay: 0.0529327 | az: -0.000152588
ax: -0.0180817 | ay: 0.0351868 | az: -0.0344391
ax: -0.0121613 | ay: 0.0324097 | az: -0.0297699
ax: -0.0139465 | ay: 0.0301056 | az: -0.0189056
ax: -0.00976562 | ay: 0.0357819 | az: -0.0129242
ax: -0.0168457 | ay: 0.0594635 | az: -0.0365295
ax: -0.0287933 | ay: 0.0386963 | az: -0.0431671
ax: -0.0200348 | ay: 0.0249023 | az: -0.0163116
ax: -0.0154419 | ay: 0.0317078 | az: 0.00924683
ax: -0.0207672 | ay: 0.0475159 | az: -0.0263519
ax: -0.0217896 | ay: 0.0185242 | az: -0.0278778
ax: -0.00909424 | ay: 0.0202026 | az: -0.0218658
ax: -0.0212708 | ay: 0.0415039 | az: -0.00976562
ax: -0.0227051 | ay: 0.054184 | az: -0.0124969
ax: -0.0271912 | ay: 0.0521851 | az: -0.0476379
ax: -0.0214691 | ay: 0.05336 | az: -0.0363464
ax: -0.0502625 | ay: 0.0431824 | az: -0.0254974
ax: -0.0404816 | ay: 0.0451202 | az: -0.0347443
ax: -0.0189362 | ay: 0.0287323 | az: -0.0374603
ax: 0.0419464 | ay: -0.00224304 | az: 0.0241547
ax: -0.0202332 | ay: -0.00489807 | az: -0.000183105
ax: 0.0502167 | ay: 0.0118561 | az: -0.0132751
ax: -0.0165253 | ay: 0.0233459 | az: 0.000198364
ax: -0.00616455 | ay: 0.020462 | az: -0.00468445
ax: 0.0345459 | ay: 0.0309296 | az: 0.0338135
ax: -0.0351105 | ay: 0.0275116 | az: 0.00134277
ax: -0.0872345 | ay: 0.0250397 | az: -0.0118713
ax: -0.0490875 | ay: 0.0427704 | az: -0.0138702
ax: -0.0236053 | ay: 0.0554352 | az: -0.0296478
ax: -0.0488739 | ay: 0.0549774 | az: -0.0627594
ax: -0.0915222 | ay: 0.0792236 | az: 0.00437927
ax: -0.144012 | ay: 0.0714111 | az: -0.0689697
ax: -0.0588989 | ay: 0.169342 | az: -0.0363464
ax: -0.0300598 | ay: 0.124054 | az: -0.0265503
ax: -0.0083313 | ay: 0.0822601 | az: -0.0756683
ax: 0.0914307 | ay: 0.421082 | az: -0.0131989
ax: 0.09758 | ay: 0.355499 | az: -0.0768127
ax: 0.0978699 | ay: 0.299667 | az: -0.0803375
ax: 0.0419617 | ay: 0.255524 | az: -0.102463
ax: 0.0266266 | ay: 0.161057 | az: -0.107407
ax: 0.00372314 | ay: 0.0948792 | az: -0.0921936
ax: -0.035965 | ay: 0.0720978 | az: -0.0881348
ax: -0.00891113 | ay: 0.0511932 | az: -0.0495758
ax: -0.0151672 | ay: 0.0368195 | az: -0.0299683
ax: -0.0508423 | ay: 0.0710297 | az: -0.00372314
ax: -0.0440216 | ay: 0.0559998 | az: 0.00271606
ax: -0.0312653 | ay: 0.0418396 | az: 0.0195312
ax: -0.0256195 | ay: 0.0217896 | az: 0.0328522
ax: 0.00817871 | ay: 0.0630341 | az: 0.0676575
ax: 0.0133209 | ay: 0.063858 | az: 0.00770569
time: 1
[20210614163829.944]
> sum ax: -0.773544 | sum ay: 3.62254 | sum az: -1.25629
>> avg ax: -0.0154709 | avg ay: 0.0724509 | avg az: -0.0251257
>>> vx: -0.0758073 | vy: 0.355009 | vz: -0.123116
>>> sx: -0.0472222 | sy: 0.137336 | sz: -0.0592841
>>> a: 0.078229
>>> v: 0.383322
>>> s: 0.156862

ax: 0.00192261 | ay: 0.00828552 | az: -0.0278625
ax: -0.0143738 | ay: -0.0175934 | az: -0.0389709
ax: -0.0332031 | ay: -0.0499115 | az: -0.0539856
ax: -0.028244 | ay: -0.0706635 | az: -0.0735474
ax: -0.0379486 | ay: -0.0645752 | az: -0.122711
ax: -0.0986023 | ay: -0.0925598 | az: -0.0875244
ax: -0.0120087 | ay: -0.0601196 | az: -0.0245361
ax: -0.000930786 | ay: 0.00613403 | az: 0.019043
