ax: -0.00776672 | ay: -0.0127411 | az: -0.0194244
ax: 0.856842 | ay: 1.11673 | az: -0.698914
ax: 0.587753 | ay: 1.07695 | az: -0.634064
ax: 0.150528 | ay: 0.694702 | az: -0.57872
ax: -0.0714417 | ay: 0.39032 | az: -0.457031
ax: -0.25061 | ay: 0.159485 | az: -0.419968
ax: -0.337006 | ay: 0.0649414 | az: -0.391235
ax: -0.415909 | ay: -0.0964661 | az: -0.160873
ax: -0.390991 | ay: -0.0757751 | az: 0.130997
ax: -0.360443 | ay: 0.0286102 | az: 0.328888
ax: -0.357376 | ay: -0.0730286 | az: 0.267761
ax: -0.284897 | ay: -0.0848083 | az: 0.170868
ax: -0.205338 | ay: -0.0675659 | az: 0.166321
ax: -0.158981 | ay: -0.0448151 | az: 0.206268
ax: -0.195694 | ay: -0.0363007 | az: 0.23082
ax: -0.219971 | ay: -0.179367 | az: 0.211929
ax: -0.247604 | ay: -0.377365 | az: 0.280289
ax: -0.247726 | ay: -0.530121 | az: 0.351974
ax: -0.154419 | ay: -0.449631 | az: 0.319016
ax: -0.213867 | ay: -0.513657 | az: 0.300781
ax: -0.235672 | ay: -0.687439 | az: 0.238373
ax: -0.215591 | ay: -0.805328 | az: 0.170883
ax: -0.122955 | ay: -0.774445 | az: 0.112717
ax: -0.0654449 | ay: -0.88559 | az: -0.0534363
ax: -0.0413971 | ay: -0.85881 | az: -0.0559235
ax: 0.039856 | ay: -0.773056 | az: -0.0128174
ax: 0.02211 | ay: -0.753723 | az: 0.1577
ax: 0.0462036 | ay: -0.682709 | az: 0.285156
ax: -0.187347 | ay: -0.624496 | az: 0.145737
ax: 0.187714 | ay: 0.98941 | az: -0.100937
ax: -1.03398 | ay: 0.272797 | az: 0.352097
ax: -1.02045 | ay: -0.89119 | az: -0.0118561
ax: -0.150406 | ay: 0.106964 | az: 0.333755
ax: -0.0045929 | ay: -0.456345 | az: -0.129623
ax: -0.0248718 | ay: -0.255783 | az: -0.228561
ax: 0.0466614 | ay: -0.0459137 | az: -0.0882568
ax: -0.0126648 | ay: 0.259827 | az: -0.0470123
ax: -0.022995 | ay: 0.434311 | az: -0.0540619
ax: 0.0558624 | ay: 0.327896 | az: -0.0736084
ax: 0.0597076 | ay: 0.192078 | az: -0.116852
ax: 0.00630188 | ay: 0.137146 | az: -0.159378
ax: 0.0454254 | ay: 0.164398 | az: -0.101685
ax: 0.000396729 | ay: 0.240158 | az: -0.0283661
ax: -0.0271149 | ay: 0.193436 | az: -0.00750732
ax: -0.00997925 | ay: 0.157181 | az: -0.023941
ax: -0.0106201 | ay: 0.0988922 | az: -0.0498505
ax: -0.0164032 | ay: 0.108795 | az: -0.126465
ax: -0.0269318 | ay: 0.139679 | az: -0.0791779
ax: -0.0206909 | ay: 0.0779266 | az: 0.0183716
ax: -0.0386505 | ay: 0.154175 | az: 0.0196991
time: 1
[20210614163940.785]
> sum ax: -5.30344 | sum ay: -3.44966 | sum az: -0.109146
>> avg ax: -0.106069 | avg ay: -0.0689932 | avg az: -0.00218292
>>> vx: -0.519737 | vy: -0.338067 | vz: -0.0106963
>>> sx: -0.279388 | sy: -0.14588 | sz: -0.0558049
>>> a: 0.126552
>>> v: 0.620105
>>> s: 0.320083

ax: -0.000961304 | ay: 0.19191 | az: -0.00675964
ax: -0.0386505 | ay: 0.163544 | az: -0.0140991
ax: -0.0256805 | ay: 0.135971 | az: -0.142029
ax: -0.0295258 | ay: 0.103561 | az: -0.17276
ax: -0.0506744 | ay: 0.207504 | az: -0.146362
ax: -0.131836 | ay: 0.251617 | az: -0.185181
ax: -0.117783 | ay: 0.225174 | az: -0.176743
ax: -0.140488 | ay: 0.192307 | az: -0.112427
ax: -0.285767 | ay: 0.229675 | az: -0.197998
ax: -0.369675 | ay: 0.280884 | az: -0.182266
ax: -0.767227 | ay: 0.405304 | az: -0.00338745
ax: -0.645309 | ay: 0.536774 | az: -0.30777
ax: -0.31131 | ay: 0.206741 | az: -0.422363
ax: 0.076004 | ay: 0.105972 | az: -0.463898
ax: 0.655334 | ay: 1.53802 | az: -0.645142
ax: 0.826904 | ay: 1.26732 | az: -0.530075
ax: 0.590225 | ay: 0.952484 | az: -0.566574
ax: 0.198914 | ay: 0.612869 | az: -0.47171
ax: -0.0479736 | ay: 0.453873 | az: -0.257584
ax: -0.17424 | ay: 0.338196 | az: -0.110062
ax: -0.21553 | ay: 0.207199 | az: 0.0874481
ax: -0.228149 | ay: 0.149841 | az: 0.229782
ax: -0.224823 | ay: 0.0914612 | az: 0.203583
ax: -0.255081 | ay: -0.138489 | az: 0.155441
ax: -0.284668 | ay: -0.0871429 | az: 0.0554047
ax: -0.268967 | ay: -0.118713 | az: -0.00239563
ax: -0.202911 | ay: -0.163712 | az: -0.0378876
ax: -0.19545 | ay: -0.205353 | az: 0.0163727
ax: -0.230179 | ay: -0.398605 | az: 0.134369
ax: -0.221603 | ay: -0.367889 | az: 0.172058
ax: -0.194885 | ay: -0.249695 | az: 0.242767
ax: -0.197708 | ay: -0.374664 | az: 0.23819
ax: -0.144012 | ay: -0.372269 | az: 0.250153
ax: -0.0855255 | ay: -0.456985 | az: 0.307816
ax: -0.0171814 | ay: -0.353073 | az: 0.329163
ax: -0.016098 | ay: -0.37381 | az: 0.306122
ax: -0.0235443 | ay: -0.386215 | az: 0.276901
ax: -0.016571 | ay: -0.38208 | az: 0.238724
ax: -0.0636749 | ay: -0.386581 | az: 0.227753
ax: -0.10321 | ay: -0.429489 | az: 0.222977
ax: -0.0975342 | ay: -0.438965 | az: 0.206177
ax: -0.102585 | ay: -0.450653 | az: 0.208832
ax: -0.132782 | ay: -0.529922 | az: 0.158005
ax: -0.164658 | ay: -0.645721 | az: 0.0394745
ax: -0.386353 | ay: -0.606827 | az: 0.000549316
ax: -0.251648 | ay: -0.511658 | az: 0.159866
ax: -0.125656 | ay: 1.50336 | az: 0.164108
ax: -0.660263 | ay: -0.125366 | az: 0.26062
ax: -0.301743 | ay: -0.106918 | az: 0.0756683
ax: -0.173294 | ay: 0.0537415 | az: -0.0317841
time: 2
[20210614163941.785]
