ax: -0.37648 | ay: -0.179504 | az: 0.125778
ax: -0.346024 | ay: 0.311264 | az: -0.219818
ax: -0.366501 | ay: 0.394135 | az: -0.185272
ax: -0.201187 | ay: 0.587875 | az: -0.187073
ax: -0.000823975 | ay: 0.20726 | az: -0.0667419
ax: 0.345963 | ay: 0.688705 | az: -0.248245
ax: 0.484543 | ay: 1.46558 | az: -0.223022
ax: 0.0861969 | ay: 0.662735 | az: -0.491531
ax: -0.00952148 | ay: 0.587997 | az: -0.494904
ax: -0.0183105 | ay: 0.340775 | az: -0.386673
ax: 0.00482178 | ay: 0.397125 | az: -0.204468
ax: 0.0558014 | ay: 0.375198 | az: -0.139038
ax: 0.0288696 | ay: 0.30983 | az: -0.119385
ax: 0.0162048 | ay: 0.41214 | az: -0.0697632
ax: 0.000106812 | ay: 0.343781 | az: -0.0509491
ax: -0.0855103 | ay: 0.297531 | az: -0.0457306
ax: -0.0872498 | ay: 0.203659 | az: -0.0540314
ax: -0.0811005 | ay: -0.00138855 | az: -0.0713501
ax: -0.138565 | ay: -0.179581 | az: -0.0171051
ax: -0.152679 | ay: -0.239014 | az: 0.139069
ax: -0.158615 | ay: -0.346024 | az: 0.258957
ax: -0.0773315 | ay: -0.349823 | az: 0.116455
ax: 0.0220184 | ay: -0.341827 | az: -0.046936
ax: 0.0161591 | ay: -0.524338 | az: -0.0336304
ax: 0.00938416 | ay: -0.519974 | az: 0.068985
ax: 0.0375061 | ay: -0.472153 | az: 0.112732
ax: 0.0450134 | ay: -0.522263 | az: 0.0896454
ax: 0.0641785 | ay: -0.472748 | az: 0.0595093
ax: 0.0931091 | ay: -0.302231 | az: 0.147736
ax: -0.0462036 | ay: -0.177734 | az: 0.231445
ax: -0.199646 | ay: -0.746429 | az: 0.791779
ax: -0.82225 | ay: 1.25771 | az: -0.234116
ax: -1.01498 | ay: -0.111481 | az: 0.796524
ax: 0.45517 | ay: 0.374786 | az: 0.256851
ax: 0.198914 | ay: -0.0324249 | az: -0.182709
ax: -0.168121 | ay: -0.0732574 | az: -0.624832
ax: 0.0815125 | ay: 0.00741577 | az: -0.342911
ax: 0.00254822 | ay: 0.207306 | az: -0.0531158
