ax: 0 | ay: 0 | az: -1
ax: 0.0859528 | ay: -0.0270844 | az: -0.00314331
ax: 0.0672913 | ay: -0.0605011 | az: 0.0260315
ax: 0.046463 | ay: -0.0730591 | az: 0.0449677
ax: -0.02211 | ay: -0.0853119 | az: 0.0288239
ax: -0.066452 | ay: -0.132156 | az: 0.00933838
ax: -0.0997925 | ay: -0.166122 | az: -0.0535736
ax: -0.161972 | ay: -0.205017 | az: -0.0810242
ax: -0.189331 | ay: -0.289902 | az: -0.107101
ax: -0.211594 | ay: -0.368332 | az: -0.124435
ax: -0.199753 | ay: -0.376007 | az: -0.134399
ax: -0.231476 | ay: -0.386169 | az: -0.174561
ax: -0.261749 | ay: -0.447449 | az: -0.261093
ax: -0.261002 | ay: -0.500473 | az: -0.260361
ax: -0.287689 | ay: -0.58757 | az: -0.286789
ax: -0.235962 | ay: -0.586823 | az: -0.316132
ax: -0.243149 | ay: -0.638412 | az: -0.350845
ax: -0.24353 | ay: -0.718796 | az: -0.393738
ax: -0.225891 | ay: -0.767471 | az: -0.420639
ax: -0.195786 | ay: -0.892685 | az: -0.450089
ax: -0.148834 | ay: -0.796921 | az: -0.490997
ax: -0.165039 | ay: -0.77153 | az: -0.509033
ax: -0.176117 | ay: -0.839981 | az: -0.51918
ax: -0.186188 | ay: -0.97229 | az: -0.546356
ax: -0.389343 | ay: -0.428345 | az: -0.269348
ax: -0.463531 | ay: 0.328735 | az: 0.616699
ax: -0.481155 | ay: 0.846527 | az: 0.782608
ax: -0.723969 | ay: -1.13937 | az: -0.127365
ax: -0.398621 | ay: -0.513184 | az: -0.0797577
ax: -0.213669 | ay: -0.298584 | az: -0.689117
ax: -0.000457764 | ay: -0.0862274 | az: -0.539383
ax: -0.000961304 | ay: -0.526276 | az: -0.242996
ax: -0.158356 | ay: -0.464493 | az: -0.121078
ax: -0.127975 | ay: -0.259506 | az: -0.0529938
ax: -0.133667 | ay: -0.285797 | az: -0.0419617
ax: -0.0869293 | ay: -0.0415955 | az: -0.0252686
ax: -0.0383759 | ay: -0.127762 | az: -0.104233
ax: 0.0343628 | ay: -0.0399933 | az: -0.204193
ax: 0.00604248 | ay: -0.0775146 | az: -0.16185
ax: -0.00177002 | ay: -0.0440674 | az: 0.0196686
ax: -0.016098 | ay: -0.0907288 | az: 0.0396729
ax: 0.0110016 | ay: -0.0238495 | az: -0.000488281
ax: 0.029953 | ay: -0.00718689 | az: -0.123672
ax: 0.02742 | ay: -0.0594177 | az: -0.105667
ax: -0.00569153 | ay: -0.107498 | az: -0.0228577
ax: -0.0267487 | ay: -0.147751 | az: 0.0116272
ax: -0.0154266 | ay: -0.0893555 | az: -0.00671387
ax: -0.006073 | ay: -0.0874176 | az: -0.0559082
ax: -0.0162201 | ay: -0.12207 | az: -0.0414429
ax: 0.0128479 | ay: -0.103439 | az: -0.0245819
time: 1
[20210722062719.583]
> sum ax: -6.79712 | sum ay: -14.6862 | sum az: -7.94493
>> avg ax: -0.135942 | avg ay: -0.293725 | avg az: -0.158899
>>> vx: -0.666118 | vy: -1.43925 | vz: -0.778603
>>> sx: -0.388101 | sy: -0.834361 | sz: -0.477811
>>> a: 0.36056
>>> v: 1.76674
>>> s: 1.03686

ax: 0.00440979 | ay: -0.0872803 | az: 0.0109253
ax: -0.0231323 | ay: -0.018631 | az: 0.00984192
ax: -0.0491638 | ay: -0.0581512 | az: -0.0362854
ax: -0.0724945 | ay: -0.0611725 | az: -0.0298157
ax: -0.125336 | ay: -0.0412903 | az: -0.0122681
ax: -0.213089 | ay: 0.00674438 | az: 0.0966797
ax: -0.216019 | ay: 0.0366364 | az: 0.0655212
ax: -0.279129 | ay: 0.0304108 | az: 0.0854645
ax: -0.42186 | ay: 0.10202 | az: -0.0576324
ax: -0.600632 | ay: 0.17514 | az: 0.00257874
ax: -0.860046 | ay: 0.131012 | az: 0.111862
ax: -1.07709 | ay: 0.448914 | az: 0.258484
ax: -0.841949 | ay: 1.80814 | az: 0.226669
ax: -0.810883 | ay: 0.372055 | az: 0.223907
ax: -0.584427 | ay: 0.61467 | az: -0.256302
ax: -0.587128 | ay: 0.559067 | az: -0.256042
ax: 0.260925 | ay: 0.579178 | az: 0.0621185
ax: 0.00721741 | ay: 0.0565796 | az: -0.243088
ax: 0.167358 | ay: 0.12355 | az: 0.0772858
ax: 0.467804 | ay: 0.37738 | az: 0.33725
ax: 0.525894 | ay: 0.622452 | az: 0.353958
ax: 0.621872 | ay: 0.557541 | az: 0.281113
ax: 0.619202 | ay: 0.47142 | az: 0.224548
ax: 0.586761 | ay: 0.344757 | az: 0.17247
ax: 0.480209 | ay: 0.178131 | az: 0.138794
