ax: -0.269974 | ay: 0.4888 | az: -0.159042
ax: -0.0423279 | ay: -0.0982361 | az: -0.0356293
ax: -0.0558014 | ay: -0.124649 | az: -0.058136
ax: -0.0540771 | ay: -0.175659 | az: -0.0783081
ax: -0.151382 | ay: -0.205414 | az: -0.0708771
ax: -0.174973 | ay: -0.26004 | az: -0.0786743
ax: -0.137756 | ay: -0.244934 | az: -0.0621033
ax: -0.112686 | ay: -0.386826 | az: -0.0447998
ax: -0.070755 | ay: -0.300995 | az: -0.0218353
ax: -0.0555115 | ay: -0.31076 | az: -0.0168457
ax: -0.0468445 | ay: -0.367233 | az: -0.0305939
ax: -0.0191498 | ay: -0.416183 | az: -0.0568848
ax: -0.00630188 | ay: -0.386627 | az: -0.097168
ax: -0.00559998 | ay: -0.464188 | az: -0.163147
ax: 0.0020752 | ay: -0.545105 | az: -0.199799
ax: -0.0350189 | ay: -0.508987 | az: -0.227814
ax: -0.00360107 | ay: -0.523544 | az: -0.320847
ax: -0.249725 | ay: -0.373001 | az: -0.490646
ax: -0.0456085 | ay: -0.125534 | az: -0.153534
ax: 0.0377197 | ay: 0.391586 | az: 0.165909
ax: -0.157486 | ay: 0.110397 | az: 0.398865
ax: -0.325058 | ay: -0.211319 | az: 0.317017
ax: -0.289276 | ay: -0.106552 | az: 0.174561
ax: -0.0894012 | ay: 0.0297852 | az: -0.0795288
ax: 0.0342255 | ay: 0.11351 | az: -0.364227
ax: -0.0577545 | ay: -0.282333 | az: -0.151459
ax: -0.0655823 | ay: -0.356857 | az: -0.139801
ax: -0.0206451 | ay: -0.182388 | az: -0.0697632
ax: -0.0375214 | ay: -0.108566 | az: 0.000717163
ax: -0.0666962 | ay: -0.0630035 | az: 0.0144196
ax: -0.0546417 | ay: -0.0689697 | az: 0.0105286
ax: -0.0398102 | ay: -0.0878754 | az: -0.0487061
ax: -0.0110779 | ay: -0.00881958 | az: -0.0749969
ax: -0.00857544 | ay: -0.0399933 | az: -0.0454407
ax: -0.028595 | ay: -0.000564575 | az: 0.0385437
ax: 0.0256042 | ay: -0.0169373 | az: 0.0206757
ax: 0.0377502 | ay: -0.0118713 | az: -0.0128937
ax: 0.0394897 | ay: -0.0331268 | az: -0.0239105
ax: 0.0155029 | ay: -0.0715485 | az: -0.00535583
ax: -0.0210419 | ay: -0.121887 | az: 0.0186462
ax: -0.0521698 | ay: -0.10231 | az: 0.0289764
ax: -0.0231018 | ay: -0.0405121 | az: 0.0177002
ax: -0.00424194 | ay: -0.0080719 | az: 0.0043335
ax: -0.036026 | ay: -0.0262756 | az: -0.004776
ax: -0.0479279 | ay: -0.0826721 | az: -0.0142822
ax: -0.0126343 | ay: -0.0459442 | az: -0.00138855
ax: -0.0133209 | ay: -0.021347 | az: 0.00630188
ax: -0.0201263 | ay: -0.0380402 | az: 0.0117493
ax: -0.0262909 | ay: -0.0777588 | az: -0.0062561
ax: -0.0161438 | ay: -0.0556946 | az: 0.000259399
time: 1
[20210722063327.829]
> sum ax: -2.86987 | sum ay: -6.95508 | sum az: -2.18027
>> avg ax: -0.0573975 | avg ay: -0.139102 | avg az: -0.0436053
>>> vx: -0.281248 | vy: -0.681598 | vz: -0.213666
>>> sx: -0.190062 | sy: -0.443084 | sz: -0.157381
>>> a: 0.156669
>>> v: 0.767678
>>> s: 0.507165

ax: -0.0243225 | ay: -0.01651 | az: 0.0111084
ax: -0.0605927 | ay: -0.045578 | az: 0.041748
ax: -0.0630035 | ay: -0.0153046 | az: 0.026825
ax: -0.101074 | ay: -0.00723267 | az: 0.0755615
ax: -0.140717 | ay: 0.0284424 | az: 0.0281525
ax: -0.225708 | ay: 0.0152893 | az: -0.00498962
ax: -0.249283 | ay: 0.0509491 | az: 0.0702057
ax: -0.377472 | ay: 0.050293 | az: 0.113754
ax: -0.510376 | ay: 0.101852 | az: 0.127045
ax: -0.628006 | ay: 0.136368 | az: 0.171814
ax: -0.854752 | ay: 0.143463 | az: 0.219116
ax: -0.882538 | ay: 0.826202 | az: 0.183533
ax: -0.512497 | ay: 0.910004 | az: 0.193878
ax: -0.57486 | ay: 0.341721 | az: 0.115662
ax: -0.530441 | ay: 0.617889 | az: -0.119751
ax: -0.345978 | ay: 0.432602 | az: -0.13028
ax: 0.290222 | ay: 0.460098 | az: 0.0559082
ax: 0.0260315 | ay: -0.0175934 | az: -0.130066
ax: 0.0440826 | ay: 0.325546 | az: 0.199051
ax: 0.3853 | ay: 0.615463 | az: 0.332245
ax: 0.419647 | ay: 0.739746 | az: 0.335571
ax: 0.475891 | ay: 0.636002 | az: 0.248917
ax: 0.494614 | ay: 0.506393 | az: 0.228699
ax: 0.43837 | ay: 0.310013 | az: 0.237976
ax: 0.434418 | ay: 0.329895 | az: 0.192307
ax: 0.396637 | ay: 0.39238 | az: 0.0991364
ax: 0.269257 | ay: 0.422913 | az: 0.0823212
ax: -0.103043 | ay: 0.0984039 | az: 0.267822
ax: -0.305573 | ay: -0.293808 | az: 0.0763092
ax: -0.583496 | ay: -0.505997 | az: -0.228989
ax: -0.679611 | ay: -0.596252 | az: -0.384918
ax: -0.785645 | ay: -0.783279 | az: -0.394562
ax: -0.694992 | ay: -0.697845 | az: -0.433441
ax: -0.906754 | ay: -0.934509 | az: -0.530807
ax: -0.733795 | ay: -1.15407 | az: -0.534348
ax: -0.487534 | ay: -1.32872 | az: -0.547699
ax: -0.302887 | ay: -1.51547 | az: -0.674911
ax: -0.187439 | ay: -1.61171 | az: -0.831604
ax: -0.0791626 | ay: -1.23167 | az: -0.836166
ax: 0.0924225 | ay: -1.09796 | az: -0.818604
ax: -0.148422 | ay: 0.0432434 | az: -0.025116
ax: -0.160385 | ay: 0.752487 | az: 0.546204
ax: -0.241653 | ay: -0.08992 | az: 0.136124
ax: -0.393158 | ay: -0.372101 | az: -0.0699005
ax: -0.183792 | ay: -0.329422 | az: -0.246643
ax: -0.168625 | ay: -0.234909 | az: -0.176392
