ax: -0.0614471 | ay: 0.0571136 | az: 0.0203705
ax: -0.0196991 | ay: -3.05176e-05 | az: -0.0183105
ax: -0.00254822 | ay: -0.00431824 | az: -0.0187988
ax: -0.00389099 | ay: 0.00050354 | az: 0.00238037
ax: -0.00471497 | ay: -0.0206757 | az: 0.0052948
ax: 0.00132751 | ay: -0.00550842 | az: 0.0163422
ax: 0.00488281 | ay: -0.0136414 | az: -0.0128632
ax: 0.0157776 | ay: 0.00436401 | az: 0.00439453
ax: -0.00509644 | ay: -0.00457764 | az: -0.00358582
ax: -0.00102234 | ay: -0.00765991 | az: 0.012619
ax: -0.0135193 | ay: -0.00901794 | az: 0.0135345
ax: -0.00505066 | ay: -0.0222626 | az: -0.000961304
ax: -0.000991821 | ay: -0.0178375 | az: -0.00361633
ax: 0.00848389 | ay: -0.00778198 | az: 0.0256348
ax: -0.0167389 | ay: -0.000671387 | az: 0.00721741
ax: -0.00198364 | ay: -0.017868 | az: -0.0113373
ax: 0.0254211 | ay: -0.0285492 | az: -0.00758362
ax: 0.0147858 | ay: 0.0288696 | az: 0.0275421
ax: -0.0456543 | ay: 0.0690002 | az: 0.00378418
ax: -0.0291443 | ay: -0.0728149 | az: 0.0178223
ax: -0.0052948 | ay: -0.0513611 | az: -0.00263977
ax: 0.0219421 | ay: -0.0552368 | az: -0.00363159
ax: 0.0360413 | ay: -0.0344391 | az: 0.00198364
ax: 0.0218506 | ay: -0.0455933 | az: 0.00640869
ax: 0.0395203 | ay: 0.00350952 | az: 0.0184326
ax: -0.0227966 | ay: -0.0553131 | az: -0.000183105
ax: -0.013382 | ay: -0.0445709 | az: -0.000930786
ax: -0.00488281 | ay: -0.0209045 | az: -0.0168915
ax: 0.0114441 | ay: -0.0355682 | az: -0.00843811
ax: 0.00393677 | ay: -0.012146 | az: 0.00738525
ax: 0.00805664 | ay: 0.0315552 | az: 0.00492859
ax: 0.00900269 | ay: -0.00706482 | az: 0.0548248
ax: -0.0105743 | ay: 0.00257874 | az: 0.0524597
ax: -0.00732422 | ay: 0.068985 | az: 0.0388184
ax: -0.00192261 | ay: 0.0824127 | az: 0.0381622
ax: -0.0739441 | ay: 0.102814 | az: 0.0331879
ax: -0.153687 | ay: 0.155762 | az: 0.0491486
ax: -0.258392 | ay: 0.187271 | az: 0.0261841
ax: -0.350769 | ay: 0.19574 | az: 0.0457458
ax: -0.293243 | ay: 0.33345 | az: 0.0247498
ax: -0.215851 | ay: 0.287064 | az: -0.0785065
ax: -0.0342407 | ay: 0.381378 | az: 0.0711517
ax: 0.142715 | ay: 0.423828 | az: 0.155975
ax: 0.161758 | ay: 0.464905 | az: 0.135803
ax: 0.205338 | ay: 0.525986 | az: 0.174515
ax: 0.165024 | ay: 0.401764 | az: 0.161789
ax: 0.137726 | ay: 0.35614 | az: 0.119431
ax: 0.102402 | ay: 0.290985 | az: 0.0977783
ax: 0.0680847 | ay: 0.231735 | az: 0.0627136
ax: 0.0409088 | ay: 0.184586 | az: 0.0251312
time: 1
[20210722063805.870]
> sum ax: -0.411377 | sum ay: 4.27689 | sum az: 1.37537
>> avg ax: -0.00822754 | avg ay: 0.0855377 | avg az: 0.0275073
>>> vx: -0.0403149 | vy: 0.419135 | vz: 0.134786
>>> sx: -0.0288937 | sy: 0.0483938 | sz: 0.0262903
>>> a: 0.0902277
>>> v: 0.442116
>>> s: 0.0621932

ax: 0.0115356 | ay: 0.118057 | az: -0.0366364
ax: -0.0422058 | ay: 0.0353088 | az: -0.0751648
ax: -0.0886536 | ay: -0.0434875 | az: -0.113678
ax: -0.0951538 | ay: -0.122086 | az: -0.157379
ax: -0.108124 | ay: -0.18631 | az: -0.225266
ax: -0.13385 | ay: -0.244354 | az: -0.222549
ax: -0.149872 | ay: -0.307816 | az: -0.239243
ax: -0.173553 | ay: -0.476593 | az: -0.210434
ax: -0.17131 | ay: -0.472137 | az: -0.044632
ax: -0.17157 | ay: -0.452698 | az: -0.152451
ax: -0.089859 | ay: -0.672012 | az: -0.242752
ax: -0.0791473 | ay: -0.865585 | az: -0.247284
ax: -0.0333557 | ay: -0.791641 | az: -0.261307
ax: -0.0242462 | ay: -0.608475 | az: -0.185745
ax: -0.229263 | ay: -0.281723 | az: -0.197159
ax: -0.00788879 | ay: -0.344009 | az: -0.0179138
ax: -0.0695648 | ay: -0.0148315 | az: 0.0168152
ax: -0.278793 | ay: 0.432953 | az: 0.539856
ax: -0.151825 | ay: 0.0538635 | az: 0.258942
ax: -0.192398 | ay: -0.283112 | az: 0.173859
ax: -0.0971222 | ay: -0.0425262 | az: 0.0193939
ax: -0.0914917 | ay: -0.0713043 | az: -0.2258
ax: -0.000579834 | ay: -0.104218 | az: -0.121841
ax: 0.0765533 | ay: -0.0196533 | az: -0.0699615
ax: 0.0360565 | ay: -0.139267 | az: -0.0155792
ax: 0.0246124 | ay: -0.0613708 | az: 0.0462341
ax: -0.026001 | ay: -0.0484772 | az: -0.0112305
ax: -0.0576324 | ay: -0.161591 | az: 0.00741577
ax: -0.0675812 | ay: -0.0378876 | az: 0.0214081
ax: -0.0359192 | ay: 0.01651 | az: -0.018158
ax: -0.0564117 | ay: 0.11087 | az: -0.0484619
ax: -0.0223236 | ay: 0.0552368 | az: -0.057724
ax: -0.0282745 | ay: 0.0448303 | az: -0.0105591
ax: -0.0257263 | ay: 0.00294495 | az: -0.00309753
ax: -0.00508118 | ay: 0.00541687 | az: 0.0249023
ax: 0.00370789 | ay: -0.0389709 | az: 0.0098877
ax: 0.018158 | ay: -0.0087738 | az: -0.0174713
