ax: -0.0333862 | ay: -0.171432 | az: 0.0309143
ax: 0.00961304 | ay: 0.106628 | az: 0.168076
ax: -0.0183868 | ay: 0.0682678 | az: 0.13591
ax: -0.0208435 | ay: 0.0240479 | az: 0.112259
ax: -0.0491333 | ay: -0.0114746 | az: 0.0544739
ax: -0.0846252 | ay: -0.0690308 | az: 0.00550842
ax: -0.108643 | ay: -0.140045 | az: -0.0503387
ax: -0.139664 | ay: -0.258957 | az: -0.0987854
ax: -0.13945 | ay: -0.313614 | az: -0.169754
ax: -0.151581 | ay: -0.354874 | az: -0.253265
ax: -0.166855 | ay: -0.36937 | az: -0.291962
ax: -0.188919 | ay: -0.528839 | az: -0.272659
ax: -0.138947 | ay: -0.480591 | az: -0.253998
ax: -0.103897 | ay: -0.568756 | az: -0.252594
ax: -0.0802917 | ay: -0.656494 | az: -0.204941
ax: -0.034256 | ay: -0.708237 | az: -0.223785
ax: -0.0270996 | ay: -0.660248 | az: -0.277695
ax: -0.0981903 | ay: -0.450623 | az: -0.209274
ax: -0.0681458 | ay: -0.713928 | az: -0.213028
ax: -0.104248 | ay: 0.258133 | az: 0.305191
ax: -0.186401 | ay: 0.368347 | az: 0.655365
ax: -0.27092 | ay: -0.333786 | az: 0.205231
ax: -0.227905 | ay: -0.191956 | az: 0.0764923
ax: -0.0703125 | ay: 0.0523529 | az: -0.118042
ax: -0.0266113 | ay: -0.0332794 | az: -0.341934
ax: 0.0671082 | ay: -0.137024 | az: -0.172928
ax: -0.0589447 | ay: -0.287567 | az: -0.0114594
ax: -0.0994568 | ay: -0.268188 | az: 0.0540771
ax: -0.0148315 | ay: -0.0184021 | az: 0.0274506
ax: 0.00271606 | ay: -0.00125122 | az: -0.0246124
ax: -0.0390167 | ay: -0.011795 | az: 0.0562439
ax: -0.0424652 | ay: -0.0260773 | az: 0.00141907
ax: -0.0291901 | ay: 0.0124512 | az: -0.0440369
ax: -0.0155487 | ay: -0.0125275 | az: -0.0506592
ax: -0.011322 | ay: -0.0384827 | az: 0.0292206
ax: -0.0367584 | ay: -0.143906 | az: 0.0549011
ax: -0.0203705 | ay: -0.129608 | az: 0.013382
ax: 0.0241852 | ay: -0.0546875 | az: 0.0163422
ax: 0.0286713 | ay: -0.00050354 | az: 0.00320435
ax: -0.00666809 | ay: -0.0187225 | az: 0.0176392
ax: -0.00212097 | ay: -0.0500793 | az: 0.0085907
ax: -0.00308228 | ay: -0.0181732 | az: 0.0159607
ax: 0.000686646 | ay: 0.0392761 | az: 0.0230103
ax: -0.014801 | ay: -0.00906372 | az: 0.0138092
ax: -0.0201874 | ay: -0.0493927 | az: 0.00746155
