ax: 0.520523 | ay: 0.332443 | az: 0.16037
ax: -0.0195618 | ay: -0.244308 | az: -0.0314789
ax: -0.00418091 | ay: -0.247421 | az: -0.0314026
ax: -0.0248413 | ay: -0.244202 | az: -0.0235138
ax: -0.014679 | ay: -0.238525 | az: -0.0485992
ax: -0.034256 | ay: -0.232025 | az: -0.0100098
ax: -0.00827026 | ay: -0.207489 | az: -0.0151825
ax: -0.0118408 | ay: -0.179382 | az: -0.00798035
ax: -0.0322113 | ay: -0.141708 | az: 0.0268707
ax: -0.10141 | ay: -0.129242 | az: 0.0298615
ax: -0.154495 | ay: -0.131531 | az: 0.00210571
ax: -0.262161 | ay: -0.00831604 | az: -0.0444794
ax: -0.58046 | ay: 0.0515594 | az: 0.0916138
ax: -0.70578 | ay: 0.160095 | az: 0.0649261
ax: -0.544388 | ay: 0.248291 | az: 0.0386047
ax: -0.309052 | ay: 0.258759 | az: -0.0487671
ax: -0.0409546 | ay: -0.220795 | az: -0.228149
ax: 0.2173 | ay: 0.130081 | az: -0.203857
ax: 0.407791 | ay: 0.0200195 | az: 0.0491943
ax: 0.309296 | ay: 0.0328827 | az: 0.161377
ax: 0.41629 | ay: 0.430145 | az: 0.221542
ax: 0.390381 | ay: 0.31958 | az: 0.260742
ax: 0.365082 | ay: 0.112564 | az: 0.29097
ax: 0.352264 | ay: 0.098114 | az: 0.258804
ax: 0.265106 | ay: 0.0364227 | az: 0.206772
ax: 0.105698 | ay: -0.0187073 | az: 0.190063
ax: 0.00564575 | ay: -0.0940399 | az: 0.118362
ax: -0.108536 | ay: -0.177185 | az: 0.0719604
ax: -0.18782 | ay: -0.220093 | az: 0.0012207
ax: -0.229477 | ay: -0.293594 | az: -0.0775909
ax: -0.254089 | ay: -0.306168 | az: -0.116165
ax: -0.313995 | ay: -0.334152 | az: -0.170532
ax: -0.299622 | ay: -0.3992 | az: -0.213638
ax: -0.254929 | ay: -0.411789 | az: -0.244049
ax: -0.210526 | ay: -0.452332 | az: -0.26741
ax: -0.184128 | ay: -0.486359 | az: -0.297958
ax: -0.195984 | ay: -0.496582 | az: -0.305573
ax: -0.18631 | ay: -0.549927 | az: -0.362228
ax: -0.158081 | ay: -0.703812 | az: -0.477463
ax: -0.112274 | ay: -0.697296 | az: -0.506516
ax: -0.0641632 | ay: -0.719101 | az: -0.5327
ax: -0.254349 | ay: -0.645767 | az: -0.524643
ax: -0.127136 | ay: -0.866653 | az: -0.617035
ax: -0.207108 | ay: -0.924042 | az: -0.654434
ax: -0.224121 | ay: 0.126938 | az: 0.231003
ax: -0.160873 | ay: 0.389496 | az: 0.273972
ax: -0.358826 | ay: -0.388382 | az: 0.0886078
ax: -0.406036 | ay: -0.388153 | az: 0.119202
ax: -0.123749 | ay: -0.201904 | az: -0.223236
ax: 0.0362701 | ay: -0.133072 | az: -0.692749
time: 1
[20210722073750.294]
> sum ax: -4.07903 | sum ay: -9.38586 | sum az: -4.0192
>> avg ax: -0.0815805 | avg ay: -0.187717 | avg az: -0.0803839
>>> vx: -0.399744 | vy: -0.919815 | vz: -0.393881
>>> sx: -0.108433 | sy: -0.267966 | sz: -0.0371222
>>> a: 0.219897
>>> v: 1.0775
>>> s: 0.291447

ax: -0.184921 | ay: -0.276184 | az: -0.410568
ax: -0.0514984 | ay: -0.391251 | az: -0.118423
ax: -0.167938 | ay: -0.368378 | az: -0.0105133
ax: -0.143234 | ay: -0.265594 | az: -0.0241089
ax: -0.134201 | ay: -0.230988 | az: 0.0158691
ax: -0.100952 | ay: -0.155716 | az: -0.0472107
ax: -0.037674 | ay: -0.150635 | az: -0.135712
ax: -0.0134583 | ay: -0.0887909 | az: -0.164871
ax: -0.00704956 | ay: -0.0973206 | az: -0.0522461
ax: -0.00875854 | ay: -0.161636 | az: 0.0432739
ax: -0.0186768 | ay: -0.158707 | az: 0.0213928
ax: -0.00863647 | ay: -0.10585 | az: -0.0531921
ax: 0.00431824 | ay: -0.141586 | az: -0.0870209
ax: -0.0149536 | ay: -0.130447 | az: -0.0571442
ax: -0.0107422 | ay: -0.120392 | az: -0.0224457
ax: -0.0110931 | ay: -0.0913391 | az: -0.000106812
ax: -0.0105591 | ay: -0.06604 | az: -0.0279236
ax: 0.00561523 | ay: -0.0398712 | az: -0.0571747
ax: 0.000778198 | ay: -0.128143 | az: -0.0604706
ax: -0.0496674 | ay: -0.195099 | az: -0.022644
ax: -0.0310211 | ay: -0.111115 | az: 0.0474091
ax: -0.0329742 | ay: -0.0630035 | az: 0.00938416
ax: -0.0491028 | ay: -0.0792542 | az: -0.0255585
ax: -0.0727997 | ay: -0.0697174 | az: -0.0389404
ax: -0.0984497 | ay: -0.0915222 | az: -0.00990295
ax: -0.18605 | ay: -0.144409 | az: 0.0863037
ax: -0.200378 | ay: -0.136673 | az: 0.159653
ax: -0.275726 | ay: -0.0716095 | az: 0.0873108
ax: -0.332367 | ay: 0.0250244 | az: 0.00524902
ax: -0.424973 | ay: 0.0480652 | az: -0.026535
ax: -0.643677 | ay: 0.0667267 | az: 0.0746613
ax: -0.930771 | ay: 0.416336 | az: 0.231873
ax: -0.816269 | ay: 1.34952 | az: 0.344055
ax: -0.846024 | ay: 0.745148 | az: 0.321915
ax: -0.712479 | ay: 0.344376 | az: 0.218536
ax: -0.702499 | ay: 0.763046 | az: -0.216202
ax: -0.379517 | ay: 0.535202 | az: -0.135132
ax: 0.502701 | ay: 0.481705 | az: 0.110718
ax: 0.0709686 | ay: -0.0768738 | az: -0.322952
ax: 0.162552 | ay: 0.421631 | az: 0.0914917
ax: 0.461212 | ay: 0.62381 | az: 0.275024
ax: 0.525238 | ay: 0.658951 | az: 0.265884
ax: 0.587784 | ay: 0.520523 | az: 0.187637
ax: 0.575699 | ay: 0.468491 | az: 0.118103
