ax: -6.10352e-05 | ay: -0.0125885 | az: -0.00604248
ax: 0.00721741 | ay: -0.00668335 | az: 0.00680542
ax: 0.00723267 | ay: 0.0101776 | az: 0.00134277
ax: 0.00721741 | ay: -0.0093689 | az: -0.0078125
ax: -0.0020752 | ay: -0.0106201 | az: -0.00619507
ax: 0.0120697 | ay: -0.00814819 | az: -0.0112915
ax: -0.00405884 | ay: -0.0131073 | az: -0.0297241
ax: -0.00698853 | ay: -0.00898743 | az: -0.0224304
ax: 0.00875854 | ay: 0.00468445 | az: 0.00794983
ax: 0.0045166 | ay: -0.00418091 | az: 0.00233459
ax: -0.0157928 | ay: 0.00109863 | az: -0.00401306
ax: -0.0141449 | ay: 0.00314331 | az: -0.00733948
ax: -0.00808716 | ay: 0.0128479 | az: 0.000289917
ax: -0.00932312 | ay: 0.0110016 | az: -0.0224457
ax: -0.0124969 | ay: 0.0125732 | az: -0.00389099
ax: -0.00248718 | ay: 0.0178223 | az: -0.00228882
ax: 0.00941467 | ay: 0.00881958 | az: 0.006073
ax: 0.00617981 | ay: -0.00410461 | az: 0.00956726
ax: 0.00584412 | ay: -0.00756836 | az: -0.00192261
ax: 0.0147858 | ay: -0.0246887 | az: 0.00416565
ax: 0.0188751 | ay: -0.019989 | az: 0.00756836
ax: 0.0249176 | ay: -0.00704956 | az: 0.00604248
ax: 0.0289459 | ay: -0.0114899 | az: -0.00247192
ax: 0.0119934 | ay: -0.0090332 | az: -0.00611877
ax: 0.00624084 | ay: 0.00587463 | az: -0.00219727
ax: 0.00292969 | ay: -0.00534058 | az: -0.0119019
ax: -0.013092 | ay: 0.00343323 | az: -0.00654602
ax: 0.0245972 | ay: 0.0111237 | az: 0.0204163
ax: 0.0158386 | ay: 0.0250702 | az: 0.0307617
ax: 0.00012207 | ay: 0.056778 | az: 0.0322418
ax: -0.0197144 | ay: 0.0806885 | az: 0.0462341
ax: -0.0364685 | ay: 0.129059 | az: 0.0365906
ax: -0.113632 | ay: 0.463303 | az: 0.0269012
ax: -0.202118 | ay: 0.101547 | az: -0.0446014
ax: -0.449356 | ay: 0.22113 | az: -0.0219421
ax: -0.573898 | ay: 0.363617 | az: -0.0980682
