ax: -0.00779724 | ay: -0.061554 | az: -0.0332336
ax: 0.0221558 | ay: -0.136475 | az: -0.053421
ax: 0.00128174 | ay: -0.131866 | az: -0.0515137
ax: 0.0131073 | ay: -0.124527 | az: -0.0543823
ax: 0.00540161 | ay: -0.13092 | az: -0.0423126
ax: 0.00845337 | ay: -0.12764 | az: -0.0513306
ax: 0.0114746 | ay: -0.114227 | az: -0.0670929
ax: 0.00765991 | ay: -0.114365 | az: -0.0582886
ax: 0.0116577 | ay: -0.112 | az: -0.0432281
ax: 0.00588989 | ay: -0.109085 | az: -0.0535889
ax: 0.00500488 | ay: -0.121536 | az: -0.0477448
ax: 0.0085144 | ay: -0.11644 | az: -0.0575409
ax: 0.0124969 | ay: -0.102203 | az: -0.0610046
ax: -0.00158691 | ay: -0.110977 | az: -0.05513
ax: -0.00102234 | ay: -0.113998 | az: -0.0401154
ax: 0.00149536 | ay: -0.101913 | az: -0.0582123
ax: 0.0118103 | ay: -0.1073 | az: -0.0610046
ax: 0.0123749 | ay: -0.0978241 | az: -0.0536194
ax: 0.0182953 | ay: -0.123169 | az: -0.0506439
ax: 0.0305634 | ay: -0.126328 | az: -0.0479584
ax: 0.0398865 | ay: -0.0417175 | az: -0.00389099
ax: -0.0562286 | ay: -0.104507 | az: -0.0793457
ax: -0.0225525 | ay: -0.102005 | az: -0.053299
ax: -0.0108795 | ay: -0.13591 | az: -0.0638733
ax: 0.0242615 | ay: -0.14743 | az: -0.0556641
ax: 0.0199127 | ay: -0.131638 | az: -0.0528107
ax: 0.0180511 | ay: -0.111038 | az: -0.0285797
ax: 0.023468 | ay: -0.117966 | az: -0.0517731
ax: 0.0371552 | ay: -0.118454 | az: -0.067215
ax: 0.0517883 | ay: -0.121078 | az: -0.0628052
ax: 0.0434875 | ay: -0.0934601 | az: -0.0236664
ax: 0.0346985 | ay: -0.101501 | az: -0.0415039
ax: 0.0239258 | ay: -0.0293884 | az: -0.0280151
