steps: 1888
ax: -0.265533 | ay: 0.00971985 | az: -0.0323486
ax: -0.198715 | ay: 1.29292 | az: 0.909851
ax: -0.677185 | ay: -0.452209 | az: 0.368134
ax: -0.529968 | ay: -0.611511 | az: -0.172455
ax: -0.108826 | ay: -0.239288 | az: -0.0916443
ax: 0.0457001 | ay: -0.546066 | az: -0.622131
ax: -0.205276 | ay: -0.687637 | az: -0.0233154
ax: -0.255951 | ay: -0.399521 | az: 0.217911
ax: -0.178589 | ay: -0.254272 | az: 0.0929108
ax: -0.067749 | ay: -0.0584869 | az: 0.185455
ax: -0.135208 | ay: 0.0271454 | az: 0.0448608
ax: -0.0275574 | ay: -0.0268555 | az: -0.0545044
ax: 0.0221252 | ay: -0.199097 | az: -0.108917
ax: 0.0131073 | ay: -0.253708 | az: -0.153824
ax: 0.0412903 | ay: -0.0123901 | az: 0.0734711
ax: -0.0341644 | ay: 0.00846863 | az: 0.170563
ax: -0.0376282 | ay: -0.0502472 | az: 0.130371
ax: 0.0127106 | ay: -0.12117 | az: -0.0592499
ax: 0.0178833 | ay: -0.111023 | az: -0.0984039
ax: -0.014267 | ay: 0.00296021 | az: 0.0116119
ax: -0.0445557 | ay: 0.0211182 | az: 0.0647278
ax: -0.0563507 | ay: -0.0112915 | az: 0.0305634
ax: -0.0353546 | ay: -0.0424957 | az: -0.0234375
ax: -0.0255127 | ay: -0.0539703 | az: 0.014389
ax: -0.0398712 | ay: -0.00462341 | az: 0.00523376
ax: -0.114365 | ay: 0.0305786 | az: 0.0379181
ax: -0.151611 | ay: 0.0640259 | az: 0.0286407
ax: -0.204208 | ay: 0.122849 | az: 0.076416
ax: -0.204834 | ay: 0.0566101 | az: 0.048172
ax: -0.258545 | ay: 0.0723724 | az: 0.0384064
ax: -0.288391 | ay: 0.126083 | az: -0.0209045
ax: -0.428101 | ay: 0.173981 | az: -0.139954
ax: -0.656708 | ay: 0.095047 | az: -0.128082
ax: -1.0612 | ay: 0.441208 | az: -0.227997
ax: -1.07478 | ay: 1.2186 | az: -0.481918
ax: -1.0782 | ay: 0.890015 | az: 0.130783
ax: -0.716324 | ay: 0.715195 | az: -0.547867
ax: -0.519821 | ay: 0.381165 | az: -0.518066
ax: 0.12236 | ay: 0.346863 | az: -0.526688
ax: 0.332535 | ay: 0.0083313 | az: -0.218857
ax: 0.415726 | ay: -0.107422 | az: -0.100311
ax: 0.620224 | ay: 0.397858 | az: -0.161179
ax: 0.693954 | ay: 0.730087 | az: -0.0874176
