steps: 0
ax: -0.628296 | ay: 1.43074 | az: 0.293686
ax: 0.41687 | ay: 0.772308 | az: 0.422424
ax: 0.469025 | ay: 0.616821 | az: 0.325424
ax: 0.500214 | ay: 0.494003 | az: 0.232834
ax: 0.477264 | ay: 0.367081 | az: 0.197601
ax: 0.427231 | ay: 0.298721 | az: 0.176895
ax: 0.410568 | ay: 0.319061 | az: 0.149673
ax: 0.348282 | ay: 0.326111 | az: 0.10199
ax: 0.18042 | ay: 0.179626 | az: 0.0308533
ax: -0.00585938 | ay: -0.0226898 | az: -0.00169373
ax: -0.234146 | ay: -0.105698 | az: -0.0812988
ax: -0.449219 | ay: -0.291122 | az: -0.226639
ax: -0.603088 | ay: -0.454391 | az: -0.444016
ax: -0.826324 | ay: -0.715424 | az: -0.517288
ax: -0.767792 | ay: -0.790298 | az: -0.588943
ax: -0.706512 | ay: -0.780487 | az: -0.66156
ax: -0.68692 | ay: -0.970917 | az: -0.714371
ax: -0.464142 | ay: -1.18764 | az: -0.674576
ax: -0.283295 | ay: -2.15176 | az: -0.853485
ax: 0.124847 | ay: -1.46524 | az: -0.843216
ax: -0.117142 | ay: -1.04579 | az: -0.759125
ax: 0.087616 | ay: -0.745422 | az: -0.381393
ax: -0.0703125 | ay: 0.206909 | az: 0.189957
ax: -0.247467 | ay: 0.572113 | az: 0.868744
ax: -0.368362 | ay: -0.318237 | az: 0.158875
ax: -0.555069 | ay: -0.297256 | az: -0.0731201
ax: -0.104309 | ay: 0.0511169 | az: -0.580048
ax: -0.33345 | ay: -0.494843 | az: -0.212051
ax: -0.131958 | ay: -0.19516 | az: 0.130157
ax: -0.0234375 | ay: 0.0518036 | az: 0.0263977
ax: -0.0504608 | ay: 0.0962372 | az: -0.0611725
ax: -0.057785 | ay: 0.0654297 | az: -0.00772095
ax: -0.0211487 | ay: 0.0700989 | az: 0.0666809
ax: 0.0238953 | ay: 0.217041 | az: 0.00469971
ax: 0.0186462 | ay: 0.174393 | az: 0.0897827
ax: 0.0127106 | ay: 0.104645 | az: 0.0980988
ax: 0.0158234 | ay: 0.0651245 | az: 0.0460358
ax: 0.000915527 | ay: 0.110641 | az: 0.0447235
ax: -0.020401 | ay: 0.0581512 | az: 0.0456543
ax: -0.0153046 | ay: 0.124374 | az: 0.0608978
ax: -0.0129852 | ay: 0.127731 | az: 0.0606232
ax: -0.00808716 | ay: 0.120499 | az: 0.0629883
ax: -0.0139313 | ay: 0.148163 | az: 0.0543976
ax: -0.0510101 | ay: 0.117081 | az: 0.0346375
ax: -0.0690765 | ay: 0.0653534 | az: 0.0898895
ax: -0.0317078 | ay: 0.0533447 | az: 0.100204
ax: -0.0504456 | ay: 0.101761 | az: 0.0951691
ax: -0.0508881 | ay: 0.10437 | az: 0.024765
ax: -0.0875854 | ay: 0.0975494 | az: 0.0462036
ax: -0.132156 | ay: 0.139252 | az: 0.0718079
time: 1
[20210810065900.816]
> sum ax: -4.76575 | sum ay: -4.18472 | sum az: -3.27895
>> avg ax: -0.0953149 | avg ay: -0.0836945 | avg az: -0.0655789
>>> vx: -0.467043 | vy: -0.410103 | vz: -0.321337
>>> sx: -0.216273 | sy: -0.219913 | sz: -0.216838
>>> a: 0.142795
>>> v: 0.699693
>>> s: 0.377034

ax: -0.180191 | ay: 0.138718 | az: 0.13002
ax: -0.174896 | ay: 0.0944366 | az: 0.115829
ax: -0.208679 | ay: 0.0868378 | az: 0.0924683
ax: -0.324539 | ay: 0.179337 | az: 0.0228577
ax: -0.42569 | ay: 0.177521 | az: 0.00874329
ax: -0.64743 | ay: 0.025589 | az: 0.0822906
ax: -1.03755 | ay: 0.182999 | az: 0.239761
ax: -1.08018 | ay: 1.43228 | az: 0.430786
ax: -0.90065 | ay: 1.23355 | az: 0.302536
ax: -0.927338 | ay: 0.524094 | az: 0.242859
ax: -0.809555 | ay: 0.954865 | az: -0.139847
ax: -0.491196 | ay: 0.907455 | az: -0.221802
ax: 0.156296 | ay: 0.858719 | az: -0.0247955
ax: 0.0634918 | ay: 0.123779 | az: -0.20517
ax: 0.194778 | ay: 0.137299 | az: -0.0317535
ax: 0.33844 | ay: 0.313995 | az: 0.345764
ax: 0.403961 | ay: 0.542496 | az: 0.361801
ax: 0.499527 | ay: 0.664383 | az: 0.238586
ax: 0.558624 | ay: 0.658752 | az: 0.0879669
ax: 0.493118 | ay: 0.580109 | az: 0.108047
ax: 0.422501 | ay: 0.336441 | az: 0.132492
ax: 0.318207 | ay: 0.158447 | az: 0.118805
ax: 0.218506 | ay: 0.168716 | az: 0.0615234
ax: 0.153793 | ay: 0.229507 | az: -0.0666809
ax: -0.0898438 | ay: 0.103958 | az: -0.167114
ax: -0.372925 | ay: -0.173782 | az: -0.268188
ax: -0.6427 | ay: -0.498566 | az: -0.435837
ax: -0.888 | ay: -0.753876 | az: -0.573853
ax: -1.01053 | ay: -0.921646 | az: -0.719818
ax: -1.00032 | ay: -1.17097 | az: -0.880722
ax: -0.796387 | ay: -1.22066 | az: -0.989456
ax: -0.495285 | ay: -2.14743 | az: -1.00548
ax: -0.0587006 | ay: -2.2867 | az: -0.959488
ax: -0.193954 | ay: -1.34067 | az: -0.835678
ax: -0.251328 | ay: -0.476318 | az: -0.0937958
ax: -0.364487 | ay: 0.71637 | az: 0.989395
ax: -0.273727 | ay: -0.128265 | az: 0.21315
ax: -0.570343 | ay: -0.557632 | az: -0.153076
ax: -0.350739 | ay: -0.225006 | az: -0.161896
ax: 0.0989838 | ay: -0.137604 | az: -0.466751
ax: -0.230148 | ay: -0.424438 | az: -0.307968
ax: -0.126083 | ay: -0.240234 | az: 0.0633698
ax: 0.014389 | ay: 0.035965 | az: 0.00195312
ax: -0.052475 | ay: 0.108154 | az: -0.0071106
ax: -0.0495148 | ay: -0.0135803 | az: 0.0335999
ax: -0.0376892 | ay: 0.0253906 | az: 0.0388641
ax: 0.0199127 | ay: 0.106583 | az: -0.0255737
ax: 0.0185547 | ay: 0.106537 | az: -0.0615845
ax: -0.000396729 | ay: 0.0401917 | az: 0.0942993
ax: 0.000579834 | ay: -0.0712891 | az: 0.0903931
time: 2
[20210810065901.822]
> sum ax: -11.0898 | sum ay: -0.83519 | sum az: -4.15527
>> avg ax: -0.221796 | avg ay: -0.0167038 | avg az: -0.0831055
>>> vx: -1.0868 | vy: -0.0818487 | vz: -0.407217
>>> sx: -0.6599 | sy: 0.369482 | sz: -0.0762721
>>> a: 0.237443
>>> v: 1.16347
>>> s: 0.760133

ax: 0.000289917 | ay: 0.00889587 | az: 0.00868225
ax: 0.027832 | ay: 0.0780334 | az: -0.020401
ax: -0.0135498 | ay: 0.0644073 | az: 0.0209198
ax: 0.00198364 | ay: 0.0623627 | az: 0.0284119
ax: 0.00537109 | ay: 0.0660858 | az: 0.0287628
ax: -0.0262146 | ay: 0.0630035 | az: 0.0436249
