steps: 0
ax: -0.0618744 | ay: -0.608704 | az: -0.503143
ax: -0.317764 | ay: 0.0199738 | az: -0.0209045
ax: -0.45665 | ay: 0.0181885 | az: -0.0309601
ax: -0.73317 | ay: 0.198532 | az: -0.168762
ax: -0.897888 | ay: 0.545883 | az: -0.283249
ax: -0.571457 | ay: 0.764816 | az: 0.0470581
ax: -0.64415 | ay: 0.443481 | az: 0.224945
ax: -0.35144 | ay: 0.600174 | az: -0.211258
ax: -0.185425 | ay: 0.0277863 | az: -0.344894
ax: 0.130539 | ay: 0.0457611 | az: -0.374481
ax: 0.524673 | ay: -0.123001 | az: -0.302658
ax: 0.345474 | ay: -0.0147095 | az: -0.0837402
ax: 0.580322 | ay: 0.578537 | az: -0.00846863
ax: 0.586914 | ay: 0.734344 | az: 0.0226898
ax: 0.640427 | ay: 0.484451 | az: 0.0505524
ax: 0.623123 | ay: 0.394592 | az: 0.0744476
ax: 0.59111 | ay: 0.313492 | az: 0.0959015
ax: 0.586136 | ay: 0.215958 | az: -0.0198364
ax: 0.466217 | ay: 0.224152 | az: -0.145859
ax: 0.232758 | ay: 0.0920868 | az: 0.0578156
ax: 0.0273743 | ay: -0.0709991 | az: 0.0530853
ax: -0.202026 | ay: -0.319244 | az: -0.0851135
ax: -0.406509 | ay: -0.416672 | az: 0.00161743
ax: -0.492096 | ay: -0.627121 | az: -0.0340729
ax: -0.486206 | ay: -0.720718 | az: -0.0380554
ax: -0.482224 | ay: -0.703278 | az: -0.0452118
ax: -0.509491 | ay: -0.703339 | az: -0.0203247
ax: -0.534882 | ay: -0.745468 | az: 0.139206
ax: -0.504883 | ay: -0.733765 | az: 0.288101
ax: -0.490952 | ay: -0.715576 | az: 0.334229
ax: -0.40123 | ay: -0.771072 | az: 0.319717
ax: -0.295898 | ay: -0.908447 | az: 0.224945
ax: -0.2686 | ay: -1.00053 | az: 0.234695
ax: -0.225128 | ay: -1.05794 | az: 0.347031
ax: -0.194031 | ay: -1.03119 | az: 0.361404
ax: -0.287201 | ay: -0.72464 | az: 0.789108
ax: -0.17749 | ay: -0.626816 | az: 0.601471
ax: 0.104492 | ay: 0.979736 | az: -0.0845642
ax: -0.226334 | ay: 1.02527 | az: 0.412094
ax: -0.551254 | ay: -0.263794 | az: 0.148605
ax: -0.594727 | ay: -0.146545 | az: 0.246536
ax: -0.0973053 | ay: -0.108368 | az: -0.0239105
ax: -0.0346832 | ay: -0.227615 | az: -0.13768
ax: -0.107666 | ay: -0.377441 | az: -0.0648956
ax: -0.0260468 | ay: -0.145401 | az: 0.00144958
ax: 0.033783 | ay: -0.110397 | az: 0.0521698
ax: -0.0376282 | ay: -0.026001 | az: 0.0203247
ax: -0.0648346 | ay: 0.0927429 | az: 0.0445709
ax: -0.0264893 | ay: 0.170609 | az: 0.0671082
ax: -0.0152435 | ay: 0.0650177 | az: -0.146179
time: 1
[20210810072605.396]
> sum ax: -6.48753 | sum ay: -5.99321 | sum az: 2.08266
>> avg ax: -0.129751 | avg ay: -0.119864 | avg az: 0.0416531
>>> vx: -0.635778 | vy: -0.587335 | vz: 0.2041
>>> sx: -0.296972 | sy: -0.0795165 | sz: -0.0402873
>>> a: 0.181487
>>> v: 0.889288
>>> s: 0.310061

