steps: 0
ax: 0.385437 | ay: 0.315262 | az: -0.22966
ax: -0.0162048 | ay: -0.173691 | az: 0.0296631
ax: -0.00648499 | ay: -0.208481 | az: -0.065506
ax: -0.0388336 | ay: -0.318588 | az: -0.0144806
ax: -0.0787201 | ay: -0.251724 | az: 0.12706
ax: -0.0596619 | ay: -0.210251 | az: 0.132339
ax: -0.0254059 | ay: -0.170471 | az: 0.0422516
ax: 0.0132751 | ay: -0.156876 | az: -0.0440674
ax: -0.0639191 | ay: -0.236862 | az: 0.0107269
ax: -0.0989838 | ay: -0.237061 | az: 0.0479126
ax: -0.0928955 | ay: -0.118011 | az: 0.0502777
ax: -0.106339 | ay: -0.222778 | az: -0.000152588
ax: -0.108658 | ay: -0.223907 | az: 0.0752106
ax: -0.114426 | ay: -0.176117 | az: 0.04216
ax: -0.184082 | ay: -0.171921 | az: 0.113876
ax: -0.301987 | ay: -0.132355 | az: 0.00112915
ax: -0.356705 | ay: -0.140625 | az: -0.0157928
ax: -0.518036 | ay: 0.0275726 | az: 0.0769958
ax: -0.727631 | ay: 0.0939331 | az: 0.1539
ax: -0.994217 | ay: 0.414688 | az: -0.16124
ax: -0.825989 | ay: 1.02667 | az: -0.559692
ax: -0.695984 | ay: 0.836319 | az: -0.105255
ax: -0.588028 | ay: 0.258438 | az: 0.167007
ax: -0.400467 | ay: 0.242401 | az: -0.352448
ax: -0.20546 | ay: 0.279312 | az: -0.419983
ax: 0.639313 | ay: 0.136566 | az: -0.232422
ax: 0.25882 | ay: -0.233566 | az: -0.105667
ax: 0.364639 | ay: 0.330994 | az: -0.0892639
ax: 0.579544 | ay: 0.715729 | az: -0.0124664
ax: 0.683563 | ay: 0.641327 | az: 0.0919342
ax: 0.711258 | ay: 0.453293 | az: 0.0389252
ax: 0.659546 | ay: 0.332428 | az: 0.0417786
ax: 0.628891 | ay: 0.26004 | az: 0.0363159
ax: 0.556854 | ay: 0.198227 | az: 0.0671082
ax: 0.482208 | ay: 0.209305 | az: 0.100952
ax: 0.312714 | ay: 0.130951 | az: 0.0421295
ax: 0.105438 | ay: 0.0976257 | az: 0.0323334
ax: -0.112137 | ay: -0.0730896 | az: -0.0100403
ax: -0.385223 | ay: -0.296402 | az: 0.0301666
ax: -0.683548 | ay: -0.630112 | az: -0.0339203
ax: -0.949463 | ay: -1.03581 | az: -0.0361023
ax: -1.09128 | ay: -1.30956 | az: -0.0168915
ax: -1.05254 | ay: -1.51505 | az: -0.152237
ax: -0.913879 | ay: -1.5455 | az: -0.171326
ax: -0.70311 | ay: -1.72084 | az: 0.241562
ax: -0.668213 | ay: -2.50731 | az: 0.387405
ax: -0.807663 | ay: -1.44823 | az: -0.307709
ax: -0.130722 | ay: -1.8421 | az: -0.563232
ax: -0.236511 | ay: 0.482941 | az: 0.000473022
ax: -0.49025 | ay: 0.887268 | az: 0.843307
time: 1
[20210812051539.750]
> sum ax: -8.45215 | sum ay: -8.93599 | sum az: -0.674652
>> avg ax: -0.169043 | avg ay: -0.17872 | avg az: -0.013493
>>> vx: -0.82831 | vy: -0.875727 | vz: -0.0661159
>>> sx: -0.259416 | sy: -0.0939878 | sz: -0.0533585
>>> a: 0.24637
>>> v: 1.20721
>>> s: 0.281029

ax: -0.728378 | ay: -0.587051 | az: 0.341553
ax: -0.426453 | ay: -0.504852 | az: -0.110214
ax: -0.194244 | ay: -0.51561 | az: -0.136368
ax: -0.39241 | ay: -0.931442 | az: -0.26384
ax: -0.13266 | ay: -0.499969 | az: 0.0646362
ax: 0.0258789 | ay: -0.169556 | az: 0.00268555
ax: -0.0427704 | ay: -0.217056 | az: -0.0637512
ax: -0.139603 | ay: -0.128967 | az: 0.177994
ax: -0.0839996 | ay: -0.159363 | az: -0.00112915
ax: -0.0325165 | ay: -0.158829 | az: -0.0873108
ax: -0.0458679 | ay: -0.16835 | az: -0.167633
ax: -0.0226593 | ay: -0.14299 | az: -0.0101776
ax: -0.0401001 | ay: -0.122833 | az: 0.141251
ax: -0.0299072 | ay: -0.166626 | az: 0.100769
ax: -0.0132751 | ay: -0.153702 | az: -0.0065918
ax: -0.0136871 | ay: -0.175735 | az: -0.0665436
ax: -0.0435944 | ay: -0.176041 | az: 0.0558777
ax: -0.0480957 | ay: -0.126221 | az: 0.0943909
ax: -0.0291901 | ay: -0.0973053 | az: 0.0758362
ax: -0.0138092 | ay: -0.115189 | az: 0.0297546
ax: -0.00489807 | ay: -0.121994 | az: -0.0266113
ax: -0.0221252 | ay: -0.150894 | az: 0.0160828
ax: 0.000473022 | ay: -0.0829926 | az: 0.0552368
ax: -0.0430908 | ay: -0.183548 | az: 0.109756
ax: -0.0953979 | ay: -0.171997 | az: 0.125961
ax: -0.0836945 | ay: -0.0798645 | az: 0.0900421
ax: -0.18663 | ay: -0.0785217 | az: 0.0879822
ax: -0.161438 | ay: -0.0442047 | az: 0.105637
ax: -0.219299 | ay: -0.0440826 | az: 0.0806427
ax: -0.199173 | ay: -0.028244 | az: -0.000640869
ax: -0.328751 | ay: -0.0405579 | az: -0.123901
ax: -0.465759 | ay: 0.0126953 | az: -0.0281982
ax: -0.663361 | ay: 0.166779 | az: -0.194138
ax: -0.86145 | ay: 0.667145 | az: -0.374252
ax: -0.922638 | ay: 1.01442 | az: -0.311081
ax: -0.893982 | ay: 0.817932 | az: -0.0527344
ax: -0.811676 | ay: 0.489365 | az: 0.29567
ax: -0.536148 | ay: 0.325775 | az: -0.311432
ax: -0.287521 | ay: 0.416306 | az: -0.483902
ax: 0.607956 | ay: 0.337479 | az: -0.256851
ax: 0.0988922 | ay: -0.0241089 | az: -0.00971985
ax: 0.432709 | ay: 0.121948 | az: -0.114349
ax: 0.55896 | ay: 0.601974 | az: 0.0103455
ax: 0.645508 | ay: 0.66951 | az: 0.031723
ax: 0.664932 | ay: 0.533859 | az: -0.0186615
ax: 0.652298 | ay: 0.46048 | az: -0.0356903
ax: 0.627396 | ay: 0.306198 | az: -0.000289917
ax: 0.537735 | ay: 0.266129 | az: 0.0494537
ax: 0.47197 | ay: 0.275528 | az: 0.0376282
ax: 0.351456 | ay: 0.251297 | az: 0.0164337
time: 2
[20210812051540.738]
> sum ax: -3.58409 | sum ay: 1.36612 | sum az: -1.05867
>> avg ax: -0.0716818 | avg ay: 0.0273224 | avg az: -0.0211734
>>> vx: -0.351241 | vy: 0.13388 | vz: -0.10375
>>> sx: -0.38406 | sy: -0.350254 | sz: -0.0141303
>>> a: 0.0795808
>>> v: 0.389946
>>> s: 0.51998

ax: 0.127762 | ay: 0.183716 | az: -0.000747681
ax: -0.169312 | ay: 0.00198364 | az: 0.0274353
ax: -0.477402 | ay: -0.30751 | az: 0.0877228
ax: -0.855621 | ay: -0.616943 | az: -0.0345612
ax: -1.09222 | ay: -1.03671 | az: -0.184662
ax: -1.13683 | ay: -1.47356 | az: -0.213226
ax: -1.11002 | ay: -1.55818 | az: -0.245331
ax: -1.05246 | ay: -1.88118 | az: -0.295868
ax: -0.75563 | ay: -2.43442 | az: 0.435379
ax: -0.378723 | ay: -2.15381 | az: 0.274963
ax: -0.484467 | ay: -1.48672 | az: -0.071228
ax: 0.0839539 | ay: -0.650787 | az: -0.0445404
ax: -0.389709 | ay: 0.842316 | az: 0.740219
ax: -0.264847 | ay: 0.414566 | az: 0.236618
ax: -0.522232 | ay: -0.483704 | az: 0.156052
ax: -0.397568 | ay: -0.68132 | az: -0.129852
ax: -0.255157 | ay: -0.636505 | az: -0.452637
ax: -0.407852 | ay: -0.778549 | az: -0.206192
ax: -0.0793762 | ay: -0.252853 | az: 0.0703583
