steps: 796
ax: 0.438095 | ay: 0.111557 | az: 0.077774
ax: 0.574203 | ay: 0.338821 | az: 0.140488
ax: 0.511185 | ay: 0.390167 | az: 0.200027
ax: 0.42691 | ay: 0.351807 | az: 0.248962
ax: 0.325699 | ay: 0.257385 | az: 0.167633
ax: 0.12413 | ay: 0.169266 | az: 0.0286713
ax: -0.287521 | ay: -0.17569 | az: 0.0945435
ax: -0.533585 | ay: -0.714066 | az: 0.0297394
ax: -0.998413 | ay: -1.29222 | az: -0.0591278
ax: -1.13091 | ay: -1.59169 | az: 0.249893
ax: -1.17027 | ay: -2.15288 | az: 0.106873
ax: -1.06168 | ay: -2.27794 | az: -0.148514
ax: -0.955231 | ay: -2.51158 | az: 0.287903
ax: -0.772263 | ay: -2.4827 | az: 0.685379
ax: -0.338623 | ay: -0.269684 | az: 0.072113
ax: -0.413528 | ay: 1.58379 | az: 0.66922
ax: -1.1346 | ay: -1.57317 | az: 0.407486
ax: -0.259705 | ay: 0.264893 | az: 0.188522
ax: -0.101166 | ay: -0.964447 | az: -0.577194
ax: -0.401505 | ay: -0.883469 | az: -0.149155
ax: -0.202454 | ay: -0.385635 | az: 0.140656
ax: -0.0595245 | ay: -0.223526 | az: 0.0544891
ax: -0.00892639 | ay: 0.0350037 | az: 0.171417
ax: -0.0467682 | ay: 0.204529 | az: 0.0749664
ax: -0.00350952 | ay: -0.00354004 | az: -0.0262146
ax: 0.014801 | ay: -0.111237 | az: -0.12915
ax: 0.0770721 | ay: -0.0743561 | az: -0.110275
ax: -0.0462799 | ay: 0.0110168 | az: 0.0810547
ax: -0.0374908 | ay: 0.105774 | az: 0.159103
ax: -0.0290222 | ay: -0.0914917 | az: 0.0332031
ax: -0.0467529 | ay: -0.0782623 | az: 0.0284576
ax: -0.044693 | ay: 0.0202332 | az: 0.0679474
ax: -0.0667572 | ay: -0.046051 | az: 0.0687408
ax: -0.0803375 | ay: -0.0292816 | az: 0.0123596
ax: -0.122025 | ay: -0.00997925 | az: -0.0206146
ax: -0.186249 | ay: 0.0604553 | az: 0.0909729
ax: -0.197098 | ay: 0.170715 | az: 0.121017
ax: -0.3004 | ay: 0.193268 | az: 0.0597839
ax: -0.398834 | ay: 0.173386 | az: 0.0266113
ax: -0.514389 | ay: 0.305679 | az: 0.275375
ax: -0.538864 | ay: 0.418503 | az: 0.0969238
ax: -0.885529 | ay: 0.376068 | az: -0.221832
ax: -1.09767 | ay: 1.12433 | az: -0.788757
ax: -1.11879 | ay: 1.69374 | az: -0.561035
ax: -1.14381 | ay: 1.13483 | az: -0.415695
ax: -1.17024 | ay: 1.31224 | az: -0.56572
ax: -0.417328 | ay: 0.9086 | az: -0.754395
ax: 0.627457 | ay: -0.0213623 | az: -0.271637
ax: 0.052948 | ay: -0.712143 | az: -0.106705
ax: 0.389786 | ay: 0.446198 | az: 0.245087
time: 1
[20210805060552.490]
> sum ax: -14.7605 | sum ay: -6.51414 | sum az: 0.557373
>> avg ax: -0.295209 | avg ay: -0.130283 | avg az: 0.0111475
>>> vx: -1.44652 | vy: -0.638386 | vz: 0.0546225
>>> sx: -0.645103 | sy: -0.907821 | sz: 0.223367
>>> a: 0.322872
>>> v: 1.58207
>>> s: 1.13587

steps: 797
ax: 0.971786 | ay: 0.865997 | az: -0.199768
ax: 0.796066 | ay: 0.990234 | az: -0.121078
ax: 0.82608 | ay: 0.868439 | az: 0.00648499
ax: 0.735428 | ay: 0.547958 | az: 0.0179749
ax: 0.662399 | ay: 0.311493 | az: 0.074234
ax: 0.60817 | ay: 0.305573 | az: 0.110138
ax: 0.549484 | ay: 0.303406 | az: 0.13884
ax: 0.423386 | ay: 0.220795 | az: 0.164307
ax: 0.165176 | ay: 0.227127 | az: 0.240891
ax: -0.401321 | ay: -0.321991 | az: 0.246933
ax: -0.675018 | ay: -0.403061 | az: 0.432892
ax: -1.12161 | ay: -0.924469 | az: 0.289719
ax: -1.18033 | ay: -1.73285 | az: 0.309708
ax: -1.22852 | ay: -2.28505 | az: -0.179993
ax: -1.26073 | ay: -2.57652 | az: -0.166626
ax: -1.03058 | ay: -2.57019 | az: 1.09053
ax: -0.664017 | ay: -2.04378 | az: 0.235825
ax: -0.271454 | ay: 1.52171 | az: -0.880386
ax: -0.58667 | ay: 1.10147 | az: 1.20239
ax: -1.1705 | ay: -1.27733 | az: 0.0493317
ax: -0.379623 | ay: -0.161774 | az: 0.479111
ax: -0.305405 | ay: -1.222 | az: -0.405777
ax: -0.411072 | ay: -0.731354 | az: -0.00430298
ax: -0.235947 | ay: -0.399429 | az: -0.0820923
ax: 0.0943298 | ay: -0.0606079 | az: 0.0180054
ax: -0.0422211 | ay: -0.0773926 | az: 0.0734711
ax: -0.120941 | ay: -0.091568 | az: 0.0812225
ax: -0.0404205 | ay: 0.011673 | az: 0.135513
ax: 0.0234375 | ay: -0.143341 | az: -0.08284
ax: 0.0538788 | ay: -0.129196 | az: -0.0189056
ax: 0.0228424 | ay: -0.039566 | az: 0.0464478
ax: -0.00158691 | ay: 0.0279694 | az: 0.108292
ax: -0.021347 | ay: 0.0155792 | az: 0.0895538
ax: -0.0379181 | ay: 0.0583038 | az: 0.0765839
ax: -0.0547333 | ay: -0.0442352 | az: 0.134354
ax: -0.0699615 | ay: -0.0953217 | az: 0.0865326
ax: -0.145782 | ay: -0.0857086 | az: 0.123795
ax: -0.152115 | ay: 0.0678558 | az: 0.122635
ax: -0.203094 | ay: 0.114548 | az: 0.0275116
ax: -0.288132 | ay: 0.0584259 | az: -0.0240936
ax: -0.355072 | ay: 0.0641632 | az: -0.0585022
ax: -0.43692 | ay: 0.125137 | az: 0.173416
ax: -0.533569 | ay: 0.219391 | az: 0.16478
ax: -0.662735 | ay: 0.310776 | az: -0.0405121
ax: -1.0433 | ay: 0.488358 | az: -0.306641
ax: -1.09294 | ay: 1.29236 | az: -0.505707
ax: -1.1088 | ay: 1.63583 | az: 0.10379
ax: -1.12872 | ay: 1.14697 | az: 0.00650024
ax: -0.880646 | ay: 1.10098 | az: -0.673462
ax: -0.181839 | ay: 1.07936 | az: -0.863358
time: 2
[20210805060553.490]
> sum ax: -13.5931 | sum ay: -2.33484 | sum az: 2.04767
>> avg ax: -0.271862 | avg ay: -0.0466968 | avg az: 0.0409534
>>> vx: -1.33213 | vy: -0.228814 | vz: 0.200671
>>> sx: -0.324438 | sy: -0.502376 | sz: 0.246791
>>> a: 0.278867
>>> v: 1.36645
>>> s: 0.646953

steps: 798
ax: 0.402481 | ay: 0.501617 | az: -0.111969
ax: 0.0108643 | ay: -0.852005 | az: -0.47551
ax: 0.358536 | ay: 0.395966 | az: 0.0821075
ax: 0.71582 | ay: 0.82988 | az: 0.0311737
ax: 0.708267 | ay: 0.81073 | az: -0.134735
ax: 0.690826 | ay: 0.766876 | az: -0.128708
ax: 0.628601 | ay: 0.532028 | az: -0.119461
ax: 0.527008 | ay: 0.305069 | az: -0.197479
ax: 0.482925 | ay: 0.142807 | az: -0.266922
ax: 0.438782 | ay: 0.116394 | az: -0.280792
ax: 0.277161 | ay: 0.112564 | az: -0.187897
ax: -0.0457458 | ay: -0.0432587 | az: -0.141739
ax: -0.44519 | ay: -0.430939 | az: -0.106888
ax: -0.84874 | ay: -0.702332 | az: 0.0445404
ax: -1.14633 | ay: -1.30927 | az: 0.107483
ax: -1.20341 | ay: -2.00877 | az: 0.196625
ax: -1.25035 | ay: -2.05606 | az: -0.284378
ax: -1.08469 | ay: -2.59375 | az: 0.126221
ax: -0.824768 | ay: -2.58054 | az: 1.29315
ax: -0.943283 | ay: -2.54222 | az: 0.0743561
ax: 0.44162 | ay: -0.18309 | az: -0.0966492
ax: -0.395081 | ay: 1.53232 | az: 0.702271
ax: -1.15797 | ay: -0.381821 | az: 0.88327
ax: -1.17055 | ay: -1.01671 | az: 0.147995
ax: -0.251877 | ay: -0.528549 | az: 0.292328
ax: -0.427017 | ay: -1.10129 | az: -0.447479
ax: -0.0241089 | ay: -0.365845 | az: 0.0398254
ax: -0.0548706 | ay: -0.332764 | az: -0.0503387
ax: 0.0727234 | ay: -0.179718 | az: 0.00880432
ax: -0.154221 | ay: -0.134247 | az: 0.148804
ax: -0.102554 | ay: 0.0161743 | az: 0.235077
ax: 0.00404358 | ay: -0.0792236 | az: 0.126877
ax: 0.0533295 | ay: -0.244659 | az: -0.121262
ax: -0.000671387 | ay: -0.1315 | az: 0.0199432
ax: -0.00872803 | ay: -0.0993805 | az: 0.152512
ax: -0.0383606 | ay: -0.0702209 | az: 0.171295
ax: -0.0222321 | ay: -0.00318909 | az: 0.0782928
ax: -0.00660706 | ay: 0.0620117 | az: -0.022583
ax: -0.0138855 | ay: 0.0464783 | az: -0.00611877
ax: -0.0788574 | ay: -0.0356903 | az: 0.0602264
ax: -0.22522 | ay: -0.0617065 | az: 0.126907
ax: -0.188843 | ay: -0.0700684 | az: 0.133545
ax: -0.268845 | ay: 0.152802 | az: 0.161453
ax: -0.352631 | ay: 0.088501 | az: -0.00112915
ax: -0.422928 | ay: 0.130341 | az: 0.0983887
ax: -0.545898 | ay: 0.2155 | az: 0.232681
ax: -0.577972 | ay: 0.339645 | az: 0.133179
ax: -0.757721 | ay: 0.422684 | az: -0.104294
ax: -1.08723 | ay: 0.844879 | az: -0.338272
ax: -1.10123 | ay: 1.72841 | az: -0.511368
time: 3
[20210805060554.496]
> sum ax: -11.4156 | sum ay: -10.0451 | sum az: 1.77336
>> avg ax: -0.228313 | avg ay: -0.200903 | avg az: 0.0354672
>>> vx: -1.11873 | vy: -0.984423 | vz: 0.173789
>>> sx: -0.27516 | sy: -0.741169 | sz: 0.0459763
>>> a: 0.306181
>>> v: 1.50028
>>> s: 0.791933

steps: 799
ax: -1.11966 | ay: 1.22746 | az: 0.339264
ax: -0.962601 | ay: 1.23441 | az: -0.492462
ax: -0.856323 | ay: 1.0457 | az: -0.746628
ax: 0.62648 | ay: 0.92897 | az: -0.419434
ax: 0.0591278 | ay: -0.385834 | az: -0.254242
ax: -0.224792 | ay: 0.0642853 | az: 0.167145
ax: 0.877686 | ay: 0.729294 | az: 0.0185547
ax: 0.734619 | ay: 0.847992 | az: 0.0466461
ax: 0.750351 | ay: 0.786972 | az: 0.0274353
ax: 0.745956 | ay: 0.664093 | az: 0.0674591
ax: 0.61821 | ay: 0.381882 | az: 0.0557709
ax: 0.501495 | ay: 0.181534 | az: 0.0123596
ax: 0.445145 | ay: 0.244003 | az: 0.00804138
ax: 0.261505 | ay: 0.230164 | az: 0.083847
ax: -0.0332947 | ay: 0.196823 | az: 0.159988
ax: -0.670395 | ay: -0.330048 | az: -0.0690308
ax: -0.826019 | ay: -0.458023 | az: 0.438797
ax: -1.14522 | ay: -1.00174 | az: 0.362732
ax: -1.20346 | ay: -2.08026 | az: 0.273544
ax: -1.2464 | ay: -2.4964 | az: -0.121368
ax: -1.04527 | ay: -2.60747 | az: -0.0858459
ax: -0.808548 | ay: -2.603 | az: 0.665695
ax: -0.892075 | ay: -1.86938 | az: -0.0574188
ax: 0.519135 | ay: -0.0407104 | az: -0.863739
ax: -0.370071 | ay: 1.50435 | az: 0.92804
ax: -1.18399 | ay: -1.21497 | az: 0.587219
ax: -0.826187 | ay: -0.631744 | az: -0.0392609
ax: -0.124359 | ay: -0.744461 | az: 0.010025
ax: -0.296936 | ay: -0.666077 | az: -0.134659
ax: -0.136566 | ay: -0.443192 | az: 0.106415
ax: -0.13446 | ay: -0.360306 | az: -0.131714
ax: 0.0169678 | ay: 0.0705872 | az: 0.0110626
ax: -0.117599 | ay: -0.0418396 | az: 0.0785522
ax: -0.0495453 | ay: 0.0279083 | az: 0.12529
ax: -0.000564575 | ay: -0.0305176 | az: -0.0501251
ax: 0.0296631 | ay: 0.0355377 | az: -0.0594177
ax: -0.0363464 | ay: -0.0387268 | az: 0.0294342
ax: -0.0396576 | ay: -0.0582123 | az: 0.157761
ax: -0.0275421 | ay: -0.0365906 | az: 0.155869
ax: -0.0401154 | ay: -0.0553741 | az: 0.0526276
ax: -0.0112915 | ay: -0.0482178 | az: 0.161514
ax: -0.0687714 | ay: -0.108917 | az: 0.0813141
ax: -0.0916595 | ay: -0.021759 | az: 0.0652008
ax: -0.193161 | ay: -0.00488281 | az: 0.119049
ax: -0.177353 | ay: 0.0796814 | az: 0.0337372
ax: -0.301056 | ay: 0.0931549 | az: 0.106201
ax: -0.410278 | ay: 0.166763 | az: 0.0357666
ax: -0.45166 | ay: 0.189102 | az: 0.301743
ax: -0.500946 | ay: 0.341736 | az: 0.236099
ax: -0.752594 | ay: 0.383514 | az: -0.214676
time: 4
[20210805060555.497]
> sum ax: -11.1904 | sum ay: -6.72273 | sum az: 2.37018
>> avg ax: -0.223809 | avg ay: -0.134455 | avg az: 0.0474036
>>> vx: -1.09666 | vy: -0.658827 | vz: 0.232277
>>> sx: -0.471599 | sy: -0.173947 | sz: 0.040069
>>> a: 0.265359
>>> v: 1.30026
>>> s: 0.50425

steps: 800
ax: -1.08041 | ay: 0.391281 | az: -0.452545
ax: -1.09718 | ay: 1.65102 | az: -0.884613
ax: -1.11484 | ay: 1.73242 | az: 0.0579376
ax: -1.13046 | ay: 1.1682 | az: -0.396255
