steps: 0
ax: 0.00730896 | ay: -0.0265503 | az: -0.0715179
ax: 0.250443 | ay: 0.406281 | az: 0.0527191
ax: 0.0932922 | ay: 0.337906 | az: 0.00816345
ax: -0.106125 | ay: 0.189667 | az: -0.0664978
ax: -0.326187 | ay: 0.0424957 | az: -0.00491333
ax: -0.511398 | ay: -0.376724 | az: -0.302948
ax: -0.638748 | ay: -0.250153 | az: -0.672531
ax: -0.819534 | ay: -0.731003 | az: -0.812439
ax: -0.748169 | ay: -1.08629 | az: -0.844391
ax: -0.602646 | ay: -1.22729 | az: -0.975769
ax: -0.423157 | ay: -1.23918 | az: -0.89679
ax: -0.209229 | ay: -1.33064 | az: -0.620956
ax: -0.0600586 | ay: -1.34946 | az: -0.842987
ax: -0.0155029 | ay: -1.46942 | az: -0.605713
ax: -0.173904 | ay: -1.15805 | az: -0.363754
ax: -0.371887 | ay: 1.12982 | az: 1.28842
ax: -0.225632 | ay: 0.253418 | az: 0.689499
ax: -0.618744 | ay: -0.944229 | az: -0.270813
ax: -0.30188 | ay: -0.118469 | az: -0.0224457
ax: 0.221161 | ay: 0.295197 | az: -0.581238
ax: -0.0974884 | ay: -0.278214 | az: -0.124603
ax: -0.0703125 | ay: -0.351486 | az: 0.0995941
ax: -0.123688 | ay: -0.276413 | az: 0.00611877
ax: -0.192764 | ay: -0.0473328 | az: 0.0517731
ax: -0.0969391 | ay: -0.0216217 | az: 0.0366211
ax: -0.00521851 | ay: 0.0438232 | az: -0.00866699
ax: 0.0442963 | ay: 0.0579681 | az: -0.125122
ax: -0.00183105 | ay: 0.0568085 | az: -0.0179443
ax: -0.00558472 | ay: -0.0746155 | az: 0.142151
ax: -0.0403595 | ay: -0.04245 | az: 0.0550385
ax: 0.0154724 | ay: 0.070343 | az: -0.0486145
ax: -0.00341797 | ay: 0.0470734 | az: -0.0096283
ax: -0.011673 | ay: 0.0238495 | az: 0.0228271
ax: -0.0127258 | ay: 0.0382385 | az: 0.0567627
ax: -0.030426 | ay: -0.0110016 | az: 0.0174713
ax: -0.0348663 | ay: -0.0346069 | az: 0.00942993
ax: -0.0609741 | ay: -0.0498199 | az: 0.0522308
ax: -0.0661316 | ay: 0.0102081 | az: 0.042511
ax: -0.0267487 | ay: 0.0799561 | az: -0.000854492
ax: -0.0328674 | ay: 0.0617218 | az: -0.0768433
ax: -0.119064 | ay: 0.0440521 | az: 0.031189
ax: -0.12175 | ay: 0.0404663 | az: 0.111877
ax: -0.149551 | ay: 0.109116 | az: 0.135834
ax: -0.151642 | ay: 0.0946655 | az: 0.115128
ax: -0.194107 | ay: 0.116989 | az: 0.0711975
ax: -0.316315 | ay: 0.124969 | az: 0.0826111
ax: -0.473694 | ay: 0.115799 | az: 0.0784302
ax: -0.80098 | ay: 0.168411 | az: 0.0775146
ax: -1.13126 | ay: 0.454712 | az: 0.164047
ax: -1.05144 | ay: 1.2494 | az: 0.362167
time: 1
[20210810070410.180]
> sum ax: -10.9446 | sum ay: -6.83167 | sum az: -4.50665
