steps: 0
ax: -0.661789 | ay: -1.96729 | az: 0.865463
ax: -0.661789 | ay: -1.96729 | az: 0.865463
ax: -0.0453339 | ay: -0.201691 | az: 0.0989685
ax: -0.0497284 | ay: -0.207794 | az: 0.125595
ax: -0.046524 | ay: -0.164688 | az: 0.0983429
ax: -0.0510712 | ay: -0.176743 | az: 0.0930939
ax: -0.0586243 | ay: -0.179306 | az: 0.0675812
ax: -0.0556488 | ay: -0.171432 | az: 0.0855103
ax: -0.0510254 | ay: -0.138168 | az: 0.0834961
ax: -0.0864563 | ay: -0.120132 | az: 0.133209
ax: -0.0970306 | ay: -0.0756378 | az: 0.0983124
ax: -0.110001 | ay: -0.0793762 | az: 0.113144
ax: -0.149155 | ay: -0.0699768 | az: 0.0812683
ax: -0.235611 | ay: -0.0244751 | az: 0.0960999
ax: -0.186096 | ay: -0.0855255 | az: 0.0614166
ax: -0.272827 | ay: -0.0619049 | az: -0.0216522
ax: -0.384476 | ay: -0.0165405 | az: -0.0530701
ax: -0.54924 | ay: -0.0798187 | az: -0.0976257
ax: -0.907608 | ay: 0.146088 | az: -0.141891
ax: -1.04321 | ay: 0.78064 | az: -0.520844
ax: -0.763428 | ay: 0.96788 | az: 0.0759888
ax: -0.615173 | ay: 0.46315 | az: -0.0211334
ax: -0.35434 | ay: 0.386337 | az: -0.372116
ax: -0.106522 | ay: -0.0422974 | az: -0.462189
ax: 0.582184 | ay: 0.00427246 | az: -0.366043
ax: 0.318619 | ay: -0.0871277 | az: -0.12561
ax: 0.659683 | ay: 0.138031 | az: 0.0756073
ax: 0.731216 | ay: 0.605362 | az: 0.0213776
ax: 0.811768 | ay: 0.532394 | az: -0.082077
ax: 0.786942 | ay: 0.480225 | az: -0.0323334
ax: 0.698303 | ay: 0.392426 | az: 0.066803
ax: 0.644165 | ay: 0.312805 | az: 0.0565796
ax: 0.568375 | ay: 0.25058 | az: -0.0366058
ax: 0.441818 | ay: 0.181198 | az: -0.096344
ax: 0.21196 | ay: 0.0594025 | az: 0.164703
ax: -0.00543213 | ay: -0.0364227 | az: 0.182251
ax: -0.309967 | ay: -0.425964 | az: -0.0602722
ax: -0.531952 | ay: -0.667755 | az: -0.0398712
ax: -0.694763 | ay: -0.785278 | az: -0.18045
ax: -0.717514 | ay: -0.888321 | az: -0.179718
ax: -0.678696 | ay: -1.08672 | az: -0.188736
ax: -0.610123 | ay: -1.10562 | az: 0.0240784
ax: -0.51593 | ay: -0.976868 | az: 0.313873
ax: -0.44606 | ay: -0.716843 | az: 0.510208
ax: -0.335037 | ay: -0.540695 | az: 0.545456
ax: -0.369232 | ay: -0.492569 | az: 0.604202
ax: -0.300262 | ay: -0.554794 | az: 0.552017
ax: -0.154343 | ay: -0.859177 | az: 0.272369
ax: -0.244507 | ay: -1.00266 | az: 0.40657
ax: -0.326355 | ay: -0.910339 | az: 0.113998
time: 1
[20210810072433.428]
> sum ax: -7.32785 | sum ay: -11.2664 | sum az: 3.87447
>> avg ax: -0.146557 | avg ay: -0.225329 | avg az: 0.0774893
>>> vx: -0.718129 | vy: -1.10411 | vz: 0.379698
>>> sx: -0.364578 | sy: -0.421387 | sz: 0.180252
>>> a: 0.279744
>>> v: 1.37074
>>> s: 0.58564

ax: -0.185089 | ay: -1.16916 | az: 0.388474
ax: 0.0200806 | ay: 0.163803 | az: -0.463547
ax: -0.139847 | ay: 1.12177 | az: 0.193344
ax: -0.408951 | ay: 0.0953979 | az: 0.396439
ax: -0.463562 | ay: -0.0702057 | az: 0.161575
ax: -0.295898 | ay: -0.0364227 | az: 0.291794
ax: -0.102783 | ay: -0.241425 | az: -0.0145721
ax: -0.0519409 | ay: -0.244156 | az: -0.249756
ax: -0.0586395 | ay: -0.22995 | az: -0.0795593
ax: -0.0583801 | ay: -0.184113 | az: 0.0651703
ax: 0.0135956 | ay: 0.0220337 | az: 0.0292053
ax: 0.00543213 | ay: 0.00712585 | az: -0.028595
ax: 0.00236511 | ay: 0.155609 | az: -0.015213
ax: 0.00427246 | ay: 0.106552 | az: -0.0453644
ax: 0.0247498 | ay: 0.0715027 | az: -0.157043
ax: 0.00462341 | ay: 0.123138 | az: -0.144608
ax: 0.0765839 | ay: 0.193573 | az: -0.0690918
ax: 0.0630646 | ay: 0.179642 | az: -0.0558167
ax: 0.0938263 | ay: 0.121399 | az: -0.119141
ax: -0.0126343 | ay: -0.0149689 | az: -0.0348511
ax: -0.047287 | ay: -0.0508118 | az: 0.0461578
ax: -0.059494 | ay: -0.0241394 | az: 0.117889
ax: -0.0466309 | ay: 0.11557 | az: 0.0941315
ax: -0.0365143 | ay: 0.0914917 | az: 0.00735474
ax: -0.00907898 | ay: 0.0455933 | az: -0.0496063
ax: -0.0509644 | ay: -0.00471497 | az: -0.0168915
ax: -0.019104 | ay: 0.0645447 | az: 0.00895691
ax: -0.0437012 | ay: 0.0906982 | az: 0.00576782
ax: -0.0463409 | ay: 0.0972748 | az: -0.0379028
ax: -0.0584412 | ay: 0.0626831 | az: -0.0475311
ax: -0.0370178 | ay: 0.0914459 | az: -0.00613403
ax: -0.0737152 | ay: 0.0831451 | az: -0.0263977
ax: -0.0995941 | ay: 0.0384216 | az: -0.0454865
ax: -0.102936 | ay: 0.05513 | az: -0.0477448
ax: -0.161072 | ay: 0.124344 | az: -0.0119171
ax: -0.183487 | ay: 0.0684357 | az: -0.049881
ax: -0.211487 | ay: 0.0670624 | az: -0.099884
ax: -0.355301 | ay: 0.145355 | az: -0.115448
ax: -0.520279 | ay: 0.151627 | az: -0.0526276
ax: -0.727005 | ay: 0.268341 | az: -0.164612
ax: -0.883698 | ay: 0.489075 | az: -0.289398
ax: -0.788818 | ay: 0.918976 | az: -0.617126
ax: -0.712723 | ay: 0.729126 | az: -0.0593872
ax: -0.633713 | ay: 0.630722 | az: -0.0324402
ax: -0.390549 | ay: 0.613174 | az: -0.416733
ax: -0.190063 | ay: 0.0944672 | az: -0.414688
ax: 0.184082 | ay: 0.194931 | az: -0.479523
ax: 0.410339 | ay: -0.03862 | az: -0.320435
ax: 0.247101 | ay: 0.144623 | az: -0.205017
ax: 0.524033 | ay: 0.62825 | az: -0.0976257
time: 2
[20210810072434.428]
> sum ax: -6.59259 | sum ay: 6.15736 | sum az: -3.37534
>> avg ax: -0.131852 | avg ay: 0.123147 | avg az: -0.0675067
>>> vx: -0.646074 | vy: 0.603422 | vz: -0.330783
>>> sx: -0.27631 | sy: 0.107734 | sz: -0.0197395
>>> a: 0.192633
>>> v: 0.943899
>>> s: 0.297226

ax: 0.54808 | ay: 0.781815 | az: -0.0715485
ax: 0.621475 | ay: 0.54245 | az: -0.0825653
ax: 0.628082 | ay: 0.437622 | az: -0.0705109
ax: 0.594498 | ay: 0.379959 | az: -0.0514679
ax: 0.534775 | ay: 0.387787 | az: -0.0090332
ax: 0.487274 | ay: 0.341919 | az: -0.0774689
ax: 0.327591 | ay: 0.292587 | az: -0.13205
ax: 0.0483704 | ay: 0.126663 | az: -0.0728455
ax: -0.163162 | ay: 0.130859 | az: 0.092926
ax: -0.440292 | ay: -0.0774231 | az: 0.0365601
ax: -0.666733 | ay: -0.457474 | az: -0.0503693
ax: -0.77478 | ay: -0.748993 | az: -0.0895081
ax: -0.863831 | ay: -0.963226 | az: -0.08255
ax: -0.819916 | ay: -1.09808 | az: -0.085968
ax: -0.712952 | ay: -1.09064 | az: 0.00827026
ax: -0.63002 | ay: -1.18761 | az: 0.159531
ax: -0.435699 | ay: -1.19176 | az: 0.322647
