steps: 0
ax: 0.0020752 | ay: -0.139359 | az: 0.00218201
ax: -0.0435791 | ay: -0.174957 | az: 0.11853
ax: -0.0484772 | ay: -0.174881 | az: 0.0485229
ax: -0.0645599 | ay: -0.125092 | az: 0.0542145
ax: -0.140442 | ay: -0.0583649 | az: 0.0671234
ax: -0.166565 | ay: -0.105408 | az: 0.0216827
ax: -0.304733 | ay: 0.0284119 | az: 0.128174
ax: -0.301407 | ay: -0.0302124 | az: 0.128052
ax: -0.366776 | ay: -0.0323029 | az: -0.00700378
ax: -0.505249 | ay: 0.0402679 | az: -0.172943
ax: -0.773544 | ay: 0.051178 | az: -0.198242
ax: -1.05118 | ay: 0.255798 | az: -0.2435
ax: -1.06186 | ay: 1.1071 | az: -0.640015
ax: -0.994064 | ay: 1.00058 | az: 0.0042572
ax: -0.682388 | ay: 0.889038 | az: -0.386078
ax: -0.709183 | ay: 0.545395 | az: -0.255554
ax: 0.0153809 | ay: 0.353653 | az: -0.704895
ax: 0.996628 | ay: -0.0297394 | az: -0.357697
ax: 0.318253 | ay: -0.384354 | az: -0.220291
ax: 0.364426 | ay: 0.264343 | az: 0.00886536
ax: 0.710724 | ay: 0.838028 | az: -0.0367737
ax: 0.702087 | ay: 0.842636 | az: -0.0761414
ax: 0.65329 | ay: 0.643539 | az: -0.0795441
ax: 0.640854 | ay: 0.440887 | az: -0.041626
ax: 0.613007 | ay: 0.313583 | az: -0.0258331
ax: 0.54248 | ay: 0.208313 | az: -0.0321198
ax: 0.463989 | ay: 0.154068 | az: -0.0484619
ax: 0.354309 | ay: 0.0798798 | az: -0.0207672
ax: 0.171097 | ay: 0.00132751 | az: -0.00709534
ax: -0.0963287 | ay: -0.189758 | az: 0.00714111
ax: -0.407013 | ay: -0.291031 | az: 0.121414
ax: -0.855606 | ay: -0.596329 | az: 0.178604
ax: -1.1132 | ay: -1.26901 | az: 0.153458
ax: -1.15729 | ay: -1.71346 | az: 0.232162
ax: -1.08235 | ay: -1.79254 | az: 0.236938
ax: -0.919693 | ay: -1.99631 | az: 0.416199
ax: -0.691101 | ay: -2.39146 | az: 1.16408
ax: -1.22144 | ay: -1.79053 | az: 0.311203
ax: 0.0633545 | ay: -1.54178 | az: -0.0339661
ax: -0.32782 | ay: 1.25366 | az: -0.148331
ax: -0.466736 | ay: 0.712296 | az: 0.743454
ax: -0.946304 | ay: -1.08316 | az: 0.211563
ax: -0.447601 | ay: -0.448273 | az: 0.137741
ax: -0.199036 | ay: -0.750732 | az: -0.145096
ax: -0.086792 | ay: -0.53656 | az: -0.0144501
ax: -0.0726776 | ay: -0.350525 | az: 0.166626
ax: -0.115814 | ay: -0.313278 | az: -0.0169983
ax: -0.0224457 | ay: -0.103333 | az: 0.0645905
ax: -0.0759125 | ay: -0.171494 | az: 0.0921326
ax: -0.055481 | ay: -0.110062 | az: 0.0564117
time: 1
[20210811070247.833]
> sum ax: -10.9627 | sum ay: -8.6703 | sum az: 0.961899
>> avg ax: -0.219254 | avg ay: -0.173406 | avg az: 0.019238
>>> vx: -1.07434 | vy: -0.84969 | vz: 0.0942661
>>> sx: -0.476276 | sy: -0.00211753 | sz: -0.0916036
>>> a: 0.2802
>>> v: 1.37298
>>> s: 0.48501

ax: -0.0433807 | ay: -0.128677 | az: -0.0692139
ax: -0.0157318 | ay: -0.0997009 | az: -0.0597534
ax: -0.0110779 | ay: -0.0888672 | az: 0.110992
ax: -0.0220795 | ay: -0.0719299 | az: 0.16507
ax: -0.0126953 | ay: -0.118607 | az: 0.078064
ax: 0.0129395 | ay: -0.0994415 | az: 0.00749207
ax: -0.0122223 | ay: -0.126266 | az: 0.0194702
ax: -0.0346222 | ay: -0.131973 | az: 0.0883484
ax: -0.0244751 | ay: -0.0955963 | az: 0.129639
ax: -0.0414581 | ay: -0.0464783 | az: 0.0767059
ax: -0.0669403 | ay: -0.102905 | az: 0.0231781
ax: -0.0934753 | ay: -0.119858 | az: 0.0867004
ax: -0.0791931 | ay: -0.0845795 | az: 0.0666656
ax: -0.140244 | ay: 0.0163879 | az: 0.125015
ax: -0.171127 | ay: -0.0181122 | az: 0.0849609
ax: -0.183456 | ay: 0.0324097 | az: 0.0582275
ax: -0.224991 | ay: 0.0133209 | az: 0.0684052
ax: -0.288055 | ay: 0.0619354 | az: 0.0540924
ax: -0.304199 | ay: 0.0775299 | az: -0.0772247
ax: -0.50827 | ay: 0.0774231 | az: -0.132797
ax: -0.897629 | ay: 0.2005 | az: -0.24942
ax: -1.0708 | ay: 0.646805 | az: -0.631454
ax: -1.02327 | ay: 1.44858 | az: -0.273331
ax: -1.03308 | ay: 0.765549 | az: 0.203033
ax: -0.756821 | ay: 0.557175 | az: -0.467331
ax: -0.432877 | ay: 0.284302 | az: -0.51622
ax: 0.602249 | ay: 0.442871 | az: -0.434448
ax: -0.151398 | ay: 0.0369568 | az: -0.211914
ax: 0.334213 | ay: 0.220337 | az: -0.0781403
ax: 0.647629 | ay: 0.83432 | az: -0.109329
ax: 0.622772 | ay: 0.830658 | az: -0.114471
ax: 0.653366 | ay: 0.611374 | az: -0.153717
ax: 0.640533 | ay: 0.50499 | az: -0.0741425
ax: 0.630768 | ay: 0.355087 | az: -0.0504761
ax: 0.567291 | ay: 0.252808 | az: -0.0959473
ax: 0.507568 | ay: 0.277405 | az: -0.099884
ax: 0.387924 | ay: 0.158173 | az: -0.111008
ax: 0.202698 | ay: 0.067276 | az: -0.0505676
ax: 0.0254822 | ay: 0.116196 | az: 0.0493317
ax: -0.258698 | ay: -0.0258331 | az: 0.08284
ax: -0.669556 | ay: -0.378876 | az: 0.18924
ax: -1.01978 | ay: -0.940536 | az: 0.188843
ax: -1.11172 | ay: -1.54872 | az: 0.0529938
ax: -1.15276 | ay: -1.96989 | az: 0.276306
ax: -1.13815 | ay: -2.01683 | az: 0.701431
ax: -0.888596 | ay: -1.7285 | az: 0.965302
ax: -0.743393 | ay: -2.47481 | az: 0.651459
ax: -0.543137 | ay: -1.96704 | az: 0.620468
ax: -0.480988 | ay: 1.58809 | az: 0.426941
ax: -0.463913 | ay: -0.680832 | az: 0.389099
time: 2
[20210811070248.836]
> sum ax: -10.2788 | sum ay: -4.58641 | sum az: 1.97952
>> avg ax: -0.205576 | avg ay: -0.0917282 | avg az: 0.0395905
>>> vx: -1.00732 | vy: -0.449468 | vz: 0.193993
>>> sx: -0.338914 | sy: 0.147269 | sz: -0.0486657
>>> a: 0.228568
>>> v: 1.11998
>>> s: 0.372718

ax: -0.599396 | ay: -0.62059 | az: 0.130692
ax: -0.310089 | ay: -0.57016 | az: -0.197281
ax: -0.0503387 | ay: -0.445923 | az: 0.0727386
ax: -0.211105 | ay: -0.51149 | az: 0.159149
ax: -0.0678406 | ay: -0.423477 | az: 0.115921
ax: -0.0439301 | ay: -0.111343 | az: -0.0617065
ax: -0.0396576 | ay: -0.0873718 | az: -0.0326843
ax: -0.0618286 | ay: -0.096817 | az: 0.0236969
ax: -0.0200043 | ay: -0.0298615 | az: 0.0121765
ax: -0.0350189 | ay: -0.0669708 | az: -0.126709
ax: -0.0245361 | ay: -0.0242767 | az: -0.0393066
ax: -0.0368195 | ay: 0.0249176 | az: 0.104156
ax: -0.0432587 | ay: -0.105499 | az: 0.122528
ax: -0.028244 | ay: -0.108444 | az: 0.0738831
ax: -0.0106354 | ay: -0.0778503 | az: 0.0508118
ax: -0.0237732 | ay: -0.056076 | az: 0.0474548
ax: -0.0435333 | ay: -0.0998688 | az: 0.0891724
ax: -0.036911 | ay: -0.0827179 | az: 0.0575256
ax: -0.0341644 | ay: -0.0708313 | az: 0.0766296
ax: -0.0684052 | ay: -0.060379 | az: 0.0703125
ax: -0.0739899 | ay: -0.0641785 | az: 0.0293121
ax: -0.114563 | ay: 0.0441132 | az: 0.118393
ax: -0.173782 | ay: 0.0530548 | az: 0.0782776
ax: -0.229034 | ay: 0.0256805 | az: -0.0131226
ax: -0.283997 | ay: 0.0693512 | az: 0.0526886
ax: -0.338562 | ay: 0.108475 | az: 0.105133
ax: -0.441422 | ay: 0.105881 | az: -0.03302
ax: -0.653412 | ay: 0.111526 | az: -0.0636139
ax: -1.07153 | ay: 0.364792 | az: -0.249527
ax: -1.08479 | ay: 1.10979 | az: -0.946838
ax: -1.1001 | ay: 1.64664 | az: -0.18399
ax: -0.822769 | ay: 0.929703 | az: 0.00132751
ax: -0.828445 | ay: 0.547836 | az: -0.422272
ax: -0.198914 | ay: 0.534424 | az: -0.789963
ax: 1.10461 | ay: -0.049881 | az: -0.364212
ax: 0.331543 | ay: -0.284088 | az: -0.362076
ax: 0.407089 | ay: 0.532547 | az: -0.115677
ax: 0.707062 | ay: 1.01312 | az: -0.127899
ax: 0.675537 | ay: 0.777206 | az: -0.174805
ax: 0.676041 | ay: 0.54158 | az: -0.206512
ax: 0.6492 | ay: 0.448227 | az: -0.114243
ax: 0.586121 | ay: 0.314301 | az: -0.0732727
ax: 0.506439 | ay: 0.249649 | az: -0.0978088
