steps: 0
ax: 0 | ay: 0 | az: -1
ax: -0.0275116 | ay: -0.00213623 | az: -0.000930786
ax: -0.20517 | ay: -0.122437 | az: -0.0224762
ax: -0.405273 | ay: -0.3582 | az: -0.135147
ax: -0.632355 | ay: -0.647522 | az: -0.210953
ax: -0.8396 | ay: -0.946945 | az: -0.289551
ax: -0.885437 | ay: -1.19008 | az: -0.407806
ax: -0.734665 | ay: -1.26308 | az: -0.444016
ax: -0.611053 | ay: -1.49719 | az: -0.414124
ax: -0.41687 | ay: -1.5722 | az: 0.0115051
ax: -0.322098 | ay: -1.7375 | az: 0.0195618
ax: -0.376465 | ay: -1.12497 | az: -0.0314178
ax: -0.172562 | ay: -1.33401 | az: -0.092453
ax: -0.330811 | ay: 1.24377 | az: 0.675476
ax: -0.324295 | ay: 1.00475 | az: 0.412781
ax: -0.620728 | ay: -1.05377 | az: 0.13237
ax: -0.169067 | ay: -0.142975 | az: -0.232269
ax: 0.0123596 | ay: -0.346115 | az: -0.605133
ax: -0.143463 | ay: -0.575424 | az: -0.244934
ax: -0.120636 | ay: -0.324997 | az: -0.0435791
ax: 0.0644073 | ay: 0.0679321 | az: -0.0440369
ax: -0.0783691 | ay: -0.0517426 | az: 0.0216217
ax: -0.0735016 | ay: 0.295685 | az: 0.0778046
ax: 0.0371094 | ay: 0.00375366 | az: -0.185226
ax: 0.0340424 | ay: -0.0345001 | az: -0.280533
ax: 0.0322571 | ay: 0.0405426 | az: -0.0796204
ax: -0.00257874 | ay: 0.158218 | az: 0.10202
ax: -0.0109711 | ay: 0.0132141 | az: 0.0512695
ax: 0.0117035 | ay: -0.0263977 | az: -0.125946
ax: 0.0398865 | ay: 0.00233459 | az: -0.126038
ax: 0.0182343 | ay: 0.00942993 | az: -0.0539246
ax: -0.0240479 | ay: 0.029007 | az: -0.0210724
ax: -0.0584717 | ay: 0.0186462 | az: 0.0246887
ax: 0.00796509 | ay: 0.0251312 | az: -0.0317078
ax: -0.0105896 | ay: 0.0153809 | az: -0.0717316
ax: -0.00222778 | ay: 0.0376434 | az: -0.0839691
ax: -0.0162048 | ay: -0.00627136 | az: -0.0118103
ax: -0.088974 | ay: 0.013092 | az: -0.021286
ax: -0.0702362 | ay: 0.00994873 | az: -0.0758514
ax: -0.148972 | ay: 0.0856018 | az: -0.0180969
ax: -0.217133 | ay: 0.148926 | az: -0.0124054
ax: -0.268799 | ay: 0.172928 | az: -0.0532074
ax: -0.288208 | ay: 0.163589 | az: -0.0502319
ax: -0.325195 | ay: 0.143753 | az: -0.0532074
ax: -0.419968 | ay: 0.170197 | az: -0.100616
ax: -0.564682 | ay: 0.311172 | az: -0.075592
ax: -0.860565 | ay: 0.400955 | az: -0.180969
ax: -1.10147 | ay: 0.980957 | az: -0.505814
ax: -0.889923 | ay: 1.32401 | az: -0.252274
ax: -0.976913 | ay: 0.626663 | az: -0.121155
time: 1
[20210812051038.497]
> sum ax: -13.5781 | sum ay: -6.84125 | sum az: -5.28201
>> avg ax: -0.271562 | avg ay: -0.136825 | avg az: -0.10564
>>> vx: -1.33065 | vy: -0.670443 | vz: -0.517637
>>> sx: -0.650475 | sy: -0.90345 | sz: -0.305843
>>> a: 0.321911
>>> v: 1.57736
>>> s: 1.1545

ax: -0.691345 | ay: 0.545868 | az: -0.427109
ax: -0.342392 | ay: 0.592102 | az: -0.433975
ax: 0.4375 | ay: 0.358551 | az: -0.268845
ax: 0.195297 | ay: -0.311111 | az: -0.160522
ax: 0.21962 | ay: 0.25708 | az: -0.13446
ax: 0.69075 | ay: 0.976059 | az: 0.061264
ax: 0.641129 | ay: 0.876419 | az: 0.212387
ax: 0.637634 | ay: 0.647263 | az: 0.142776
ax: 0.550827 | ay: 0.381439 | az: 0.0611877
ax: 0.541336 | ay: 0.277039 | az: 0.00224304
ax: 0.51033 | ay: 0.275558 | az: 0.0405579
ax: 0.42009 | ay: 0.236923 | az: 0.0274353
ax: 0.208115 | ay: 0.220016 | az: 0.0623169
ax: -0.00933838 | ay: 0.145584 | az: 0.135651
ax: -0.223862 | ay: -0.00675964 | az: 0.201874
ax: -0.618576 | ay: -0.419571 | az: -0.00143433
ax: -1.01262 | ay: -0.944702 | az: -0.193665
ax: -1.08836 | ay: -1.41835 | az: -0.396286
ax: -1.12656 | ay: -1.71886 | az: -0.60762
ax: -0.833603 | ay: -1.56781 | az: -0.718704
ax: -0.726151 | ay: -2.10329 | az: -0.742905
ax: -0.53273 | ay: -2.40617 | az: -0.107803
ax: -0.475647 | ay: -1.65628 | az: 0.146393
ax: -0.383026 | ay: -1.56386 | az: 0.0895386
ax: -0.157532 | ay: 0.0601654 | az: 0.0728607
ax: -0.333069 | ay: 1.32544 | az: 0.327042
ax: -0.742813 | ay: -0.891266 | az: 0.312759
ax: -0.49794 | ay: -0.485107 | az: -0.269958
ax: -0.069809 | ay: -0.443527 | az: -0.442856
ax: -0.440689 | ay: -1.05487 | az: -0.307816
ax: -0.142914 | ay: -0.367157 | az: 0.191528
ax: 0.00517273 | ay: -0.0892334 | az: 0.0887451
ax: -0.0696259 | ay: -0.147797 | az: -0.0732422
ax: -0.102036 | ay: -0.0851288 | az: -0.000366211
ax: -0.030899 | ay: -0.0442047 | az: -0.132294
ax: 0.037262 | ay: -0.0807953 | az: -0.162384
ax: 0.0164032 | ay: -0.0632477 | az: -0.165634
ax: 0.0214996 | ay: -0.0253448 | az: -0.013382
ax: 0.0085144 | ay: 0.00317383 | az: 0.0643768
ax: -0.0140533 | ay: -0.0374908 | az: 0.0335846
ax: 0.0283051 | ay: -0.0430908 | az: -0.106659
ax: 0.0326691 | ay: -0.105698 | az: -0.110138
ax: 0.0148468 | ay: -0.0422668 | az: -0.0297241
ax: -0.0249481 | ay: -0.0334625 | az: 0.0638885
ax: -0.042923 | ay: -0.109772 | az: 0.0655823
ax: -0.0484009 | ay: -0.0602264 | az: 0.0323181
ax: -0.0161133 | ay: -0.070282 | az: -0.0385437
ax: 0.00210571 | ay: -0.0799255 | az: -0.0457611
ax: -0.0420685 | ay: -0.0722656 | az: -0.00679016
ax: -0.0310211 | ay: -0.0157928 | az: 0.0230865
time: 2
[20210812051039.497]
> sum ax: -5.65166 | sum ay: -11.386 | sum az: -3.63948
>> avg ax: -0.113033 | avg ay: -0.227721 | avg az: -0.0727896
>>> vx: -0.553862 | vy: -1.11583 | vz: -0.356669
>>> sx: -0.22613 | sy: -0.443976 | sz: -0.234148
>>> a: 0.264446
>>> v: 1.29578
>>> s: 0.550522

ax: -0.0746002 | ay: -0.00866699 | az: 0.0783539
ax: -0.0941772 | ay: 0.0467987 | az: -0.162811
ax: -0.168289 | ay: 0.0281677 | az: -0.0664215
ax: -0.288696 | ay: 0.00863647 | az: 0.0274353
ax: -0.347015 | ay: -0.0600128 | az: 0.0203705
ax: -0.42984 | ay: 0.0822449 | az: -0.0857849
ax: -0.544586 | ay: 0.0335693 | az: -0.173691
ax: -0.764236 | ay: 0.0972443 | az: -0.0559235
ax: -1.07532 | ay: 0.435822 | az: -0.0063324
ax: -1.08656 | ay: 1.46983 | az: -0.194901
ax: -0.965546 | ay: 1.10451 | az: 0.241364
ax: -0.704208 | ay: 0.63887 | az: -0.355148
ax: -0.544586 | ay: 0.485413 | az: -0.525055
ax: 0.0973816 | ay: 0.449951 | az: -0.414017
ax: 0.250076 | ay: -0.0145569 | az: -0.140015
ax: 0.313004 | ay: -0.0578918 | az: -0.190964
ax: 0.501572 | ay: 0.702209 | az: -0.0512238
ax: 0.644714 | ay: 0.786011 | az: -0.0152435
ax: 0.7034 | ay: 0.573181 | az: -0.043045
ax: 0.653961 | ay: 0.434219 | az: -0.0615234
ax: 0.626709 | ay: 0.297592 | az: -0.0575562
ax: 0.571732 | ay: 0.214539 | az: -0.0276947
ax: 0.518738 | ay: 0.187347 | az: -0.0616913
ax: 0.436676 | ay: 0.156357 | az: -0.104324
ax: 0.229736 | ay: 0.10939 | az: -0.114334
ax: 0.0234833 | ay: -0.00553894 | az: -0.102448
ax: -0.231171 | ay: -0.12323 | az: -0.0510254
ax: -0.603867 | ay: -0.492737 | az: -0.15509
ax: -0.978638 | ay: -0.916702 | az: -0.259201
ax: -1.1196 | ay: -1.52777 | az: -0.447861
ax: -1.16039 | ay: -1.90074 | az: -0.61879
ax: -0.997955 | ay: -1.95061 | az: -0.752029
ax: -0.615906 | ay: -2.53561 | az: -0.858246
ax: -0.364517 | ay: -2.44034 | az: -0.309311
ax: -0.813858 | ay: -1.68259 | az: 0.098175
ax: -0.394623 | ay: -1.2168 | az: 0.504135
ax: -0.348984 | ay: 1.27919 | az: 0.870865
ax: -0.560028 | ay: 0.425629 | az: 0.314316
ax: -0.692902 | ay: -0.971161 | az: 0.0544281
ax: -0.36232 | ay: -0.419968 | az: -0.257202
ax: -0.0480804 | ay: -0.5504 | az: -0.614059
ax: -0.322296 | ay: -0.771469 | az: -0.206329
ax: -0.0101471 | ay: -0.151489 | az: 0.0660553
ax: 0.0552979 | ay: -0.116104 | az: 0.0400085
ax: -0.162476 | ay: -0.106644 | az: 0.18663
ax: -0.091217 | ay: -0.0782623 | az: 0.0596466
ax: 0.0215454 | ay: -0.0623474 | az: -0.142715
ax: 0.0292816 | ay: -0.176895 | az: -0.283554
ax: 0.0273895 | ay: -0.0298004 | az: -0.0476227
ax: -0.039505 | ay: 0.00273132 | az: 0.157684
time: 3
[20210812051040.487]
> sum ax: -11.3014 | sum ay: -8.31888 | sum az: -5.29372
>> avg ax: -0.226029 | avg ay: -0.166378 | avg az: -0.105874
>>> vx: -1.10754 | vy: -0.81525 | vz: -0.518784
>>> sx: -0.582787 | sy: 0.0318959 | sz: -0.289453
>>> a: 0.299966
>>> v: 1.46984
>>> s: 0.651491

ax: -0.0468597 | ay: -0.0279999 | az: 0.137619
ax: -0.00724792 | ay: -0.0913544 | az: -0.058609
ax: 0.020462 | ay: -0.0855103 | az: -0.0795746
ax: 0.00561523 | ay: -0.0485687 | az: 0.0275116
ax: -0.0419617 | ay: 0.000671387 | az: 0.0659485
ax: -0.0694427 | ay: 0.00836182 | az: 0.0464478
ax: -0.0564728 | ay: -0.031601 | az: 0.0389862
ax: -0.0290833 | ay: -0.0754395 | az: 0.0198517
ax: -0.00566101 | ay: -0.0336609 | az: 0.0816956
ax: -0.0364075 | ay: -0.04776 | az: 0.00866699
ax: -0.111633 | ay: -0.0115967 | az: 0.0124969
ax: -0.154175 | ay: 0.0409851 | az: 0.0763702
ax: -0.133499 | ay: 0.0499878 | az: -0.027771
ax: -0.183487 | ay: 0.08461 | az: 0.000808716
ax: -0.24968 | ay: 0.0908661 | az: -0.0276337
ax: -0.287704 | ay: 0.13269 | az: -0.0838165
ax: -0.46051 | ay: 0.144592 | az: -0.0981598
ax: -0.751099 | ay: 0.212921 | az: -0.105042
ax: -1.04729 | ay: 0.28363 | az: -0.0996857
ax: -1.09006 | ay: 1.2988 | az: -0.359482
ax: -1.10368 | ay: 1.34367 | az: 0.0882568
ax: -0.86731 | ay: 0.633194 | az: -0.324402
ax: -0.680145 | ay: 0.565933 | az: -0.526993
ax: -0.0411987 | ay: 0.470764 | az: -0.389404
ax: 0.163422 | ay: -0.0687561 | az: -0.0182343
ax: 0.340134 | ay: 0.134308 | az: -0.301559
ax: 0.611008 | ay: 0.862167 | az: 0.000778198
ax: 0.695541 | ay: 0.808487 | az: 0.110275
ax: 0.734314 | ay: 0.566498 | az: 0.0322113
ax: 0.711044 | ay: 0.414215 | az: 0.0147095
ax: 0.676361 | ay: 0.272232 | az: -0.00088501
ax: 0.600906 | ay: 0.278458 | az: 0.0117188
ax: 0.524414 | ay: 0.272949 | az: -0.0065918
ax: 0.382263 | ay: 0.236115 | az: -0.0111694
ax: 0.124573 | ay: 0.0792847 | az: -0.0277863
ax: -0.0987549 | ay: -0.0949249 | az: 0.0837555
ax: -0.417664 | ay: -0.310883 | az: 0.0823975
ax: -0.77356 | ay: -0.694168 | az: -0.0884094
ax: -1.09367 | ay: -1.20839 | az: -0.160797
ax: -1.1373 | ay: -1.69679 | az: -0.153229
ax: -1.00644 | ay: -1.80557 | az: -0.224091
ax: -0.871887 | ay: -1.72092 | az: -0.291794
ax: -0.829834 | ay: -2.05119 | az: 0.0554962
ax: -0.622238 | ay: -2.11861 | az: 0.486237
ax: -0.553497 | ay: -2.18927 | az: 0.156479
ax: -0.453308 | ay: -1.49927 | az: 0.136475
ax: -0.174515 | ay: 0.964996 | az: -0.285858
ax: -0.377914 | ay: 0.733017 | az: 0.593231
ax: -0.614258 | ay: -0.679916 | az: 0.372375
ax: -0.583084 | ay: -0.382767 | az: 0.133057
time: 4
[20210812051041.491]
> sum ax: -11.4725 | sum ay: -5.99051 | sum az: -0.877121
>> avg ax: -0.229449 | avg ay: -0.11981 | avg az: -0.0175424
>>> vx: -1.1243 | vy: -0.58707 | vz: -0.0859579
>>> sx: -0.398504 | sy: 0.189361 | sz: -0.09194
>>> a: 0.25944
>>> v: 1.27126
>>> s: 0.450684

ax: -0.137436 | ay: -0.296249 | az: -0.102066
ax: -0.159348 | ay: -0.654831 | az: -0.52301
ax: -0.329346 | ay: -0.613922 | az: 0.0207672
ax: -0.0144958 | ay: -0.251999 | az: 0.0545807
ax: -0.0972595 | ay: -0.279602 | az: 0.00166321
ax: -0.127899 | ay: -0.0503693 | az: 0.000961304
ax: -0.022995 | ay: -0.100433 | az: -0.0971832
ax: -0.0148315 | ay: -0.154037 | az: -0.129654
