ax: 0.000228882 | ay: -0.006073 | az: -0.0114136
ax: 0.00256348 | ay: -0.00306702 | az: -0.00794983
ax: -0.00416565 | ay: -0.00105286 | az: -0.0137939
ax: -0.00120544 | ay: 0.000930786 | az: -0.00256348
ax: 0.00743103 | ay: -3.05176e-05 | az: -0.0128326
ax: 0.0100555 | ay: 0.00668335 | az: 0.00325012
ax: -0.00737 | ay: 0.000305176 | az: -0.0108948
ax: -0.00100708 | ay: -0.000640869 | az: -0.0104065
ax: 0.00665283 | ay: -0.00395203 | az: -0.00700378
ax: -0.00541687 | ay: -0.009552 | az: 0.000350952
ax: 0.0100098 | ay: 0.00405884 | az: -0.00601196
ax: 0.00112915 | ay: 0.00256348 | az: -0.00358582
ax: -0.00790405 | ay: -0.00416565 | az: -0.00843811
ax: 0.00799561 | ay: 0.00254822 | az: -0.00309753
ax: -0.000793457 | ay: -0.00559998 | az: -0.0118713
ax: 0.00592041 | ay: 0.00697327 | az: -0.00944519
ax: -0.000900269 | ay: -0.00138855 | az: 0.00764465
ax: -0.00328064 | ay: 0.0025177 | az: 0.00422668
ax: -0.00457764 | ay: -0.00135803 | az: -0.00601196
ax: -0.00158691 | ay: -0.00418091 | az: -0.00257874
ax: 0.001297 | ay: 0.00782776 | az: 0.00326538
ax: -0.00114441 | ay: -0.00328064 | az: -0.0138245
ax: -0.00395203 | ay: 0.00250244 | az: -0.0118561
ax: -0.00669861 | ay: 0.00337219 | az: -0.0225983
ax: -0.00125122 | ay: 0.00088501 | az: 0.00231934
ax: -0.00175476 | ay: -0.00111389 | az: -0.0035553
ax: 0.00167847 | ay: 0.00750732 | az: -0.0230865
ax: 0.000717163 | ay: -0.0093689 | az: -0.00744629
ax: -0.00256348 | ay: -1.52588e-05 | az: -0.0137787
ax: -0.00439453 | ay: 0.00187683 | az: 0.0121002
ax: 0 | ay: 0.00178528 | az: -0.0137787
ax: -0.00476074 | ay: -0.00491333 | az: -0.0122986
ax: -0.00175476 | ay: 0.00471497 | az: -0.00839233
ax: -0.000686646 | ay: 0.00692749 | az: -0.0108337
ax: -0.00254822 | ay: -0.000396729 | az: -0.00643921
ax: 0.00137329 | ay: 0.00485229 | az: -0.0132751
ax: -0.00346375 | ay: 0.00378418 | az: -0.0127869
ax: -0.000457764 | ay: -9.15527e-05 | az: -0.0132599
ax: -0.00805664 | ay: -0.00584412 | az: 0.000427246
ax: -0.00160217 | ay: 0.00387573 | az: -0.0098114
ax: 0.00178528 | ay: 0.00860596 | az: -0.0215454
ax: -0.00109863 | ay: 0.00215149 | az: -0.00836182
ax: 0.00845337 | ay: -0.00221252 | az: -0.00300598
ax: 0.000595093 | ay: -0.00119019 | az: -0.0161896
ax: -0.00088501 | ay: -0.00596619 | az: -0.00495911
ax: -0.00370789 | ay: -0.00245667 | az: -0.0108032
ax: -0.000732422 | ay: -0.000411987 | az: -0.00836182
ax: -0.00357056 | ay: 0.00672913 | az: -0.0127563
ax: 0.000350952 | ay: 0.00514221 | az: -6.10352e-05
ax: 0.000320435 | ay: 0.00453186 | az: -0.0137329
1: [20200915132118.362]
> sum ax: -0.0247345 | sum ay: 0.0253296 | sum az: -0.391113
>> avg ax: -0.00049469 | avg ay: 0.000506592 | avg az: -0.00782227
