ax: -0.00302124 | ay: 0.00939941 | az: -0.00498962
ax: -0.00930786 | ay: -0.00357056 | az: 0.0135651
ax: 0.00695801 | ay: 0.00201416 | az: -0.014328
ax: -0.0020752 | ay: 0.00569153 | az: 0.00457764
ax: -0.00331116 | ay: -0.00108337 | az: -0.0133972
ax: 0.00482178 | ay: 0.00819397 | az: -0.0132904
ax: -0.00460815 | ay: -0.00314331 | az: 0.00811768
ax: 0.00588989 | ay: 0.00169373 | az: 0.00492859
ax: -0.00271606 | ay: 0.00737 | az: 0.00102234
ax: 0.00691223 | ay: -0.00901794 | az: -0.00921631
ax: -0.00138855 | ay: 0.00753784 | az: -0.00256348
ax: -0.000900269 | ay: -0.00177002 | az: 0.00376892
ax: 0.00184631 | ay: 0.00796509 | az: -0.0141907
ax: 0.000976562 | ay: -0.00743103 | az: -0.0116425
ax: 0.00863647 | ay: 0.000946045 | az: 0.00444031
ax: 0.00405884 | ay: 0.00288391 | az: -0.00669861
ax: -0.00390625 | ay: 0.000930786 | az: 0.00172424
ax: -0.00331116 | ay: 0.00328064 | az: -0.00363159
ax: 0.00848389 | ay: 0.000442505 | az: -0.00749207
ax: 0.000488281 | ay: -0.00289917 | az: 0.000442505
ax: -0.00280762 | ay: 0.00146484 | az: -0.00146484
ax: -0.00611877 | ay: -0.00483704 | az: -0.000442505
ax: 0.00468445 | ay: 0.00012207 | az: -0.00918579
ax: 0.00616455 | ay: 0.00250244 | az: 0.000564575
ax: 0.00756836 | ay: 0.00193787 | az: 0.000518799
ax: -0.00305176 | ay: 0.00372314 | az: 0.00393677
ax: -0.00564575 | ay: -0.00216675 | az: -0.0042572
ax: 0.00170898 | ay: 0.00160217 | az: 0.0103607
ax: -0.000778198 | ay: 0.00582886 | az: -0.00532532
ax: 0.00210571 | ay: -0.00682068 | az: 0.00100708
ax: 0.000152588 | ay: -0.00234985 | az: -0.0106812
ax: -0.00662231 | ay: 0.00338745 | az: 0.00248718
ax: -0.00498962 | ay: 0.00236511 | az: -0.00527954
ax: 0.00997925 | ay: 0.00805664 | az: 0.00340271
ax: 0.00268555 | ay: 0.000640869 | az: 0.000946045
ax: 0.00132751 | ay: -0.00363159 | az: -0.00630188
ax: 0.0091095 | ay: -0.00152588 | az: -0.00480652
ax: -6.10352e-05 | ay: -0.000488281 | az: -0.00231934
ax: -0.000411987 | ay: -0.00050354 | az: 0.00358582
ax: 0.00146484 | ay: -0.0120392 | az: 0.0109406
ax: 0.00292969 | ay: 0.00491333 | az: 0.000640869
ax: 0.00296021 | ay: 0.00242615 | az: -0.00473022
ax: 0.00189209 | ay: 0.00273132 | az: 0.0147095
ax: 0.000762939 | ay: 0.00160217 | az: 0.000457764
ax: -0.00416565 | ay: 0.00254822 | az: -0.00932312
ax: 0.00491333 | ay: -0.00326538 | az: -0.000595093
ax: -0.00088501 | ay: -0.000213623 | az: -0.010788
ax: 0.000106812 | ay: -0.000167847 | az: -0.00198364
ax: 0.00161743 | ay: -0.0039978 | az: -0.000976562
ax: 0.0030365 | ay: 0.00419617 | az: 0.00190735
1: [20200915132543.450]
> sum ax: 0.0441589 | sum ay: 0.0374756 | sum az: -0.0818481
>> avg ax: 0.000883179 | avg ay: 0.000749512 | avg az: -0.00163696
>>> vx: 0.00865515 | vy: 0.00734521 | vz: -0.0160422
>>> sx: 0.00294461 | sy: 0.00581773 | sz: -0.0106312
>>> a: 0.00200535
>>> v: 0.0196524
>>> s: 0.0124715

ax: -0.00421143 | ay: 0.00361633 | az: -0.00248718
ax: 0.00924683 | ay: 0.00836182 | az: -0.00650024
ax: 0.00326538 | ay: -0.00468445 | az: -0.00749207
ax: -0.00253296 | ay: 0.00408936 | az: -0.00550842
