ax: 0.408691 | ay: -1.23109 | az: -0.0845947
ax: -0.322495 | ay: -0.083252 | az: -0.262177
ax: -0.261963 | ay: -0.122375 | az: -0.237427
ax: -0.142151 | ay: -0.176804 | az: -0.237778
ax: -0.0386658 | ay: -0.291031 | az: -0.220169
ax: 0.0394287 | ay: -0.329208 | az: -0.210846
ax: 0.0277863 | ay: -0.451797 | az: -0.202667
ax: 0.034256 | ay: -0.521698 | az: -0.218765
ax: 0.0895233 | ay: -0.454391 | az: -0.244873
ax: 0.107071 | ay: -0.430069 | az: -0.271423
ax: 0.0973206 | ay: -0.448227 | az: -0.272141
ax: 0.106003 | ay: -0.454651 | az: -0.220032
ax: 0.123779 | ay: -0.458969 | az: -0.137375
ax: 0.113998 | ay: -0.406555 | az: -0.0870514
ax: 0.0815582 | ay: -0.313248 | az: -0.0709686
ax: 0.0402527 | ay: -0.270584 | az: -0.0364838
ax: 0.0665741 | ay: -0.24617 | az: -0.0495605
ax: 0.00868225 | ay: -0.212296 | az: -0.00639343
ax: -0.112198 | ay: -0.134659 | az: 0.0252075
ax: -0.243057 | ay: -0.0860901 | az: -0.0243988
ax: -0.377289 | ay: 0.079834 | az: -0.0725861
ax: -0.457474 | ay: 0.264587 | az: -0.0482788
ax: -0.58078 | ay: 0.41188 | az: -0.0324402
ax: -0.895325 | ay: 0.506912 | az: 0.0594025
ax: -0.880859 | ay: 0.661224 | az: 0.139374
ax: -0.637604 | ay: 0.715134 | az: 0.183121
ax: -0.847656 | ay: 0.799026 | az: 0.223984
ax: -0.949844 | ay: 0.99176 | az: 0.326965
ax: -0.799332 | ay: 1.0645 | az: 0.385559
ax: -0.616013 | ay: 1.08292 | az: 0.33136
ax: -0.446808 | ay: 1.0943 | az: 0.262726
ax: -0.362274 | ay: 1.00339 | az: 0.25499
ax: -0.307281 | ay: 0.930389 | az: 0.318558
ax: -0.223297 | ay: 0.949219 | az: 0.419815
ax: -0.136185 | ay: 0.978455 | az: 0.449051
ax: -0.0431213 | ay: 1.04599 | az: 0.485443
ax: 0.047287 | ay: 1.16765 | az: 0.505951
ax: 0.0799561 | ay: 1.24721 | az: 0.518753
