ax: 0.00790405 | ay: 0.00558472 | az: -0.0514526
ax: -0.00595093 | ay: -0.0239716 | az: 0.00663757
ax: 0.00810242 | ay: -0.0055542 | az: 0.0409241
ax: -0.012146 | ay: 0.0369873 | az: 0.00622559
ax: -0.0516357 | ay: 0.0057373 | az: 0.000610352
ax: -0.11203 | ay: -0.00842285 | az: 0.0121002
ax: -0.17485 | ay: -0.0362244 | az: 0.0570679
ax: -0.268585 | ay: -0.0587463 | az: -0.0230103
ax: -0.372604 | ay: -0.132919 | az: -0.0833435
ax: -0.452362 | ay: -0.177536 | az: -0.230682
ax: -0.519333 | ay: -0.157181 | az: -0.353821
ax: -0.680527 | ay: -0.303802 | az: -0.272598
ax: -0.933914 | ay: -0.546478 | az: -0.209427
ax: -1.05147 | ay: -0.982925 | az: 0.000518799
ax: -1.06859 | ay: -1.79526 | az: -0.350586
ax: -0.725723 | ay: -2.18219 | az: -0.142273
ax: -0.0368652 | ay: -0.550446 | az: 0.446411
ax: -0.464905 | ay: -0.255981 | az: 0.58786
ax: -0.76796 | ay: 0.643921 | az: -0.00616455
ax: 0.0908661 | ay: -1.96451 | az: 0.0632324
ax: 0.390213 | ay: -0.816696 | az: -0.283752
ax: 0.624054 | ay: -0.790131 | az: -0.256363
ax: 0.409561 | ay: -0.620239 | az: -0.226547
ax: 0.654831 | ay: -0.626938 | az: -0.163681
ax: 0.614166 | ay: -0.719452 | az: -0.213104
ax: 0.600266 | ay: -0.632828 | az: -0.270874
ax: 0.539734 | ay: -0.512909 | az: -0.313416
ax: 0.423386 | ay: -0.365616 | az: -0.293274
ax: 0.229782 | ay: -0.269592 | az: -0.267899
ax: -0.0354004 | ay: -0.275513 | az: -0.238815
ax: -0.338257 | ay: 0.150314 | az: -0.158279
ax: -0.719803 | ay: 0.445511 | az: -0.294876
ax: -0.941528 | ay: 0.638977 | az: -0.174225
ax: -1.08131 | ay: 1.38658 | az: 0.0540314
ax: -1.11249 | ay: 1.76756 | az: 0.432495
ax: -1.13809 | ay: 2.13135 | az: 0.829987
ax: -0.72702 | ay: 2.52422 | az: 0.97168
ax: -0.33847 | ay: 2.51207 | az: 0.462021
ax: -0.153503 | ay: 2.46521 | az: 0.686615
ax: -0.95784 | ay: 0.446671 | az: 0.76236
ax: -1.02927 | ay: -1.62714 | az: -1.13068
ax: -1.05492 | ay: 1.59651 | az: -0.873535
ax: -0.201675 | ay: -0.382797 | az: -0.463348
ax: 0.222031 | ay: 0.168274 | az: 0.377975
ax: 0.255692 | ay: 0.0295868 | az: 0.204178
ax: 0.0559235 | ay: -0.173492 | az: 0.287262
ax: -0.0417328 | ay: 0.191971 | az: -0.0413971
ax: -0.0381012 | ay: 0.125961 | az: -0.0870972
ax: -0.0142822 | ay: -0.0434875 | az: 0.00317383
ax: 0.000610352 | ay: -0.100021 | az: 0.0934906
1: [20200915133837.987]
> sum ax: -12.496 | sum ay: 0.134003 | sum az: -1.08766
>> avg ax: -0.24992 | avg ay: 0.00268005 | avg az: -0.0217532
>>> vx: -2.44922 | vy: 0.0262647 | vz: -0.213182
>>> sx: -1.19118 | sy: -0.953166 | sz: -0.244267
>>> a: 0.25088
>>> v: 2.45862
>>> s: 1.54503

ax: 0.0962372 | ay: -0.150162 | az: 0.132309
ax: 0.0283356 | ay: -0.161331 | az: 0.0274353
ax: 0.0065155 | ay: -0.0830536 | az: -0.0582275
ax: -0.0629883 | ay: -0.00907898 | az: -0.0350342
ax: -0.0588989 | ay: -0.0421753 | az: 0.0202484
ax: -0.0335846 | ay: -0.0401001 | az: 0.0507202
ax: -0.024704 | ay: -0.0285492 | az: 0.062912
ax: -0.0930786 | ay: -0.0229187 | az: -0.0211945
ax: -0.207733 | ay: -0.0397797 | az: 0.0401154
ax: -0.25618 | ay: -0.133469 | az: -0.0613861
ax: -0.305695 | ay: -0.10199 | az: -0.131088
ax: -0.387772 | ay: -0.0792847 | az: -0.274323
ax: -0.46759 | ay: -0.129807 | az: -0.331726
ax: -0.612473 | ay: -0.354675 | az: -0.258713
ax: -0.772324 | ay: -0.698395 | az: -0.201111
ax: -1.06445 | ay: -1.34499 | az: -0.0456238
ax: -1.07941 | ay: -2.11908 | az: 0.250504
ax: -0.222427 | ay: -1.58174 | az: -0.367035
ax: -0.527832 | ay: -0.149292 | az: 0.793198
ax: -0.54039 | ay: -0.359802 | az: 0.501587
ax: -0.35524 | ay: -0.325409 | az: -0.284332
ax: 0.139114 | ay: -1.39267 | az: -0.0329437
ax: 0.50589 | ay: -1.08882 | az: -0.228256
ax: 0.546219 | ay: -0.703751 | az: -0.27626
ax: 0.587158 | ay: -0.876892 | az: -0.214767
ax: 0.634262 | ay: -0.674728 | az: -0.0948181
ax: 0.637787 | ay: -0.525925 | az: -0.028717
ax: 0.492538 | ay: -0.650116 | az: -0.0968475
ax: 0.436432 | ay: -0.425079 | az: -0.0308533
ax: 0.214417 | ay: -0.484558 | az: -0.0692902
ax: -0.248123 | ay: -0.0933228 | az: -0.0240021
ax: -0.273224 | ay: 0.0203552 | az: -0.0525665
ax: -0.839157 | ay: 0.373825 | az: -0.102539
ax: -1.04404 | ay: 1.0657 | az: -0.012619
ax: -1.07858 | ay: 1.13481 | az: 0.0382843
ax: -1.12302 | ay: 1.24437 | az: 0.396988
ax: -1.11087 | ay: 1.87285 | az: 0.925476
ax: -0.995407 | ay: 2.18483 | az: 0.824097
