ax: 0.0741119 | ay: 0.613266 | az: 0.557434
ax: 0.0741119 | ay: 0.613266 | az: 0.557434
ax: -0.488358 | ay: -0.329346 | az: -0.109238
ax: -0.700333 | ay: -0.355255 | az: -0.171799
ax: -0.644318 | ay: -0.364594 | az: -0.195587
ax: -0.41803 | ay: -0.443451 | az: -0.242432
ax: -0.264435 | ay: -0.496719 | az: -0.263351
ax: -0.130951 | ay: -0.533722 | az: -0.265533
ax: -0.0338898 | ay: -0.554016 | az: -0.226196
ax: -0.0338135 | ay: -0.586731 | az: -0.20874
ax: -0.0341797 | ay: -0.565826 | az: -0.18367
ax: -0.057785 | ay: -0.549301 | az: -0.14859
ax: -0.0908203 | ay: -0.523727 | az: -0.139435
ax: -0.119812 | ay: -0.548584 | az: -0.166672
ax: -0.115463 | ay: -0.568802 | az: -0.175476
ax: -0.119705 | ay: -0.582382 | az: -0.191101
ax: -0.124252 | ay: -0.594894 | az: -0.181549
ax: -0.160248 | ay: -0.571533 | az: -0.163528
ax: -0.202179 | ay: -0.522858 | az: -0.120331
ax: -0.256668 | ay: -0.512527 | az: -0.143295
ax: -0.220139 | ay: -0.462372 | az: -0.124863
ax: -0.148514 | ay: -0.382858 | az: -0.0860748
ax: -0.12529 | ay: -0.342728 | az: -0.0372009
ax: -0.14296 | ay: -0.281906 | az: 0.0417175
ax: -0.189041 | ay: -0.229126 | az: 0.0793915
ax: -0.515457 | ay: -0.19133 | az: 0.0169678
ax: -0.797333 | ay: -0.0699463 | az: 0.0712433
ax: -0.683273 | ay: 0.0614471 | az: 0.151062
ax: -0.388748 | ay: 0.0775452 | az: 0.153152
ax: -0.285278 | ay: 0.182587 | az: 0.192932
ax: -0.312332 | ay: 0.272491 | az: 0.312256
ax: -0.474991 | ay: 0.335449 | az: 0.500198
ax: -0.530457 | ay: 0.435684 | az: 0.579559
ax: -0.438156 | ay: 0.551147 | az: 0.504272
ax: -0.302277 | ay: 0.568954 | az: 0.48172
ax: -0.18924 | ay: 0.497284 | az: 0.525391
ax: -0.121567 | ay: 0.382675 | az: 0.559464
ax: -0.10733 | ay: 0.333832 | az: 0.555557
ax: -0.0801544 | ay: 0.343719 | az: 0.561905
ax: -0.0200806 | ay: 0.422104 | az: 0.614578
ax: 0.0492706 | ay: 0.486038 | az: 0.680435
ax: 0.049408 | ay: 0.5867 | az: 0.735062
ax: 0.0437317 | ay: 0.685455 | az: 0.754166
ax: 0.0621948 | ay: 0.723282 | az: 0.765717
ax: 0.0666962 | ay: 0.678421 | az: 0.702057
ax: 0.0374603 | ay: 0.620178 | az: 0.68219
ax: -0.0219727 | ay: 0.602295 | az: 0.650772
ax: -0.0810394 | ay: 0.54068 | az: 0.561172
ax: -0.148895 | ay: 0.444794 | az: 0.450882
ax: -0.184372 | ay: 0.394821 | az: 0.373291
1: [20200921193233.636]
> sum ax: -10.0471 | sum ay: 0.289581 | sum az: 9.82732
>> avg ax: -0.200943 | avg ay: 0.00579163 | avg az: 0.196546
>>> vx: -0.200943 | vy: 0.00579162 | vz: 0.196546
>>> sx: -0.115815 | sy: -0.0991527 | sz: 0.0197029
>>> a: 0.281144
>>> v: 0.281144
>>> s: 0.153729

ax: -0.216309 | ay: 0.329697 | az: 0.323578
ax: -0.242371 | ay: 0.254761 | az: 0.242188
ax: -0.258865 | ay: 0.159256 | az: 0.171448
ax: -0.317734 | ay: 0.109741 | az: 0.117966
ax: -0.439667 | ay: 0.0689087 | az: 0.0560455
ax: -0.632919 | ay: 0.040329 | az: 0.0340118
ax: -0.899429 | ay: -3.05176e-05 | az: 0.070816
ax: -0.715027 | ay: -0.0787201 | az: 0.0108032
ax: -0.426331 | ay: -0.221863 | az: -0.0954285
ax: -0.450363 | ay: -0.284317 | az: -0.172333
ax: -0.501022 | ay: -0.341965 | az: -0.243164
ax: -0.669174 | ay: -0.444885 | az: -0.258621
ax: -0.68689 | ay: -0.512421 | az: -0.267258
ax: -0.541656 | ay: -0.568298 | az: -0.291641
ax: -0.377716 | ay: -0.645065 | az: -0.333572
ax: -0.264481 | ay: -0.662766 | az: -0.337738
ax: -0.171997 | ay: -0.693329 | az: -0.347519
ax: -0.123978 | ay: -0.738739 | az: -0.319382
ax: -0.101028 | ay: -0.743561 | az: -0.306183
ax: -0.107132 | ay: -0.730606 | az: -0.275955
ax: -0.134644 | ay: -0.707672 | az: -0.283951
ax: -0.168701 | ay: -0.697678 | az: -0.286423
ax: -0.225983 | ay: -0.67244 | az: -0.323486
ax: -0.221725 | ay: -0.686462 | az: -0.321945
ax: -0.185028 | ay: -0.660339 | az: -0.285828
ax: -0.19252 | ay: -0.608292 | az: -0.215607
ax: -0.236206 | ay: -0.563614 | az: -0.175598
ax: -0.276749 | ay: -0.509613 | az: -0.132828
ax: -0.287491 | ay: -0.439728 | az: -0.0765533
ax: -0.265411 | ay: -0.381363 | az: -0.0175171
