ax: -0.731049 | ay: -0.0847168 | az: -0.163437
ax: -0.607666 | ay: 0.431183 | az: 0.356537
ax: -0.319366 | ay: 0.424133 | az: 0.277451
ax: -0.133102 | ay: 0.238617 | az: 0.0369873
ax: -0.534897 | ay: 0.28299 | az: -0.12442
ax: -0.680038 | ay: 0.280746 | az: -0.187927
ax: -0.77829 | ay: 0.178818 | az: -0.235245
ax: -0.749298 | ay: 0.0139465 | az: -0.283844
ax: -0.444183 | ay: -0.0852966 | az: -0.294006
ax: -0.304993 | ay: -0.118652 | az: -0.32164
ax: -0.245407 | ay: -0.116272 | az: -0.377777
ax: -0.201538 | ay: -0.148376 | az: -0.422028
ax: -0.234818 | ay: -0.13118 | az: -0.380371
ax: -0.304153 | ay: -0.178711 | az: -0.357544
ax: -0.330826 | ay: -0.3181 | az: -0.352875
ax: -0.26741 | ay: -0.461456 | az: -0.395981
ax: -0.203369 | ay: -0.616455 | az: -0.441299
ax: -0.11731 | ay: -0.706879 | az: -0.456558
ax: -0.0657501 | ay: -0.714859 | az: -0.419098
ax: -0.0613861 | ay: -0.727371 | az: -0.396286
ax: -0.00471497 | ay: -0.771042 | az: -0.379166
ax: 0.0107117 | ay: -0.749298 | az: -0.38324
ax: 0.00779724 | ay: -0.697647 | az: -0.330948
ax: -0.0227661 | ay: -0.623184 | az: -0.300293
ax: -0.0441589 | ay: -0.555084 | az: -0.237442
ax: -0.0562592 | ay: -0.509033 | az: -0.233704
ax: -0.26593 | ay: -0.451462 | az: -0.313812
ax: -0.443054 | ay: -0.236877 | az: -0.282242
ax: -0.203979 | ay: -0.080719 | az: -0.206955
ax: -0.101501 | ay: -0.0396729 | az: -0.134323
ax: -0.267532 | ay: 0.0960999 | az: -0.0215302
ax: -0.359146 | ay: 0.207565 | az: 0.074295
ax: -0.492416 | ay: 0.247696 | az: 0.154129
ax: -0.72316 | ay: 0.416672 | az: 0.285507
ax: -0.965637 | ay: 0.667389 | az: 0.357559
ax: -0.919586 | ay: 0.831543 | az: 0.37822
ax: -0.658386 | ay: 0.828796 | az: 0.350525
ax: -0.399368 | ay: 0.788879 | az: 0.408386
ax: -0.231079 | ay: 0.628082 | az: 0.519791
ax: -0.153793 | ay: 0.385208 | az: 0.53093
ax: -0.126694 | ay: 0.255127 | az: 0.535095
ax: -0.0361176 | ay: 0.272049 | az: 0.572571
ax: -0.00976562 | ay: 0.384766 | az: 0.593079
ax: 0.0254517 | ay: 0.540359 | az: 0.626938
ax: 0.0532379 | ay: 0.748138 | az: 0.658981
ax: 0.0629425 | ay: 0.902573 | az: 0.664993
ax: 0.0324097 | ay: 0.966431 | az: 0.660812
ax: -0.00505066 | ay: 0.926819 | az: 0.633881
ax: -0.0111847 | ay: 0.780121 | az: 0.555496
ax: -0.0381165 | ay: 0.642197 | az: 0.47052
1: [20200921193522.077]
> sum ax: -13.6617 | sum ay: 4.2446 | sum az: 1.26869
>> avg ax: -0.273234 | avg ay: 0.084892 | avg az: 0.0253738
>>> vx: -0.273234 | vy: 0.0848919 | vz: 0.0253738
>>> sx: -0.169155 | sy: -0.0354317 | sz: -0.0709746
>>> a: 0.287241
>>> v: 0.287241
>>> s: 0.186832

ax: -0.0756226 | ay: 0.531128 | az: 0.406998
ax: -0.0783997 | ay: 0.399002 | az: 0.326218
ax: -0.252716 | ay: 0.404099 | az: 0.273895
ax: -0.801483 | ay: 0.501282 | az: 0.275543
ax: -0.656219 | ay: 0.396698 | az: 0.139496
ax: 0.033432 | ay: 0.257751 | az: -0.0435944
ax: -0.248688 | ay: 0.171509 | az: -0.225266
ax: -0.673386 | ay: 0.064209 | az: -0.360657
