ax: -0.395676 | ay: 0.0844421 | az: -0.117233
ax: -0.842407 | ay: 0.187363 | az: -0.227524
ax: -0.783203 | ay: -0.0160522 | az: -0.247437
ax: -0.548325 | ay: -0.145798 | az: -0.387268
ax: -0.358368 | ay: -0.177734 | az: -0.4888
ax: -0.250229 | ay: -0.206146 | az: -0.489883
ax: -0.184586 | ay: -0.29306 | az: -0.442032
ax: -0.168045 | ay: -0.42276 | az: -0.450592
ax: -0.103531 | ay: -0.503082 | az: -0.477936
ax: -0.0866241 | ay: -0.617554 | az: -0.506012
ax: -0.160248 | ay: -0.657745 | az: -0.48616
ax: -0.173523 | ay: -0.643875 | az: -0.462494
ax: -0.107712 | ay: -0.67186 | az: -0.503998
ax: -0.0712585 | ay: -0.736084 | az: -0.551163
ax: -0.100616 | ay: -0.785614 | az: -0.579208
ax: -0.135956 | ay: -0.778793 | az: -0.531219
ax: -0.104675 | ay: -0.789581 | az: -0.420013
ax: -0.0825653 | ay: -0.765762 | az: -0.327148
ax: -0.109802 | ay: -0.667191 | az: -0.275238
ax: -0.187393 | ay: -0.575134 | az: -0.244644
ax: -0.238205 | ay: -0.352829 | az: -0.201843
ax: -0.33551 | ay: -0.20192 | az: -0.157379
ax: -0.536133 | ay: -0.0981903 | az: -0.178207
ax: -0.877548 | ay: 0.00733948 | az: -0.2155
ax: -1.01517 | ay: 0.18335 | az: -0.167618
ax: -0.79567 | ay: 0.396591 | az: -0.0711975
ax: -0.618958 | ay: 0.524582 | az: 0.0498505
ax: -0.61615 | ay: 0.699905 | az: 0.283737
ax: -0.772675 | ay: 0.83342 | az: 0.492935
ax: -0.83609 | ay: 0.954361 | az: 0.557144
ax: -0.67868 | ay: 1.11446 | az: 0.438095
ax: -0.427017 | ay: 1.10794 | az: 0.347107
ax: -0.22702 | ay: 0.84227 | az: 0.376968
ax: -0.128754 | ay: 0.59584 | az: 0.492111
ax: -0.0236206 | ay: 0.457031 | az: 0.474045
ax: 0.0120697 | ay: 0.475952 | az: 0.485641
ax: 0.0354004 | ay: 0.638016 | az: 0.524445
ax: 0.0913696 | ay: 0.766068 | az: 0.611359
ax: 0.129807 | ay: 0.940125 | az: 0.684555
ax: 0.138687 | ay: 1.10391 | az: 0.70607
ax: 0.146835 | ay: 1.25851 | az: 0.69426
ax: 0.0873718 | ay: 1.34814 | az: 0.794983
ax: -0.0352173 | ay: 1.0976 | az: 0.665283
ax: -0.199661 | ay: 0.677277 | az: 0.508087
ax: -0.283768 | ay: 0.326813 | az: 0.410797
ax: -0.362579 | ay: 0.151062 | az: 0.322357
ax: -0.37149 | ay: 0.12381 | az: 0.24086
ax: -0.330582 | ay: 0.17482 | az: 0.14502
ax: -0.341217 | ay: 0.178513 | az: 0.0629425
ax: -0.627274 | ay: 0.225861 | az: 0.0494232
1: [20200921193918.814]
> sum ax: -14.9922 | sum ay: 7.36861 | sum az: 1.21033
>> avg ax: -0.299844 | avg ay: 0.147372 | avg az: 0.0242065
>>> vx: -0.299844 | vy: 0.147372 | vz: 0.0242065
>>> sx: -0.165954 | sy: -0.0438022 | sz: -0.0884908
>>> a: 0.334979
>>> v: 0.334979
>>> s: 0.193106

ax: -0.873123 | ay: 0.241974 | az: -0.0148773
ax: -0.831543 | ay: 0.231064 | az: -0.163193
ax: -0.890396 | ay: 0.148422 | az: -0.305206
ax: -0.863693 | ay: 0.0432129 | az: -0.405136
ax: -0.868164 | ay: -0.0774078 | az: -0.433136
ax: -0.959229 | ay: -0.203094 | az: -0.462784
ax: -0.895447 | ay: -0.277206 | az: -0.503464
ax: -0.719742 | ay: -0.42955 | az: -0.575104
ax: -0.51535 | ay: -0.61261 | az: -0.672791
ax: -0.35231 | ay: -0.778503 | az: -0.6716
ax: -0.263474 | ay: -0.889374 | az: -0.62706
ax: -0.186279 | ay: -0.962143 | az: -0.627243
ax: -0.112457 | ay: -0.987549 | az: -0.615036
ax: -0.103821 | ay: -1.02094 | az: -0.631714
ax: -0.140167 | ay: -1.00703 | az: -0.599319
ax: -0.179733 | ay: -0.955673 | az: -0.514343
ax: -0.203766 | ay: -0.904083 | az: -0.437668
ax: -0.20192 | ay: -0.935257 | az: -0.348602
ax: -0.186951 | ay: -0.938873 | az: -0.283951
ax: -0.244873 | ay: -0.827927 | az: -0.303299
ax: -0.37645 | ay: -0.631104 | az: -0.331131
ax: -0.453644 | ay: -0.452682 | az: -0.296921
