ax: 0 | ay: 0 | az: -1
ax: 0.98172 | ay: -0.208115 | az: -0.184448
ax: 1.02863 | ay: -0.532028 | az: -0.175125
ax: 1.02812 | ay: -0.670593 | az: -0.0595093
ax: 0.791885 | ay: -0.861145 | az: 0.079834
ax: 0.315643 | ay: -0.886185 | az: 0.152786
ax: 0.29744 | ay: -0.887299 | az: 0.261353
ax: 0.566772 | ay: -0.863815 | az: 0.387161
ax: 0.622604 | ay: -0.733658 | az: 0.428497
ax: 0.540253 | ay: -0.659515 | az: 0.369461
ax: 0.356384 | ay: -0.587769 | az: 0.315735
ax: 0.124451 | ay: -0.494125 | az: 0.37381
ax: -0.0469513 | ay: -0.515762 | az: 0.487045
ax: -0.186035 | ay: -0.670609 | az: 0.483658
ax: -0.248596 | ay: -0.699249 | az: 0.478012
ax: -0.304016 | ay: -0.682495 | az: 0.479187
ax: -0.355179 | ay: -0.699707 | az: 0.521881
ax: -0.328201 | ay: -0.66301 | az: 0.566177
ax: -0.261887 | ay: -0.70787 | az: 0.554245
ax: -0.161484 | ay: -0.72377 | az: 0.530914
ax: -0.0583954 | ay: -0.712021 | az: 0.456573
ax: 0.0683289 | ay: -0.69191 | az: 0.367935
ax: 0.227722 | ay: -0.601425 | az: 0.261581
ax: 0.31897 | ay: -0.428436 | az: 0.172501
ax: 0.388474 | ay: -0.272018 | az: 0.0710297
ax: 0.398087 | ay: -0.186157 | az: 0.030838
ax: 0.418716 | ay: -0.117081 | az: 0.00286865
ax: 0.511459 | ay: -0.0796356 | az: -0.0986633
ax: 0.775345 | ay: -0.0890808 | az: -0.15451
ax: 1.07475 | ay: -0.063858 | az: -0.224152
ax: 1.13747 | ay: 0.0246887 | az: -0.268677
ax: 1.01297 | ay: 0.177261 | az: -0.352646
ax: 0.86409 | ay: 0.271194 | az: -0.46933
ax: 0.803268 | ay: 0.334961 | az: -0.475525
ax: 0.766708 | ay: 0.428772 | az: -0.429337
ax: 0.721741 | ay: 0.556015 | az: -0.415634
ax: 0.658035 | ay: 0.630096 | az: -0.481125
ax: 0.582321 | ay: 0.599442 | az: -0.554642
ax: 0.409897 | ay: 0.547531 | az: -0.577652
ax: 0.245758 | ay: 0.642746 | az: -0.556381
ax: 0.0792542 | ay: 0.783386 | az: -0.548615
ax: -0.0630493 | ay: 0.878326 | az: -0.561783
ax: -0.0730743 | ay: 0.844055 | az: -0.547958
ax: -0.0137024 | ay: 0.756454 | az: -0.490234
ax: 0.000137329 | ay: 0.686127 | az: -0.414062
ax: 0.0211334 | ay: 0.644226 | az: -0.41777
ax: 0.0676575 | ay: 0.63147 | az: -0.427216
ax: 0.0917511 | ay: 0.598221 | az: -0.43103
ax: 0.118393 | ay: 0.526764 | az: -0.356674
ax: 0.164307 | ay: 0.455521 | az: -0.289856
1: [20200927201915.269]
> sum ax: 16.4801 | sum ay: -4.97108 | sum az: -3.12947
>> avg ax: 0.329601 | avg ay: -0.0994217 | avg az: -0.0625894
>>> vx: 3.23009 | vy: -0.974333 | vz: -0.613376
>>> sx: 1.77482 | sy: -1.94608 | sz: 0.403088
>>> a: 0.349913
>>> v: 3.42915
>>> s: 2.66453

ax: 0.216721 | ay: 0.305649 | az: -0.194107
ax: 0.277039 | ay: 0.167236 | az: -0.112488
ax: 0.320694 | ay: 0.055481 | az: -0.0198212
ax: 0.387695 | ay: 0.00762939 | az: 0.0271149
ax: 0.463455 | ay: -0.0511322 | az: 0.0496063
ax: 0.673462 | ay: -0.181091 | az: 0.0535583
ax: 0.911407 | ay: -0.342453 | az: 0.0396271
ax: 1.03766 | ay: -0.519043 | az: 0.0606842
ax: 1.0507 | ay: -0.700623 | az: 0.146667
ax: 0.751648 | ay: -0.795792 | az: 0.318115
ax: 0.543304 | ay: -0.796692 | az: 0.494705
ax: 0.516891 | ay: -0.713898 | az: 0.573792
ax: 0.537079 | ay: -0.608124 | az: 0.575821
ax: 0.456375 | ay: -0.570953 | az: 0.518845
ax: 0.31012 | ay: -0.548309 | az: 0.47525
ax: 0.13945 | ay: -0.458603 | az: 0.478973
ax: 0.0138702 | ay: -0.428986 | az: 0.474442
ax: -0.0566711 | ay: -0.479156 | az: 0.448166
ax: -0.153824 | ay: -0.521576 | az: 0.463852
ax: -0.238373 | ay: -0.581039 | az: 0.504944
ax: -0.30722 | ay: -0.638794 | az: 0.550278
ax: -0.313629 | ay: -0.720062 | az: 0.62825
ax: -0.226837 | ay: -0.734634 | az: 0.630081
ax: -0.15329 | ay: -0.67131 | az: 0.620255
ax: -0.0988312 | ay: -0.588531 | az: 0.597443
ax: -0.0107422 | ay: -0.55545 | az: 0.511108
ax: 0.119461 | ay: -0.541031 | az: 0.462799
ax: 0.229568 | ay: -0.512512 | az: 0.37117
ax: 0.312363 | ay: -0.457047 | az: 0.277573
ax: 0.366013 | ay: -0.347351 | az: 0.15683
ax: 0.366394 | ay: -0.239655 | az: 0.0606995
ax: 0.342682 | ay: -0.164825 | az: -0.0343781
ax: 0.441528 | ay: -0.148331 | az: -0.110977
ax: 0.925613 | ay: -0.189102 | az: -0.115707
ax: 1.06691 | ay: -0.121063 | az: -0.155624
ax: 0.700974 | ay: 0.0872498 | az: -0.264481
ax: 0.770828 | ay: 0.198227 | az: -0.456131
ax: 0.911072 | ay: 0.187012 | az: -0.531525
ax: 0.94548 | ay: 0.283539 | az: -0.543716
ax: 0.890198 | ay: 0.414642 | az: -0.545914
ax: 0.721741 | ay: 0.463013 | az: -0.606079
ax: 0.562607 | ay: 0.489716 | az: -0.661957
ax: 0.41687 | ay: 0.471466 | az: -0.644577
ax: 0.238541 | ay: 0.57724 | az: -0.586655
ax: -0.00680542 | ay: 0.710724 | az: -0.60347
ax: -0.110107 | ay: 0.784332 | az: -0.578033
ax: -0.077774 | ay: 0.761688 | az: -0.551239
ax: -0.0274811 | ay: 0.730606 | az: -0.496887
ax: -0.00143433 | ay: 0.750336 | az: -0.477051
ax: -0.00756836 | ay: 0.717468 | az: -0.451324
2: [20200927201916.265]
> sum ax: 17.1458 | sum ay: -6.76392 | sum az: 1.82851
>> avg ax: 0.342917 | avg ay: -0.135278 | avg az: 0.0365701
>>> vx: 3.36058 | vy: -1.32573 | vz: 0.358387
>>> sx: 1.83093 | sy: -1.59584 | sz: 0.979139
>>> a: 0.370445
>>> v: 3.63036
>>> s: 2.61873

ax: 0.0055542 | ay: 0.648834 | az: -0.428131
ax: 0.0101013 | ay: 0.619873 | az: -0.384628
ax: 0.0976715 | ay: 0.596176 | az: -0.367462
ax: 0.162766 | ay: 0.45787 | az: -0.302094
ax: 0.231567 | ay: 0.280502 | az: -0.196793
ax: 0.267746 | ay: 0.1418 | az: -0.114441
ax: 0.338638 | ay: 0.039917 | az: -0.062973
ax: 0.391678 | ay: -0.0219269 | az: -0.0527802
ax: 0.450714 | ay: -0.0938416 | az: -0.0211487
ax: 0.65509 | ay: -0.154388 | az: -0.0578766
ax: 1.02737 | ay: -0.307205 | az: -0.0740967
ax: 1.0349 | ay: -0.55542 | az: 0.060379
ax: 0.634109 | ay: -0.653305 | az: 0.208038
ax: 0.392792 | ay: -0.689133 | az: 0.280685
ax: 0.446136 | ay: -0.709839 | az: 0.411133
ax: 0.582092 | ay: -0.716217 | az: 0.529861
ax: 0.661697 | ay: -0.80188 | az: 0.544388
ax: 0.559189 | ay: -0.872894 | az: 0.437042
ax: 0.319427 | ay: -0.794342 | az: 0.400314
ax: 0.135849 | ay: -0.718079 | az: 0.433289
ax: 0.010025 | ay: -0.67218 | az: 0.488831
ax: -0.087738 | ay: -0.693466 | az: 0.475418
ax: -0.166931 | ay: -0.66629 | az: 0.515625
ax: -0.220444 | ay: -0.679001 | az: 0.533203
ax: -0.240433 | ay: -0.721848 | az: 0.562332
ax: -0.232407 | ay: -0.751511 | az: 0.560577
ax: -0.177765 | ay: -0.728973 | az: 0.499084
ax: -0.148239 | ay: -0.718689 | az: 0.411209
ax: -0.0384369 | ay: -0.716293 | az: 0.394119
ax: 0.0969391 | ay: -0.690994 | az: 0.372314
ax: 0.23587 | ay: -0.606339 | az: 0.339844
ax: 0.307968 | ay: -0.484512 | az: 0.221237
ax: 0.347366 | ay: -0.333496 | az: 0.143829
ax: 0.451782 | ay: -0.236099 | az: 0.0809479
ax: 0.551544 | ay: -0.128815 | az: -0.0142975
ax: 0.689453 | ay: -0.124969 | az: -0.16539
ax: 1.06241 | ay: -0.108688 | az: -0.134125
ax: 0.953949 | ay: 0.0213165 | az: -0.211655
ax: 0.811234 | ay: 0.213882 | az: -0.373474
ax: 1.0121 | ay: 0.226746 | az: -0.472885
ax: 1.09448 | ay: 0.250641 | az: -0.539612
ax: 0.990051 | ay: 0.311981 | az: -0.551315
ax: 0.80806 | ay: 0.366455 | az: -0.579208
ax: 0.629501 | ay: 0.416061 | az: -0.65332
ax: 0.430527 | ay: 0.547226 | az: -0.686035
ax: 0.277786 | ay: 0.695053 | az: -0.649277
ax: 0.0926666 | ay: 0.777817 | az: -0.598755
ax: -0.0511017 | ay: 0.85672 | az: -0.571228
ax: -0.0913086 | ay: 0.888214 | az: -0.580719
ax: -0.0856018 | ay: 0.838272 | az: -0.612518
3: [20200927201917.261]
> sum ax: 17.7184 | sum ay: -6.95528 | sum az: -0.552536
>> avg ax: 0.354368 | avg ay: -0.139106 | avg az: -0.0110507
>>> vx: 3.47281 | vy: -1.36323 | vz: -0.108297
>>> sx: 1.64753 | sy: -1.17693 | sz: 0.40998
>>> a: 0.380853
>>> v: 3.73236
>>> s: 2.06581

ax: -0.00497437 | ay: 0.758987 | az: -0.552094
ax: -0.0138702 | ay: 0.79451 | az: -0.501083
ax: 0.0331726 | ay: 0.785629 | az: -0.466385
ax: 0.151764 | ay: 0.763992 | az: -0.46727
ax: 0.169434 | ay: 0.741806 | az: -0.411179
ax: 0.17067 | ay: 0.624054 | az: -0.322891
ax: 0.22818 | ay: 0.439224 | az: -0.266739
ax: 0.340546 | ay: 0.263855 | az: -0.230011
ax: 0.427139 | ay: 0.0718079 | az: -0.159088
ax: 0.461227 | ay: -0.0610046 | az: -0.0327454
ax: 0.516144 | ay: -0.155426 | az: 0.0662537
ax: 0.773514 | ay: -0.226395 | az: 0.00460815
ax: 1.02789 | ay: -0.402237 | az: 0.0195923
ax: 1.04128 | ay: -0.65123 | az: 0.109222
ax: 0.997574 | ay: -0.789444 | az: 0.213928
ax: 0.903275 | ay: -0.91394 | az: 0.402939
ax: 0.677719 | ay: -0.924438 | az: 0.614441
ax: 0.528122 | ay: -0.753403 | az: 0.631882
ax: 0.431808 | ay: -0.657181 | az: 0.524078
ax: 0.301254 | ay: -0.590302 | az: 0.529053
ax: 0.135452 | ay: -0.567032 | az: 0.554901
ax: -0.00906372 | ay: -0.5867 | az: 0.534317
ax: -0.0883636 | ay: -0.675995 | az: 0.505875
ax: -0.133102 | ay: -0.726822 | az: 0.486481
ax: -0.17836 | ay: -0.742294 | az: 0.475647
ax: -0.204391 | ay: -0.706406 | az: 0.459854
ax: -0.207748 | ay: -0.643341 | az: 0.459244
