ax: 0.000823975 | ay: 0.0770569 | az: 0.0308838
ax: 0.0922394 | ay: -0.0870056 | az: -0.142792
ax: 0.172699 | ay: -0.0727081 | az: -0.15332
ax: 0.285721 | ay: -0.0870361 | az: -0.202423
ax: 0.436096 | ay: -0.218628 | az: -0.162231
ax: 0.611359 | ay: -0.499573 | az: 0.110214
ax: 0.743042 | ay: -0.443695 | az: -0.144363
ax: 1.05367 | ay: -0.39418 | az: -0.633759
ax: 1.06584 | ay: -0.230286 | az: -0.904251
ax: 1.08875 | ay: -1.40385 | az: -2.09096
ax: 1.11116 | ay: -0.884308 | az: -0.850571
ax: 1.04985 | ay: -1.04556 | az: -0.748505
ax: 0.202728 | ay: -0.0491486 | az: -1.18433
ax: -0.456024 | ay: -0.274704 | az: -0.356644
ax: -0.738449 | ay: -0.0272675 | az: -0.0533752
ax: -0.244247 | ay: -0.401337 | az: -0.151443
ax: -0.934402 | ay: -0.48967 | az: -0.609222
ax: -0.765686 | ay: -0.830292 | az: -0.428574
ax: -0.756149 | ay: -0.716156 | az: -0.292526
ax: -0.684738 | ay: -0.583817 | az: -0.185364
ax: -0.651077 | ay: -0.473465 | az: -0.0548096
ax: -0.636505 | ay: -0.332962 | az: 0.010849
ax: -0.553558 | ay: -0.277542 | az: 0.0682831
ax: -0.430389 | ay: -0.236176 | az: 0.119339
ax: -0.264221 | ay: -0.240891 | az: 0.146301
ax: 0.0345306 | ay: -0.0963898 | az: 0.149597
ax: 0.448837 | ay: 0.158188 | az: 0.0983276
ax: 1.08485 | ay: 0.506256 | az: 0.327194
ax: 1.14088 | ay: 1.30438 | az: 0.709839
ax: 1.19676 | ay: 1.978 | az: 0.966431
ax: 1.15817 | ay: 2.41356 | az: 1.23828
ax: 0.781891 | ay: 2.41373 | az: 1.74207
ax: 0.704086 | ay: 1.8121 | az: 0.936447
ax: 0.812347 | ay: 1.80598 | az: 0.801315
ax: -0.192902 | ay: -1.75034 | az: -1.43506
ax: -0.0905304 | ay: -0.39035 | az: -0.00392151
ax: 1.118 | ay: 0.95813 | az: 1.01871
ax: 0.738525 | ay: 0.425949 | az: 0.829025
ax: 0.367325 | ay: 0.588593 | az: 0.393494
ax: 0.0959473 | ay: 0.243408 | az: -0.0943146
ax: 0.0284576 | ay: 0.425308 | az: -0.138031
ax: -0.0627899 | ay: 0.352142 | az: -0.167175
ax: -0.0612488 | ay: 0.196609 | az: -0.233475
ax: 0.00228882 | ay: -0.0188599 | az: -0.0628052
ax: 0.0417175 | ay: -0.127747 | az: -0.0109406
ax: 0.0303345 | ay: -0.183914 | az: 0.089386
ax: 0.039917 | ay: 0.0359955 | az: 0.0382385
ax: 0.0185547 | ay: 0.00257874 | az: -0.074295
ax: -0.0218201 | ay: -0.00320435 | az: -0.0781097
ax: -0.00393677 | ay: -0.0646515 | az: -0.020813
1: [20200927204647.079]
> sum ax: 10.2087 | sum ay: 2.76225 | sum az: -1.84418
>> avg ax: 0.204175 | avg ay: 0.0552451 | avg az: -0.0368835
>>> vx: 2.00091 | vy: 0.541402 | vz: -0.361458
>>> sx: 1.11842 | sy: -0.525161 | sz: -0.841257
>>> a: 0.214708
>>> v: 2.10414
>>> s: 1.49478

ax: 0.0335541 | ay: -0.0912781 | az: 0.03862
ax: 0.024292 | ay: -0.057663 | az: -0.0100555
ax: 0.0330658 | ay: -0.015274 | az: -0.0604095
ax: 0.0603485 | ay: -0.0285492 | az: -0.0267334
ax: 0.0587921 | ay: -0.0650787 | az: 0.0184479
ax: 0.129974 | ay: -0.0306854 | az: 0.0428925
ax: 0.147217 | ay: -0.043808 | az: -0.0704956
ax: 0.197571 | ay: -0.15004 | az: -0.194305
ax: 0.345261 | ay: -0.267014 | az: -0.166626
ax: 0.559265 | ay: -0.372559 | az: 0.0873413
ax: 0.626007 | ay: -0.398392 | az: -0.0385284
ax: 0.889145 | ay: -0.370728 | az: -0.364853
ax: 1.07692 | ay: -0.311951 | az: -0.726929
ax: 1.09622 | ay: -1.03838 | az: -1.63293
ax: 1.11526 | ay: -1.59966 | az: -0.655716
ax: 1.14412 | ay: -1.0757 | az: -1.17175
ax: 0.549286 | ay: -0.762573 | az: -1.1006
ax: -0.201614 | ay: -0.145462 | az: -0.435486
ax: 0.454224 | ay: 0.800278 | az: 0.0892334
ax: -0.383575 | ay: -0.0557556 | az: 0.267517
ax: -0.534683 | ay: -0.914413 | az: -0.163651
ax: -0.79216 | ay: -0.725327 | az: -0.4366
ax: -0.759583 | ay: -1.01688 | az: -0.323425
ax: -0.714462 | ay: -0.734039 | az: -0.248611
ax: -0.682846 | ay: -0.439377 | az: -0.0992432
ax: -0.641144 | ay: -0.320847 | az: -0.0423431
ax: -0.548538 | ay: -0.251495 | az: 0.031311
ax: -0.399033 | ay: -0.20842 | az: 0.117325
ax: -0.197495 | ay: -0.161514 | az: 0.156723
ax: 0.151291 | ay: -0.152374 | az: 0.217758
ax: 0.779678 | ay: 0.402161 | az: 0.253754
ax: 1.10446 | ay: 0.975357 | az: 0.444427
ax: 1.16658 | ay: 1.743 | az: 0.514404
ax: 1.2245 | ay: 2.39413 | az: 0.80867
ax: 0.986313 | ay: 2.47156 | az: 1.14909
ax: 0.303253 | ay: 2.45731 | az: 1.92537
ax: 1.2155 | ay: 1.00499 | az: 0.0390778
ax: -0.340637 | ay: -1.62079 | az: -1.41916
ax: 0.685318 | ay: 0.56871 | az: 0.845978
ax: 1.05972 | ay: 0.650421 | az: 0.786453
ax: 0.528641 | ay: 1.09135 | az: 0.19516
ax: 0.546341 | ay: 1.08052 | az: 0.195984
ax: -0.0641022 | ay: 0.363846 | az: 0.16745
ax: 0.12619 | ay: 0.311462 | az: 0.110687
ax: -0.105118 | ay: 0.268509 | az: -0.309128
ax: -0.0439453 | ay: 0.089386 | az: -0.135376
ax: 0.0610199 | ay: 0.0439911 | az: 0.0165405
ax: 0.0559082 | ay: -0.214478 | az: -0.0394897
ax: -0.0352783 | ay: -0.147003 | az: -0.069458
ax: 0.000701904 | ay: -0.00790405 | az: -0.0737152
2: [20200927204648.075]
> sum ax: 12.0917 | sum ay: 2.92159 | sum az: -1.49541
>> avg ax: 0.241835 | avg ay: 0.0584317 | avg az: -0.0299081
>>> vx: 2.36998 | vy: 0.572631 | vz: -0.2931
>>> sx: 1.21011 | sy: -0.612288 | sz: -0.633735
>>> a: 0.250585
>>> v: 2.45573
>>> s: 1.49696

ax: -0.0415344 | ay: -0.0359344 | az: -0.137314
ax: -0.0134583 | ay: -0.0577393 | az: -0.0838776
ax: 0.0363007 | ay: -0.107803 | az: 0.0415039
ax: 0.0518646 | ay: -0.110153 | az: 0.062912
ax: -0.00320435 | ay: -0.0296021 | az: -0.0137787
ax: 0.0287628 | ay: 0.000534058 | az: -0.0675812
ax: 0.0913696 | ay: -0.052002 | az: -0.0145569
ax: 0.145813 | ay: -0.0651093 | az: -0.084137
ax: 0.130157 | ay: -0.0539093 | az: -0.162354
ax: 0.319336 | ay: -0.185089 | az: -0.138367
ax: 0.510223 | ay: -0.22702 | az: -0.108307
ax: 0.612503 | ay: -0.460709 | az: 0.0701752
ax: 0.672318 | ay: -0.451385 | az: -0.0830994
ax: 0.947693 | ay: -0.315872 | az: -0.510452
ax: 1.07919 | ay: -0.273972 | az: -0.744888
ax: 1.10088 | ay: -1.81245 | az: -1.60039
ax: 1.1221 | ay: -1.51735 | az: -1.00929
ax: 1.15225 | ay: -1.31033 | az: -1.20403
ax: 0.176682 | ay: -0.537018 | az: -1.702
ax: -0.518951 | ay: -0.181931 | az: -0.677353
ax: -0.65062 | ay: 1.22528 | az: -0.0557556
ax: -0.158218 | ay: -0.67572 | az: 0.0995636
ax: -0.910904 | ay: -0.704178 | az: -0.394318
ax: -0.714233 | ay: -0.735748 | az: -0.620789
ax: -0.845078 | ay: -0.982651 | az: -0.348282
ax: -0.776566 | ay: -0.643173 | az: -0.301208
ax: -0.719604 | ay: -0.395035 | az: -0.230072
ax: -0.659241 | ay: -0.284866 | az: -0.147873
ax: -0.562363 | ay: -0.178497 | az: -0.0635834
ax: -0.456558 | ay: -0.190231 | az: -0.00531006
ax: -0.222031 | ay: -0.139557 | az: 0.0305939
ax: 0.165939 | ay: -0.141968 | az: 0.0750885
ax: 0.846329 | ay: 0.420868 | az: 0.120651
ax: 1.11624 | ay: 1.41879 | az: 0.45195
ax: 1.18179 | ay: 2.03369 | az: 0.491379
ax: 1.23448 | ay: 2.34473 | az: 1.14868
ax: 1.0768 | ay: 2.4274 | az: 1.59407
ax: 0.408646 | ay: 2.39243 | az: 1.66557
ax: 0.531052 | ay: -0.523636 | az: -0.116302
ax: 0.31134 | ay: -1.65564 | az: 0.779236
ax: 1.14935 | ay: 0.528992 | az: 1.31696
ax: 0.615509 | ay: 0.0798645 | az: 0.203934
ax: 0.65741 | ay: 1.99304 | az: -0.0136414
ax: 0.2939 | ay: 0.363312 | az: 0.108627
ax: 0.118118 | ay: 0.598679 | az: 0.355148
ax: 0.0951538 | ay: 0.394684 | az: -0.0973206
ax: -0.081665 | ay: -0.0879517 | az: -0.199493
ax: 0.128281 | ay: 0.0647278 | az: 0.166641
ax: 0.039856 | ay: -0.176056 | az: 0.088501
ax: -0.0168762 | ay: 0.0835724 | az: -0.173355
3: [20200927204649.070]
> sum ax: 10.7965 | sum ay: 1.0703 | sum az: -2.23788
>> avg ax: 0.215931 | avg ay: 0.0214059 | avg az: -0.0447577
>>> vx: 2.11612 | vy: 0.209778 | vz: -0.438625
>>> sx: 0.944666 | sy: -0.791681 | sz: -0.905132
>>> a: 0.221557
>>> v: 2.17126
>>> s: 1.52919

ax: -0.081192 | ay: -0.0524902 | az: -0.296494
ax: -0.0611877 | ay: -0.0484009 | az: -0.194168
ax: -0.0160522 | ay: -0.0540466 | az: -0.0471344
ax: 0.036026 | ay: -0.137466 | az: 0.0957947
ax: 0.0864563 | ay: -0.077301 | az: 0.156158
ax: 0.0542297 | ay: 0.001297 | az: 0.124207
ax: 0.0791931 | ay: 0.0110016 | az: 0.0547943
ax: 0.132065 | ay: -0.00888062 | az: 0.00323486
ax: 0.220856 | ay: -0.049408 | az: 0.0109253
ax: 0.230148 | ay: -0.128113 | az: -0.0164032
ax: 0.330948 | ay: -0.266525 | az: -0.149887
ax: 0.47348 | ay: -0.228577 | az: -0.197418
ax: 0.623901 | ay: -0.36264 | az: -0.0503387
ax: 0.702652 | ay: -0.49501 | az: -0.121307
ax: 1.01617 | ay: -0.520157 | az: -0.418365
ax: 1.08469 | ay: -0.961334 | az: -1.3284
ax: 1.10405 | ay: -1.94371 | az: -1.52518
ax: 1.1189 | ay: -0.710037 | az: -0.682144
ax: 1.12701 | ay: -0.982742 | az: -1.20251
ax: -0.108963 | ay: -0.543701 | az: -0.170731
ax: -0.656693 | ay: 1.4192 | az: -0.0348663
ax: -0.0103455 | ay: -0.472931 | az: -0.198715
ax: -0.83078 | ay: -0.909439 | az: -0.310745
ax: -0.796982 | ay: -0.751862 | az: -0.284912
ax: -0.844223 | ay: -0.678116 | az: -0.201218
ax: -0.735947 | ay: -0.595306 | az: -0.217773
ax: -0.689301 | ay: -0.433624 | az: -0.110626
ax: -0.630859 | ay: -0.278839 | az: -0.0294342
ax: -0.535309 | ay: -0.198959 | az: 0.0572968
ax: -0.350677 | ay: -0.108139 | az: 0.117691
ax: -0.140457 | ay: -0.0156097 | az: 0.145645
ax: 0.399826 | ay: 0.115784 | az: 0.179657
ax: 0.901764 | ay: 0.520248 | az: 0.39209
ax: 1.16757 | ay: 1.18015 | az: 0.560196
ax: 1.24135 | ay: 1.88394 | az: 0.649506
ax: 1.2961 | ay: 2.55466 | az: 0.759644
ax: 0.829971 | ay: 2.57553 | az: 1.82591
ax: 1.29213 | ay: 2.51923 | az: 1.71468
ax: 0.785431 | ay: -1.49474 | az: -1.44429
ax: 0.214615 | ay: 1.46172 | az: 0.302673
ax: 0.923935 | ay: 0.634094 | az: 1.02237
ax: 0.526306 | ay: 1.48109 | az: -0.0683441
ax: 0.172226 | ay: 0.939087 | az: 0.496765
