ax: -0.40712 | ay: -0.0587006 | az: 0.0795593
ax: 0.211441 | ay: 0.366837 | az: 0.125748
ax: 0.187714 | ay: 0.259079 | az: 0.134979
ax: 0.0895081 | ay: 0.195129 | az: -0.0201111
ax: 0.0722351 | ay: 0.449081 | az: -0.0964661
ax: 0.0413055 | ay: 0.390656 | az: -0.135406
ax: 0.0644836 | ay: 0.446579 | az: 0.0581512
ax: 0.0641479 | ay: 0.268982 | az: 0.146942
ax: 0.064621 | ay: 0.248337 | az: 0.196945
ax: 0.0448608 | ay: 0.172668 | az: 0.00814819
ax: 0.0603027 | ay: 0.247803 | az: -0.0162354
ax: 0.0357971 | ay: 0.229767 | az: 0.0417175
ax: 0.061142 | ay: 0.336914 | az: 0.16449
ax: 0.221619 | ay: 0.221878 | az: 0.0821381
ax: 0.242584 | ay: 0.108414 | az: 0.174911
ax: 0.362427 | ay: 0.134674 | az: 0.228882
ax: 0.417786 | ay: 0.0545959 | az: 0.144348
ax: 0.52301 | ay: -0.0149231 | az: 0.116318
ax: 0.627121 | ay: 0.00437927 | az: -0.102875
ax: 0.902786 | ay: -0.0220184 | az: -0.39212
ax: 1.01735 | ay: -0.222641 | az: -0.648956
ax: 1.02275 | ay: -1.75507 | az: -1.39557
ax: 1.03223 | ay: -1.16508 | az: -0.373123
ax: 0.851151 | ay: -0.987915 | az: -0.925125
ax: 0.0571899 | ay: -0.690353 | az: -0.97522
ax: -0.233658 | ay: -0.0196686 | az: -0.220978
ax: -1.3584 | ay: 1.50992 | az: -0.148285
ax: -0.14119 | ay: -0.580124 | az: -0.330673
ax: -0.928268 | ay: -0.72731 | az: -0.335129
ax: -0.763931 | ay: -0.666412 | az: -0.149689
ax: -0.815918 | ay: -0.414169 | az: -0.200592
ax: -0.771729 | ay: -0.184464 | az: -0.176208
ax: -0.6987 | ay: -0.0892334 | az: -0.0933228
ax: -0.588089 | ay: 0.00798035 | az: -0.0461731
ax: -0.424713 | ay: 0.0852814 | az: 0.00827026
ax: -0.25119 | ay: 0.119644 | az: 0.0703888
ax: 0.0501099 | ay: 0.175217 | az: 0.122314
ax: 0.668549 | ay: 0.451736 | az: 0.111023
ax: 1.22067 | ay: 1.19554 | az: 0.354675
ax: 1.30562 | ay: 1.78824 | az: 0.562592
ax: 1.38458 | ay: 2.38496 | az: 0.836075
ax: 1.21455 | ay: 2.67336 | az: 0.679504
ax: 1.08929 | ay: 2.67177 | az: 1.50507
ax: 0.878342 | ay: 2.6378 | az: 1.34106
ax: 0.653702 | ay: -0.171692 | az: 0.0157318
ax: 0.379562 | ay: -1.41016 | az: 0.0745087
ax: 1.18756 | ay: 1.49693 | az: 1.13527
ax: 0.869278 | ay: 0.83931 | az: 0.0890961
ax: 0.41272 | ay: 1.85126 | az: 0.145538
ax: -0.0599518 | ay: 0.318527 | az: 0.626831
1: [20200927205401.025]
> sum ax: 12.1472 | sum ay: 15.1633 | sum az: 2.59897
>> avg ax: 0.242945 | avg ay: 0.303266 | avg az: 0.0519794
>>> vx: 2.38086 | vy: 2.97201 | vz: 0.509398
>>> sx: 0.772565 | sy: 0.60743 | sz: -0.236636
>>> a: 0.392039
>>> v: 3.84198
>>> s: 1.01085

ax: 0.301041 | ay: 1.23375 | az: 0.0908966
ax: 0.226547 | ay: 0.369339 | az: 0.120178
ax: 0.105194 | ay: 0.210785 | az: 0.0664215
ax: 0.12767 | ay: 0.243668 | az: 0.124817
ax: 0.0622253 | ay: 0.165771 | az: -0.0158844
ax: 0.0523834 | ay: 0.454788 | az: -0.0525055
ax: -0.00419617 | ay: 0.313873 | az: -0.036972
ax: -0.00320435 | ay: 0.292038 | az: 0.0668182
ax: 0.0346832 | ay: 0.146942 | az: 0.172256
ax: 0.0471802 | ay: 0.139252 | az: 0.138626
ax: 0.035614 | ay: 0.242828 | az: 0.0986328
ax: 0.0189209 | ay: 0.324738 | az: 0.127487
ax: 0.0603638 | ay: 0.194717 | az: 0.113342
ax: 0.079071 | ay: 0.140747 | az: 0.119156
ax: 0.0850372 | ay: 0.21077 | az: -0.00733948
ax: 0.212357 | ay: 0.0714569 | az: 0.0680847
ax: 0.373215 | ay: -0.0348663 | az: 0.0250702
ax: 0.491776 | ay: -0.12056 | az: 0.193832
ax: 0.582626 | ay: -0.171387 | az: 0.155334
ax: 0.694717 | ay: -0.0552979 | az: -0.147614
ax: 0.959488 | ay: -0.119431 | az: -0.430984
ax: 1.02431 | ay: -0.413361 | az: -0.848831
ax: 1.03308 | ay: -1.49355 | az: -1.55122
ax: 1.04442 | ay: -0.676422 | az: -0.443359
ax: 0.976181 | ay: -1.06544 | az: -0.881058
ax: -0.202011 | ay: -0.315338 | az: -1.0318
ax: 0.174408 | ay: 0.289932 | az: -0.332672
ax: -0.772751 | ay: 0.658829 | az: 0.106857
ax: -0.397491 | ay: -0.774689 | az: -0.227921
ax: -0.89267 | ay: -0.777328 | az: -0.429611
ax: -0.743851 | ay: -0.664902 | az: -0.232635
ax: -0.790649 | ay: -0.518204 | az: -0.193466
ax: -0.779678 | ay: -0.238983 | az: -0.153
ax: -0.718567 | ay: -0.109131 | az: -0.107742
ax: -0.629303 | ay: -0.0303497 | az: -0.0466614
ax: -0.519958 | ay: 0.0445557 | az: 0.0135803
ax: -0.334579 | ay: 0.0356293 | az: 0.0733795
ax: -0.0293732 | ay: 0.0780792 | az: 0.132141
ax: 0.56163 | ay: 0.360214 | az: 0.112671
ax: 1.18027 | ay: 1.16884 | az: 0.314117
ax: 1.26109 | ay: 1.70523 | az: 0.454559
ax: 1.33922 | ay: 2.44121 | az: 0.589462
ax: 0.892075 | ay: 2.61784 | az: 0.58519
ax: 1.17865 | ay: 2.61003 | az: 1.4789
ax: 0.858292 | ay: 2.39275 | az: 1.4967
ax: 0.628937 | ay: -0.436264 | az: 0.616989
ax: 0.445267 | ay: -1.48213 | az: 0.600876
ax: 0.983917 | ay: 1.18942 | az: 1.3409
ax: 0.963104 | ay: 0.482086 | az: 0.179398
ax: 0.542648 | ay: 1.96249 | az: 0.0452271
2: [20200927205402.027]
> sum ax: 12.8193 | sum ay: 13.295 | sum az: 2.65062
>> avg ax: 0.256386 | avg ay: 0.265899 | avg az: 0.0530124
>>> vx: 2.51259 | vy: 2.60581 | vz: 0.519522
>>> sx: 0.876192 | sy: 0.621185 | sz: -0.25631
>>> a: 0.373158
>>> v: 3.65695
>>> s: 1.10421

ax: 0.0861053 | ay: 0.493057 | az: 0.702515
ax: 0.0911865 | ay: 1.10045 | az: 0.0578766
ax: 0.217545 | ay: 0.429688 | az: 0.124435
ax: 0.0684967 | ay: 0.159821 | az: 0.165756
ax: 0.0764618 | ay: 0.128403 | az: 0.117966
ax: 0.0531921 | ay: 0.187027 | az: -0.0504761
ax: -0.032547 | ay: 0.286697 | az: -0.00358582
ax: -0.0436859 | ay: 0.44368 | az: -0.0659485
ax: 0.0010376 | ay: 0.285812 | az: 0.0173187
ax: 0.0206909 | ay: 0.176437 | az: 0.0576477
ax: 0.0848999 | ay: 0.10675 | az: 0.164932
ax: 0.0834503 | ay: 0.110489 | az: 0.182816
ax: 0.0495148 | ay: 0.0198059 | az: 0.0821381
ax: 0.0924683 | ay: 0.0836639 | az: 0.0334778
ax: 0.125031 | ay: 0.276932 | az: 0.123749
ax: 0.192886 | ay: 0.233612 | az: 0.0988922
ax: 0.210266 | ay: 0.0171356 | az: 0.0860596
ax: 0.361237 | ay: -0.163818 | az: -0.0728149
ax: 0.446854 | ay: -0.111191 | az: 0.0121155
ax: 0.536392 | ay: -0.179733 | az: 0.0980377
ax: 0.644775 | ay: -0.199722 | az: -0.156494
ax: 0.995209 | ay: -0.196228 | az: -0.330276
ax: 1.03821 | ay: -0.896744 | az: -1.21446
ax: 1.04964 | ay: -1.53104 | az: -1.06406
ax: 1.06615 | ay: -0.761658 | az: -0.486084
ax: 0.819046 | ay: -0.896317 | az: -0.934418
ax: -0.249756 | ay: -0.298813 | az: -0.616028
ax: 0.820801 | ay: 1.07278 | az: -0.103226
ax: -0.376678 | ay: 0.00927734 | az: -0.0339203
ax: -0.537384 | ay: -0.751404 | az: -0.295761
ax: -0.852509 | ay: -0.742416 | az: -0.365479
ax: -0.748276 | ay: -0.622162 | az: -0.179657
ax: -0.797882 | ay: -0.442474 | az: -0.214798
ax: -0.757751 | ay: -0.275543 | az: -0.180893
ax: -0.699478 | ay: -0.176117 | az: -0.0996552
ax: -0.601837 | ay: -0.0767212 | az: -0.00950623
ax: -0.43396 | ay: -0.0149231 | az: 0.0483704
ax: -0.255371 | ay: -0.00888062 | az: 0.0766602
ax: 0.103165 | ay: 0.0263977 | az: 0.147247
ax: 0.769211 | ay: 0.367279 | az: 0.186295
ax: 1.18752 | ay: 1.11858 | az: 0.44278
ax: 1.26854 | ay: 1.69339 | az: 0.386658
ax: 1.34122 | ay: 2.41454 | az: 0.683441
ax: 0.835251 | ay: 2.63042 | az: 0.708679
ax: 0.943634 | ay: 2.62762 | az: 1.89743
ax: 0.81749 | ay: 2.1638 | az: 1.02655
ax: 0.172653 | ay: -0.974869 | az: -0.249039
ax: 0.875168 | ay: -1.45438 | az: 0.586472
ax: 0.867004 | ay: 1.17067 | az: 1.3387
ax: 0.675812 | ay: 0.922348 | az: -0.307861
3: [20200927205403.015]
> sum ax: 12.7011 | sum ay: 9.98141 | sum az: 2.62057
>> avg ax: 0.254022 | avg ay: 0.199628 | avg az: 0.0524115
>>> vx: 2.48941 | vy: 1.95636 | vz: 0.513633
>>> sx: 0.874827 | sy: 0.457304 | sz: -0.110218
>>> a: 0.3273
>>> v: 3.20754
>>> s: 0.993276

ax: 0.723953 | ay: 2.16241 | az: 0.232788
ax: -0.139404 | ay: 0.148956 | az: 0.912979
ax: 0.0325775 | ay: 1.11055 | az: -0.119461
ax: 0.0632019 | ay: 0.195404 | az: 0.198776
ax: 0.0567474 | ay: 0.281494 | az: -0.0298157
ax: 0.0452271 | ay: 0.320221 | az: 0.107086
ax: 0.0132904 | ay: 0.260941 | az: 0.0964813
ax: 0.00787354 | ay: 0.470978 | az: 0.061554
ax: 0.0349274 | ay: 0.186264 | az: 0.0760956
ax: 0.0404663 | ay: 0.207352 | az: 0.0573883
ax: 0.0452728 | ay: 0.186691 | az: 0.0271912
ax: 0.0389709 | ay: 0.209198 | az: 0.0674896
ax: 0.0458832 | ay: 0.190369 | az: 0.104004
ax: 0.0340881 | ay: 0.160446 | az: 0.0848389
ax: 0.0270538 | ay: 0.165878 | az: 0.0857239
ax: 0.0397797 | ay: 0.207947 | az: 0.110123
