ax: -0.0185547 | ay: 0.114395 | az: -0.0598755
ax: -0.25914 | ay: -0.204895 | az: -0.0563202
ax: -0.845673 | ay: -0.538971 | az: -0.253754
ax: -0.818527 | ay: -0.547699 | az: -0.310837
ax: -0.816422 | ay: -0.441284 | az: -0.212189
ax: -0.81868 | ay: -0.318008 | az: -0.101028
ax: -0.759369 | ay: -0.19693 | az: 0.0549469
ax: -0.675003 | ay: -0.198746 | az: 0.0687714
ax: -0.569107 | ay: -0.116638 | az: 0.106216
ax: -0.460571 | ay: -0.0493317 | az: 0.130478
ax: -0.288162 | ay: -0.00183105 | az: 0.145096
ax: -0.0626984 | ay: 0.149765 | az: 0.154129
ax: 0.323578 | ay: 0.195877 | az: 0.131393
ax: 1.03577 | ay: 0.640152 | az: 0.245407
ax: 1.23039 | ay: 1.38861 | az: 0.578674
ax: 1.30482 | ay: 1.90475 | az: 0.796158
ax: 1.36229 | ay: 2.43607 | az: 1.07336
ax: 1.04695 | ay: 2.59235 | az: 1.35585
ax: 0.607697 | ay: 2.57329 | az: 1.3551
ax: 0.605026 | ay: 0.571335 | az: -0.00111389
ax: 0.224503 | ay: -1.46796 | az: 0.228241
ax: 1.20639 | ay: 0.837723 | az: 1.12811
ax: 1.10225 | ay: 0.297379 | az: 0.534927
ax: 0.683151 | ay: 1.45499 | az: 0.174133
ax: 0.535339 | ay: 0.617722 | az: 0.0825043
ax: -0.122772 | ay: 0.501709 | az: 0.283112
ax: 0.193527 | ay: 0.729202 | az: 0.185577
ax: 0.0567627 | ay: 0.293045 | az: 0.0153656
ax: 0.0410919 | ay: 0.224304 | az: 0.0101318
ax: 0.125946 | ay: 0.202362 | az: 0.059433
ax: 0.0680084 | ay: 0.155777 | az: 0.0837097
ax: 0.0722351 | ay: 0.231125 | az: -0.00437927
ax: -0.00308228 | ay: 0.0863647 | az: -0.160446
ax: -0.0410156 | ay: 0.0493622 | az: -0.152557
ax: -0.0361786 | ay: 0.0562744 | az: -0.128143
ax: -0.0052948 | ay: 0.0939178 | az: 0.0315857
ax: 0.117111 | ay: 0.151474 | az: 0.18782
ax: 0.11438 | ay: 0.149536 | az: 0.235016
ax: 0.0631714 | ay: 0.185898 | az: 0.129242
ax: 0.03302 | ay: 0.156586 | az: 0.096756
ax: 0.0168304 | ay: 0.196152 | az: 0.0518951
ax: 0.0702972 | ay: 0.187592 | az: 0.078064
ax: 0.0821228 | ay: 0.132217 | az: 0.074585
ax: 0.135223 | ay: 0.0634308 | az: 0.0130463
ax: 0.237289 | ay: -0.0277405 | az: -0.0388031
ax: 0.360092 | ay: -0.119644 | az: 0.0837555
ax: 0.514526 | ay: -0.270798 | az: 0.200806
ax: 0.605743 | ay: -0.221085 | az: -0.0425262
ax: 1.01398 | ay: -0.20314 | az: -0.470795
ax: 1.04454 | ay: -0.143158 | az: -0.636795
1: [20200927205626.778]
> sum ax: 9.6338 | sum ay: 14.5529 | sum az: 7.53384
>> avg ax: 0.192676 | avg ay: 0.291057 | avg az: 0.150677
>>> vx: 1.88823 | vy: 2.85236 | vz: 1.47663
>>> sx: 0.403348 | sy: 1.64453 | sz: 0.965325
>>> a: 0.380187
>>> v: 3.72583
>>> s: 1.94911

ax: 1.05801 | ay: -1.68469 | az: -1.4129
ax: 1.07176 | ay: -0.776459 | az: -0.731857
ax: 1.00357 | ay: -1.18681 | az: -0.763763
ax: 0.231369 | ay: -0.624664 | az: -1.14149
ax: -0.734772 | ay: -0.136398 | az: -0.11795
ax: -0.370819 | ay: 1.27495 | az: -0.0790863
ax: -0.256119 | ay: -0.426651 | az: -0.0667572
ax: -0.748795 | ay: -0.762604 | az: -0.38797
ax: -0.755066 | ay: -0.792419 | az: -0.330124
