ax: 0.699982 | ay: 0.0194855 | az: -0.344894
ax: 0.699982 | ay: 0.0194855 | az: -0.344894
ax: 1.1228 | ay: -1.11137 | az: -0.581757
ax: 0.787384 | ay: -0.6035 | az: -0.676239
ax: 1.06282 | ay: -0.431107 | az: -0.693069
ax: 1.16156 | ay: -0.776855 | az: -0.543686
ax: 1.13133 | ay: -1.05193 | az: -0.436615
ax: 0.645004 | ay: -0.97139 | az: -0.198608
ax: -0.120026 | ay: -0.528214 | az: -0.148529
ax: -0.744064 | ay: 0.187881 | az: -0.226456
ax: -1.14285 | ay: 0.719391 | az: -0.626678
ax: -0.685104 | ay: 0.545059 | az: -0.595001
ax: -0.40155 | ay: 0.389465 | az: -0.552643
ax: -0.229538 | ay: 0.256088 | az: -0.18309
ax: -0.544907 | ay: 0.679092 | az: -0.0327606
ax: -0.690659 | ay: 1.46201 | az: 0.242722
ax: -0.400314 | ay: 1.71579 | az: 0.500916
ax: -0.836441 | ay: 2.28127 | az: 1.02669
ax: -0.359131 | ay: 2.32538 | az: 1.76649
ax: 0.33757 | ay: 2.34941 | az: 2.09573
ax: 0.523499 | ay: 2.35506 | az: 1.94618
ax: 0.326813 | ay: 2.33067 | az: 1.59773
ax: -0.0252533 | ay: 2.27022 | az: 1.54134
ax: -0.21814 | ay: 1.49037 | az: 1.4342
ax: -1.0192 | ay: 2.0896 | az: -0.805222
ax: 0.801178 | ay: 0.140381 | az: 2.32845
ax: 1.03995 | ay: 1.89276 | az: 1.16942
ax: 0.148743 | ay: -1.5197 | az: 1.68295
ax: -0.684021 | ay: 0.915665 | az: -0.102554
ax: 0.489792 | ay: 1.11693 | az: 0.0505524
ax: 1.08401 | ay: 0.712601 | az: 0.580353
ax: 1.08424 | ay: 0.374786 | az: -0.0946655
ax: 1.0768 | ay: -1.08949 | az: -1.22272
ax: 1.06508 | ay: -2.33702 | az: -1.88922
ax: 1.05815 | ay: -1.37486 | az: -0.881165
ax: 1.06396 | ay: 1.67125 | az: 0.110855
ax: 0.690979 | ay: -0.378784 | az: 0.280518
ax: 1.12227 | ay: -2.39171 | az: -0.783981
ax: 1.15779 | ay: -2.37082 | az: -0.548218
ax: 0.864532 | ay: -0.705444 | az: -1.10538
ax: 1.24352 | ay: -1.44771 | az: -0.815109
ax: 1.27534 | ay: -2.10535 | az: -0.720215
