ax: 1.3345 | ay: -1.78661 | az: 2.18353
ax: -1.71899 | ay: -0.0959473 | az: -0.324585
ax: -0.58223 | ay: -0.198715 | az: -0.406586
ax: -0.268692 | ay: -0.474686 | az: -0.141815
ax: -0.56871 | ay: -0.201736 | az: 0.343948
ax: -1.07535 | ay: 0.431885 | az: 0.798981
ax: -0.755417 | ay: 0.718933 | az: 1.23906
ax: -1.49271 | ay: 1.91158 | az: 1.43889
ax: -0.554535 | ay: 1.98375 | az: 1.67148
ax: 0.698151 | ay: 2.03662 | az: 1.75932
ax: 0.834915 | ay: 2.08142 | az: 2.15164
ax: 0.579178 | ay: 2.0666 | az: 2.4664
ax: 0.784897 | ay: 1.98132 | az: 1.10461
ax: 1.32471 | ay: -2.16628 | az: 2.71848
ax: -0.833542 | ay: -2.25087 | az: 1.67027
ax: 1.23343 | ay: 1.34744 | az: 1.27951
ax: 0.716248 | ay: 1.62444 | az: -0.243607
ax: 0.913254 | ay: 1.09518 | az: 0.97847
ax: 1.24689 | ay: 0.759109 | az: 1.17288
ax: 1.24818 | ay: 0.256073 | az: 0.357712
ax: 1.24411 | ay: -0.412186 | az: -0.428284
ax: 1.23276 | ay: -1.81361 | az: -1.32062
ax: 1.21713 | ay: -2.50513 | az: -1.63683
ax: 1.20941 | ay: 0.479111 | az: -0.332535
ax: -2.37204 | ay: 1.49919 | az: -1.52162
ax: 1.25349 | ay: -2.07578 | az: -0.0465088
ax: 1.27367 | ay: -2.16486 | az: -0.533401
ax: 1.31488 | ay: -1.13583 | az: -0.518738
ax: 1.36806 | ay: -0.832642 | az: -0.833176
ax: 1.41196 | ay: -2.29796 | az: -0.323654
ax: 1.45036 | ay: -2.53877 | az: -0.364075
ax: 1.43359 | ay: -2.3233 | az: -0.177567
ax: -0.184372 | ay: -1.17386 | az: -0.289536
ax: -1.4079 | ay: -0.877487 | az: -0.293869
ax: -2.20123 | ay: -0.272079 | az: -0.535599
ax: -0.633926 | ay: -0.197968 | az: -0.567429
ax: 0.122879 | ay: -0.785583 | az: -0.475861
ax: 0.222748 | ay: -0.635452 | az: -0.019165
ax: -0.392273 | ay: -0.175125 | az: 0.47316
ax: -0.43956 | ay: 0.84375 | az: 1.15118
ax: -0.967636 | ay: 1.9541 | az: 1.78458
ax: -0.272934 | ay: 2.05223 | az: 2.60394
ax: 1.38647 | ay: 2.1203 | az: 2.64911
ax: 1.0975 | ay: 2.1647 | az: 2.78448
ax: 0.0313873 | ay: 2.12131 | az: 2.77861
ax: 0.539917 | ay: 2.02208 | az: 2.7587
ax: 1.28296 | ay: -2.06024 | az: 0.18222
ax: 1.22696 | ay: 1.82729 | az: 2.56204
ax: -0.38472 | ay: 1.73772 | az: -1.07581
ax: 1.06512 | ay: 1.65112 | az: 0.693512
1: [20200927214206.250]
> sum ax: 15.193 | sum ay: 7.31456 | sum az: 31.3459
>> avg ax: 0.303859 | avg ay: 0.146291 | avg az: 0.626917
>>> vx: 2.97782 | vy: 1.43365 | vz: 6.14379
>>> sx: 1.11466 | sy: 0.309184 | sz: 3.04302
>>> a: 0.711869
>>> v: 6.97631
>>> s: 3.25546

ax: 1.22014 | ay: -0.219025 | az: 1.13518
ax: 1.2216 | ay: -0.74411 | az: 0.255707
ax: 1.21819 | ay: -1.52148 | az: -1.49635
ax: 1.19868 | ay: -2.4623 | az: -1.62039
ax: 1.19089 | ay: 0.993973 | az: -0.525299
ax: -2.80077 | ay: 1.56647 | az: -0.285065
ax: 1.22229 | ay: -2.50081 | az: -0.0263977
ax: 1.24969 | ay: -2.54759 | az: -0.97493
ax: 1.30669 | ay: -0.933273 | az: -0.942215
ax: 1.37587 | ay: -0.945328 | az: -0.645081
ax: 1.43187 | ay: -2.78897 | az: -0.367798
ax: 1.48331 | ay: -2.84995 | az: -0.675781
ax: 1.5229 | ay: -2.87877 | az: -0.281052
ax: 0.109711 | ay: -1.58128 | az: -0.359573
ax: -1.7226 | ay: -0.955322 | az: -0.829849
ax: -2.55748 | ay: -0.0939331 | az: -0.548981
ax: -0.641891 | ay: 0.11377 | az: -0.765427
ax: 1.0611 | ay: -1.7314 | az: -0.607574
ax: 0.169388 | ay: 0.455566 | az: -0.0844574
ax: -0.320038 | ay: -0.785645 | az: 0.538666
ax: -0.61647 | ay: 0.387894 | az: 1.05568
ax: -1.29829 | ay: 2.1097 | az: 1.4931
ax: 0.0891113 | ay: 2.21011 | az: 2.19174
ax: 1.43451 | ay: 2.31146 | az: 2.16505
ax: 1.49997 | ay: 2.40971 | az: 2.71609
ax: 1.07002 | ay: 2.40123 | az: 2.76627
ax: 1.45586 | ay: 2.28955 | az: 1.49008
ax: 1.38467 | ay: -1.84981 | az: 2.77379
ax: -2.73044 | ay: 1.34996 | az: 2.68271
ax: -2.30493 | ay: 0.991821 | az: -1.39055
ax: 1.19659 | ay: 0.655121 | az: 0.592331
ax: 1.19402 | ay: 1.69675 | az: 2.28276
ax: 1.20653 | ay: -0.00495911 | az: 0.893784
