ax: -0.180206 | ay: -1.68903 | az: -1.51587
ax: 0.660889 | ay: -2.06384 | az: -0.0873413
ax: -1.00764 | ay: 1.86278 | az: 1.28101
ax: -0.0803223 | ay: 1.19731 | az: -0.39827
ax: -0.607666 | ay: 0.88002 | az: 0.310989
ax: 1.10631 | ay: 0.514801 | az: 0.37648
ax: 1.13449 | ay: 0.871964 | az: 0.0879364
ax: 1.15675 | ay: 0.664627 | az: -0.373642
ax: 1.16621 | ay: -0.851654 | az: -1.02072
ax: 1.15326 | ay: -1.49544 | az: -1.89619
ax: 1.13063 | ay: -2.39781 | az: -2.24274
ax: 1.12505 | ay: -0.458939 | az: -1.04848
ax: -1.56718 | ay: 0.459702 | az: -1.61139
ax: 1.22432 | ay: -1.47618 | az: -0.782745
ax: 1.28758 | ay: -1.84308 | az: -0.943375
ax: 1.37445 | ay: -0.792175 | az: -1.74294
ax: 1.46992 | ay: -0.803909 | az: -1.16039
ax: 1.54564 | ay: -1.81277 | az: -0.542435
ax: 1.59711 | ay: -2.53685 | az: -0.855118
ax: 0.871124 | ay: -1.79568 | az: -0.911743
ax: -1.01971 | ay: -0.936356 | az: -0.740387
ax: -2.15353 | ay: -0.289734 | az: -0.846069
ax: -0.939804 | ay: -0.0965881 | az: -0.997391
ax: -0.17244 | ay: -0.868347 | az: -1.17496
ax: 0.0104675 | ay: -0.704575 | az: -0.798233
ax: -0.559372 | ay: -0.296387 | az: -0.0318146
ax: -0.65921 | ay: 0.490692 | az: 0.665268
ax: -1.20981 | ay: 2.04091 | az: 1.32484
ax: -0.565964 | ay: 2.1519 | az: 1.73816
ax: 1.04782 | ay: 2.24347 | az: 1.63283
ax: 1.05881 | ay: 2.27336 | az: 2.19846
ax: 0.0309143 | ay: 2.22156 | az: 2.1927
ax: 0.0518188 | ay: 2.12309 | az: 2.1741
ax: 1.00362 | ay: -2.03119 | az: 2.07881
ax: -2.99088 | ay: 1.87398 | az: 0.369614
ax: -0.892746 | ay: 1.3317 | az: 0.0268097
ax: 0.270233 | ay: 0.0438538 | az: 0.812698
ax: 1.1048 | ay: 0.858704 | az: 0.527725
ax: 1.13556 | ay: 0.475662 | az: -0.039917
ax: 1.15514 | ay: -0.634338 | az: -1.53004
ax: 1.14252 | ay: -2.43134 | az: -2.28035
ax: 1.11446 | ay: -2.2466 | az: -2.26869
ax: 1.11638 | ay: 1.60474 | az: -0.14151
ax: 1.0907 | ay: 1.5025 | az: -1.2222
ax: 1.22908 | ay: -2.17342 | az: -1.3773
ax: 1.31505 | ay: -1.79871 | az: -1.64641
ax: 1.41914 | ay: -0.71962 | az: -2.07298
ax: 1.51982 | ay: -2.68584 | az: -0.84108
ax: 1.60594 | ay: -2.7605 | az: -1.04869
ax: 1.67683 | ay: -2.73032 | az: -1.23991
1: [20200927213326.340]
> sum ax: 23.4963 | sum ay: -15.7339 | sum az: -19.6329
>> avg ax: 0.469927 | avg ay: -0.314678 | avg az: -0.392658
>>> vx: 4.60528 | vy: -3.08384 | vz: -3.84805
>>> sx: 1.78617 | sy: -1.25906 | sz: -1.93177
>>> a: 0.688501
>>> v: 6.74731
>>> s: 2.91674

ax: 0.531204 | ay: -1.66141 | az: -1.18297
ax: -1.38409 | ay: -0.959457 | az: -1.44986
ax: -2.34549 | ay: -0.0622101 | az: -1.34053
ax: -1.00896 | ay: 0.189804 | az: -1.37807
ax: 0.189102 | ay: -1.06593 | az: -1.24835
ax: -0.0211334 | ay: 0.254822 | az: -0.91188
ax: -0.790421 | ay: -0.374664 | az: -0.531387
ax: -1.57378 | ay: 0.387268 | az: 0.178238
ax: -2.31451 | ay: 1.65695 | az: 0.666092
ax: -1.2066 | ay: 2.13632 | az: 1.46361
ax: 0.828796 | ay: 2.23975 | az: 1.97902
ax: 1.08282 | ay: 2.32173 | az: 1.78444
ax: 1.09579 | ay: 2.35475 | az: 2.23775
ax: 0.904785 | ay: 2.30759 | az: 1.88451
ax: -0.262909 | ay: 1.01511 | az: 2.08223
ax: -0.725128 | ay: 2.12202 | az: 0.69162
ax: 1.01009 | ay: -2.0327 | az: 2.13774
ax: -2.98677 | ay: 1.84322 | az: 0.470276
ax: 1.03397 | ay: 1.74294 | az: -2.026
ax: 1.05949 | ay: 1.66589 | az: 0.509262
ax: 1.08051 | ay: -0.533875 | az: -0.274506
ax: 1.08691 | ay: -2.38826 | az: -2.12437
ax: 1.07104 | ay: -2.34621 | az: -2.13089
ax: 1.06993 | ay: 1.65659 | az: -0.33992
ax: -0.850159 | ay: 1.5713 | az: -0.790588
ax: 1.17102 | ay: -2.49081 | az: -1.36415
ax: 1.24028 | ay: -2.42886 | az: -1.30464
ax: 1.34595 | ay: -0.679657 | az: -1.32404
ax: 1.47148 | ay: -0.802521 | az: -1.71281
ax: 1.59442 | ay: -2.23296 | az: -1.31329
ax: 1.70567 | ay: -2.84206 | az: -0.541214
ax: 1.81239 | ay: -2.81227 | az: -1.37787
ax: 1.89067 | ay: -2.79291 | az: -0.987045
ax: 0.146729 | ay: -1.68881 | az: -1.74043
ax: -2.07919 | ay: -1.28447 | az: -1.87926
ax: -2.17963 | ay: -0.0321808 | az: -1.18671
ax: -0.575302 | ay: -0.552216 | az: -1.7326
ax: 0.571365 | ay: -0.975723 | az: -1.42403
ax: 0.468475 | ay: -0.533737 | az: -1.42928
ax: -0.173645 | ay: -0.592529 | az: -0.325668
ax: -1.42432 | ay: 0.0490265 | az: -0.0977631
ax: -1.46841 | ay: 1.30722 | az: 0.587967
ax: -0.0367737 | ay: 2.19704 | az: 1.1404
ax: 1.10353 | ay: 2.32623 | az: 1.64456
ax: 1.1642 | ay: 2.43622 | az: 2.33333
ax: 1.19284 | ay: 2.48288 | az: 2.33954
ax: 1.11374 | ay: 2.43944 | az: 2.04312
ax: 0.665726 | ay: 1.85735 | az: 2.33604
ax: 1.0602 | ay: 2.19531 | az: 1.10263
ax: 1.01691 | ay: -1.95467 | az: 2.17737
2: [20200927213327.424]
> sum ax: 9.37282 | sum ay: 6.63567 | sum az: -3.68039
>> avg ax: 0.187456 | avg ay: 0.132713 | avg az: -0.0736078
>>> vx: 1.83707 | vy: 1.30059 | vz: -0.721357
>>> sx: -0.0941182 | sy: 0.555586 | sz: -1.13502
>>> a: 0.241186
>>> v: 2.36363
>>> s: 1.26721

ax: -2.7881 | ay: -1.57475 | az: 2.08125
ax: 1.03468 | ay: 1.73897 | az: -0.853226
ax: 1.06921 | ay: 1.63727 | az: -0.671143
ax: 1.10243 | ay: 0.683838 | az: -0.483215
ax: 1.1179 | ay: -2.02831 | az: -2.08644
ax: 1.09833 | ay: -2.40369 | az: -2.15477
ax: 1.08858 | ay: 0.91713 | az: -1.03763
ax: -1.3652 | ay: 1.5437 | az: -1.16609
ax: 1.18832 | ay: -2.51413 | az: -0.873703
ax: 1.25511 | ay: -2.32275 | az: -0.975479
ax: 1.36143 | ay: -0.41568 | az: -1.04881
ax: 1.49277 | ay: -0.568283 | az: -1.74092
ax: 1.60895 | ay: -2.83369 | az: -1.46242
ax: 1.72136 | ay: -2.83473 | az: -1.73949
ax: 1.82312 | ay: -2.80115 | az: -1.52133
ax: 1.1655 | ay: -2.60536 | az: -1.00394
ax: -0.309937 | ay: -1.22098 | az: -1.61557
ax: -2.10765 | ay: -0.863937 | az: -1.43918
ax: -1.68726 | ay: -0.0101318 | az: -1.17458
ax: 0.0925293 | ay: -0.887848 | az: -1.44128
ax: 0.289932 | ay: -0.267319 | az: -1.39325
ax: 0.0945892 | ay: -0.87326 | az: -0.969788
ax: -0.722183 | ay: -0.542603 | az: -0.149521
ax: -1.12776 | ay: -0.0253448 | az: 0.172363
ax: -0.864822 | ay: 1.46727 | az: 0.80162
ax: 1.09271 | ay: 2.24191 | az: 1.42551
ax: 1.17346 | ay: 2.35495 | az: 2.27817
ax: 1.242 | ay: 2.45297 | az: 2.46925
ax: 0.289261 | ay: 2.47896 | az: 2.48488
ax: 0.542664 | ay: 2.40485 | az: 2.28191
ax: 0.670181 | ay: 1.47588 | az: 2.48756
ax: 1.11446 | ay: 2.21994 | az: 1.94777
ax: 1.0361 | ay: -1.92075 | az: -1.74582
ax: 1.02126 | ay: 1.91988 | az: 2.18869
ax: -0.349121 | ay: 1.78981 | az: 2.08295
ax: 1.05438 | ay: 1.67516 | az: -0.792618
ax: 1.0932 | ay: 1.21593 | az: -0.639587
ax: 1.12271 | ay: -2.27722 | az: -2.06889
ax: 1.11154 | ay: -2.44739 | az: -2.06885
ax: 1.09708 | ay: 0.296326 | az: -2.05849
ax: 1.12077 | ay: 1.53857 | az: -1.33235
ax: 0.904694 | ay: 0.362518 | az: -1.61229
ax: 1.23604 | ay: -1.49854 | az: -0.605164
ax: 1.32759 | ay: -1.16888 | az: -1.04541
ax: 1.4472 | ay: -0.392807 | az: -1.79898
ax: 1.5632 | ay: -2.57561 | az: -1.62489
ax: 1.67014 | ay: -2.85329 | az: -1.60732
ax: 1.77213 | ay: -2.82559 | az: -1.17184
ax: 1.62373 | ay: -2.80803 | az: -0.612091
ax: -0.467834 | ay: -1.36247 | az: -1.9357
3: [20200927213328.533]
> sum ax: 33.1414 | sum ay: -17.3087 | sum az: -27.0201
>> avg ax: 0.662828 | avg ay: -0.346174 | avg az: -0.540403
>>> vx: 6.49571 | vy: -3.39251 | vz: -5.29595
>>> sx: 2.60516 | sy: -1.62858 | sz: -2.75478
>>> a: 0.922612
>>> v: 9.04159
>>> s: 4.1265

ax: -2.10857 | ay: -0.965942 | az: -1.09792
ax: -2.2148 | ay: -0.373108 | az: -1.10378
ax: -0.767563 | ay: -0.553391 | az: -1.34129
ax: 0.265381 | ay: -0.860184 | az: -1.29491
ax: 0.0719299 | ay: -0.984436 | az: -0.795776
ax: -0.0471954 | ay: -1.37985 | az: -0.356628
ax: -1.07793 | ay: -0.536301 | az: 0.281693
ax: -1.78021 | ay: 1.12448 | az: 0.702438
ax: 0.0669708 | ay: 2.12665 | az: 1.36821
ax: 1.13803 | ay: 2.2587 | az: 1.70697
ax: 1.209 | ay: 2.38139 | az: 2.47833
ax: 1.24435 | ay: 2.42715 | az: 2.49648
ax: 1.11815 | ay: 2.3589 | az: 2.51509
ax: 1.16426 | ay: 2.24611 | az: 2.40103
ax: 1.08606 | ay: -1.90672 | az: -1.60501
ax: -1.03545 | ay: 1.9435 | az: 2.28667
ax: -0.831284 | ay: 0.915222 | az: 2.1852
ax: 0.633514 | ay: -0.104691 | az: -0.57814
ax: 1.0882 | ay: 0.140152 | az: -0.037674
ax: 1.11749 | ay: -0.241943 | az: -1.38771
ax: 1.12411 | ay: -2.48164 | az: -2.02753
ax: 1.10614 | ay: -2.44429 | az: -2.05945
ax: 1.1017 | ay: 1.56557 | az: -0.0114136
ax: -2.40585 | ay: 1.47563 | az: -0.419785
ax: 1.20947 | ay: -1.69316 | az: -0.884369
ax: 1.28258 | ay: -1.85709 | az: -0.937454
ax: 1.38744 | ay: 0.141891 | az: -1.16344
ax: 1.51022 | ay: -0.727493 | az: -1.99876
ax: 1.61098 | ay: -2.8821 | az: -1.6331
ax: 1.71745 | ay: -2.86346 | az: -1.41231
ax: 1.8231 | ay: -2.82875 | az: -1.28375
ax: 1.5385 | ay: -2.82115 | az: -0.934402
ax: 0.493805 | ay: -1.79715 | az: -1.32227
ax: -2.07452 | ay: -1.19144 | az: -1.39293
ax: -2.18948 | ay: 0.142105 | az: -1.03644
ax: -0.381378 | ay: -0.886459 | az: -1.10619
ax: 0.746002 | ay: -0.488922 | az: -1.08939
ax: 0.3685 | ay: -1.46712 | az: -0.738403
ax: 0.241165 | ay: -0.954041 | az: -0.0961609
ax: -0.4245 | ay: -0.978256 | az: 0.339371
ax: -0.645996 | ay: 1.46106 | az: 0.866196
ax: 0.524902 | ay: 2.19606 | az: 1.15927
ax: 1.18027 | ay: 2.3246 | az: 1.7585
ax: 1.25854 | ay: 2.43652 | az: 2.50954
ax: 1.29724 | ay: 2.48506 | az: 2.52039
ax: 0.503632 | ay: 2.43752 | az: 1.98051
ax: 0.769943 | ay: 1.99988 | az: 2.54381
ax: 1.15903 | ay: 2.23433 | az: -0.165131
ax: 1.07161 | ay: -1.88168 | az: -1.64772
ax: -0.438705 | ay: 0.311203 | az: 2.27988
4: [20200927213329.338]
> sum ax: 16.8062 | sum ay: 0.98291 | sum az: 1.42035
>> avg ax: 0.336125 | avg ay: 0.0196582 | avg az: 0.028407
>>> vx: 3.29402 | vy: 0.19265 | vz: 0.278389
>>> sx: 0.853076 | sy: -0.196412 | sz: -0.324283
>>> a: 0.337895
>>> v: 3.31138
>>> s: 0.933528

ax: 0.885025 | ay: 1.81122 | az: -0.807175
ax: 0.979782 | ay: 1.69984 | az: 0.059433
ax: 1.08459 | ay: 0.290131 | az: -0.321701
ax: 1.11073 | ay: -1.28969 | az: -1.91656
ax: 1.10907 | ay: -2.45406 | az: -2.00427
ax: 1.09622 | ay: -1.36086 | az: -2.01659
ax: 1.10417 | ay: 1.55698 | az: -0.106445
ax: 0.690552 | ay: 1.47044 | az: -1.61435
ax: 1.19275 | ay: -1.40576 | az: -0.724442
ax: 1.26125 | ay: -1.42397 | az: -1.27022
ax: 1.35078 | ay: -0.761185 | az: -1.55281
ax: 1.45657 | ay: -1.43916 | az: -1.8519
ax: 1.55785 | ay: -2.54442 | az: -1.4715
ax: 1.65913 | ay: -2.82903 | az: -1.40999
ax: 1.75262 | ay: -2.81473 | az: -1.19278
ax: 1.16591 | ay: -2.19664 | az: -0.791519
ax: -0.763046 | ay: -1.0733 | az: -1.83444
ax: -2.21249 | ay: -0.258575 | az: -1.46898
ax: -1.33124 | ay: -0.00737 | az: -1.43468
ax: -0.354416 | ay: -0.786591 | az: -1.1656
ax: 0.37294 | ay: -0.572678 | az: -0.816727
ax: 0.332947 | ay: -1.29694 | az: -0.645889
ax: -0.116608 | ay: -0.579819 | az: -0.0404053
ax: -0.827255 | ay: 0.29538 | az: 0.536148
ax: -1.01135 | ay: 1.92773 | az: 1.22836
ax: 1.14578 | ay: 2.22469 | az: 1.66513
ax: 1.23849 | ay: 2.35378 | az: 2.26772
ax: 1.30765 | ay: 2.45813 | az: 2.5574
ax: 0.798203 | ay: 2.43816 | az: 2.58234
ax: 0.554382 | ay: 2.26404 | az: 2.58287
ax: 1.19904 | ay: 2.22894 | az: 0.821762
ax: 1.09875 | ay: -1.87453 | az: -1.58524
ax: 1.06201 | ay: 0.90538 | az: 2.34427
ax: -0.385422 | ay: 1.84204 | az: 1.51106
ax: 0.924957 | ay: 1.42345 | az: 0.419815
ax: 1.07762 | ay: 0.0349121 | az: 0.191376
ax: 1.10323 | ay: -0.724976 | az: -1.45502
ax: 1.10686 | ay: -2.44868 | az: -1.96986
ax: 1.09433 | ay: -2.42387 | az: -1.49359
ax: 1.09528 | ay: 1.57404 | az: -0.928406
ax: -1.21642 | ay: 1.4859 | az: -0.415771
ax: 1.18637 | ay: -0.76561 | az: -0.469849
ax: 1.24747 | ay: -1.10789 | az: -0.663528
ax: 1.33136 | ay: -0.523483 | az: -1.82872
ax: 1.42944 | ay: -1.49857 | az: -1.88452
ax: 1.5108 | ay: -2.83658 | az: -1.02565
ax: 1.6024 | ay: -2.82417 | az: -1.16586
