ax: -0.0249176 | ay: 2.14542 | az: 1.92409
ax: -0.0249176 | ay: 2.14542 | az: 1.92409
ax: -0.400558 | ay: -0.545456 | az: -0.472275
ax: -1.09584 | ay: -0.0584106 | az: 0.11322
ax: -1.00417 | ay: 0.401642 | az: 0.244537
ax: -1.26263 | ay: 1.32198 | az: 0.550262
ax: -1.74593 | ay: 1.70702 | az: 0.896194
ax: -0.603851 | ay: 1.76747 | az: 0.90036
ax: 0.145828 | ay: 1.8114 | az: 1.04199
ax: 0.127655 | ay: 1.83002 | az: 1.38567
ax: -0.100067 | ay: 1.81264 | az: 1.19319
ax: -0.191208 | ay: 1.76431 | az: 1.11847
ax: -0.191544 | ay: 0.67337 | az: 1.91479
ax: 1.09912 | ay: 1.58815 | az: 1.8382
ax: -0.737274 | ay: -1.87854 | az: 1.55338
ax: 1.15695 | ay: -0.839859 | az: 1.15775
ax: 0.948608 | ay: 0.0206757 | az: 0.554352
ax: 1.16144 | ay: 0.57576 | az: -0.0395355
ax: 1.20622 | ay: 0.581726 | az: -0.519775
ax: 1.20525 | ay: -0.836823 | az: -1.09785
ax: 1.19092 | ay: -2.43103 | az: -1.74919
ax: 1.16888 | ay: -2.55316 | az: -1.96738
ax: 1.16962 | ay: 1.40204 | az: -0.306732
ax: -0.801666 | ay: 0.01474 | az: -0.389954
ax: 1.28191 | ay: -2.33623 | az: -0.646515
ax: 1.34305 | ay: -2.39047 | az: -1.16154
ax: 1.4164 | ay: -1.56201 | az: -1.46362
ax: 1.48528 | ay: -1.89235 | az: -0.984268
ax: 1.549 | ay: -2.39755 | az: -0.664658
ax: 1.59894 | ay: -2.57318 | az: -0.840408
ax: 0.950424 | ay: -2.2554 | az: -0.840408
ax: -0.164429 | ay: -0.938217 | az: -0.898544
ax: -1.03302 | ay: -0.165085 | az: -1.47
ax: -1.85983 | ay: -0.0161743 | az: -1.09245
ax: -0.599869 | ay: -0.323883 | az: -0.949463
ax: -0.330856 | ay: -0.656219 | az: -0.770676
ax: -0.422745 | ay: -0.427109 | az: -0.326797
ax: -0.834854 | ay: -0.0504913 | az: -0.0611572
