ax: 0.334854 | ay: -0.824631 | az: -0.462234
ax: 0.390701 | ay: -0.920715 | az: -0.377106
ax: 0.364944 | ay: -0.968063 | az: -0.313553
ax: 0.380692 | ay: -1.09215 | az: -0.360641
ax: 0.401596 | ay: -1.05566 | az: -0.358276
ax: 0.485046 | ay: -0.680984 | az: -0.301971
ax: 0.601181 | ay: -1.06287 | az: -0.671677
ax: 0.710648 | ay: -1.20297 | az: -0.106796
ax: 1.12338 | ay: -2.01749 | az: 0.248978
ax: 0.669708 | ay: -0.852768 | az: 0.08461
ax: 0.401932 | ay: -0.779099 | az: 0.298645
ax: 0.331985 | ay: -0.454285 | az: 0.229126
ax: 0.258682 | ay: 0.0423126 | az: -0.146301
ax: 0.140152 | ay: -0.137497 | az: -0.247253
ax: 0.0688019 | ay: -0.0459442 | az: -0.201859
ax: 0.368729 | ay: -0.188522 | az: 0.0580444
ax: 0.539719 | ay: -0.248657 | az: 0.377457
ax: 0.269394 | ay: -0.158234 | az: 0.225693
ax: 0.0770111 | ay: 0.0823212 | az: -0.0198059
ax: 0.0384216 | ay: 0.175446 | az: -0.00950623
ax: 0.0161591 | ay: 0.0279999 | az: 0.172043
ax: 0.00675964 | ay: -0.0107727 | az: 0.239716
ax: -0.0107269 | ay: 0.0218353 | az: 0.229523
ax: -0.0458374 | ay: 0.014267 | az: 0.170837
ax: -0.00999451 | ay: -0.00169373 | az: 0.156189
ax: -0.00242615 | ay: 0.0122833 | az: 0.143539
ax: 0.0175476 | ay: -0.032608 | az: 0.157501
ax: 0.0772552 | ay: -0.0241089 | az: 0.0811462
ax: 0.074585 | ay: 0.00924683 | az: 0.0677338
ax: 0.0203705 | ay: 0.00146484 | az: 0.086319
ax: 0.0155945 | ay: -0.0601044 | az: 0.0721741
ax: 0.0687561 | ay: -0.172379 | az: 0.0184479
ax: 0.179871 | ay: -0.296417 | az: -0.105286
ax: 0.426987 | ay: -0.389938 | az: -0.307358
ax: 0.76651 | ay: 0.194107 | az: -0.576141
ax: 1.01401 | ay: 0.655182 | az: -0.442261
ax: 0.647797 | ay: -0.0863342 | az: -0.637238
ax: 0.274307 | ay: -0.244751 | az: -0.659531
ax: -0.186646 | ay: 0.323837 | az: -0.256912
ax: -0.428131 | ay: -0.248138 | az: -0.38295
ax: -0.58374 | ay: -1.08029 | az: -0.347855
ax: -0.730225 | ay: -0.861465 | az: -0.288681
ax: -0.556595 | ay: -0.845413 | az: -0.0944366
ax: -0.419586 | ay: -0.87262 | az: -0.0301666
ax: -0.182693 | ay: -0.712769 | az: 0.0644531
ax: 0.0177612 | ay: -0.453644 | az: 0.195892
ax: 0.128204 | ay: -0.252869 | az: 0.287384
ax: 0.238159 | ay: -0.166382 | az: 0.278961
ax: 0.335403 | ay: -0.175415 | az: 0.237885
ax: 0.427292 | ay: -0.060791 | az: 0.213898
1: [20200927215309.187]
> sum ax: 9.55431 | sum ay: -18.1791 | sum az: -3.3096
>> avg ax: 0.191086 | avg ay: -0.363583 | avg az: -0.066192
>>> vx: 1.87264 | vy: -3.56311 | vz: -0.648682
>>> sx: 1.42472 | sy: -2.32734 | sz: -0.442206
>>> a: 0.416038
>>> v: 4.07717
>>> s: 2.7644

ax: 0.477692 | ay: 0.0560303 | az: 0.274017
ax: 0.557663 | ay: 0.202988 | az: 0.27861
ax: 0.605896 | ay: 0.358536 | az: 0.361832
ax: 0.568787 | ay: 0.570114 | az: 0.456787
ax: 0.493835 | ay: 0.717957 | az: 0.63916
ax: 0.429886 | ay: 0.612976 | az: 0.800125
ax: 0.355942 | ay: 0.612518 | az: 0.888092
ax: 0.345215 | ay: 0.781555 | az: 0.937683
ax: 0.499863 | ay: 1.12566 | az: 0.667816
ax: 0.33609 | ay: 1.35356 | az: 0.737762
ax: 0.700684 | ay: 0.190536 | az: 0.137131
ax: 0.130859 | ay: -1.87157 | az: 0.782898
ax: 0.481995 | ay: 1.06149 | az: 0.891418
ax: -0.292938 | ay: 0.160797 | az: 0.0912476
ax: 0.157181 | ay: 0.998535 | az: 0.529358
ax: 0.358017 | ay: 0.222549 | az: 0.20018
ax: 0.0570831 | ay: 0.214859 | az: -0.044693
ax: 0.0416565 | ay: 0.159317 | az: -0.162827
ax: 0.0727234 | ay: -0.106018 | az: -0.0602112
ax: -0.00891113 | ay: -0.153488 | az: 0.00576782
ax: -0.00935364 | ay: -0.140762 | az: 0.0801392
ax: 0.0257721 | ay: -0.133606 | az: 0.115372
ax: 0.0092926 | ay: 0.022583 | az: -0.00378418
ax: -0.00418091 | ay: -0.0184174 | az: -0.119843
ax: 0.0227509 | ay: -0.103104 | az: -0.0969238
ax: 0.00914001 | ay: -0.165573 | az: -0.03125
ax: 0.0178986 | ay: -0.135834 | az: -0.0131073
ax: 0.0527039 | ay: -0.0671539 | az: -0.0373383
ax: 0.0776215 | ay: 0.068573 | az: -0.0551147
ax: 0.0730896 | ay: -0.092041 | az: -0.103302
ax: 0.0905609 | ay: -0.104233 | az: -0.0809479
ax: 0.174774 | ay: -0.337326 | az: -0.125565
ax: 0.383621 | ay: -0.159622 | az: -0.0660553
ax: 0.504471 | ay: -0.200729 | az: -0.169647
ax: 0.708191 | ay: -0.451813 | az: -0.160324
ax: 0.783829 | ay: -0.575012 | az: -0.0620422
ax: 0.834015 | ay: -0.643646 | az: -0.371124
ax: 1.04893 | ay: -0.51828 | az: -0.89296
ax: 1.09146 | ay: -0.77597 | az: -1.30518
ax: 1.11801 | ay: -1.53226 | az: -1.71408
ax: 1.15303 | ay: -0.84259 | az: -0.874756
ax: 0.64592 | ay: -1.56598 | az: -0.813782
ax: -0.0062561 | ay: -0.31575 | az: -0.428223
ax: -0.508606 | ay: 0.403229 | az: -0.335358
ax: -0.040741 | ay: -0.541275 | az: -0.368881
ax: -0.70314 | ay: -0.833038 | az: -0.635574
ax: -0.72261 | ay: -0.820786 | az: -0.409668
ax: -0.57785 | ay: -0.686691 | az: -0.253555
ax: -0.519882 | ay: -0.59729 | az: -0.0320435
ax: -0.458725 | ay: -0.437698 | az: 0.111176
2: [20200927215310.186]
> sum ax: 11.643 | sum ay: -5.03319 | sum az: -0.841583
>> avg ax: 0.232859 | avg ay: -0.100664 | avg az: -0.0168317
>>> vx: 2.28202 | vy: -0.986505 | vz: -0.16495
>>> sx: 1.50179 | sy: 0.707904 | sz: 1.02723
>>> a: 0.254244
>>> v: 2.49159
>>> s: 1.95236

ax: -0.434052 | ay: -0.438202 | az: 0.145737
ax: -0.277359 | ay: -0.374771 | az: 0.180298
ax: -0.134048 | ay: -0.357162 | az: 0.189163
ax: 0.112167 | ay: -0.212967 | az: 0.224579
ax: 0.459442 | ay: -0.102982 | az: 0.255829
ax: 1.09746 | ay: 0.0914612 | az: 0.291504
ax: 1.14481 | ay: 0.92421 | az: 0.618073
ax: 1.21013 | ay: 1.75909 | az: 0.741043
ax: 1.26088 | ay: 2.42888 | az: 1.2899
ax: 0.888535 | ay: 2.43898 | az: 2.10571
ax: 0.842865 | ay: 2.37901 | az: 1.19295
ax: 0.726746 | ay: 2.36591 | az: 1.37575
ax: 0.44606 | ay: 1.95171 | az: 1.27368
ax: -0.0697784 | ay: -1.79314 | az: -1.58435
ax: 0.413483 | ay: -1.37428 | az: 1.19838
ax: 1.08766 | ay: 2.19818 | az: 0.646851
ax: 0.707748 | ay: 2.12367 | az: 0.725372
ax: -0.039505 | ay: -0.243912 | az: 0.570633
ax: -0.0846863 | ay: 0.591064 | az: -0.308075
ax: -0.061142 | ay: 0.203201 | az: -0.27063
ax: 0.134537 | ay: 0.0262299 | az: 0.0295868
ax: -0.093277 | ay: -0.0714264 | az: 0.121567
ax: 0.00558472 | ay: 0.188934 | az: -0.065155
ax: -0.0521393 | ay: 0.125031 | az: -0.0400696
ax: -0.0014801 | ay: 0.153793 | az: -0.0842133
ax: 0.0583649 | ay: -0.0245819 | az: -0.00791931
ax: 0.059967 | ay: -0.0437164 | az: 0.164474
ax: 0.0539246 | ay: -0.123459 | az: 0.101746
ax: 0.0622559 | ay: -0.0976715 | az: 0.025177
ax: -0.00289917 | ay: -0.183395 | az: -0.133453
ax: 0.0724182 | ay: -0.187454 | az: -0.279694
ax: 0.254898 | ay: -0.144791 | az: -0.102982
ax: 0.419373 | ay: -0.257095 | az: 0.0289612
ax: 0.574738 | ay: -0.434586 | az: -0.0261841
ax: 0.689041 | ay: -0.580765 | az: -0.0248108
ax: 0.846085 | ay: -0.562561 | az: -0.259186
ax: 1.06094 | ay: -0.724091 | az: -0.628967
ax: 1.08075 | ay: -1.22566 | az: -1.58383
ax: 1.10315 | ay: -1.32162 | az: -1.23555
ax: 1.13814 | ay: -0.798996 | az: -1.53348
ax: 0.233673 | ay: -0.848907 | az: -1.1656
ax: 0.439301 | ay: 0.177399 | az: -0.435379
ax: -0.341095 | ay: 0.144531 | az: 0.0271606
ax: -0.372742 | ay: -1.00154 | az: -0.370804
ax: -0.681732 | ay: -0.739288 | az: -0.45433
ax: -0.720551 | ay: -0.641251 | az: -0.341156
ax: -0.675125 | ay: -0.486847 | az: -0.28421
ax: -0.64798 | ay: -0.275085 | az: -0.228516
ax: -0.566284 | ay: -0.222321 | az: -0.115356
ax: -0.43634 | ay: -0.137421 | az: -0.0551758
3: [20200927215311.190]
> sum ax: 12.9929 | sum ay: 4.23933 | sum az: 1.90504
>> avg ax: 0.259858 | avg ay: 0.0847867 | avg az: 0.0381009
>>> vx: 2.54661 | vy: 0.830909 | vz: 0.373389
>>> sx: 1.83422 | sy: 1.77387 | sz: 1.36497
>>> a: 0.275983
>>> v: 2.70463
>>> s: 2.89381

ax: -0.349014 | ay: -0.0575104 | az: -0.0279999
ax: -0.153061 | ay: 0.0141907 | az: 0.0394592
ax: 0.111511 | ay: 0.175095 | az: 0.0710144
ax: 0.699783 | ay: 0.317932 | az: 0.101089
ax: 1.13914 | ay: 0.957581 | az: 0.181351
ax: 1.21219 | ay: 1.98198 | az: 0.467163
ax: 1.28201 | ay: 2.23166 | az: 0.779922
ax: 0.928207 | ay: 2.52351 | az: 1.16962
ax: 0.843613 | ay: 2.50238 | az: 1.60181
ax: 0.94632 | ay: 2.44746 | az: 1.1499
ax: 0.516388 | ay: -0.185623 | az: 0.947784
ax: 1.19591 | ay: -1.62971 | az: 0.897781
ax: 1.15276 | ay: 2.20277 | az: 1.2679
ax: 0.559082 | ay: 0.935654 | az: 0.0748138
ax: 0.583069 | ay: 1.27328 | az: 0.387405
ax: -0.419449 | ay: 0.611221 | az: 0.317001
