ax: 0.00299072 | ay: -0.000350952 | az: 0.0234375
ax: 0.636475 | ay: -0.503555 | az: 0.0476227
ax: 0.838776 | ay: -0.452469 | az: -0.384476
ax: 1.07597 | ay: -0.321472 | az: -0.972885
ax: 1.10057 | ay: -0.52916 | az: -1.22183
ax: 1.12668 | ay: -1.64839 | az: -1.52049
ax: 1.14171 | ay: -0.610001 | az: -0.761536
ax: 0.85112 | ay: -1.36371 | az: -0.842606
ax: 0.0718994 | ay: -0.388428 | az: -0.762329
ax: 0.355225 | ay: 0.0194702 | az: -0.131668
ax: -0.720108 | ay: -0.00527954 | az: 0.159317
ax: -0.344894 | ay: -0.270233 | az: -0.272171
ax: -0.767059 | ay: -0.626541 | az: -0.635239
ax: -0.728958 | ay: -0.866409 | az: -0.465164
ax: -0.643433 | ay: -0.62915 | az: -0.321671
ax: -0.681259 | ay: -0.540054 | az: -0.193771
ax: -0.658951 | ay: -0.481125 | az: -0.0606689
ax: -0.633362 | ay: -0.335159 | az: -0.061676
ax: -0.570145 | ay: -0.2603 | az: -0.00942993
ax: -0.426971 | ay: -0.203064 | az: 0.034256
ax: -0.243393 | ay: -0.148712 | az: 0.0760193
ax: 0.132401 | ay: -0.0428619 | az: 0.105988
ax: 0.771667 | ay: 0.478073 | az: 0.197662
ax: 1.10025 | ay: 1.15585 | az: 0.455246
ax: 1.16008 | ay: 2.04382 | az: 0.635117
ax: 1.2099 | ay: 2.37773 | az: 1.22493
ax: 1.19713 | ay: 2.38925 | az: 1.95679
ax: 1.03604 | ay: 2.19089 | az: 1.56137
ax: 0.742676 | ay: -1.69035 | az: -1.21062
ax: 0.302704 | ay: 1.24213 | az: 1.06818
ax: 0.82843 | ay: 0.648392 | az: 0.364639
ax: 0.927338 | ay: 1.40468 | az: 0.32486
ax: 0.061203 | ay: 0.269913 | az: 0.200912
ax: -0.274551 | ay: 0.658096 | az: -0.00346375
ax: -0.0448151 | ay: 0.586594 | az: 0.042984
ax: -0.0276794 | ay: 0.016861 | az: -0.0645294
ax: 0.0071106 | ay: -0.0613251 | az: 0.0408783
ax: 0.0605621 | ay: -0.0734711 | az: 0.0357513
ax: 0.0345154 | ay: -0.079895 | az: 0.000701904
ax: -0.0183258 | ay: 0.112274 | az: -0.23877
ax: -0.0788879 | ay: 0.113281 | az: -0.30899
ax: -0.0419617 | ay: -0.151321 | az: -0.105301
ax: 0.02211 | ay: -0.190842 | az: 0.098999
ax: 0.0652924 | ay: -0.024292 | az: 0.101761
ax: 0.0357666 | ay: 0.0666809 | az: -0.033371
ax: 0.00788879 | ay: 0.0837708 | az: -0.0706635
ax: 0.0341339 | ay: 0.00115967 | az: -0.0454407
ax: 0.128891 | ay: 0.012146 | az: -0.0654297
ax: 0.153122 | ay: -0.0396118 | az: -0.109283
ax: 0.242935 | ay: -0.198074 | az: -0.04599
1: [20200927220623.192]
> sum ax: 10.5588 | sum ay: 3.13545 | sum az: -2.16205
>> avg ax: 0.211176 | avg ay: 0.062709 | avg az: -0.043241
>>> vx: 2.06953 | vy: 0.614549 | vz: -0.423761
>>> sx: 1.26477 | sy: -0.394672 | sz: -0.781367
>>> a: 0.224494
>>> v: 2.20004
>>> s: 1.53816

ax: 0.309067 | ay: -0.270554 | az: -0.0393677
ax: 0.488373 | ay: -0.312546 | az: -0.00694275
ax: 0.584961 | ay: -0.411972 | az: 0.031601
ax: 0.693756 | ay: -0.339859 | az: -0.297394
ax: 1.05054 | ay: -0.229065 | az: -0.727951
ax: 1.08171 | ay: -0.501648 | az: -1.17813
ax: 1.10619 | ay: -1.67789 | az: -1.82889
ax: 1.12183 | ay: -0.498795 | az: -0.836258
ax: 0.682236 | ay: -1.87898 | az: -0.857117
ax: 0.0436401 | ay: -0.71669 | az: -1.04271
ax: 0.120667 | ay: 0.146835 | az: -0.120987
ax: -0.801712 | ay: -0.206924 | az: 0.361191
ax: -0.561859 | ay: -0.514755 | az: -0.383057
ax: -0.876938 | ay: -0.600128 | az: -0.774689
ax: -0.754303 | ay: -0.886642 | az: -0.431198
ax: -0.642639 | ay: -0.432373 | az: -0.329147
ax: -0.627747 | ay: -0.438339 | az: -0.141602
ax: -0.538452 | ay: -0.333435 | az: 0.013916
ax: -0.440338 | ay: -0.19368 | az: 0.0644531
ax: -0.304871 | ay: -0.203491 | az: 0.0952454
ax: -0.0723114 | ay: -0.18486 | az: 0.114334
ax: 0.394852 | ay: -0.0424652 | az: 0.172211
ax: 1.06593 | ay: 0.360626 | az: 0.439621
ax: 1.149 | ay: 1.39705 | az: 0.621567
ax: 1.21703 | ay: 1.85928 | az: 0.621292
ax: 1.26929 | ay: 2.48239 | az: 0.935226
ax: 0.766373 | ay: 2.49219 | az: 1.4977
ax: 0.626999 | ay: 2.45792 | az: 1.48524
ax: 0.692169 | ay: 2.0527 | az: 0.948502
ax: 0.310226 | ay: -1.68013 | az: 0.147858
ax: 0.807617 | ay: -1.66417 | az: 0.116928
ax: 1.1653 | ay: 1.46217 | az: 1.34387
ax: 0.567261 | ay: 0.850906 | az: 0.169937
ax: 0.0339508 | ay: 0.747757 | az: 0.111282
ax: 0.30423 | ay: 0.688812 | az: 0.0865326
ax: 0.00614929 | ay: 0.679459 | az: 0.169998
ax: 0.116058 | ay: 0.56813 | az: 0.0973206
ax: 0.217453 | ay: 0.190598 | az: 0.284119
ax: 0.0262146 | ay: -0.183762 | az: 0.137039
ax: -0.0116119 | ay: 0.101898 | az: -0.128464
ax: -0.0439148 | ay: 0.00871277 | az: 0.0287628
ax: -0.0404968 | ay: 0.22847 | az: 0.0109406
ax: -0.0177002 | ay: 0.161224 | az: -0.0780182
ax: -0.0188293 | ay: 0.0569 | az: -0.0559082
ax: 0.0421448 | ay: -0.0552063 | az: 0.0831604
ax: 0.0406494 | ay: -0.0959167 | az: 0.167831
ax: 0.0471649 | ay: 0.128815 | az: -0.105301
ax: -0.0155945 | ay: 0.159058 | az: -0.079834
ax: 0.0805664 | ay: -0.00634766 | az: -0.0409241
ax: 0.171829 | ay: 0.0242157 | az: -0.07164
2: [20200927220624.212]
> sum ax: 12.6321 | sum ay: 4.7455 | sum az: 0.802155
>> avg ax: 0.252642 | avg ay: 0.09491 | avg az: 0.0160431
>>> vx: 2.47589 | vy: 0.930118 | vz: 0.157222
>>> sx: 1.48372 | sy: -0.376052 | sz: -0.563462
>>> a: 0.270358
>>> v: 2.6495
>>> s: 1.63105

ax: 0.127945 | ay: -0.0317078 | az: -0.108612
ax: 0.418488 | ay: -0.269211 | az: -0.00820923
ax: 0.519318 | ay: -0.228043 | az: -0.0596924
ax: 0.657516 | ay: -0.481277 | az: 0.152679
ax: 0.671341 | ay: -0.393753 | az: -0.130829
ax: 0.895874 | ay: -0.293716 | az: -0.646072
ax: 1.05028 | ay: -0.265915 | az: -0.879044
ax: 1.07124 | ay: -1.63313 | az: -1.78979
ax: 1.08131 | ay: -0.836212 | az: -0.657654
ax: 1.02859 | ay: -1.34108 | az: -1.14662
ax: 0.174332 | ay: -0.086792 | az: -1.46986
ax: -0.0857086 | ay: 0.0636292 | az: -0.314163
ax: -0.953278 | ay: 0.15007 | az: 0.217178
ax: -0.295944 | ay: -0.376724 | az: -0.224518
ax: -0.93338 | ay: -0.423309 | az: -0.624344
ax: -0.809814 | ay: -0.817123 | az: -0.408676
ax: -0.684097 | ay: -0.546249 | az: -0.273621
ax: -0.736008 | ay: -0.411072 | az: -0.14241
ax: -0.657593 | ay: -0.367828 | az: 0.0391388
ax: -0.587677 | ay: -0.218658 | az: 0.0951843
ax: -0.484146 | ay: -0.124954 | az: 0.109543
ax: -0.361115 | ay: -0.114639 | az: 0.164108
ax: -0.0724792 | ay: -0.0621033 | az: 0.203049
ax: 0.378036 | ay: 0.334351 | az: 0.365692
ax: 1.05798 | ay: 0.82486 | az: 0.585922
ax: 1.21793 | ay: 1.66022 | az: 0.684921
ax: 1.2908 | ay: 2.07141 | az: 1.29332
ax: 1.2527 | ay: 2.4838 | az: 0.88652
ax: 0.88443 | ay: 2.48393 | az: 1.91222
ax: 0.901978 | ay: 2.35806 | az: 1.82152
ax: 0.595963 | ay: -1.61072 | az: -0.313217
