ax: 0 | ay: 0 | az: -1
ax: 0.333282 | ay: 0.0259552 | az: -0.0122375
ax: 0.411026 | ay: -0.0157776 | az: -0.0792236
ax: 0.527145 | ay: -0.110214 | az: -0.162033
ax: 0.70343 | ay: -0.144623 | az: -0.27655
ax: 0.805405 | ay: -0.207306 | az: -0.43129
ax: 1.022 | ay: -0.348663 | az: -0.709167
ax: 1.03381 | ay: -0.604752 | az: -1.24533
ax: 1.04782 | ay: -0.517807 | az: -1.17445
ax: 0.795914 | ay: -0.292068 | az: -0.983246
ax: 0.52327 | ay: -0.0643311 | az: -0.994034
ax: 0.108063 | ay: -0.141983 | az: -0.892944
ax: -0.266449 | ay: 0.55304 | az: -0.0553589
ax: -0.155518 | ay: -0.284073 | az: -0.6651
ax: -0.694809 | ay: -0.26001 | az: -0.85524
ax: -0.854599 | ay: -0.403412 | az: -0.61348
ax: -0.94104 | ay: -0.366714 | az: -0.444153
ax: -0.859512 | ay: -0.257385 | az: -0.362579
ax: -0.793045 | ay: -0.151672 | az: -0.320633
ax: -0.706451 | ay: -0.201767 | az: -0.227234
ax: -0.577545 | ay: -0.0991974 | az: -0.208099
ax: -0.390945 | ay: -0.107025 | az: -0.153198
ax: -0.0643921 | ay: 0.0132446 | az: -0.0528717
ax: 0.327606 | ay: -0.0948029 | az: 0.204056
ax: 0.894379 | ay: 0.160233 | az: 0.576065
ax: 1.17789 | ay: 0.24823 | az: 0.743744
ax: 1.25284 | ay: 0.822617 | az: 0.88562
ax: 1.32605 | ay: 1.47783 | az: 1.0208
ax: 1.3837 | ay: 2.28351 | az: 1.34135
ax: 1.40977 | ay: 2.19818 | az: 2.67198
ax: 1.08992 | ay: 1.5498 | az: 2.26649
ax: 1.09558 | ay: 1.52402 | az: 1.66431
ax: 0.120178 | ay: 0.195038 | az: -0.68158
ax: 0.75354 | ay: -1.59233 | az: -0.576019
ax: 1.24483 | ay: -0.0704041 | az: 1.09674
ax: 0.670639 | ay: 0.654694 | az: 0.575165
ax: -0.214203 | ay: 0.758652 | az: 0.577927
ax: 0.168762 | ay: 1.18495 | az: 0.562637
ax: 0.0898438 | ay: 0.33844 | az: 0.214615
ax: 0.0866699 | ay: 0.068924 | az: 0.218979
ax: -0.0122375 | ay: 0.252075 | az: 0.0476074
ax: 0.0305023 | ay: 0.15181 | az: 0.151108
ax: -0.0144348 | ay: 0.0242157 | az: 0.239487
ax: 0.00912476 | ay: 0.302948 | az: 0.0204926
ax: -0.00505066 | ay: 0.0967865 | az: 0.0334015
ax: -0.0223083 | ay: 0.0915222 | az: 0.0234528
ax: -0.0344696 | ay: 0.0876617 | az: 0.0327148
ax: 0.00907898 | ay: 0.1297 | az: 0.0597992
ax: 0.0396881 | ay: 0.104691 | az: 0.0375977
ax: 0.0444336 | ay: 0.0297089 | az: 0.0224915
time: 1
[20210209181910.422]
> sum ax: 13.9292 | sum ay: 8.99216 | sum az: 2.11258
>> avg ax: 0.278584 | avg ay: 0.179843 | avg az: 0.0422516
>>> vx: 2.73012 | vy: 1.76246 | vz: 0.414066
>>> sx: 1.50003 | sy: 0.343059 | sz: -0.796245
>>> a: 0.334272
>>> v: 3.27586
>>> s: 1.73257

ax: 0.0176239 | ay: 0.0129089 | az: 0.0823822
ax: 0.0107422 | ay: -0.0941467 | az: 0.0062561
ax: 0.0679474 | ay: -0.0463104 | az: 0.00172424
ax: 0.125687 | ay: -0.0573578 | az: 0.000137329
ax: 0.195358 | ay: -0.0227509 | az: -0.0717621
ax: 0.272186 | ay: -0.0718689 | az: -0.06604
ax: 0.365768 | ay: -0.15271 | az: -0.108078
ax: 0.416962 | ay: -0.24498 | az: -0.0340576
ax: 0.494431 | ay: -0.196075 | az: -0.127777
ax: 0.669556 | ay: -0.115234 | az: -0.350693
ax: 0.989517 | ay: -0.169235 | az: -0.596268
ax: 1.04581 | ay: -0.395416 | az: -1.07458
ax: 1.05923 | ay: -0.803604 | az: -1.57849
ax: 1.01454 | ay: -0.438629 | az: -0.896851
ax: 0.61618 | ay: -0.374298 | az: -1.27319
ax: 0.346817 | ay: -0.279953 | az: -1.34575
ax: -0.323013 | ay: 0.288239 | az: -0.140518
ax: -0.955811 | ay: 0.135696 | az: -0.20108
ax: -0.319336 | ay: -0.700775 | az: -0.849228
ax: -0.904617 | ay: -0.603424 | az: -0.652359
ax: -0.879379 | ay: -0.624847 | az: -0.489105
ax: -0.80748 | ay: -0.447342 | az: -0.333832
ax: -0.73204 | ay: -0.259369 | az: -0.294113
ax: -0.602554 | ay: -0.231628 | az: -0.149811
ax: -0.483017 | ay: -0.15181 | az: -0.116241
ax: -0.282684 | ay: -0.185257 | az: -0.0536957
ax: -0.00431824 | ay: -0.155838 | az: 0.0305786
ax: 0.411942 | ay: -0.0177765 | az: 0.0602264
ax: 1.17366 | ay: 0.0310211 | az: 0.457748
ax: 1.23492 | ay: 0.258194 | az: 0.868362
ax: 1.32127 | ay: 1.06551 | az: 1.21979
ax: 1.3907 | ay: 1.9315 | az: 1.72939
ax: 1.4258 | ay: 2.38733 | az: 2.13976
ax: 1.20047 | ay: 2.2401 | az: 2.72147
ax: 1.38559 | ay: 1.54457 | az: 1.78342
ax: 0.106583 | ay: 1.04207 | az: 0.417374
ax: 0.555573 | ay: -1.36418 | az: -1.04485
ax: 1.16302 | ay: -0.677322 | az: 0.717728
ax: 0.714142 | ay: 0.47673 | az: 1.02512
ax: 0.0899963 | ay: 1.32008 | az: 0.545654
ax: 0.370209 | ay: 0.273926 | az: 0.433624
ax: 0.255234 | ay: 0.388596 | az: 0.425919
ax: 0.0381775 | ay: 0.499207 | az: 0.222473
ax: 0.0419769 | ay: -0.200974 | az: 0.124527
ax: 0.021225 | ay: 0.0404358 | az: 0.0840912
ax: 0.000869751 | ay: 0.101334 | az: 0.0460815
ax: -0.026413 | ay: 0.11113 | az: 0.118652
ax: 0.0594177 | ay: 0.180527 | az: -0.0151062
ax: 0.0408325 | ay: 0.0944061 | az: -0.0360718
ax: 0.0579376 | ay: 0.0298157 | az: -0.0415192
time: 2
[20210209181911.422]
> sum ax: 14.4473 | sum ay: 5.37021 | sum az: 3.3214
>> avg ax: 0.288945 | avg ay: 0.107404 | avg az: 0.0664279
>>> vx: 2.83166 | vy: 1.05256 | vz: 0.650994
>>> sx: 1.34365 | sy: -0.124651 | sz: -0.577269
>>> a: 0.315337
>>> v: 3.09031
>>> s: 1.46771

ax: 0.0267944 | ay: 0.0235748 | az: -0.0270538
ax: 0.035614 | ay: 0.00978088 | az: -0.0455017
ax: 0.0281677 | ay: -0.0384521 | az: -0.0387726
ax: 0.0282898 | ay: -0.0209503 | az: -0.000488281
ax: 0.017746 | ay: -0.00408936 | az: -0.0397034
ax: 0.143188 | ay: 0.00517273 | az: -0.0365143
ax: 0.222931 | ay: -0.128616 | az: 0.124176
ax: 0.2854 | ay: -0.25737 | az: 0.0153809
ax: 0.401474 | ay: -0.142197 | az: -0.158661
ax: 0.476379 | ay: -0.249908 | az: -0.0312958
ax: 0.55806 | ay: -0.261993 | az: -0.074295
ax: 0.793137 | ay: -0.207001 | az: -0.348038
ax: 1.03717 | ay: -0.124893 | az: -0.633621
ax: 1.05106 | ay: -0.958878 | az: -1.65005
ax: 1.06657 | ay: -0.982834 | az: -1.15254
ax: 1.06737 | ay: -0.987167 | az: -1.33113
ax: 0.599518 | ay: -0.62886 | az: -1.40497
ax: -0.619553 | ay: -0.639816 | az: -1.26978
ax: -2.8828 | ay: 1.66493 | az: 0.219788
ax: 0.0127716 | ay: -0.469147 | az: -0.414627
ax: -0.57457 | ay: -0.184555 | az: -1.01787
ax: -0.960312 | ay: -0.0472412 | az: -0.83638
ax: -0.921951 | ay: -0.200134 | az: -0.582001
ax: -0.813751 | ay: -0.184967 | az: -0.472809
ax: -0.738113 | ay: -0.253845 | az: -0.283127
ax: -0.588486 | ay: -0.191315 | az: -0.226883
ax: -0.383026 | ay: -0.10405 | az: -0.152847
ax: -0.0921783 | ay: -0.00357056 | az: -0.169403
ax: 0.253036 | ay: 0.0444489 | az: -0.0956421
ax: 0.958633 | ay: 0.443375 | az: 0.0533447
ax: 1.20905 | ay: 0.891205 | az: 0.355865
ax: 1.2988 | ay: 1.20537 | az: 0.997055
ax: 1.37263 | ay: 1.11087 | az: 1.77411
ax: 1.36266 | ay: 2.24025 | az: 2.25462
ax: 1.18178 | ay: 2.28355 | az: 2.75154
ax: 1.36073 | ay: 1.36778 | az: 2.03401
ax: 0.132675 | ay: 0.226486 | az: 0.829041
ax: 0.404205 | ay: -1.77745 | az: -1.38075
ax: 1.22318 | ay: 0.428421 | az: 1.68582
ax: 0.726456 | ay: 1.12695 | az: 0.579269
ax: 0.844925 | ay: 0.954254 | az: 0.875656
ax: -0.142609 | ay: 0.782639 | az: 0.470001
ax: 0.191284 | ay: 0.446945 | az: 0.118896
ax: -0.133591 | ay: -0.272324 | az: 0.3069
ax: 0.0853424 | ay: 0.149963 | az: 0.00708008
ax: 0.0319824 | ay: 0.183395 | az: 0.158539
ax: 0.0460358 | ay: 0.173141 | az: 0.0888062
ax: -0.00398254 | ay: 0.303284 | az: 0.035202
ax: -0.0105591 | ay: 0.0981445 | az: 0.103745
ax: 0.0968628 | ay: -0.11171 | az: 0.134155
time: 3
[20210209181912.424]
> sum ax: 11.7664 | sum ay: 6.73061 | sum az: 2.09825
>> avg ax: 0.235328 | avg ay: 0.134612 | avg az: 0.041965
>>> vx: 2.30622 | vy: 1.3192 | vz: 0.411258
>>> sx: 0.976154 | sy: -0.0490027 | sz: -0.754988
>>> a: 0.274337
>>> v: 2.68851
>>> s: 1.23502

ax: 0.113556 | ay: -0.00746155 | az: 0.0292206
ax: 0.0763245 | ay: 0.171982 | az: -0.113281
ax: 0.0992279 | ay: -0.0452423 | az: -0.0108795
ax: 0.0255737 | ay: -0.175034 | az: 0.0293427
ax: 0.104752 | ay: -0.171997 | az: 0.0610504
ax: 0.225372 | ay: -0.0828552 | az: 0.0774231
ax: 0.256378 | ay: -0.203506 | az: 0.0798492
ax: 0.350693 | ay: -0.233826 | az: -0.0857391
ax: 0.500305 | ay: -0.195663 | az: -0.185928
ax: 0.530823 | ay: -0.332825 | az: -0.166275
ax: 0.648163 | ay: -0.313477 | az: -0.360336
ax: 1.04446 | ay: -0.231216 | az: -0.549057
ax: 1.06113 | ay: -0.91362 | az: -1.17336
ax: 1.07698 | ay: -1.54936 | az: -1.30585
ax: 1.09998 | ay: -1.00778 | az: -1.25922
ax: 0.696732 | ay: -0.332932 | az: -1.26137
