ax: -0.00991821 | ay: 0.159805 | az: -0.173096
ax: -0.0200195 | ay: -0.102188 | az: -0.355026
ax: 0.157288 | ay: -0.0332947 | az: -0.229095
ax: 0.376358 | ay: 0.0676575 | az: -0.0841675
ax: 0.560593 | ay: 0.0612488 | az: 0.0945587
ax: 0.667358 | ay: 0.121979 | az: 0.253204
ax: 0.638672 | ay: 0.295532 | az: 0.315125
ax: 0.61174 | ay: 0.510406 | az: 0.453522
ax: 0.48735 | ay: 0.594269 | az: 0.662186
ax: 0.5504 | ay: 0.960968 | az: 1.1235
ax: 0.403961 | ay: 0.849075 | az: 0.511337
ax: 0.132919 | ay: 0.572601 | az: 0.507904
ax: -0.128067 | ay: -0.5569 | az: -0.795609
ax: 0.0862885 | ay: 0.0601959 | az: -0.134354
ax: 0.333588 | ay: -1.28223 | az: 0.290649
ax: 0.29332 | ay: 0.355118 | az: -0.210159
ax: 0.215347 | ay: -0.085083 | az: 0.244751
ax: 0.0887451 | ay: 0.224533 | az: 0.021347
ax: -0.102325 | ay: 0.344803 | az: -0.264481
ax: -0.136368 | ay: 0.230804 | az: -0.219742
ax: 0.0120392 | ay: 0.0865173 | az: -0.118118
ax: 0.0653687 | ay: -0.219818 | az: -0.0651245
ax: -0.0446014 | ay: -0.165176 | az: -0.0331116
ax: 0.0484161 | ay: -0.106964 | az: -0.149017
ax: -0.00497437 | ay: 0.0712738 | az: -0.296783
ax: -0.0553589 | ay: 0.0581512 | az: -0.367203
ax: -0.0634766 | ay: -0.0915527 | az: -0.304932
ax: -0.031723 | ay: -0.200409 | az: -0.132782
ax: -0.0214081 | ay: -0.11969 | az: -0.116028
ax: -0.0255432 | ay: -0.0504608 | az: -0.198029
ax: -0.0397339 | ay: 0.0175476 | az: -0.230621
ax: -0.075882 | ay: -0.00552368 | az: -0.199783
ax: -0.00595093 | ay: -0.0207825 | az: -0.0774994
ax: 0.00552368 | ay: -0.0681763 | az: -0.0732117
ax: 0.0203857 | ay: -0.0357513 | az: -0.149719
ax: -0.00463867 | ay: -0.063385 | az: -0.159683
ax: 0.02742 | ay: -0.0093689 | az: -0.16954
ax: -0.0344391 | ay: -0.0434723 | az: -0.223145
ax: 0.0223389 | ay: 0.00105286 | az: -0.150742
ax: 0.101349 | ay: -0.0418091 | az: -0.129883
ax: 0.10257 | ay: -0.100555 | az: -0.0688782
ax: 0.110626 | ay: -0.105652 | az: -0.0718994
ax: 0.199875 | ay: -0.156754 | az: -0.170029
ax: 0.270813 | ay: -0.1008 | az: -0.210617
ax: 0.366577 | ay: -0.109406 | az: -0.298401
ax: 0.511627 | ay: -0.244217 | az: -0.242767
ax: 0.604996 | ay: -0.278015 | az: -0.362411
ax: 0.848206 | ay: -0.258667 | az: -0.560455
ax: 1.08092 | ay: -0.422928 | az: -0.724594
ax: 1.09879 | ay: -0.715378 | az: -1.90852
time: 1
[20210209182756.263]
> sum ax: 10.2973 | sum ay: -0.150864 | sum az: -5.95117
>> avg ax: 0.205947 | avg ay: -0.00301727 | avg az: -0.119023
>>> vx: 2.01828 | vy: -0.0295694 | vz: -1.16643
>>> sx: 0.929355 | sy: 0.418789 | sz: 0.00596577
>>> a: 0.237886
>>> v: 2.33128
>>> s: 1.01937

ax: 1.09401 | ay: -0.48732 | az: -0.599182
ax: 0.882736 | ay: -0.491302 | az: -1.03926
ax: 0.479797 | ay: -0.123001 | az: -0.938293
ax: 0.0400543 | ay: -0.376083 | az: -1.40491
ax: -0.499802 | ay: 0.492905 | az: -0.361481
ax: -0.129547 | ay: 0.306458 | az: -0.212601
ax: -0.409836 | ay: -0.548279 | az: -0.550201
ax: -0.653946 | ay: -0.59552 | az: -0.708603
ax: -0.709412 | ay: -0.618759 | az: -0.685181
ax: -0.726166 | ay: -0.472763 | az: -0.588074
ax: -0.682068 | ay: -0.322342 | az: -0.537689
ax: -0.649918 | ay: -0.265747 | az: -0.48201
ax: -0.601257 | ay: -0.127853 | az: -0.516693
ax: -0.506439 | ay: -0.116531 | az: -0.47789
ax: -0.333206 | ay: -0.0360718 | az: -0.412598
ax: -0.106537 | ay: 0.00868225 | az: -0.262497
ax: 0.106323 | ay: -0.126129 | az: -0.0653076
ax: 0.526642 | ay: 0.106506 | az: 0.0782166
ax: 1.06224 | ay: 0.468277 | az: 0.301102
ax: 1.10999 | ay: 1.04564 | az: 0.752396
ax: 1.15845 | ay: 1.28836 | az: 1.08066
ax: 1.19705 | ay: 1.45541 | az: 1.23036
ax: 1.15262 | ay: 1.62982 | az: 2.08714
ax: 0.825363 | ay: 1.15984 | az: 2.20335
ax: 0.669693 | ay: 0.92009 | az: 1.56898
ax: -0.167725 | ay: -0.183289 | az: -1.45013
ax: 0.780396 | ay: -1.62981 | az: 0.4664
ax: 0.861038 | ay: -0.208405 | az: 0.405411
ax: 0.985901 | ay: 0.456543 | az: 0.644165
ax: 0.142059 | ay: -0.176498 | az: 0.33107
ax: -0.078186 | ay: 0.514664 | az: -0.0657196
ax: -0.132538 | ay: 0.408569 | az: -0.0918427
ax: 0.0276337 | ay: 0.3414 | az: 0.0670624
ax: 0.148514 | ay: 0.0118103 | az: 0.10643
ax: 0.0257416 | ay: -0.163193 | az: 0.0861359
ax: 0.0212097 | ay: -0.109802 | az: -0.0415497
ax: 0.0300903 | ay: -0.0459137 | az: -0.189468
ax: 0.0333405 | ay: 0.0633087 | az: -0.222153
ax: -0.0276642 | ay: 0.0530396 | az: -0.177994
ax: -0.0483093 | ay: -0.0817108 | az: -0.143814
ax: -0.0323334 | ay: -0.1745 | az: 0.00430298
ax: -0.0142517 | ay: -0.0428009 | az: -0.0294647
ax: -0.012085 | ay: 0.0228882 | az: -0.172073
ax: -0.0539856 | ay: 0.0366364 | az: -0.0860596
ax: 0.0305939 | ay: -0.0491943 | az: 0.0538025
ax: 0.0731506 | ay: -0.045166 | az: 0.0187225
ax: 0.0767975 | ay: -0.0584717 | az: -0.00202942
ax: 0.061554 | ay: 0.00686646 | az: -0.0389557
ax: 0.0792389 | ay: 0.0160065 | az: -0.0531616
ax: 0.117889 | ay: -0.0502625 | az: -0.100662
time: 2
[20210209182757.262]
> sum ax: 7.2249 | sum ay: 3.08701 | sum az: -1.22183
>> avg ax: 0.144498 | avg ay: 0.0617401 | avg az: -0.0244366
>>> vx: 1.41608 | vy: 0.605053 | vz: -0.239479
>>> sx: 0.659682 | sy: 0.155785 | sz: -0.676228
>>> a: 0.159024
>>> v: 1.55844
>>> s: 0.957462

ax: 0.200821 | ay: -0.140762 | az: -0.0943909
ax: 0.231781 | ay: -0.239563 | az: -0.0979156
ax: 0.358612 | ay: -0.192886 | az: -0.112457
ax: 0.442139 | ay: -0.210831 | az: -0.169937
ax: 0.516495 | ay: -0.289444 | az: -0.253296
ax: 0.648193 | ay: -0.213638 | az: -0.486069
ax: 1.05833 | ay: -0.142654 | az: -0.808456
ax: 1.07639 | ay: -0.383545 | az: -1.27989
ax: 1.09547 | ay: -0.652405 | az: -1.53809
ax: 1.12282 | ay: -0.34903 | az: -1.26073
ax: 0.445282 | ay: -0.651108 | az: -0.742676
ax: 0.280411 | ay: -0.443268 | az: -0.91275
ax: -0.411804 | ay: 0.0747833 | az: -0.666092
ax: -1.46635 | ay: 0.475632 | az: 0.563293
ax: 0.0278015 | ay: -0.696121 | az: -0.306717
ax: -0.781555 | ay: -0.481415 | az: -0.819565
ax: -0.854233 | ay: -0.694244 | az: -0.835144
ax: -0.812546 | ay: -0.515427 | az: -0.610641
ax: -0.754913 | ay: -0.362534 | az: -0.464493
ax: -0.708542 | ay: -0.322632 | az: -0.336411
ax: -0.626312 | ay: -0.367508 | az: -0.25769
ax: -0.509109 | ay: -0.325165 | az: -0.24765
ax: -0.346237 | ay: -0.272766 | az: -0.193085
ax: -0.0940399 | ay: -0.2202 | az: -0.192734
ax: 0.314011 | ay: -0.38739 | az: -0.0255432
ax: 1.01071 | ay: -0.123077 | az: 0.214249
ax: 1.10165 | ay: 0.613617 | az: 0.601761
ax: 1.15959 | ay: 1.31189 | az: 0.79332
ax: 1.21185 | ay: 1.92102 | az: 1.26016
ax: 1.03923 | ay: 2.29428 | az: 1.69641
ax: 0.759964 | ay: 2.2769 | az: 2.45982
ax: 1.20419 | ay: 1.02919 | az: 0.484772
ax: -1.10059 | ay: -0.259125 | az: -0.0967102
ax: 0.801239 | ay: -1.81761 | az: 0.00524902
ax: 0.539993 | ay: -0.573196 | az: -0.0644226
ax: 1.00119 | ay: 1.15044 | az: 0.321762
ax: 0.0700226 | ay: 0.0715942 | az: 0.0834045
ax: 0.530441 | ay: 1.16037 | az: 0.187546
ax: 0.105316 | ay: 1.52588e-05 | az: 0.170303
ax: 0.339355 | ay: 0.380188 | az: 0.286072
ax: -0.124054 | ay: -0.244125 | az: 0.119064
ax: 0.0178223 | ay: -0.149216 | az: 0.0462646
ax: 0.0215454 | ay: 0.10199 | az: -0.160492
ax: -0.0570374 | ay: 0.0879669 | az: -0.116547
ax: -0.0412292 | ay: 0.23848 | az: -0.118195
ax: -0.0690765 | ay: -0.123734 | az: 0.0576172
ax: 0.00727844 | ay: -0.145859 | az: 0.0582886
ax: 0.023819 | ay: -0.00360107 | az: -0.0337982
ax: 0.000366211 | ay: 0.140366 | az: -0.0806122
ax: 0.00100708 | ay: 0.0396881 | az: -0.034729
time: 3
[20210209182758.267]
> sum ax: 10.0075 | sum ay: 1.37433 | sum az: -4.00856
>> avg ax: 0.20015 | avg ay: 0.0274866 | avg az: -0.0801712
>>> vx: 1.96147 | vy: 0.269368 | vz: -0.785678
>>> sx: 1.11167 | sy: -0.423929 | sz: -1.1881
>>> a: 0.217355
>>> v: 2.13008
>>> s: 1.6814

ax: 0.037735 | ay: -0.0780792 | az: -0.0286865
ax: 0.0555573 | ay: -0.00613403 | az: -0.0701447
ax: 0.0485229 | ay: -0.0250549 | az: -0.107788
ax: 0.0799103 | ay: 0.0179443 | az: -0.0768127
ax: 0.108902 | ay: -0.0834961 | az: -0.0910339
ax: 0.139572 | ay: -0.167725 | az: -0.0837555
ax: 0.212311 | ay: -0.235962 | az: -0.0843506
ax: 0.277069 | ay: -0.0867004 | az: -0.209808
ax: 0.368713 | ay: -0.104752 | az: -0.24292
ax: 0.483398 | ay: -0.329132 | az: -0.160797
ax: 0.517471 | ay: -0.350159 | az: -0.279877
ax: 0.808746 | ay: -0.247482 | az: -0.553894
ax: 1.07603 | ay: -0.191238 | az: -0.744995
ax: 1.0985 | ay: -0.912811 | az: -1.74702
ax: 1.12384 | ay: -0.769318 | az: -1.3201
ax: 1.00006 | ay: -0.555237 | az: -0.985931
ax: 0.46608 | ay: -0.770966 | az: -1.13083
ax: -0.456284 | ay: -0.13945 | az: -0.924301
ax: -1.70209 | ay: 1.37006 | az: 0.367111
ax: 0.333603 | ay: -0.915344 | az: -0.165558
ax: -0.938202 | ay: -0.52356 | az: -0.748062
ax: -0.895111 | ay: -0.810532 | az: -0.683411
ax: -0.829147 | ay: -0.731461 | az: -0.540405
ax: -0.710419 | ay: -0.481552 | az: -0.425201
ax: -0.602768 | ay: -0.351624 | az: -0.272858
ax: -0.587799 | ay: -0.393906 | az: -0.188568
ax: -0.460693 | ay: -0.348984 | az: -0.212341
ax: -0.301788 | ay: -0.328888 | az: -0.219833
ax: 0.0285187 | ay: -0.300568 | az: -0.156494
ax: 0.716537 | ay: -0.317169 | az: 0.270584
ax: 1.01172 | ay: -0.344971 | az: 0.725311
ax: 1.11353 | ay: 0.212524 | az: 1.06323
ax: 1.16869 | ay: 1.29175 | az: 1.22841
ax: 1.21165 | ay: 2.29471 | az: 1.41992
ax: 1.06384 | ay: 2.32643 | az: 2.03082
ax: 0.795898 | ay: 1.88048 | az: 2.34904
ax: 1.19353 | ay: 1.44977 | az: 0.547974
ax: -0.983215 | ay: 0.669861 | az: -1.11055
ax: 0.781799 | ay: -1.53252 | az: -0.461227
ax: 0.433975 | ay: -1.15277 | az: 0.518677
ax: 1.12747 | ay: 1.03459 | az: 0.61911
ax: 0.0759277 | ay: 0.501083 | az: 0.233063
ax: 0.375732 | ay: 0.223602 | az: 0.12822
ax: -0.0845184 | ay: 0.238525 | az: -0.00637817
ax: 0.0208588 | ay: 0.280914 | az: -0.0982819
ax: -0.0907288 | ay: 0.164139 | az: -0.128036
ax: 0.129517 | ay: 0.00494385 | az: 0.135254
ax: 0.00158691 | ay: 0.00778198 | az: -0.0676422
ax: 0.000167847 | ay: -0.141937 | az: -0.0662689
ax: -0.0124054 | ay: 0.0311584 | az: -0.149643
time: 4
[20210209182759.262]
> sum ax: 10.8318 | sum ay: 0.270782 | sum az: -2.90707
>> avg ax: 0.216636 | avg ay: 0.00541565 | avg az: -0.0581415
>>> vx: 2.12303 | vy: 0.0530737 | vz: -0.569786
>>> sx: 1.01871 | sy: -0.598411 | sz: -1.01787
>>> a: 0.224368
>>> v: 2.19881
>>> s: 1.55946

ax: -0.0355225 | ay: 0.0834961 | az: -0.00364685
ax: -0.00398254 | ay: 0.0349579 | az: 0.0106049
ax: -0.0171509 | ay: 0.0221863 | az: -0.131729
ax: -0.00608826 | ay: 0.0321045 | az: -0.121796
ax: 0.0265045 | ay: 0.0514832 | az: -0.054184
ax: 0.0142975 | ay: 0.0161591 | az: -0.0200806
ax: 0.0221558 | ay: 0.0200348 | az: -0.0318756
ax: 0.0456696 | ay: -0.0302277 | az: -0.0594635
ax: 0.0488739 | ay: -0.0450287 | az: -0.0195007
ax: 0.184616 | ay: -0.163879 | az: -0.00921631
ax: 0.195404 | ay: -0.100525 | az: -0.0862885
ax: 0.244354 | ay: -0.0948944 | az: -0.17543
ax: 0.306717 | ay: -0.10321 | az: -0.217911
ax: 0.394974 | ay: -0.220169 | az: -0.221771
ax: 0.46167 | ay: -0.280045 | az: -0.215225
ax: 0.678879 | ay: -0.286819 | az: -0.344177
ax: 0.934875 | ay: -0.186661 | az: -0.432602
ax: 1.0769 | ay: -0.621277 | az: -1.05209
ax: 1.09331 | ay: -1.31744 | az: -1.30995
ax: 1.1199 | ay: -0.564041 | az: -1.10837
ax: 0.9207 | ay: -0.566788 | az: -0.99028
ax: 0.22377 | ay: -0.125626 | az: -1.58163
ax: -0.73587 | ay: 0.821121 | az: -0.232986
ax: -0.235794 | ay: 0.639435 | az: -0.0313568
ax: -0.355286 | ay: -0.478989 | az: -0.645096
ax: -0.824554 | ay: -0.477951 | az: -0.852661
ax: -0.896103 | ay: -0.644806 | az: -0.70607
ax: -0.883636 | ay: -0.491028 | az: -0.580414
ax: -0.836334 | ay: -0.341782 | az: -0.483444
ax: -0.767334 | ay: -0.286102 | az: -0.448334
ax: -0.711914 | ay: -0.160782 | az: -0.420502
ax: -0.587418 | ay: -0.165741 | az: -0.444946
ax: -0.431198 | ay: -0.261063 | az: -0.400772
ax: -0.0830231 | ay: -0.0993958 | az: -0.268524
ax: 0.395203 | ay: -0.10379 | az: -0.00572205
ax: 0.935028 | ay: -0.0992584 | az: 0.375519
ax: 1.09309 | ay: 0.381546 | az: 0.657883
ax: 1.1489 | ay: 1.13548 | az: 1.0318
ax: 1.19769 | ay: 1.78398 | az: 1.3027
ax: 1.22665 | ay: 2.1785 | az: 2.03064
ax: 1.08687 | ay: 1.83812 | az: 2.5632
ax: 0.559753 | ay: 2.24065 | az: 0.985565
ax: 0.266388 | ay: -1.51163 | az: -1.15921
ax: 0.70665 | ay: -0.107315 | az: -0.0826569
ax: 1.12592 | ay: 0.277924 | az: 0.936661
ax: 0.230789 | ay: 0.253464 | az: 0.597412
ax: 0.123657 | ay: 0.507858 | az: 0.121155
ax: 0.00288391 | ay: 0.415054 | az: -0.0204773
ax: -0.0191193 | ay: 0.182022 | az: 0.129944
ax: 0.107407 | ay: 0.228409 | az: -0.0695496
time: 5
[20210209182800.257]
> sum ax: 10.7701 | sum ay: 3.20772 | sum az: -4.29686
>> avg ax: 0.215403 | avg ay: 0.0641544 | avg az: -0.0859372
>>> vx: 2.11094 | vy: 0.628712 | vz: -0.842184
>>> sx: 0.817935 | sy: -0.340592 | sz: -1.14684
>>> a: 0.240623
>>> v: 2.3581
>>> s: 1.44923

ax: -0.0609894 | ay: -0.0285187 | az: 0.0225067
ax: -0.0332336 | ay: -0.0672302 | az: -0.00480652
ax: 0.0105591 | ay: -0.109924 | az: -0.0378723
ax: 0.0424042 | ay: 0.0761719 | az: -0.159149
ax: -0.039856 | ay: 0.137634 | az: -0.199829
ax: -0.0545502 | ay: 0.0224457 | az: -0.0886841
ax: 0.0162811 | ay: -0.122864 | az: -0.0315552
ax: -0.00846863 | ay: -0.0414276 | az: -0.0907593
ax: -0.0134125 | ay: -0.0302124 | az: -0.156281
ax: 0.0273743 | ay: -0.0203552 | az: -0.09935
ax: 0.0307465 | ay: -0.0819855 | az: -0.000717163
ax: 0.0388184 | ay: -0.0260468 | az: -0.0301361
ax: 0.0625153 | ay: 0.00335693 | az: -0.084549
ax: 0.100876 | ay: -0.000335693 | az: -0.0501404
ax: 0.126419 | ay: -0.0918121 | az: -0.0747986
ax: 0.18248 | ay: -0.212585 | az: -0.0532532
ax: 0.227386 | ay: -0.232132 | az: -0.111526
ax: 0.303665 | ay: -0.0749969 | az: -0.221512
ax: 0.374924 | ay: -0.228348 | az: -0.181442
ax: 0.464951 | ay: -0.312454 | az: -0.217957
ax: 0.73613 | ay: -0.155014 | az: -0.483704
ax: 1.06371 | ay: -0.0170441 | az: -0.557571
ax: 1.08508 | ay: -0.759186 | az: -1.61673
ax: 1.10904 | ay: -0.7397 | az: -1.22681
ax: 1.13843 | ay: -1.01196 | az: -1.31459
ax: 0.545135 | ay: -0.756531 | az: -0.816528
ax: 0.0119476 | ay: -0.158112 | az: -1.34067
ax: -0.397064 | ay: -0.0464172 | az: -0.611801
ax: -0.421204 | ay: -0.0355835 | az: 0.00482178
ax: -0.561935 | ay: -0.462357 | az: -0.445724
ax: -0.886887 | ay: -0.360809 | az: -0.880554
ax: -0.930099 | ay: -0.311264 | az: -0.792145
