ax: 0.0980072 | ay: -0.148972 | az: -1.53931
ax: 0.0341797 | ay: -0.181183 | az: -0.166245
ax: 0.0502777 | ay: -0.15123 | az: -0.205078
ax: 0.0484772 | ay: -0.187958 | az: -0.208313
ax: 0.0563965 | ay: -0.206284 | az: -0.263687
ax: 0.0785217 | ay: -0.137436 | az: -0.209732
ax: 0.0465698 | ay: -0.187057 | az: -0.205338
ax: -0.00553894 | ay: -0.206833 | az: -0.178299
ax: 0.0550995 | ay: -0.177933 | az: -0.257843
ax: 0.0831604 | ay: -0.177399 | az: -0.320648
ax: 0.078949 | ay: -0.125916 | az: -0.249847
ax: 0.0892639 | ay: -0.122986 | az: -0.129898
ax: 0.138657 | ay: -0.148422 | az: -0.159088
ax: 0.174118 | ay: -0.200775 | az: -0.174759
ax: 0.218704 | ay: -0.24971 | az: -0.272629
ax: 0.242874 | ay: -0.196198 | az: -0.254196
ax: 0.376038 | ay: -0.121048 | az: -0.254807
ax: 0.430313 | ay: -0.233719 | az: -0.298248
ax: 0.486084 | ay: -0.253006 | az: -0.273621
ax: 0.488998 | ay: -0.476044 | az: -0.291779
ax: 0.626862 | ay: -0.474274 | az: -0.449234
ax: 0.664551 | ay: -0.383423 | az: -0.558167
ax: 0.784958 | ay: -0.463409 | az: -0.58342
ax: 1.13028 | ay: -0.626968 | az: -1.04425
ax: 0.990768 | ay: -0.674881 | az: -1.23067
ax: 0.891418 | ay: -0.721664 | az: -0.664124
ax: 0.673019 | ay: -0.476929 | az: -0.848846
ax: 0.769897 | ay: -0.428802 | az: -0.940659
ax: -0.246964 | ay: -0.489563 | az: -0.676376
ax: -0.28537 | ay: 0.298218 | az: -0.0649719
ax: 0.0780792 | ay: -0.191757 | az: -0.761475
ax: -0.34288 | ay: -0.551498 | az: -0.780167
ax: -0.625839 | ay: -0.414398 | az: -0.800354
ax: -0.605469 | ay: -0.45311 | az: -0.754578
ax: -0.565628 | ay: -0.472992 | az: -0.650803
ax: -0.486832 | ay: -0.39537 | az: -0.526581
ax: -0.42746 | ay: -0.40625 | az: -0.471054
