ax: 0.184662 | ay: -0.0960541 | az: 0.076889
ax: -0.730408 | ay: -0.707718 | az: -0.824509
ax: -0.627838 | ay: -0.619919 | az: -0.810196
ax: -0.54985 | ay: -0.524261 | az: -0.662048
ax: -0.449173 | ay: -0.375916 | az: -0.601242
ax: -0.418045 | ay: -0.287674 | az: -0.550613
ax: -0.318893 | ay: -0.272461 | az: -0.490692
ax: -0.209717 | ay: -0.238342 | az: -0.432129
ax: 0.100983 | ay: -0.286682 | az: -0.359314
ax: 0.312393 | ay: -0.0296173 | az: -0.205795
ax: 0.593033 | ay: -0.110611 | az: -0.0619965
ax: 1.02299 | ay: 0.268326 | az: 0.258087
ax: 1.04066 | ay: 0.582779 | az: 0.552185
ax: 1.06535 | ay: 1.07722 | az: 0.652191
ax: 1.02501 | ay: 1.55367 | az: 0.845642
ax: 0.700089 | ay: 1.3051 | az: 1.36816
ax: 0.494583 | ay: 0.86821 | az: 1.60106
ax: 0.524292 | ay: 1.04828 | az: 0.784851
ax: 0.110352 | ay: 0.341888 | az: 0.931747
ax: 0.113861 | ay: -0.515808 | az: -0.584534
ax: -0.0959778 | ay: -0.341507 | az: -0.397644
ax: 0.453278 | ay: -1.0349 | az: -0.424377
ax: 0.800385 | ay: 0.421844 | az: 0.542191
ax: 0.156097 | ay: 0.173798 | az: 0.00576782
ax: 0.181213 | ay: 0.125427 | az: -0.0314331
ax: 0.0432739 | ay: 0.113388 | az: -0.0368347
ax: -0.117355 | ay: -0.0287781 | az: -0.18544
ax: -0.00730896 | ay: -0.142014 | az: -0.166199
ax: -0.0631866 | ay: -0.161209 | az: -0.132538
ax: -0.0388031 | ay: -0.015625 | az: -0.247665
ax: -0.0149384 | ay: -0.0261688 | az: -0.309601
ax: -0.0352478 | ay: -0.15332 | az: -0.298798
ax: -0.0280457 | ay: -0.200531 | az: -0.291382
ax: -0.0556641 | ay: -0.218323 | az: -0.234924
ax: 0.0268555 | ay: -0.0292053 | az: -0.14476
ax: -0.0179749 | ay: -0.0621185 | az: -0.138092
ax: -0.00202942 | ay: -0.125931 | az: -0.120132
ax: 0.0193176 | ay: -0.139511 | az: -0.160797
ax: 0.0231323 | ay: -0.0953522 | az: -0.158981
ax: 0.00585938 | ay: -0.0922089 | az: -0.151215
ax: 0.0194855 | ay: -0.125183 | az: -0.181976
ax: 0.0398102 | ay: -0.129196 | az: -0.200806
ax: 0.0743408 | ay: -0.0548401 | az: -0.151733
ax: 0.0833435 | ay: -0.0882263 | az: -0.152527
ax: 0.15976 | ay: -0.201035 | az: -0.166794
ax: 0.225769 | ay: -0.22113 | az: -0.238205
ax: 0.31842 | ay: -0.193527 | az: -0.183014
ax: 0.414825 | ay: -0.273193 | az: -0.360092
ax: 0.44838 | ay: -0.201248 | az: -0.4095
ax: 0.727173 | ay: -0.263687 | az: -0.46225
time: 1
[20210209183519.884]
> sum ax: 7.72853 | sum ay: -0.803101 | sum az: -4.10201
>> avg ax: 0.154571 | avg ay: -0.016062 | avg az: -0.0820401
>>> vx: 1.51479 | vy: -0.157408 | vz: -0.803993
>>> sx: 0.630784 | sy: 0.0693303 | sz: -0.277135
>>> a: 0.175729
>>> v: 1.72214
>>> s: 0.692459

ax: 1.0755 | ay: -0.223328 | az: -0.621475
ax: 1.09517 | ay: -0.920288 | az: -1.43251
ax: 1.11792 | ay: -1.00647 | az: -1.37085
ax: 0.871796 | ay: -0.881195 | az: -0.603027
ax: 0.886917 | ay: -0.128464 | az: -0.894714
ax: 0.266678 | ay: -0.162613 | az: -1.44057
ax: -1.07034 | ay: -0.182358 | az: -0.521866
ax: -0.20253 | ay: 0.342865 | az: -0.0958557
ax: -0.374435 | ay: -0.499756 | az: -0.117645
ax: -0.694305 | ay: -0.326324 | az: -0.723022
ax: -0.889618 | ay: -0.602661 | az: -0.785645
ax: -0.886993 | ay: -0.500916 | az: -0.727921
ax: -0.781693 | ay: -0.42955 | az: -0.576263
ax: -0.682602 | ay: -0.25296 | az: -0.401001
ax: -0.573029 | ay: -0.102783 | az: -0.320328
ax: -0.502335 | ay: -0.0222778 | az: -0.312271
ax: -0.405258 | ay: -0.0303497 | az: -0.2939
ax: -0.17923 | ay: -0.0178833 | az: -0.220566
ax: 0.1828 | ay: 0.102539 | az: -0.0992584
ax: 0.681381 | ay: 0.223282 | az: 0.163177
ax: 1.09492 | ay: 0.427292 | az: 0.523575
ax: 1.15361 | ay: 1.01691 | az: 0.816772
ax: 1.20409 | ay: 1.55727 | az: 1.18599
ax: 1.2355 | ay: 2.19432 | az: 1.41791
ax: 1.09425 | ay: 1.82162 | az: 2.57147
ax: 1.22141 | ay: 1.09868 | az: 1.51099
ax: -0.164917 | ay: 1.10561 | az: 0.526657
ax: 0.384064 | ay: -1.84462 | az: -0.888535
ax: 0.412231 | ay: -0.911285 | az: 0.157654
ax: 0.995819 | ay: 0.42894 | az: 0.524399
ax: 0.174728 | ay: 0.102982 | az: 0.237152
ax: 0.136612 | ay: 0.737762 | az: -0.0815125
ax: 0.173691 | ay: 0.409637 | az: 0.115387
ax: 0.0140686 | ay: 0.223846 | az: 0.105103
ax: 0.0176544 | ay: -0.0689545 | az: 0.092926
ax: 0.0357056 | ay: -0.115341 | az: 0.169769
ax: 0.0630493 | ay: -0.144638 | az: 0.0614471
ax: 0.0458984 | ay: 0.0810394 | az: -0.0996704
ax: 0.000991821 | ay: 0.0823212 | az: -0.168427
ax: -0.0281219 | ay: 0.0559998 | az: -0.173233
ax: -0.0032959 | ay: -0.123718 | az: -0.0500641
ax: 0.0121002 | ay: -0.135742 | az: 0.0359039
ax: 0.0473785 | ay: 0.0134125 | az: -0.0326691
ax: 0.00984192 | ay: 0.0110779 | az: -0.0705566
ax: 0.0245819 | ay: -0.0305939 | az: -0.0698547
ax: 0.0166626 | ay: -0.0683136 | az: 0.00553894
ax: 0.0233612 | ay: -0.0694427 | az: -0.00131226
ax: 0.0327911 | ay: -0.0759125 | az: -0.0341797
ax: 0.0787659 | ay: 0.00334167 | az: -0.0273132
ax: 0.0967255 | ay: 0.0407715 | az: -0.0250549
time: 2
[20210209183520.887]
> sum ax: 8.53996 | sum ay: 2.20277 | sum az: -3.05925
>> avg ax: 0.170799 | avg ay: 0.0440555 | avg az: -0.061185
>>> vx: 1.67383 | vy: 0.431744 | vz: -0.599613
>>> sx: 0.935624 | sy: -0.145955 | sz: -1.05856
>>> a: 0.1867
>>> v: 1.82966
>>> s: 1.4203

ax: 0.101273 | ay: -0.0981293 | az: -0.0445099
ax: 0.226395 | ay: -0.197952 | az: -0.0949554
ax: 0.295456 | ay: -0.243805 | az: -0.14769
ax: 0.348953 | ay: -0.19606 | az: -0.169769
ax: 0.417633 | ay: -0.213257 | az: -0.125702
ax: 0.534286 | ay: -0.246429 | az: -0.261597
ax: 0.811005 | ay: -0.201523 | az: -0.412613
ax: 1.05225 | ay: -0.179504 | az: -0.727966
ax: 1.06796 | ay: -0.683395 | az: -1.72458
ax: 1.086 | ay: -0.87236 | az: -0.850113
ax: 0.701477 | ay: -0.669006 | az: -0.858124
ax: 0.480377 | ay: -0.274597 | az: -0.791718
ax: -0.246658 | ay: -0.381012 | az: -0.96666
ax: -0.212082 | ay: 0.322464 | az: -0.230484
ax: -0.414276 | ay: 0.031723 | az: 0.165939
ax: -0.380539 | ay: -0.703308 | az: -0.437866
ax: -0.815445 | ay: -0.635422 | az: -0.588654
ax: -0.907257 | ay: -0.75296 | az: -0.64119
ax: -0.806992 | ay: -0.456177 | az: -0.499146
ax: -0.736771 | ay: -0.273438 | az: -0.341934
ax: -0.667587 | ay: -0.138199 | az: -0.265793
ax: -0.601852 | ay: -0.068161 | az: -0.253906
ax: -0.502747 | ay: -0.0630035 | az: -0.212341
ax: -0.297623 | ay: -0.055069 | az: -0.121704
ax: -0.0190735 | ay: 0.0281982 | az: -0.035965
ax: 0.371201 | ay: 0.283432 | az: 0.0539703
ax: 0.956253 | ay: 0.273132 | az: 0.464233
ax: 1.15837 | ay: 0.655472 | az: 0.853699
ax: 1.22127 | ay: 1.25258 | az: 1.38971
ax: 1.26833 | ay: 1.8616 | az: 1.63174
ax: 1.11499 | ay: 1.92859 | az: 1.80493
ax: 1.02003 | ay: 1.51553 | az: 2.20369
ax: 1.11359 | ay: 1.19972 | az: 1.77409
ax: 0.13916 | ay: 0.305344 | az: 0.677216
ax: 0.219177 | ay: -0.971359 | az: -1.40483
ax: 0.723465 | ay: -1.07787 | az: 1.0576
ax: 0.623718 | ay: 0.330109 | az: -0.0616608
ax: 0.49205 | ay: 0.0246124 | az: 0.599426
ax: 0.188919 | ay: 0.736969 | az: -0.0466309
ax: 0.19902 | ay: 0.30278 | az: 0.334259
ax: 0.184219 | ay: 0.38327 | az: 0.223068
ax: 0.121735 | ay: 0.0428925 | az: 0.207138
ax: 0.0219574 | ay: 0.00660706 | az: 0.114471
ax: 0.0348206 | ay: -0.0158539 | az: 0.0704498
ax: 0.0833893 | ay: 0.0971832 | az: -0.0368958
ax: -0.00088501 | ay: 0.0141907 | az: -0.105392
ax: -0.00741577 | ay: 0.0423584 | az: -0.134674
ax: -0.0208435 | ay: -0.0879669 | az: -0.0829315
ax: -0.0091095 | ay: -0.0516357 | az: -0.0112762
ax: 0.0153656 | ay: 0.0327759 | az: -0.000808716
time: 3
[20210209183521.889]
> sum ax: 11.7469 | sum ay: 1.86409 | sum az: 0.935562
>> avg ax: 0.234939 | avg ay: 0.0372818 | avg az: 0.0187112
>>> vx: 2.3024 | vy: 0.365362 | vz: 0.18337
>>> sx: 1.21283 | sy: -0.390273 | sz: -0.719517
>>> a: 0.238613
>>> v: 2.33841
>>> s: 1.46321

ax: 0.0238342 | ay: 0.0207672 | az: 0.00793457
ax: 0.0405884 | ay: -0.0557709 | az: 0.000198364
ax: 0.015976 | ay: -0.0222168 | az: 0.0142059
ax: 0.00427246 | ay: -0.0384064 | az: -6.10352e-05
ax: 0.0405273 | ay: -0.0239258 | az: 0.00718689
ax: 0.106491 | ay: -0.121277 | az: -0.0689697
ax: 0.103897 | ay: -0.00923157 | az: -0.0428467
ax: 0.148361 | ay: -0.0715942 | az: -0.0266876
ax: 0.310059 | ay: -0.121628 | az: -0.0171051
ax: 0.376389 | ay: -0.24794 | az: -0.00897217
ax: 0.465912 | ay: -0.331985 | az: -0.0280304
ax: 0.505981 | ay: -0.216965 | az: -0.198029
ax: 0.745956 | ay: -0.0828247 | az: -0.391556
ax: 1.04588 | ay: -0.103668 | az: -0.502853
ax: 1.05965 | ay: -0.884903 | az: -1.68645
ax: 1.0752 | ay: -1.1812 | az: -1.27182
ax: 0.870667 | ay: -0.841125 | az: -0.720779
ax: 0.650742 | ay: -0.390564 | az: -0.926025
ax: 0.20285 | ay: -0.404053 | az: -1.55006
ax: -0.379852 | ay: 0.387665 | az: 0.222336
ax: -0.862152 | ay: 0.275162 | az: -0.194183
ax: -0.562302 | ay: -0.435959 | az: -0.768707
ax: -1.00655 | ay: -0.575836 | az: -0.711273
ax: -0.936035 | ay: -0.648178 | az: -0.5578
ax: -0.859451 | ay: -0.3927 | az: -0.432785
ax: -0.746094 | ay: -0.288223 | az: -0.297821
ax: -0.658798 | ay: -0.262436 | az: -0.232162
ax: -0.614853 | ay: -0.237488 | az: -0.206985
ax: -0.419327 | ay: -0.27919 | az: -0.13385
ax: -0.187164 | ay: -0.228043 | az: -0.0795135
ax: 0.394989 | ay: 0.02771 | az: 0.145096
ax: 0.867325 | ay: 0.0167236 | az: 0.490158
ax: 1.14241 | ay: 0.300964 | az: 0.856918
ax: 1.20808 | ay: 0.963501 | az: 1.26935
ax: 1.2617 | ay: 1.82074 | az: 1.75923
ax: 1.28885 | ay: 2.34404 | az: 1.73419
ax: 1.00926 | ay: 2.19031 | az: 2.16531
ax: 1.26443 | ay: 1.65738 | az: 1.30315
ax: -0.412796 | ay: 0.739639 | az: -0.319962
ax: 0.48114 | ay: -1.74121 | az: -1.18236
ax: 1.105 | ay: -0.23291 | az: 0.531967
ax: 0.892517 | ay: 0.929901 | az: 0.464844
ax: 0.283676 | ay: 0.22551 | az: 0.523361
ax: 0.190201 | ay: 0.624802 | az: 0.159729
ax: 0.0618286 | ay: 0.314117 | az: 0.164886
ax: 0.0875244 | ay: -0.0706482 | az: 0.229095
ax: 0.0867157 | ay: 0.0178986 | az: 0.157928
ax: -0.0722961 | ay: -0.0120239 | az: 0.0169373
ax: 0.0834045 | ay: 0.225876 | az: -0.113937
ax: 0.0192108 | ay: 0.110352 | az: -0.142548
time: 4
[20210209183522.890]
> sum ax: 11.8038 | sum ay: 2.63893 | sum az: -0.590118
>> avg ax: 0.236077 | avg ay: 0.0527786 | avg az: -0.0118024
>>> vx: 2.31355 | vy: 0.517231 | vz: -0.115663
>>> sx: 1.00813 | sy: -0.427606 | sz: -0.771581
>>> a: 0.242192
>>> v: 2.37348
>>> s: 1.33959

ax: 4.57764e-05 | ay: -0.119781 | az: -0.0138702
ax: 0.0203094 | ay: -0.143524 | az: 0.0476074
ax: 0.0359192 | ay: 0.0683746 | az: -0.0548401
ax: 0.0130615 | ay: 0.0791321 | az: -0.031189
ax: 0.0198517 | ay: 0.0334015 | az: 0.0406799
ax: 0.0320435 | ay: 0.00488281 | az: 0.0137024
ax: 0.0574799 | ay: -0.0261078 | az: -0.000671387
ax: 0.0304871 | ay: 0.0332794 | az: -0.0196381
ax: 0.0621185 | ay: 0.0549622 | az: -0.024231
ax: 0.127457 | ay: -0.0870514 | az: 0.0402832
ax: 0.15361 | ay: -0.0698395 | az: -0.0057373
ax: 0.177307 | ay: -0.173431 | az: 0.0115204
ax: 0.215073 | ay: -0.149582 | az: -0.0769501
ax: 0.290894 | ay: -0.0996857 | az: -0.117355
ax: 0.375229 | ay: -0.215927 | az: -0.0896912
ax: 0.422592 | ay: -0.199539 | az: -0.243896
ax: 0.642029 | ay: -0.191788 | az: -0.426666
ax: 1.0416 | ay: -0.160583 | az: -0.640533
ax: 1.05615 | ay: -0.666382 | az: -1.58138
ax: 1.07256 | ay: -1.07544 | az: -1.10216
ax: 0.964996 | ay: -0.807266 | az: -1.07411
ax: 0.801315 | ay: -0.18811 | az: -0.827393
ax: 0.127365 | ay: -0.400726 | az: -1.41354
ax: -0.320984 | ay: 0.487381 | az: 0.0628204
ax: -1.61858 | ay: 0.42305 | az: 0.423264
ax: -0.225876 | ay: -0.56665 | az: -0.448257
ax: -0.932816 | ay: -0.422729 | az: -0.669067
ax: -0.973083 | ay: -0.725815 | az: -0.651062
ax: -0.90274 | ay: -0.476517 | az: -0.559677
ax: -0.8349 | ay: -0.327744 | az: -0.396439
ax: -0.733719 | ay: -0.151016 | az: -0.297577
ax: -0.701569 | ay: -0.0729828 | az: -0.267273
ax: -0.532318 | ay: -0.0663757 | az: -0.208832
ax: -0.344162 | ay: -0.023941 | az: -0.167343
ax: 0.0246887 | ay: -0.00630188 | az: -0.0634918
ax: 0.452332 | ay: -0.155304 | az: 0.386673
ax: 1.03308 | ay: 0.310944 | az: 0.638931
ax: 1.16159 | ay: 1.12955 | az: 0.967819
ax: 1.21521 | ay: 1.56435 | az: 1.36099
ax: 1.25403 | ay: 2.27304 | az: 1.21768
ax: 1.21567 | ay: 2.30115 | az: 1.56175
ax: 0.957047 | ay: 1.54662 | az: 2.46071
ax: 1.14015 | ay: 0.787262 | az: 1.62035
ax: -0.041275 | ay: -1.17198 | az: -1.14403
ax: 0.285599 | ay: -1.27257 | az: -0.232315
