ax: 1.12917 | ay: 2.28185 | az: 1.12895
ax: 0.314407 | ay: -0.0436707 | az: 0.249878
ax: 0.104019 | ay: 0.213394 | az: -0.0886688
ax: 0.117706 | ay: 0.46225 | az: -0.101883
ax: -0.0225067 | ay: 0.0551758 | az: -0.00605774
ax: 0.078537 | ay: 0.0124512 | az: 0.0302277
ax: -0.00195312 | ay: -0.215256 | az: 0.0376129
ax: 0.0194855 | ay: -0.162521 | az: 0.0547791
ax: 0.0302429 | ay: -0.183533 | az: -0.0549011
ax: 0.0137024 | ay: -0.00967407 | az: -0.214554
ax: -0.0266571 | ay: -0.02034 | az: -0.244644
ax: -0.0152588 | ay: -0.0205841 | az: -0.190491
ax: -0.0116577 | ay: -0.269897 | az: -0.119324
ax: 0.00730896 | ay: -0.112152 | az: -0.170456
ax: -0.0475311 | ay: -0.112228 | az: -0.112976
ax: 0.0201111 | ay: -0.0438843 | az: -0.101028
ax: 0.0448456 | ay: -0.165085 | az: -0.106491
ax: -0.01091 | ay: -0.133514 | az: -0.132874
ax: -0.00541687 | ay: -0.0919647 | az: -0.116959
ax: 0.00558472 | ay: -0.0479431 | az: -0.0936127
ax: -0.015152 | ay: -0.0927887 | az: -0.085556
ax: 0.0108185 | ay: -0.147278 | az: -0.136627
ax: 0.017807 | ay: -0.0979156 | az: -0.0961761
ax: 0.0774536 | ay: -0.090744 | az: -0.106308
ax: 0.0458069 | ay: -0.137253 | az: -0.105499
ax: 0.0752869 | ay: -0.174286 | az: -0.131363
ax: 0.144165 | ay: -0.127777 | az: -0.154922
ax: 0.176849 | ay: -0.164871 | az: -0.169098
ax: 0.23996 | ay: -0.188034 | az: -0.175598
ax: 0.26825 | ay: -0.165009 | az: -0.245483
ax: 0.355988 | ay: -0.116699 | az: -0.297272
ax: 0.403336 | ay: -0.212616 | az: -0.412354
ax: 0.540131 | ay: -0.151108 | az: -0.418213
ax: 0.801193 | ay: -0.1716 | az: -0.399963
ax: 1.09262 | ay: -0.45047 | az: -1.06888
ax: 1.10989 | ay: -0.681335 | az: -1.24712
ax: 0.921463 | ay: -0.73439 | az: -1.0491
ax: 0.502457 | ay: -0.959976 | az: -0.297058
ax: 0.728149 | ay: -0.126129 | az: -0.276871
ax: -0.304886 | ay: -0.0726929 | az: -1.1404
ax: -0.50267 | ay: 0.639343 | az: -0.125092
ax: 0.0137329 | ay: -0.72226 | az: -0.186035
ax: -0.527298 | ay: -0.294998 | az: -0.531586
ax: -0.567612 | ay: -0.219315 | az: -0.565491
ax: -0.683502 | ay: -0.3479 | az: -0.481186
ax: -0.666077 | ay: -0.371857 | az: -0.388229
ax: -0.684372 | ay: -0.317932 | az: -0.402863
ax: -0.636337 | ay: -0.185379 | az: -0.381927
ax: -0.590439 | ay: -0.111862 | az: -0.398499
ax: -0.541687 | ay: 0.0304108 | az: -0.470901
time: 1
[20210209183834.272]
> sum ax: 3.54855 | sum ay: -5.57185 | sum az: -12.2991
>> avg ax: 0.0709711 | avg ay: -0.111437 | avg az: -0.245983
>>> vx: 0.695516 | vy: -1.09208 | vz: -2.41063
>>> sx: 0.705345 | sy: -0.0498112 | sz: -0.586979
>>> a: 0.279218
>>> v: 2.73633
>>> s: 0.918987

ax: -0.398148 | ay: 0.15007 | az: -0.427597
ax: -0.19873 | ay: 0.285248 | az: -0.396423
ax: 0.041275 | ay: 0.383896 | az: -0.286957
ax: 0.450119 | ay: 0.458618 | az: -0.104996
ax: 0.966034 | ay: 0.571411 | az: 0.140503
ax: 1.11143 | ay: 0.988785 | az: 0.370865
ax: 1.16054 | ay: 1.32144 | az: 1.173
ax: 1.19269 | ay: 1.30612 | az: 1.44991
ax: 0.993973 | ay: 1.69188 | az: 1.26033
ax: 0.722 | ay: 1.01334 | az: 2.07446
ax: 0.807449 | ay: 0.926819 | az: 1.65591
ax: 0.306671 | ay: -0.499451 | az: 0.332291
