ax: -0.181396 | ay: -0.364761 | az: -0.127304
ax: 0.0921173 | ay: -0.034256 | az: -0.543091
ax: 0.341614 | ay: -0.624863 | az: 0.161819
ax: 0.361542 | ay: -0.66748 | az: 0.0935516
ax: 0.335724 | ay: 0.0941467 | az: 0.112488
ax: 0.346298 | ay: -0.091156 | az: 0.368301
ax: 0.25029 | ay: 0.24556 | az: 0.152008
ax: 0.00566101 | ay: 0.219604 | az: -0.0731812
ax: -0.125259 | ay: 0.375549 | az: -0.230103
ax: -0.0322113 | ay: 0.36676 | az: -0.0423431
ax: 0.0507812 | ay: 0.0913544 | az: 0.0363312
ax: 0.0249939 | ay: -0.0910492 | az: 0.156403
ax: 0.0753174 | ay: -0.122299 | az: 0.09729
ax: -0.0253448 | ay: -0.079071 | az: -0.0806122
ax: 0.0120544 | ay: 0.103622 | az: -0.127869
ax: 0.0107422 | ay: 0.213562 | az: -0.138306
ax: 0.00610352 | ay: 0.11734 | az: -0.0739594
ax: 0.019455 | ay: -0.0488739 | az: -0.039856
ax: -0.00408936 | ay: -0.124969 | az: -0.070282
ax: -0.0162811 | ay: -0.104401 | az: -0.06427
ax: -0.0300598 | ay: 0.0071106 | az: -0.0968781
ax: -0.0216217 | ay: 0.0752106 | az: -0.0755463
ax: 0.00535583 | ay: 0.0288849 | az: -0.050705
ax: -0.00479126 | ay: -0.0466614 | az: -0.0187683
ax: -0.0207672 | ay: -0.0554962 | az: -0.0501404
ax: 0.00195312 | ay: 0.0107574 | az: -0.0577393
ax: -0.00175476 | ay: 0.0128479 | az: -0.102951
ax: -0.0152435 | ay: -0.0477295 | az: -0.108826
ax: 0.00149536 | ay: -0.00743103 | az: -0.0632324
ax: 0.026474 | ay: 0.00428772 | az: -0.026413
ax: -0.00192261 | ay: -0.00323486 | az: -0.051651
ax: 0.0187836 | ay: -0.0236511 | az: -0.0903473
ax: 0.0209808 | ay: -0.0736237 | az: -0.132355
ax: 0.0201111 | ay: -0.0296021 | az: -0.0850372
ax: 0.0349426 | ay: 0.0153198 | az: -0.0722351
ax: 0.0754547 | ay: 0.0584564 | az: -0.154053
ax: 0.141281 | ay: -0.0839081 | az: -0.110825
ax: 0.201599 | ay: -0.0602417 | az: -0.122269
ax: 0.272919 | ay: -0.181763 | az: -0.0497742
ax: 0.357468 | ay: -0.0914001 | az: -0.114746
ax: 0.422958 | ay: -0.146927 | az: -0.137741
ax: 0.516785 | ay: -0.275085 | az: -0.148834
ax: 0.58046 | ay: -0.186935 | az: -0.267014
ax: 0.818924 | ay: -0.188583 | az: -0.487717
ax: 1.07068 | ay: -0.417999 | az: -1.17085
ax: 0.960144 | ay: -0.366898 | az: -1.01886
ax: 0.731339 | ay: -0.320129 | az: -0.626205
ax: 0.462921 | ay: -0.268219 | az: -0.52449
ax: 0.535522 | ay: 0.152542 | az: -0.570633
