ax: 0.160309 | ay: 0.0926514 | az: -0.0945282
ax: 0.450668 | ay: 0.408676 | az: 0.0540009
ax: -0.217163 | ay: -0.136581 | az: -0.463852
ax: 0.266937 | ay: 0.0271606 | az: -0.0296783
ax: 0.335434 | ay: -0.351181 | az: 0.0981903
ax: 0.823227 | ay: -0.284454 | az: 0.0770416
ax: 0.500763 | ay: 0.173615 | az: 0.539078
ax: 0.192078 | ay: 0.35228 | az: 0.19841
ax: 0.153687 | ay: 0.370285 | az: 0.0136566
ax: 0.0501251 | ay: 0.312775 | az: -0.0451508
ax: 0.0558929 | ay: 0.409134 | az: 0.0846863
ax: 0.0920715 | ay: 0.257431 | az: 0.112747
ax: -0.0275421 | ay: 0.0595245 | az: 0.0676575
ax: 0.0320587 | ay: 0.0385284 | az: 0.105103
ax: 0.0456085 | ay: 0.0178375 | az: 0.00924683
ax: 0.0287781 | ay: 0.181244 | az: -0.0961151
ax: 0.0218201 | ay: 0.236649 | az: -0.0965729
ax: 0.00997925 | ay: 0.0384521 | az: -0.0885773
ax: 0.000518799 | ay: -0.0306702 | az: 0.0148163
ax: 0.0124359 | ay: 0.0697327 | az: -0.00540161
ax: -0.00038147 | ay: 0.132095 | az: -0.0278015
ax: 0.0141449 | ay: 0.122421 | az: -0.0222015
ax: 0.0149078 | ay: 0.0605774 | az: -0.0438995
ax: 0.0131073 | ay: 0.0767059 | az: 0.0104523
ax: 0.00395203 | ay: 0.0485687 | az: -0.022049
ax: -0.0194244 | ay: 0.0506744 | az: -0.0489197
ax: 0.00369263 | ay: 0.0894318 | az: -0.0215607
ax: 0.036911 | ay: 0.0609283 | az: 0.00474548
ax: 0.0208893 | ay: 0.0530548 | az: 0.04776
ax: -0.00708008 | ay: 0.0723572 | az: -0.0101929
ax: 0.0146332 | ay: 0.0314789 | az: -0.0329285
ax: 0.0228577 | ay: -0.0358429 | az: -0.0757141
ax: 0.0291748 | ay: 0.0576324 | az: -0.0427704
