ax: 0 | ay: 0 | az: -1
ax: 0.489151 | ay: -0.0285339 | az: -0.0852966
ax: 0.593369 | ay: -0.137024 | az: -0.148239
ax: 0.927643 | ay: -0.332031 | az: -0.139435
ax: 1.0125 | ay: -0.880447 | az: -0.311768
ax: 0.929031 | ay: -1.34985 | az: -0.31665
ax: 0.859863 | ay: -0.564163 | az: -0.135437
ax: 0.843597 | ay: -0.846664 | az: -0.633804
ax: 0.00630188 | ay: -0.433029 | az: -0.350555
ax: 0.122681 | ay: -0.0680084 | az: -0.44632
ax: -0.532333 | ay: 0.608749 | az: -0.255447
ax: -0.436798 | ay: -0.289398 | az: -0.0324707
ax: -0.75589 | ay: -0.648483 | az: 0.165421
ax: -0.756119 | ay: -0.495743 | az: 0.0969696
ax: -0.750504 | ay: -0.393311 | az: 0.00328064
ax: -0.64386 | ay: -0.211243 | az: 0.0101624
ax: -0.526505 | ay: -0.104004 | az: 0.0917969
ax: -0.452499 | ay: 0.0352173 | az: 0.177628
ax: -0.355972 | ay: 0.095047 | az: 0.19545
ax: -0.209457 | ay: 0.116562 | az: 0.174316
ax: 0.0474091 | ay: 0.193008 | az: 0.156189
ax: 0.390427 | ay: 0.220062 | az: 0.174332
ax: 0.853836 | ay: 0.467926 | az: 0.0730438
ax: 1.26172 | ay: 1.13664 | az: 0.0710754
ax: 1.3432 | ay: 1.87485 | az: 0.0983276
ax: 1.41202 | ay: 2.46788 | az: -0.171677
ax: 1.03342 | ay: 2.82877 | az: -0.683929
ax: 0.824707 | ay: 2.83873 | az: 0.0650024
ax: 0.652817 | ay: 2.58189 | az: 0.106979
ax: 1.39783 | ay: 0.900101 | az: -0.392807
ax: -0.260284 | ay: -1.23219 | az: -0.42308
ax: 0.891205 | ay: 0.574402 | az: 0.969772
ax: 1.30994 | ay: 1.34956 | az: 0.416199
ax: 0.726227 | ay: 1.12753 | az: -0.296509
ax: 0.40976 | ay: 1.17821 | az: -0.258224
ax: 0.208267 | ay: 0.726135 | az: 0.202042
ax: 0.160065 | ay: 0.683685 | az: -0.277191
ax: 0.108429 | ay: 0.310211 | az: -0.0810547
ax: 0.153046 | ay: 0.266037 | az: 0.115997
ax: 0.0911102 | ay: 0.182159 | az: -0.0435181
ax: 0.0268402 | ay: 0.129181 | az: -0.0752411
ax: 0.0267181 | ay: 0.27562 | az: -0.106247
ax: -0.0162659 | ay: 0.18428 | az: -0.110855
