ax: 0.742798 | ay: 1.82024 | az: -1.66997
ax: 0.278351 | ay: -0.527405 | az: 0.0519714
ax: 0.397095 | ay: -0.602249 | az: 0.0720062
ax: 0.501724 | ay: -0.613739 | az: 0.132416
ax: 0.628311 | ay: -0.657104 | az: 0.271011
ax: 0.652557 | ay: -0.734894 | az: 0.118988
ax: 0.917725 | ay: -0.935379 | az: -0.163528
ax: 1.17836 | ay: -1.00403 | az: -0.359772
ax: 1.2097 | ay: -2.37004 | az: -0.649429
ax: 1.24174 | ay: -1.53992 | az: -0.187759
ax: 1.24998 | ay: -1.26286 | az: -0.861847
ax: 0.736389 | ay: -1.13124 | az: -0.649048
ax: 0.470566 | ay: -0.919342 | az: -0.245697
ax: -0.341064 | ay: 0.0020752 | az: -0.35025
ax: 0.188019 | ay: -0.119553 | az: 0.23172
ax: -0.428986 | ay: -0.781113 | az: 0.116119
ax: -0.444519 | ay: -1.09009 | az: 0.0272369
ax: -0.589081 | ay: -1.18315 | az: -0.0403748
ax: -0.464157 | ay: -0.760147 | az: -0.00245667
ax: -0.50531 | ay: -0.601135 | az: 0.0572205
ax: -0.482742 | ay: -0.474228 | az: 0.0710754
ax: -0.399719 | ay: -0.253281 | az: 0.1819
ax: -0.340958 | ay: -0.352066 | az: 0.140076
ax: -0.187408 | ay: -0.259689 | az: 0.120529
ax: 0.0156097 | ay: -0.297043 | az: 0.0853271
ax: 0.587921 | ay: -0.00637817 | az: -0.00180054
ax: 1.04614 | ay: 0.735687 | az: -0.0254974
ax: 1.08275 | ay: 1.58694 | az: -0.0654907
ax: 1.11995 | ay: 2.39502 | az: 0.155167
ax: 0.906967 | ay: 2.44579 | az: -0.539627
ax: 0.436905 | ay: 2.45685 | az: 0.0865936
ax: 1.14189 | ay: 2.34457 | az: -0.063858
ax: -0.19812 | ay: -1.64711 | az: -0.879211
ax: 0.253708 | ay: -0.438324 | az: 0.700485
ax: 1.06956 | ay: 1.18623 | az: 0.443436
ax: 0.469604 | ay: 0.204803 | az: 0.216141
ax: 0.538467 | ay: 1.11057 | az: -0.323013
ax: -0.0510559 | ay: 0.0640259 | az: -0.0556946
ax: 0.131119 | ay: 0.370316 | az: -0.0296173
ax: -0.0039978 | ay: -0.113556 | az: -0.0161285
ax: 0.0371704 | ay: -0.223267 | az: 0.00419617
ax: 0.0156708 | ay: -0.365173 | az: 0.0185852
ax: 0.00973511 | ay: -0.291229 | az: -0.0495605
ax: -0.0298157 | ay: -0.18605 | az: -0.18782
ax: -0.0779266 | ay: -0.181961 | az: -0.15033
ax: 0.00721741 | ay: -0.109375 | az: 0.0111084
ax: 0.112335 | ay: -0.0256195 | az: 0.2444
ax: 0.0778198 | ay: -0.150421 | az: 0.168488
ax: 0.0795746 | ay: -0.15004 | az: 0.0869751
ax: 0.0584412 | ay: -0.243149 | az: 0.0287476
time: 1
[20201117134932.215]
> sum ax: 15.047 | sum ay: -5.87823 | sum az: -3.72586
>> avg ax: 0.300941 | avg ay: -0.117565 | avg az: -0.0745172
>>> vx: 2.94922 | vy: -1.15213 | vz: -0.730269
>>> sx: 1.9123 | sy: -1.50874 | sz: -0.675264
>>> a: 0.331571
>>> v: 3.2494
>>> s: 2.52768

ax: 0.059021 | ay: -0.273666 | az: -0.0119934
ax: 0.0736694 | ay: -0.2883 | az: -0.0106964
ax: 0.151291 | ay: -0.25766 | az: -0.021698
ax: 0.211273 | ay: -0.271729 | az: 0.0245514
ax: 0.275223 | ay: -0.352936 | az: 0.0170288
ax: 0.429535 | ay: -0.399384 | az: -0.0160065
ax: 0.561218 | ay: -0.520065 | az: 0.171448
ax: 0.63382 | ay: -0.601227 | az: 0.215179
ax: 0.830292 | ay: -0.757935 | az: 0.0317078
ax: 1.09464 | ay: -0.985672 | az: -0.172256
ax: 1.11456 | ay: -2.44167 | az: -0.581177
ax: 1.13899 | ay: -1.62811 | az: -0.050766
ax: 1.03154 | ay: -1.49562 | az: -0.882736
ax: 0.508453 | ay: -1.43172 | az: -0.68483
ax: 0.0550842 | ay: -0.807983 | az: -0.272202
ax: -0.584 | ay: 0.808426 | az: -0.226593
ax: -0.109619 | ay: -0.589615 | az: 0.165253
ax: -0.764832 | ay: -0.804901 | az: 0.132065
ax: -0.650085 | ay: -1.04221 | az: 0.00134277
ax: -0.815598 | ay: -1.02934 | az: -0.0406799
ax: -0.625122 | ay: -0.655624 | az: -0.0765381
ax: -0.554474 | ay: -0.397568 | az: -0.0421295
ax: -0.447357 | ay: -0.231583 | az: 0.0583954
ax: -0.316193 | ay: -0.0807648 | az: 0.127747
ax: -0.181259 | ay: -0.0847778 | az: 0.0967102
ax: 0.157959 | ay: -4.57764e-05 | az: 0.0480652
ax: 0.779846 | ay: 0.391068 | az: 0.116165
ax: 1.07825 | ay: 0.945511 | az: 0.016861
ax: 1.13118 | ay: 1.7939 | az: 0.0338135
ax: 1.1799 | ay: 2.35695 | az: -0.121948
ax: 1.0134 | ay: 2.58354 | az: -0.827759
ax: 0.484253 | ay: 2.58748 | az: 0.294388
ax: 1.1917 | ay: 2.05338 | az: -0.60553
ax: -0.830154 | ay: -1.51529 | az: -0.969574
ax: 0.756485 | ay: 0.102356 | az: 0.418655
ax: 1.12097 | ay: 1.18515 | az: 0.418381
ax: 0.3302 | ay: 0.998703 | az: -0.315536
ax: 1.06703 | ay: 1.43982 | az: 0.0206604
ax: -0.0107422 | ay: 0.000366211 | az: 0.124557
ax: 0.194061 | ay: 0.374817 | az: -0.0317841
ax: -0.121628 | ay: -0.186188 | az: -0.261703
ax: 0.126785 | ay: 0.0926208 | az: 0.149582
ax: 0.045929 | ay: -0.198242 | az: 0.0134888
ax: 0.0175171 | ay: -0.112396 | az: -0.0259399
ax: -0.0355225 | ay: -0.115128 | az: -0.252731
ax: -0.0383453 | ay: -0.0236816 | az: -0.0574036
ax: 0.00718689 | ay: -0.102966 | az: 0.0463409
ax: 0.040741 | ay: -0.0340271 | az: 0.111008
ax: 0.0682373 | ay: -0.122696 | az: 0.0432281
ax: 0.215057 | ay: -0.290054 | az: -0.0220642
time: 2
[20201117134933.220]
> sum ax: 13.0904 | sum ay: -2.41669 | sum az: -3.68565
>> avg ax: 0.261807 | avg ay: -0.0483337 | avg az: -0.0737131
>>> vx: 2.56571 | vy: -0.473671 | vz: -0.722388
>>> sx: 1.42768 | sy: -1.37485 | sz: -0.420465
>>> a: 0.276248
>>> v: 2.70723
>>> s: 2.02615

ax: 0.0526581 | ay: -0.125854 | az: -0.00488281
ax: 0.073349 | ay: -0.112457 | az: 0.0343475
ax: 0.137375 | ay: -0.0983734 | az: 0.00483704
ax: 0.191895 | ay: -0.175827 | az: -0.0395966
ax: 0.218613 | ay: -0.225708 | az: 0.027832
ax: 0.31987 | ay: -0.296753 | az: 0.0451813
ax: 0.440994 | ay: -0.377228 | az: 0.0537109
ax: 0.618668 | ay: -0.496002 | az: 0.242233
ax: 0.587585 | ay: -0.673141 | az: 0.235107
ax: 0.972015 | ay: -0.71579 | az: 0.0394287
ax: 1.07915 | ay: -1.83423 | az: -0.509552
ax: 1.09714 | ay: -2.24812 | az: -0.224976
ax: 1.12737 | ay: -1.12271 | az: -0.984375
ax: 0.878052 | ay: -1.47046 | az: -1.03381
ax: 0.104858 | ay: -0.884583 | az: -0.576782
ax: 0.327423 | ay: 0.72348 | az: -0.294159
ax: 0.150314 | ay: -0.0875854 | az: -0.0811157
ax: -0.429489 | ay: -0.721817 | az: -0.0719757
ax: -0.663223 | ay: -0.727005 | az: 0.0845947
ax: -0.795349 | ay: -0.865631 | az: -0.094101
ax: -0.74733 | ay: -0.760529 | az: -0.159195
ax: -0.685349 | ay: -0.498245 | az: -0.167633
ax: -0.631241 | ay: -0.350189 | az: -0.226715
ax: -0.41153 | ay: 0.222916 | az: -0.0508575
ax: -0.352829 | ay: 0.0587006 | az: -0.0399323
ax: -0.169907 | ay: 0.0547485 | az: -0.0141754
ax: 0.330917 | ay: 0.157486 | az: -0.0918427
ax: 0.980591 | ay: 0.499084 | az: -0.263458
ax: 1.14589 | ay: 1.40472 | az: -0.0952759
ax: 1.21103 | ay: 2.38982 | az: 0.17424
ax: 1.26015 | ay: 2.62431 | az: -0.68837
