ax: -0.52565 | ay: -0.300766 | az: 0.0184174
ax: -0.52565 | ay: -0.300766 | az: 0.0184174
ax: 0.442871 | ay: -0.33638 | az: 0.0298615
ax: 0.536163 | ay: -0.443863 | az: 0.0670013
ax: 0.647247 | ay: -0.604202 | az: -0.0411987
ax: 1.00568 | ay: -0.779526 | az: -0.145889
ax: 1.13564 | ay: -1.15086 | az: -0.255035
ax: 1.0513 | ay: -1.94608 | az: -0.440781
ax: 1.07217 | ay: -1.07686 | az: 0.0227661
ax: 0.921936 | ay: -0.96936 | az: -0.713165
ax: 0.618729 | ay: -0.848389 | az: -0.572647
ax: -0.0745087 | ay: -0.520432 | az: -0.235825
ax: -0.138672 | ay: 0.147308 | az: -0.25943
ax: 0.132538 | ay: -0.228226 | az: 0.118683
ax: -0.472443 | ay: -0.807434 | az: 0.110229
ax: -0.501755 | ay: -1.01295 | az: -0.0464935
ax: -0.587723 | ay: -1.14392 | az: -0.0767517
ax: -0.535004 | ay: -0.859894 | az: -0.0215759
ax: -0.519608 | ay: -0.630249 | az: -0.00550842
ax: -0.45816 | ay: -0.482803 | az: -0.025528
ax: -0.413788 | ay: -0.382477 | az: -0.038269
ax: -0.341675 | ay: -0.357132 | az: -0.0196075
ax: -0.219833 | ay: -0.323776 | az: 0.0223846
ax: -0.0182648 | ay: -0.242599 | az: -0.0194855
ax: 0.312408 | ay: -0.161163 | az: -0.0342102
ax: 0.890045 | ay: 0.244385 | az: 0.0158691
ax: 1.04211 | ay: 0.734222 | az: 0.00941467
ax: 1.07747 | ay: 1.66008 | az: 0.0890656
ax: 1.11009 | ay: 2.40652 | az: -0.303864
ax: 0.748032 | ay: 2.44177 | az: -0.430206
ax: 0.264603 | ay: 2.44067 | az: 0.297134
ax: 0.622604 | ay: 0.794754 | az: 0.277359
ax: 0.0116882 | ay: -1.65509 | az: -0.199371
ax: 0.00704956 | ay: 0.162079 | az: 0.794113
ax: 0.621185 | ay: 0.957626 | az: 0.288239
ax: 0.307297 | ay: 0.378403 | az: 0.0483856
ax: 0.421982 | ay: 0.935242 | az: -0.264511
ax: 0.0262756 | ay: 0.224228 | az: 0.0662994
ax: 0.0648499 | ay: 0.294739 | az: -0.00193787
ax: 0.00747681 | ay: -0.0723114 | az: -0.0124207
ax: 0.0487061 | ay: -0.170731 | az: 0.113922
ax: 0.0550079 | ay: -0.195358 | az: -0.018219
ax: -0.0299988 | ay: -0.228256 | az: -0.085495
ax: -0.0194855 | ay: -0.182648 | az: -0.21666
ax: -0.0441742 | ay: -0.208344 | az: -0.0868225
ax: -0.0204773 | ay: -0.228241 | az: 0.0287476
