ax: 0.064743 | ay: 0.216644 | az: 0.0685577
ax: 0.978729 | ay: 2.22903 | az: -0.133133
ax: 0.493027 | ay: -0.171036 | az: -0.0384369
ax: -0.559662 | ay: -1.84421 | az: 0.0108643
ax: 0.859909 | ay: 0.935608 | az: 0.694397
ax: 1.02098 | ay: 0.374954 | az: -0.40239
ax: 0.261993 | ay: 0.915344 | az: 0.155411
ax: -0.0686798 | ay: -0.203491 | az: 0.0124817
ax: 0.0696716 | ay: 0.100555 | az: 0.159134
ax: 0.116745 | ay: -0.128204 | az: 0.0230713
ax: 0.00227356 | ay: -0.444321 | az: -0.0907898
ax: 0.0141907 | ay: -0.410843 | az: -0.0424957
ax: -0.0208588 | ay: -0.450104 | az: -0.0314941
ax: 0.00196838 | ay: -0.329407 | az: 0.00431824
ax: -0.0250244 | ay: -0.335876 | az: -0.0489807
ax: 0.0131073 | ay: -0.370926 | az: -0.120178
ax: 0.0126648 | ay: -0.49527 | az: -0.0178833
ax: 0.0670929 | ay: -0.423462 | az: 0.0965424
ax: 0.0708466 | ay: -0.362915 | az: 0.041275
ax: 0.0708771 | ay: -0.341522 | az: -0.0371094
ax: 0.0739594 | ay: -0.293671 | az: -0.0553894
ax: 0.105087 | ay: -0.357681 | az: -0.0685577
ax: 0.154587 | ay: -0.343628 | az: -0.0134277
ax: 0.210419 | ay: -0.314194 | az: 0.000976562
ax: 0.228836 | ay: -0.383942 | az: -0.000549316
ax: 0.273163 | ay: -0.50119 | az: -0.0630188
ax: 0.422562 | ay: -0.547073 | az: 0.0100861
ax: 0.5746 | ay: -0.576752 | az: 0.219818
ax: 0.659897 | ay: -0.707474 | az: 0.233749
ax: 0.875244 | ay: -0.869186 | az: -0.0581207
ax: 1.20284 | ay: -0.952316 | az: -0.440399
ax: 1.23672 | ay: -2.08208 | az: -0.75795
ax: 1.27364 | ay: -1.86174 | az: -0.177872
ax: 1.23203 | ay: -1.37242 | az: -0.72049
ax: 0.791306 | ay: -1.06454 | az: -1.14447
ax: 0.454681 | ay: -0.845383 | az: -0.0648804
ax: 0.0767822 | ay: -0.648758 | az: -0.0739441
ax: 0.441727 | ay: 0.043808 | az: -0.0198212
ax: -0.334457 | ay: -0.581741 | az: 0.0638275
ax: -0.474304 | ay: -1.14726 | az: -0.145309
ax: -0.516678 | ay: -1.03761 | az: -0.101212
ax: -0.470612 | ay: -0.801804 | az: 0.0348206
ax: -0.528366 | ay: -0.708115 | az: 0.118225
ax: -0.485352 | ay: -0.621536 | az: 0.14299
ax: -0.44635 | ay: -0.523987 | az: 0.0970917
ax: -0.345169 | ay: -0.490387 | az: 0.17395
ax: -0.274277 | ay: -0.487961 | az: 0.189011
ax: 0.0443115 | ay: -0.193146 | az: 0.00511169
ax: 0.489426 | ay: -0.0624084 | az: -0.109146
ax: 1.02573 | ay: 0.616577 | az: -0.205002
time: 1
[20201117135349.757]
> sum ax: 11.4166 | sum ay: -21.257 | sum az: -2.62674
>> avg ax: 0.228331 | avg ay: -0.425141 | avg az: -0.0525348
>>> vx: 2.23765 | vy: -4.16638 | vz: -0.514841
