ax: -0.00544739 | ay: -0.0994263 | az: -0.0347748
ax: 0.0292053 | ay: -0.121735 | az: 0.0315552
ax: 0.0297546 | ay: -0.0759888 | az: 0.0380859
ax: 0.0496826 | ay: -0.0852509 | az: 0.0275269
ax: 0.0481415 | ay: -0.10051 | az: -0.0185852
ax: 0.0631714 | ay: -0.142136 | az: -0.0494385
ax: 0.113831 | ay: -0.242233 | az: 0.0275879
ax: 0.168121 | ay: -0.27652 | az: 0.0936584
ax: 0.293961 | ay: -0.305969 | az: 0.0868835
ax: 0.395645 | ay: -0.330307 | az: 0.203308
ax: 0.460251 | ay: -0.429932 | az: 0.13559
ax: 0.575821 | ay: -0.500885 | az: -0.0802765
ax: 0.786041 | ay: -0.640045 | az: -0.287689
ax: 1.117 | ay: -0.867294 | az: -0.279694
ax: 1.14142 | ay: -1.52611 | az: -0.355377
ax: 1.01567 | ay: -1.72452 | az: 0.00492859
ax: 0.911163 | ay: -0.881195 | az: -0.420425
ax: 0.819214 | ay: -1.03496 | az: -0.407791
ax: -0.0052948 | ay: -0.350418 | az: -0.443817
ax: 0.467667 | ay: -0.589615 | az: -0.044754
ax: 0.117569 | ay: 0.358383 | az: 0.192719
ax: -0.418854 | ay: -0.635223 | az: 0.160248
ax: -0.539886 | ay: -0.998032 | az: -0.0370789
ax: -0.590195 | ay: -1.09065 | az: -0.0496674
ax: -0.577347 | ay: -0.858932 | az: 0.0558014
ax: -0.54808 | ay: -0.614334 | az: 0.0904236
ax: -0.454514 | ay: -0.436157 | az: 0.110428
ax: -0.373154 | ay: -0.359726 | az: 0.104004
ax: -0.292816 | ay: -0.343887 | az: 0.102219
ax: -0.160507 | ay: -0.314987 | az: 0.135574
ax: 0.0594482 | ay: -0.183212 | az: 0.141846
ax: 0.3853 | ay: 0.0700989 | az: 0.105225
ax: 0.799301 | ay: 0.48616 | az: 0.0565186
ax: 1.07042 | ay: 1.0475 | az: 0.0426788
ax: 1.11104 | ay: 1.74115 | az: 0.288788
ax: 1.14549 | ay: 2.0769 | az: -0.00062561
ax: 0.711319 | ay: 2.50075 | az: -0.391403
ax: 0.453308 | ay: 2.49844 | az: 0.179657
ax: 1.15154 | ay: 1.58984 | az: -0.227417
ax: -0.473709 | ay: -1.5956 | az: -0.900101
ax: 0.599213 | ay: 0.135376 | az: 1.44556
ax: 1.00722 | ay: 1.0598 | az: 0.450851
ax: 0.359253 | ay: 0.168045 | az: 0.272491
ax: 0.561005 | ay: 1.23273 | az: -0.436172
ax: -0.00430298 | ay: 0.142029 | az: -0.122803
ax: 0.0900879 | ay: 0.281693 | az: -0.0570221
ax: 0.150375 | ay: 0.164993 | az: 0.0430145
ax: -0.0155182 | ay: -0.161377 | az: 0.0149078
ax: 0.0449524 | ay: -0.103912 | az: 0.104858
ax: 0.0373077 | ay: -0.0518036 | az: 0.0037384
time: 1
[20201117135445.243]
> sum ax: 13.8803 | sum ay: -2.51898 | sum az: 0.105759
>> avg ax: 0.277606 | avg ay: -0.0503796 | avg az: 0.00211517
>>> vx: 2.72054 | vy: -0.49372 | vz: 0.0207287
>>> sx: 1.32347 | sy: -1.33663 | sz: -0.0921635
>>> a: 0.282148
>>> v: 2.76505
>>> s: 1.88326

ax: 0.0412903 | ay: -0.00788879 | az: 0.0505524
ax: 0.00106812 | ay: -0.0129852 | az: -0.0287476
ax: -0.00926208 | ay: -0.0848846 | az: -0.100708
ax: -0.0283203 | ay: -0.347443 | az: -0.0418243
ax: 0.00234985 | ay: -0.374588 | az: 0.0559082
ax: 0.0428772 | ay: -0.239731 | az: 0.0362396
ax: 0.0594482 | ay: -0.128494 | az: -0.00775146
ax: 0.0426025 | ay: -0.106369 | az: 0.0258179
ax: 0.0654449 | ay: -0.135574 | az: -0.0114594
ax: 0.12262 | ay: -0.0890198 | az: 0.00532532
ax: 0.131424 | ay: -0.100082 | az: 0.0663605
ax: 0.152527 | ay: -0.260452 | az: 0.054184
ax: 0.375137 | ay: -0.356842 | az: 0.0708008
ax: 0.415619 | ay: -0.442627 | az: 0.151001
ax: 0.543259 | ay: -0.432678 | az: 0.290771
