ax: 1.08754 | ay: -1.57993 | az: -0.873947
ax: 0.954269 | ay: -0.287918 | az: -0.0763245
ax: 1.02373 | ay: 0.458435 | az: -0.0143585
ax: 1.01791 | ay: 1.33366 | az: -0.0856018
ax: 1.02299 | ay: 1.93088 | az: -0.04953
ax: 0.776886 | ay: 2.0985 | az: -0.581924
ax: 0.227707 | ay: 2.10233 | az: 0.161118
ax: 0.493637 | ay: 1.71284 | az: 0.0478058
ax: 0.958984 | ay: -0.143188 | az: -0.177719
ax: -0.622299 | ay: -2.04056 | az: 0.245697
ax: 0.304565 | ay: -0.0166016 | az: 0.914932
ax: 0.871506 | ay: 0.481186 | az: 0.391403
ax: 0.397568 | ay: 0.362106 | az: 0.294418
ax: 0.419785 | ay: 0.285538 | az: -0.522308
ax: 0.02005 | ay: -0.495087 | az: -0.294922
ax: 0.0850677 | ay: -0.199661 | az: -0.0894775
ax: 0.0902557 | ay: -0.275894 | az: 0.0494995
ax: 0.157913 | ay: -0.464218 | az: 0.0240173
ax: 0.0645599 | ay: -0.633286 | az: 0.0502167
ax: 0.00216675 | ay: -0.653671 | az: -0.103012
ax: 0.0380554 | ay: -0.350616 | az: -0.0958557
ax: 0.0140228 | ay: -0.422974 | az: -0.179901
ax: 0.0123749 | ay: -0.425156 | az: -0.0381012
ax: 0.0794373 | ay: -0.534943 | az: 0.0360718
ax: 0.13176 | ay: -0.46553 | az: 0.0744171
ax: 0.101059 | ay: -0.424759 | az: -0.00706482
ax: 0.122543 | ay: -0.394562 | az: -0.0850525
ax: 0.120026 | ay: -0.434387 | az: -0.124588
ax: 0.194122 | ay: -0.43042 | az: -0.0902863
ax: 0.26741 | ay: -0.433182 | az: -0.00906372
ax: 0.327087 | ay: -0.478165 | az: -0.0273743
ax: 0.545456 | ay: -0.629974 | az: -0.0160217
ax: 0.583054 | ay: -0.602921 | az: 0.174057
ax: 0.673813 | ay: -0.720657 | az: 0.242798
ax: 0.814896 | ay: -0.866531 | az: -0.0701599
ax: 1.17056 | ay: -0.988083 | az: -0.343369
ax: 1.20108 | ay: -2.10783 | az: -0.705566
ax: 1.23228 | ay: -2.26323 | az: -0.362564
ax: 1.17433 | ay: -1.3864 | az: -0.708572
ax: 1.02147 | ay: -1.40871 | az: -0.572662
ax: 0.31073 | ay: -0.799423 | az: -0.774948
ax: -0.241623 | ay: 0.226776 | az: -0.480667
ax: 0.507111 | ay: -0.310608 | az: 0.0691528
ax: -0.467468 | ay: -0.98053 | az: 0.108627
ax: -0.453323 | ay: -0.959412 | az: -0.113235
ax: -0.589508 | ay: -1.06673 | az: -0.123123
ax: -0.570328 | ay: -0.880493 | az: -0.111481
ax: -0.511627 | ay: -0.606873 | az: -0.0665436
ax: -0.465866 | ay: -0.451614 | az: -0.0188141
ax: -0.361923 | ay: -0.285995 | az: 0.00257874
time: 1
[20201117140439.393]
> sum ax: 16.3358 | sum ay: -17.9085 | sum az: -5.10733
>> avg ax: 0.326716 | avg ay: -0.358169 | avg az: -0.102147
>>> vx: 3.20182 | vy: -3.51006 | vz: -1.00104
>>> sx: 2.19991 | sy: -0.405686 | sz: -0.366528
>>> a: 0.495442
>>> v: 4.85533
>>> s: 2.26683

ax: -0.226517 | ay: -0.1754 | az: 0.026123
ax: -0.039917 | ay: -0.149216 | az: 0.0526276
