ax: -0.256683 | ay: 0.0368347 | az: -0.0748596
ax: 0.208572 | ay: -0.507584 | az: -0.0491486
ax: 0.26796 | ay: -0.646469 | az: -0.0854034
ax: 0.319702 | ay: -0.464066 | az: -0.0610199
ax: 0.381683 | ay: -0.548447 | az: -0.0701294
ax: 0.581985 | ay: -0.58606 | az: -0.109573
ax: 0.771667 | ay: -0.708969 | az: 0.0340118
ax: 0.837967 | ay: -0.830994 | az: 0.10437
ax: 1.04233 | ay: -0.971573 | az: -0.0901489
ax: 1.27579 | ay: -1.33624 | az: -0.351822
ax: 1.31395 | ay: -1.78352 | az: -0.394379
ax: 1.3508 | ay: -2.75844 | az: -0.563095
ax: 1.40411 | ay: -1.24194 | az: -0.165634
ax: 1.21829 | ay: -1.93352 | az: -0.20787
ax: 0.466537 | ay: -0.920395 | az: -0.395859
ax: 0.706848 | ay: -0.20961 | az: -0.362061
ax: 0.801025 | ay: -0.450455 | az: -0.233765
ax: -0.107056 | ay: -1.28673 | az: 0.108765
ax: -0.393524 | ay: -1.30022 | az: 0.0803986
ax: -0.380295 | ay: -1.10194 | az: 0.0443268
ax: -0.404602 | ay: -0.962173 | az: -0.0482178
ax: -0.383789 | ay: -0.729584 | az: -0.00294495
ax: -0.367935 | ay: -0.572525 | az: 0.0278625
ax: -0.298904 | ay: -0.497833 | az: 0.0665894
ax: -0.208603 | ay: -0.522888 | az: 0.0401001
ax: -0.0575409 | ay: -0.401291 | az: -0.00871277
ax: 0.255051 | ay: -0.429871 | az: -0.0560608
ax: 0.96431 | ay: 0.180283 | az: 0.0360718
ax: 1.02322 | ay: 0.875931 | az: 0.0202026
ax: 1.05122 | ay: 1.66025 | az: 0.150284
ax: 1.0787 | ay: 2.18732 | az: -0.0990448
ax: 0.578201 | ay: 2.3793 | az: -0.859604
ax: 0.495117 | ay: 2.37193 | az: 0.12291
ax: 0.897705 | ay: 1.66826 | az: 0.29126
ax: 0.263748 | ay: -1.75377 | az: 0.691956
ax: 1.03458 | ay: 1.52565 | az: 0.342514
ax: 0.675186 | ay: 0.655151 | az: -0.993744
ax: -0.0189972 | ay: 1.33055 | az: 0.203659
ax: 0.184525 | ay: 0.456345 | az: 0.0973663
ax: 0.355621 | ay: 0.205688 | az: 0.269699
ax: 0.173019 | ay: -0.056778 | az: 0.0392914
ax: -0.0275116 | ay: -0.504242 | az: 0.0639648
ax: 0.123749 | ay: -0.437134 | az: 0.105316
ax: -0.00175476 | ay: -0.635071 | az: -0.261566
ax: -0.0119476 | ay: -0.431305 | az: -0.283096
ax: -0.0403442 | ay: -0.241089 | az: -0.241913
ax: 0.00265503 | ay: -0.270096 | az: 0.00836182
ax: 0.101807 | ay: -0.320084 | az: 0.125153
ax: 0.0894165 | ay: -0.382584 | az: 0.135712
ax: 0.0944824 | ay: -0.312286 | az: -0.0313263
time: 1
[20201117140028.671]
> sum ax: 19.4321 | sum ay: -13.5143 | sum az: -2.89085
>> avg ax: 0.388641 | avg ay: -0.270286 | avg az: -0.0578171
>>> vx: 3.80868 | vy: -2.6488 | vz: -0.566607
>>> sx: 2.34645 | sy: -2.53913 | sz: -0.438851
>>> a: 0.476906
>>> v: 4.67368
>>> s: 3.48505

ax: 0.128204 | ay: -0.365829 | az: -0.165192
ax: 0.243271 | ay: -0.412476 | az: -0.0597687
ax: 0.339081 | ay: -0.372482 | az: 0.0655823
ax: 0.354813 | ay: -0.427765 | az: 0.162506
ax: 0.462479 | ay: -0.584457 | az: 0.157715
ax: 0.650833 | ay: -0.609787 | az: -0.00183105
ax: 0.759323 | ay: -0.737747 | az: 0.239899
ax: 0.89061 | ay: -1.02197 | az: 0.0387573
ax: 1.15187 | ay: -1.38959 | az: -0.340363
ax: 1.18414 | ay: -2.56892 | az: -0.909592
ax: 1.22139 | ay: -1.71762 | az: -0.480316
ax: 1.27579 | ay: -1.3463 | az: -0.782791
ax: 0.739777 | ay: -1.24472 | az: -1.20883
ax: 1.02628 | ay: -0.110672 | az: -0.031723
ax: 0.373779 | ay: -0.0560455 | az: 0.0680695
ax: -0.321945 | ay: -1.0659 | az: 0.154739
ax: -0.661575 | ay: -1.21075 | az: 0.0899811
ax: -0.544052 | ay: -1.04092 | az: 0.0402985
ax: -0.554306 | ay: -0.9039 | az: -0.0769196
ax: -0.487717 | ay: -0.596146 | az: 0.0364838
ax: -0.475113 | ay: -0.424789 | az: 0.0851746
ax: -0.450287 | ay: -0.32872 | az: 0.0847778
ax: -0.372864 | ay: -0.292709 | az: 0.0963593
ax: -0.191284 | ay: -0.191422 | az: 0.0713806
ax: 0.116409 | ay: -0.2146 | az: 0.0966797
ax: 0.881058 | ay: 0.274567 | az: 0.00718689
ax: 1.065 | ay: 0.943726 | az: -0.191208
ax: 1.11626 | ay: 1.72025 | az: -0.453308
ax: 1.16245 | ay: 2.5188 | az: -0.495178
ax: 0.77417 | ay: 2.56219 | az: -0.997894
ax: 0.737045 | ay: 2.55722 | az: 0.155502
ax: 0.857254 | ay: 2.49696 | az: -0.224899
ax: 0.285919 | ay: -1.5795 | az: -0.43837
ax: 0.325348 | ay: -0.201996 | az: 0.882385
ax: 1.06654 | ay: 2.32193 | az: 0.548309
ax: 0.408432 | ay: 0.982101 | az: -0.329834
ax: 0.700531 | ay: 1.06618 | az: -0.227585
