ax: -0.564285 | ay: 1.46045 | az: 0.0839233
ax: -0.695755 | ay: -1.78455 | az: 1.1057
ax: 0.98703 | ay: 0.721848 | az: 0.463593
ax: 0.75444 | ay: 0.053772 | az: 0.359299
ax: 0.11702 | ay: 0.706345 | az: -0.468887
ax: 0.422379 | ay: 0.459869 | az: -0.244186
ax: 0.0291748 | ay: -0.0548401 | az: -0.0722198
ax: 0.208817 | ay: -0.0299835 | az: -0.176315
ax: 0.0948181 | ay: -0.271957 | az: 0.0475616
ax: 0.0545197 | ay: -0.399689 | az: -0.0116577
ax: 0.0293274 | ay: -0.460129 | az: -0.101257
ax: -0.00737 | ay: -0.414383 | az: -0.167786
ax: 0.0123901 | ay: -0.304337 | az: -0.200211
ax: -0.0285492 | ay: -0.310852 | az: -0.217896
ax: 0.0476379 | ay: -0.340668 | az: -0.081131
ax: 0.0643921 | ay: -0.324081 | az: 0.0367279
ax: 0.0148468 | ay: -0.289871 | az: 0.0621185
ax: 0.0533447 | ay: -0.369278 | az: -0.0673065
ax: 0.10791 | ay: -0.352112 | az: -0.0670319
ax: 0.219162 | ay: -0.330963 | az: -0.114182
ax: 0.235641 | ay: -0.394547 | az: -0.145309
ax: 0.274033 | ay: -0.480026 | az: -0.013092
ax: 0.452621 | ay: -0.588928 | az: 0.0799561
ax: 0.639053 | ay: -0.589386 | az: 0.071106
ax: 0.718185 | ay: -0.674911 | az: 0.228241
ax: 0.759033 | ay: -0.906113 | az: 0.0626221
ax: 1.14478 | ay: -1.13271 | az: -0.283859
ax: 1.17686 | ay: -2.41426 | az: -0.703094
ax: 1.21082 | ay: -2.09198 | az: -0.222122
ax: 1.26192 | ay: -1.58673 | az: -0.952103
ax: 0.941803 | ay: -1.5293 | az: -0.871643
ax: 0.204315 | ay: -0.790192 | az: -0.466339
ax: -0.394165 | ay: 0.574814 | az: -0.464462
ax: 0.261337 | ay: -0.766022 | az: 0.0812378
ax: -0.715164 | ay: -0.988068 | az: 0.132599
ax: -0.491745 | ay: -1.23645 | az: -0.0220795
