ax: 0.613358 | ay: -0.376923 | az: 0.169052
ax: 0.0478058 | ay: -0.270126 | az: -0.0692902
ax: 0.0338745 | ay: -0.253662 | az: -0.0922241
ax: 0.0353088 | ay: -0.256058 | az: -0.00663757
ax: 0.0278168 | ay: -0.205826 | az: 0.0710754
ax: 0.0777435 | ay: -0.23436 | az: 0.0222778
ax: 0.0624695 | ay: -0.272751 | az: -0.0454712
ax: 0.131561 | ay: -0.302444 | az: -0.0147552
ax: 0.196075 | ay: -0.343552 | az: 0.0526733
ax: 0.33226 | ay: -0.322144 | az: 0.0426788
ax: 0.51796 | ay: -0.522385 | az: 0.0413971
ax: 0.608978 | ay: -0.62616 | az: 0.0180054
ax: 0.74971 | ay: -0.639755 | az: 0.144333
ax: 0.890335 | ay: -0.781403 | az: -0.00453186
ax: 1.13298 | ay: -1.28033 | az: -0.160904
ax: 1.16074 | ay: -1.60292 | az: -0.462128
ax: 1.12685 | ay: -2.57256 | az: -0.643936
ax: 1.21487 | ay: -0.696518 | az: -0.29747
ax: 0.785767 | ay: -1.50479 | az: -0.160233
ax: 0.387527 | ay: -0.894638 | az: -0.761383
ax: -0.419037 | ay: 0.66153 | az: -0.617783
ax: 0.419968 | ay: -0.600754 | az: -0.0723572
ax: -0.535034 | ay: -1.01556 | az: 0.4823
ax: -0.480835 | ay: -1.1738 | az: 0.191498
ax: -0.535522 | ay: -0.93573 | az: 0.127686
ax: -0.460098 | ay: -0.687912 | az: 0.0605621
ax: -0.446625 | ay: -0.440857 | az: 0.178848
ax: -0.386978 | ay: -0.343521 | az: 0.222458
ax: -0.35936 | ay: -0.273621 | az: 0.203461
ax: -0.22934 | ay: -0.314499 | az: 0.178131
ax: -0.0214081 | ay: -0.177322 | az: 0.181839
ax: 0.313797 | ay: -0.193802 | az: 0.257416
ax: 1.0594 | ay: 0.336014 | az: 0.218414
ax: 1.09804 | ay: 1.06041 | az: 0.00735474
ax: 1.15495 | ay: 1.9359 | az: 0.0546875
ax: 1.2023 | ay: 2.57259 | az: -0.110519
ax: 0.775528 | ay: 2.61031 | az: -0.592911
ax: 1.22485 | ay: 2.60429 | az: -0.30687
ax: 1.09528 | ay: 1.78987 | az: 0.0389862
ax: 0.501938 | ay: -1.50835 | az: 0.587631
ax: 1.10628 | ay: 1.84348 | az: 0.311996
ax: 0.836533 | ay: 0.999542 | az: -0.552811
ax: -0.00550842 | ay: 1.52338 | az: -0.171936
ax: 0.266006 | ay: 0.620911 | az: -0.0149078
ax: 0.324539 | ay: 0.211639 | az: 0.101547
ax: 0.153259 | ay: 0.190628 | az: -0.0610657
ax: -0.0907288 | ay: -0.281677 | az: -0.100296
ax: 0.05896 | ay: -0.0985565 | az: -0.00942993
ax: -0.0424347 | ay: -0.124771 | az: -0.133804
ax: -0.0500183 | ay: -0.0688934 | az: -0.0613556
