ax: 0.0118103 | ay: 0.0618591 | az: -0.078476
ax: -0.570419 | ay: -0.556671 | az: -0.589035
ax: -0.534485 | ay: -0.63768 | az: -0.607208
ax: -0.376953 | ay: -0.855164 | az: -0.52063
ax: -0.211746 | ay: -0.980759 | az: -0.263535
ax: -0.0593262 | ay: -0.825806 | az: -0.261978
ax: -0.0123749 | ay: -0.869247 | az: -0.151199
ax: -0.0510864 | ay: -0.77861 | az: -0.000610352
ax: -0.216858 | ay: -0.414902 | az: 0.0154877
ax: 0.00582886 | ay: -0.668427 | az: 0.216949
ax: -0.0616455 | ay: 0.676086 | az: -0.166733
ax: -0.447205 | ay: 1.87151 | az: 1.81227
ax: -0.580551 | ay: -0.916458 | az: 0.344391
ax: -0.627518 | ay: -0.327576 | az: 0.0961761
ax: -0.0423279 | ay: -0.0732422 | az: -0.223312
ax: 0.161682 | ay: 0.32312 | az: -0.340134
ax: 0.0430756 | ay: -0.0410004 | az: -0.14064
ax: -0.00740051 | ay: -0.009552 | az: -0.095459
ax: -0.0292664 | ay: 0.210159 | az: 0.0657043
ax: -0.0277252 | ay: 0.215988 | az: 0.0675659
ax: -0.0318909 | ay: 0.303574 | az: 0.0331879
ax: 0.00563049 | ay: 0.314301 | az: 0.00746155
ax: 0.0107727 | ay: 0.305801 | az: -0.167618
ax: 0.00405884 | ay: 0.319901 | az: -0.0205688
ax: -0.0483246 | ay: 0.227127 | az: 0.0753326
ax: -0.0400391 | ay: 0.25174 | az: 0.0135803
ax: 0.00630188 | ay: 0.257828 | az: -0.0337982
ax: 0.0113373 | ay: 0.236481 | az: -0.0332184
ax: 0.0548553 | ay: 0.220642 | az: 0.0395508
ax: -0.00865173 | ay: 0.247986 | az: -0.0549011
ax: -0.0318909 | ay: 0.205353 | az: -0.0295563
ax: -0.04039 | ay: 0.226303 | az: -0.00813293
ax: -0.0453491 | ay: 0.200562 | az: 0.0138397
ax: -0.0780487 | ay: 0.20343 | az: 0.0174408
ax: -0.0722198 | ay: 0.224533 | az: -0.00975037
ax: -0.091095 | ay: 0.170898 | az: -0.0353088
ax: -0.0523224 | ay: 0.258057 | az: -0.0132294
ax: -0.0508118 | ay: 0.216003 | az: -0.00723267
ax: -0.083374 | ay: 0.206589 | az: 0.0177612
ax: -0.0962982 | ay: 0.223297 | az: -0.010437
ax: -0.102448 | ay: 0.240082 | az: -0.0184479
ax: -0.156036 | ay: 0.272034 | az: -0.0172424
ax: -0.148422 | ay: 0.256226 | az: 0.044693
ax: -0.201569 | ay: 0.279373 | az: 0.104797
ax: -0.262909 | ay: 0.301071 | az: 0.0605621
ax: -0.341171 | ay: 0.360229 | az: 0.0235596
ax: -0.483353 | ay: 0.395309 | az: 0.0323029
ax: -0.703476 | ay: 0.485306 | az: -0.00141907
ax: -1.03806 | ay: 0.472366 | az: 0.0395508
ax: -1.18265 | ay: 0.947479 | az: -0.125336
time: 1
[20201124141627.039]
> sum ax: -8.93233 | sum ay: 4.23351 | sum az: -0.88298
>> avg ax: -0.178647 | avg ay: 0.0846701 | avg az: -0.0176596
>>> vx: -1.75074 | vy: 0.829767 | vz: -0.173064
>>> sx: -0.716253 | sy: -0.394592 | sz: -0.210987
>>> a: 0.198483
>>> v: 1.94513
>>> s: 0.844533

ax: -0.727661 | ay: 1.68044 | az: -0.000976562
ax: -0.788864 | ay: 0.805725 | az: 0.0975037
ax: -0.715256 | ay: 0.57399 | az: -0.194916
ax: -0.30896 | ay: 0.835526 | az: -0.361115
ax: 0.10582 | ay: 0.353699 | az: -0.342026
ax: 0.19046 | ay: 0.27211 | az: -0.110367
ax: 0.291122 | ay: 0.439819 | az: 0.162628
ax: 0.516129 | ay: 0.910217 | az: 0.153503
ax: 0.509537 | ay: 0.940506 | az: 0.26712
ax: 0.510239 | ay: 0.782043 | az: 0.257767
ax: 0.421448 | ay: 0.681793 | az: 0.252945
ax: 0.367599 | ay: 0.549515 | az: 0.184372
ax: 0.322784 | ay: 0.512146 | az: 0.226807
ax: 0.20755 | ay: 0.650146 | az: 0.228119
ax: -0.00886536 | ay: 0.627243 | az: 0.0900574
ax: -0.310684 | ay: 0.0185089 | az: 0.122391
ax: -0.560272 | ay: -0.0190125 | az: -0.200974
ax: -0.764633 | ay: -0.256927 | az: -0.426727
ax: -0.833649 | ay: -0.359436 | az: -0.454483
ax: -0.874893 | ay: -0.398453 | az: -0.486359
ax: -0.83725 | ay: -0.699875 | az: -0.49231
ax: -0.698029 | ay: -0.779816 | az: -0.449463
ax: -0.638824 | ay: -0.962997 | az: -0.282074
ax: -0.507156 | ay: -1.05536 | az: -0.0713043
ax: -0.179657 | ay: -1.03491 | az: -0.118927
ax: -0.155548 | ay: -1.25536 | az: -0.223282
ax: -0.0939636 | ay: -0.960403 | az: -0.146622
