ax: -0.521057 | ay: -2.29205 | az: -0.512817
ax: -0.184891 | ay: -1.17358 | az: -0.7285
ax: -0.246414 | ay: -1.57597 | az: -0.709991
ax: -0.627396 | ay: 1.40598 | az: 0.823196
ax: -0.327194 | ay: -0.0713348 | az: 0.0793915
ax: -0.610016 | ay: -0.697617 | az: 0.174911
ax: -0.499985 | ay: -0.627838 | az: 0.16301
ax: -0.0690308 | ay: -0.16655 | az: -0.302704
ax: -0.0616455 | ay: -0.103775 | az: -0.374893
ax: -0.138992 | ay: -0.343384 | az: 0.0101776
ax: -0.0869904 | ay: -0.160736 | az: 0.00895691
ax: -0.0987091 | ay: -0.154892 | az: -0.0694427
ax: -0.0763397 | ay: -0.0646057 | az: 0.029068
ax: -0.0610199 | ay: -0.0301971 | az: 0.0465698
ax: 0.00314331 | ay: -0.0140686 | az: -0.000274658
ax: 0.0137634 | ay: -0.0105286 | az: -0.0524902
ax: -0.00366211 | ay: -0.00515747 | az: -0.05513
ax: 0.00765991 | ay: -0.0148163 | az: 0.05867
ax: -0.00878906 | ay: -0.0293884 | az: 0.0705414
ax: 0.000396729 | ay: -0.0412445 | az: 0.0137177
ax: 0.0213623 | ay: -0.000823975 | az: 0.0121918
ax: 0.0203552 | ay: 0.0438995 | az: -0.0404053
ax: 0.0161896 | ay: 0.0295258 | az: -0.0248566
ax: -0.023468 | ay: -0.0258484 | az: 0.0417328
ax: -0.0361786 | ay: -0.0160522 | az: 0.0814819
ax: -0.0544281 | ay: -0.037384 | az: 0.100601
ax: -0.0765381 | ay: -0.0453949 | az: 0.0541534
ax: -0.0315094 | ay: -0.0238342 | az: 0.0106049
ax: -0.0431213 | ay: -0.0155945 | az: 0.0476532
ax: -0.0545959 | ay: -0.0371552 | az: 0.0509338
ax: -0.0558014 | ay: -0.0158691 | az: 0.0579376
ax: -0.0960693 | ay: 0.0347748 | az: 0.0532227
ax: -0.136139 | ay: 0.0502167 | az: 0.0343933
ax: -0.155289 | ay: 0.0250702 | az: 0.0547943
ax: -0.275421 | ay: 0.0598755 | az: 0.0953674
ax: -0.366531 | ay: 0.0924225 | az: 0.0641937
ax: -0.495483 | ay: 0.165009 | az: 0.0343933
ax: -0.672745 | ay: 0.128433 | az: -0.0169983
ax: -1.02487 | ay: 0.387924 | az: 0.0384979
ax: -1.08894 | ay: 0.937744 | az: 0.0202942
ax: -0.853455 | ay: 1.12666 | az: 0.456238
ax: -0.717087 | ay: 0.866714 | az: 0.313324
ax: -0.49025 | ay: 1.00587 | az: -0.24292
ax: -0.0734711 | ay: 0.496841 | az: -0.485229
ax: 0.193283 | ay: 0.204727 | az: -0.335785
ax: 0.104568 | ay: 0.00753784 | az: -0.0753326
ax: 0.247559 | ay: 0.218262 | az: 0.115799
ax: 0.45224 | ay: 0.676483 | az: 0.259354
ax: 0.567825 | ay: 0.914337 | az: 0.253433
ax: 0.627594 | ay: 0.781387 | az: 0.137207
time: 1
[20201124140528.718]
> sum ax: -8.16759 | sum ay: 1.864 | sum az: -0.161758
>> avg ax: -0.163352 | avg ay: 0.03728 | avg az: -0.00323517
>>> vx: -1.60085 | vy: 0.365344 | vz: -0.0317046
>>> sx: -0.947283 | sy: -0.90854 | sz: -0.189687
>>> a: 0.167583
>>> v: 1.64231
>>> s: 1.32619

ax: 0.578201 | ay: 0.549103 | az: 0.163589
ax: 0.571106 | ay: 0.494202 | az: 0.228165
ax: 0.569885 | ay: 0.498749 | az: 0.101791
ax: 0.312103 | ay: 0.5112 | az: 0.0772552
ax: 0.0562134 | ay: 0.445023 | az: 0.106384
ax: -0.256409 | ay: 0.270996 | az: 0.00680542
ax: -0.509689 | ay: 0.134186 | az: -0.102768
ax: -0.790146 | ay: -0.171066 | az: -0.08078
ax: -1.05237 | ay: -0.360703 | az: -0.115677
ax: -1.09004 | ay: -0.572174 | az: -0.218246
ax: -1.13045 | ay: -0.967087 | az: -0.225296
ax: -1.17474 | ay: -1.18419 | az: -0.319611
ax: -0.883072 | ay: -1.29733 | az: -0.789139
ax: -0.60553 | ay: -2.1131 | az: -1.06358
ax: -0.300903 | ay: -2.23454 | az: -0.697723
ax: -0.252045 | ay: -1.38525 | az: -0.409607
ax: -0.157288 | ay: -1.20062 | az: -0.323105
ax: -0.0593414 | ay: -1.0696 | az: -0.0758057
ax: -0.148788 | ay: -0.958908 | az: -0.059906
ax: -0.171707 | ay: -0.756241 | az: -0.0951538
ax: -0.165802 | ay: 1.49443 | az: 0.216293
