ax: 0.0123291 | ay: -0.00392151 | az: 0.00527954
ax: -0.0269623 | ay: 0.0700531 | az: -0.0161896
ax: -0.0291443 | ay: 0.0639954 | az: -0.018219
ax: -0.0317383 | ay: 0.0404663 | az: -0.0314789
ax: -0.023941 | ay: 0.0608826 | az: -0.0115051
ax: -0.0565033 | ay: 0.0908356 | az: -0.00263977
ax: -0.0675659 | ay: 0.102264 | az: -0.00413513
ax: -0.0890503 | ay: 0.0936432 | az: 0.00846863
ax: -0.123978 | ay: 0.16217 | az: 0.0650177
ax: -0.237793 | ay: 0.159454 | az: -0.0116882
ax: -0.290268 | ay: 0.136093 | az: -0.00552368
ax: -0.430176 | ay: 0.240189 | az: -0.00268555
ax: -0.5905 | ay: 0.226471 | az: -0.0408173
ax: -0.761032 | ay: 0.37619 | az: 0.0596466
ax: -1.0894 | ay: 0.401398 | az: 0.0501099
ax: -0.995865 | ay: 1.10751 | az: 0.0347443
ax: -0.537643 | ay: 0.891174 | az: 0.208527
ax: -0.608337 | ay: 0.566422 | az: 0.0722198
ax: -0.337753 | ay: 0.45079 | az: -0.122589
ax: 0.10289 | ay: 0.511887 | az: -0.30484
ax: 0.145065 | ay: 0.158356 | az: -0.197495
ax: 0.246826 | ay: 0.276794 | az: 0.00498962
ax: 0.288605 | ay: 0.443848 | az: 0.256561
ax: 0.484482 | ay: 0.988022 | az: 0.182281
ax: 0.527618 | ay: 0.818039 | az: 0.193909
ax: 0.45929 | ay: 0.647308 | az: 0.171646
ax: 0.429916 | ay: 0.524612 | az: 0.157852
ax: 0.416489 | ay: 0.453857 | az: 0.125305
ax: 0.353088 | ay: 0.419937 | az: 0.0631866
ax: 0.274445 | ay: 0.302811 | az: 0.0698242
ax: 0.137909 | ay: 0.289215 | az: 0.0607452
ax: -0.0740814 | ay: 0.189072 | az: -0.0196686
ax: -0.344803 | ay: 0.161072 | az: 0.00978088
ax: -0.710327 | ay: -0.271255 | az: -0.154922
ax: -0.802307 | ay: -0.332367 | az: -0.299881
ax: -1.01074 | ay: -0.627472 | az: -0.216934
ax: -0.843262 | ay: -0.807205 | az: -0.220047
ax: -0.694717 | ay: -1.03157 | az: -0.131454
ax: -0.540329 | ay: -1.01692 | az: -0.00917053
ax: -0.509567 | ay: -0.996445 | az: 0.0289307
ax: -0.245346 | ay: -1.11913 | az: -0.184982
ax: -0.21994 | ay: -1.4288 | az: -0.251343
ax: -0.157089 | ay: -1.22327 | az: -0.166809
ax: -0.181107 | ay: -0.778152 | az: -0.0885468
ax: -0.16539 | ay: -0.683304 | az: -0.371948
ax: 0.0264282 | ay: 1.09163 | az: -0.313736
ax: -0.237534 | ay: 0.245224 | az: 1.03363
ax: -0.510651 | ay: -0.635651 | az: 0.271332
ax: -0.426025 | ay: -0.462494 | az: 0.338028
ax: -0.10582 | ay: -0.0649109 | az: -0.0722656
time: 1
[20201124141322.710]
> sum ax: -10.2013 | sum ay: 1.27882 | sum az: 0.2005
>> avg ax: -0.204026 | avg ay: 0.0255765 | avg az: 0.00401001
>>> vx: -1.99946 | vy: 0.25065 | vz: 0.0392981
>>> sx: -0.885302 | sy: 0.94075 | sz: 0.0194961
>>> a: 0.205662
>>> v: 2.01549
>>> s: 1.29196

ax: 0.060318 | ay: 0.0796814 | az: -0.323685
ax: 0.0644836 | ay: -0.062973 | az: -0.272247
ax: -0.100601 | ay: -0.286072 | az: -0.094986
ax: -0.0143738 | ay: 0.0128632 | az: -0.00428772
ax: -0.0265961 | ay: -0.0088501 | az: -0.0357056
ax: -0.0309448 | ay: 0.166733 | az: 0.112213
ax: -0.0283813 | ay: 0.0691681 | az: 0.000961304
ax: 0.00164795 | ay: 0.113922 | az: -0.0887146
ax: 0.0406189 | ay: 0.152863 | az: -0.184937
ax: 0.0594635 | ay: 0.148468 | az: -0.0764008
ax: 0.00430298 | ay: 0.0894165 | az: 0.0599976
ax: 0.0032959 | ay: 0.0259094 | az: 0.0400543
ax: 0.0136719 | ay: 0.0727539 | az: -0.0170746
ax: 0.0196686 | ay: 0.096283 | az: -0.0844574
ax: 0.0100098 | ay: 0.0914154 | az: -0.0433197
ax: 0.0307465 | ay: 0.103149 | az: 0.000946045
ax: 0.0216217 | ay: 0.143661 | az: -0.0020752
ax: 0.0237427 | ay: 0.132828 | az: -0.0437317
ax: 0.00170898 | ay: 0.149658 | az: -0.0487823
ax: -0.00245667 | ay: 0.106567 | az: -0.0474854
ax: 0.0185089 | ay: 0.0710602 | az: -0.0154724
ax: -0.0802765 | ay: -0.00680542 | az: 0.0318756
ax: -0.0672455 | ay: 0.0913391 | az: 0.075531
ax: -0.0492401 | ay: 0.154739 | az: 0.06604
ax: -0.0648956 | ay: 0.156448 | az: 0.0389709
ax: -0.120132 | ay: 0.147583 | az: 0.00166321
ax: -0.167175 | ay: 0.114868 | az: 0.0199585
ax: -0.190765 | ay: 0.119797 | az: 0.0256805
ax: -0.275635 | ay: 0.177734 | az: 0.0317383
ax: -0.374802 | ay: 0.256638 | az: 0.000320435
ax: -0.56778 | ay: 0.393799 | az: -0.0944824
ax: -0.746552 | ay: 0.431931 | az: -0.0388489
ax: -1.05424 | ay: 0.878983 | az: -0.0402222
ax: -1.05928 | ay: 1.53433 | az: -0.00434875
ax: -0.763565 | ay: 1.02983 | az: 0.407501
ax: -0.716309 | ay: 0.453674 | az: 0.0871887
ax: -0.57547 | ay: 0.861282 | az: -0.218079
ax: -0.195053 | ay: 0.848068 | az: -0.342957
ax: 0.0422211 | ay: 0.451279 | az: -0.173569
