ax: 0.0116119 | ay: -0.00598145 | az: -0.0587463
ax: -0.352554 | ay: 0.440582 | az: 0.13739
ax: -0.494629 | ay: 0.115616 | az: 0.0845032
ax: -0.580231 | ay: 0.169464 | az: 0.0523682
ax: -0.633621 | ay: -0.0471954 | az: 0.0439911
ax: -0.585602 | ay: -0.16983 | az: -0.0149994
ax: -0.500534 | ay: -0.218048 | az: -0.0990295
ax: -0.446976 | ay: -0.417435 | az: -0.184189
ax: -0.353134 | ay: -0.54953 | az: -0.21463
ax: -0.296814 | ay: -0.754318 | az: -0.109085
ax: -0.162476 | ay: -1.02748 | az: -0.200836
ax: -0.0356598 | ay: -1.08125 | az: -0.274673
ax: -0.0173492 | ay: -0.650055 | az: -0.186035
ax: 0.0483246 | ay: -0.328369 | az: -0.174271
ax: -0.019516 | ay: -0.388931 | az: -0.254044
ax: -0.0916443 | ay: -0.154068 | az: -0.463104
ax: -0.0106201 | ay: 1.7834 | az: -0.0138245
ax: -0.201294 | ay: -0.0314026 | az: 0.358307
ax: -0.472305 | ay: -0.0015564 | az: 0.116272
ax: -0.445419 | ay: -0.206985 | az: 0.220947
ax: -0.152344 | ay: 0.0528259 | az: -0.0719604
ax: 0.0565643 | ay: 0.266739 | az: -0.0264893
ax: 0.117249 | ay: 0.295853 | az: -0.0462952
ax: 0.0771484 | ay: 0.287308 | az: 0.016983
ax: 0.105042 | ay: 0.343964 | az: 0.026413
ax: 0.014679 | ay: 0.337234 | az: -0.0337219
ax: -0.0271759 | ay: 0.350967 | az: 0.0873718
ax: 0.00579834 | ay: 0.319855 | az: 0.104706
ax: -0.0127106 | ay: 0.274063 | az: 0.040451
ax: -0.0075531 | ay: 0.291229 | az: -0.00965881
ax: 0.0144043 | ay: 0.272263 | az: -0.00559998
ax: 0.00735474 | ay: 0.267487 | az: 0.0492706
ax: 0.0391235 | ay: 0.292694 | az: 0.0492401
ax: 0.0653229 | ay: 0.354874 | az: 0.0406952
ax: 0.053009 | ay: 0.325485 | az: 0.0409851
ax: 0.0572968 | ay: 0.259415 | az: -0.0422974
ax: -0.0238037 | ay: 0.151443 | az: 0.001297
ax: -0.0217133 | ay: 0.179123 | az: 0.0755768
ax: -0.0267792 | ay: 0.275696 | az: 0.0412445
ax: -0.0355225 | ay: 0.23877 | az: 0.028595
ax: -0.0338287 | ay: 0.21347 | az: 0.0270233
ax: -0.0245209 | ay: 0.227814 | az: 0.0191956
ax: -0.0281372 | ay: 0.231537 | az: -0.00309753
ax: -0.0153046 | ay: 0.216812 | az: 0.0188751
ax: -0.0334015 | ay: 0.197281 | az: 0.0455933
ax: -0.0483246 | ay: 0.206741 | az: 0.036972
ax: -0.0689697 | ay: 0.221298 | az: 0.0261841
ax: -0.107193 | ay: 0.240067 | az: 0.00907898
ax: -0.13443 | ay: 0.235306 | az: 0.0272522
ax: -0.180939 | ay: 0.210251 | az: 0.0682983
time: 1
[20201124141522.357]
> sum ax: -6.0101 | sum ay: 4.11449 | sum az: -0.591507
>> avg ax: -0.120202 | avg ay: 0.0822897 | avg az: -0.0118301
>>> vx: -1.17798 | vy: 0.806439 | vz: -0.115935
>>> sx: -0.914255 | sy: -0.0741308 | sz: -0.16867
>>> a: 0.146151
>>> v: 1.43228
>>> s: 0.932635

ax: -0.287888 | ay: 0.153717 | az: 0.063736
ax: -0.313538 | ay: 0.207748 | az: 0.0457611
ax: -0.453735 | ay: 0.321014 | az: -0.0168304
ax: -0.694077 | ay: 0.363281 | az: -0.116379
ax: -0.897568 | ay: 0.442627 | az: -0.0760498
ax: -1.10655 | ay: 0.885071 | az: -0.0671844
ax: -0.821472 | ay: 1.19131 | az: 0.23819
ax: -0.823151 | ay: 0.84729 | az: 0.360718
ax: -0.475739 | ay: 0.711624 | az: 0.0172882
ax: -0.309738 | ay: 0.545898 | az: -0.230286
ax: 0.221909 | ay: 0.565063 | az: -0.330902
ax: 0.101105 | ay: 0.245789 | az: -0.180878
ax: 0.242035 | ay: 0.085083 | az: -0.138779
ax: 0.381943 | ay: 0.170792 | az: 0.208237
ax: 0.510406 | ay: 0.752716 | az: 0.199524
ax: 0.604462 | ay: 0.867813 | az: 0.159821
ax: 0.589035 | ay: 0.656876 | az: 0.121109
ax: 0.537933 | ay: 0.58284 | az: 0.125992
ax: 0.481247 | ay: 0.39679 | az: 0.0537262
ax: 0.399231 | ay: 0.269653 | az: -0.0387268
ax: 0.330215 | ay: 0.234573 | az: -0.0940552
ax: 0.234207 | ay: 0.226685 | az: -0.146347
ax: 0.0428162 | ay: 0.118668 | az: -0.171249
ax: -0.16217 | ay: -0.00221252 | az: -0.240906
ax: -0.404266 | ay: -0.201553 | az: -0.273834
ax: -0.865051 | ay: -0.13382 | az: -0.35582
ax: -1.0703 | ay: -0.778091 | az: -0.616806
ax: -1.11334 | ay: -1.44264 | az: -0.389069
ax: -1.15691 | ay: -1.4184 | az: -0.137482
ax: -0.956512 | ay: -1.78253 | az: -0.181976
ax: -0.847977 | ay: -2.60815 | az: -0.522125
ax: -0.366211 | ay: -1.87769 | az: -0.627808
ax: -0.289413 | ay: -1.00035 | az: 0.0817566
ax: -0.167694 | ay: 1.37512 | az: 1.13766
ax: -0.329117 | ay: -0.575638 | az: 0.203049
ax: -0.642853 | ay: -0.612671 | az: -0.123886
ax: -0.417725 | ay: -0.25853 | az: 0.0303345
ax: -0.069046 | ay: -0.178162 | az: -0.235092
ax: 0.00488281 | ay: -0.145615 | az: -0.259262
ax: 0.0321198 | ay: -0.222244 | az: -0.0871582
ax: 0.000320435 | ay: -0.116943 | az: 0.0644226
ax: 0.00422668 | ay: 0.0668488 | az: 0.0858459
ax: 0.010437 | ay: 0.102448 | az: 0.0830536
ax: -0.10321 | ay: -0.0941467 | az: 0.00178528
ax: -0.0623016 | ay: 0.00471497 | az: -0.0153046
ax: 0.023941 | ay: 0.037796 | az: -0.101791
ax: -0.0301666 | ay: -0.0159302 | az: -0.0508728
ax: -0.0381927 | ay: -0.0121155 | az: 0.0708618
ax: -0.0184326 | ay: -0.00424194 | az: 0.107605
ax: -0.0288239 | ay: -0.0221405 | az: 0.0251617
time: 2
[20201124141523.333]
> sum ax: -10.5707 | sum ay: -1.07396 | sum az: -2.34122
>> avg ax: -0.211414 | avg ay: -0.0214792 | avg az: -0.0468243
>>> vx: -2.07186 | vy: -0.210496 | vz: -0.458878
>>> sx: -1.20756 | sy: 0.744695 | sz: -0.221436
>>> a: 0.2176
>>> v: 2.13248
>>> s: 1.4359

ax: 0.00717163 | ay: -0.0290527 | az: -0.0345612
ax: 0.000839233 | ay: -0.0430756 | az: -0.0622253
ax: -0.00914001 | ay: -0.0289001 | az: -0.0222015
ax: -0.0123444 | ay: 0.0022583 | az: 0.0627899
ax: -0.0168762 | ay: 0.0239105 | az: 0.0385132
ax: -0.0133362 | ay: 0.0437775 | az: 0.00944519
ax: -0.0135956 | ay: 0.0304413 | az: -0.003479
ax: -0.00413513 | ay: 0.0197296 | az: 0.0213318
ax: -0.0080719 | ay: 0.0361481 | az: 0.0149994
ax: -0.0204926 | ay: 0.0905457 | az: 0.04216
ax: -0.0411835 | ay: 0.0770111 | az: 0.0251923
ax: -0.0626526 | ay: 0.0374298 | az: -0.0132294
ax: -0.125488 | ay: 0.0285339 | az: -0.00172424
ax: -0.199661 | ay: 0.0535126 | az: 0.091156
ax: -0.238068 | ay: 0.0461884 | az: 0.111267
ax: -0.327637 | ay: 0.0815125 | az: 0.106628
ax: -0.450104 | ay: 0.206314 | az: 0.0388947
ax: -0.654633 | ay: 0.282654 | az: -0.152084
ax: -1.01068 | ay: 0.281494 | az: -0.0797119
ax: -1.06059 | ay: 0.823105 | az: -0.0449371
ax: -0.810715 | ay: 1.60681 | az: 0.206024
ax: -0.765472 | ay: 0.822052 | az: 0.437256
ax: -0.484695 | ay: 0.65274 | az: -0.0555725
ax: -0.237534 | ay: 0.752289 | az: -0.357269
ax: 0.286148 | ay: 0.418045 | az: -0.253662
ax: 0.171448 | ay: 0.207779 | az: -0.0426178
ax: 0.283005 | ay: -0.0796204 | az: -0.0685272
ax: 0.462021 | ay: 0.24617 | az: 0.209274
ax: 0.570663 | ay: 0.695297 | az: 0.184448
ax: 0.676651 | ay: 0.640503 | az: 0.108398
ax: 0.664673 | ay: 0.540939 | az: 0.0209351
ax: 0.634293 | ay: 0.393692 | az: 0.00979614
ax: 0.554688 | ay: 0.262299 | az: 0.00744629
ax: 0.520905 | ay: 0.147415 | az: -0.0554962
ax: 0.450058 | ay: 0.144028 | az: -0.0977783
ax: 0.314606 | ay: 0.15715 | az: -0.104584
ax: 0.106842 | ay: 0.113449 | az: -0.113297
ax: -0.160065 | ay: 0.0367889 | az: -0.191696
ax: -0.512329 | ay: -0.173538 | az: -0.196594
ax: -1.08153 | ay: -0.263565 | az: -0.280304
ax: -1.12021 | ay: -0.833435 | az: -0.52037
ax: -1.17244 | ay: -1.83469 | az: -0.528763
ax: -1.10754 | ay: -1.64735 | az: -0.46225
ax: -1.20262 | ay: -2.65379 | az: -0.866989
ax: -0.0100098 | ay: -2.30505 | az: -0.955505
ax: -0.801224 | ay: -0.548935 | az: -0.159592
ax: 0.00695801 | ay: -0.801605 | az: 0.0114899
ax: -0.0553589 | ay: 0.249359 | az: 0.352768
ax: -0.34259 | ay: 0.565613 | az: 0.58873
ax: -0.555664 | ay: -0.382843 | az: 0.606369
time: 3
[20201124141524.334]
> sum ax: -8.97772 | sum ay: -0.808472 | sum az: -2.41971
>> avg ax: -0.179554 | avg ay: -0.0161694 | avg az: -0.0483942
>>> vx: -1.75963 | vy: -0.15846 | vz: -0.474263
>>> sx: -0.627048 | sy: 0.706425 | sz: -0.0799902
>>> a: 0.186663
>>> v: 1.8293
>>> s: 0.947958

ax: -0.704636 | ay: -0.602188 | az: 0.000488281
ax: -0.228638 | ay: -0.360397 | az: -0.246857
ax: -0.181381 | ay: -0.195847 | az: -0.329147
ax: 0.13768 | ay: -0.206314 | az: -0.179657
ax: -0.11264 | ay: -0.325256 | az: -0.125336
ax: -0.0742493 | ay: -0.174347 | az: 0.0170746
ax: -0.0804901 | ay: -0.152893 | az: -0.014801
ax: -0.119736 | ay: -0.101761 | az: 0.0104065
ax: -0.0435486 | ay: 0.00135803 | az: -0.0322571
ax: 0.00601196 | ay: -0.00794983 | az: -0.0380554
ax: -0.0218201 | ay: -0.0171967 | az: -0.0889587
ax: 0.0239563 | ay: 0.0289612 | az: 0.01297
ax: -0.0117035 | ay: 0.0037384 | az: 0.0564728
ax: -0.0367126 | ay: -0.00933838 | az: 0.00126648
ax: 0.00759888 | ay: -0.0485077 | az: -0.0637817
ax: -0.00534058 | ay: -0.0254059 | az: -0.0513
ax: -0.00358582 | ay: -0.0110321 | az: -0.00146484
ax: -0.0113373 | ay: 0.0530853 | az: 0.022049
ax: -0.032074 | ay: -0.0138245 | az: 0.0043335
ax: -0.036911 | ay: -0.0503845 | az: 0.012207
ax: -0.0119324 | ay: -0.021225 | az: 0.00320435
