ax: -0.0780487 | ay: -0.0846558 | az: 0.0141449
ax: -0.907684 | ay: 1.38754 | az: -0.0643158
ax: -0.907867 | ay: 1.19429 | az: -0.10257
ax: -0.413879 | ay: 0.878906 | az: -0.149246
ax: -0.299622 | ay: 0.749802 | az: -0.504013
ax: 0.229111 | ay: 0.338699 | az: -0.514908
ax: 0.0924835 | ay: -0.191223 | az: -0.210464
ax: 0.178925 | ay: 0.698105 | az: -0.0465088
ax: 0.41188 | ay: 0.785645 | az: 0.0591278
ax: 0.578583 | ay: 1.21071 | az: -0.0817719
ax: 0.641068 | ay: 0.884201 | az: -0.204926
ax: 0.580658 | ay: 0.682892 | az: -0.181412
ax: 0.552994 | ay: 0.54895 | az: -0.0275726
ax: 0.492996 | ay: 0.481232 | az: 0.0279541
ax: 0.425369 | ay: 0.387115 | az: -0.0834351
ax: 0.297501 | ay: 0.429504 | az: -0.152771
ax: 0.00680542 | ay: 0.377472 | az: -0.205429
ax: -0.374893 | ay: 0.086853 | az: -0.224792
ax: -0.709641 | ay: -0.275436 | az: -0.197617
ax: -1.04108 | ay: -0.648697 | az: -0.0948792
ax: -1.06975 | ay: -1.48926 | az: -0.0126801
ax: -1.09563 | ay: -2.19173 | az: -0.0335846
ax: -0.799927 | ay: -1.9839 | az: -0.0578461
ax: -0.0588531 | ay: -2.23038 | az: 0.0293121
ax: -0.36293 | ay: -2.17079 | az: 0.738754
ax: -0.66864 | ay: 0.517746 | az: 0.862732
ax: -0.46109 | ay: 0.128952 | az: 0.305634
ax: -0.589737 | ay: -1.22705 | az: 0.223938
ax: 0.0582733 | ay: 0.280228 | az: -0.473831
ax: -0.175766 | ay: -0.469574 | az: -0.601776
ax: 0.220612 | ay: 0.0429382 | az: -0.234848
ax: -0.0738983 | ay: -0.527847 | az: -0.0227509
ax: -0.187912 | ay: -0.216248 | az: 0.211456
ax: -0.0895386 | ay: 0.179016 | az: 0.336182
ax: 0.00396729 | ay: 0.352112 | az: -0.00521851
ax: 0.00177002 | ay: 0.138138 | az: -0.108353
ax: 0.003479 | ay: 0.0872498 | az: -0.112625
ax: 0.0319672 | ay: 0.0484619 | az: -0.172806
ax: 0.0398712 | ay: 0.19577 | az: 0.0252838
ax: -0.027832 | ay: 0.277863 | az: 0.153564
ax: -0.0186615 | ay: 0.1875 | az: 0.105255
ax: -0.00132751 | ay: 0.0603333 | az: -0.0557098
ax: -0.0386505 | ay: 0.0791321 | az: -0.102936
ax: -0.0132446 | ay: 0.224319 | az: -0.00149536
ax: -0.0809021 | ay: 0.179581 | az: 0.0527191
ax: -0.0955658 | ay: 0.110275 | az: -0.010025
ax: -0.0821228 | ay: 0.17189 | az: -0.0453033
ax: -0.0867767 | ay: 0.193481 | az: -0.0495453
ax: -0.129639 | ay: 0.239258 | az: 0.0105133
ax: -0.230347 | ay: 0.302139 | az: -0.0124054
time: 1
[20201201132335.061]
> sum ax: -6.32314 | sum ay: 1.41151 | sum az: -2.0038
>> avg ax: -0.126463 | avg ay: 0.0282303 | avg az: -0.040076
