ax: -0.0371246 | ay: 0.00976562 | az: -0.0198517
ax: -1.08742 | ay: 0.54744 | az: -0.158737
ax: -1.10139 | ay: 1.03639 | az: -0.450287
ax: -1.05005 | ay: 0.820358 | az: -0.13382
ax: -0.576508 | ay: 1.05153 | az: -0.124237
ax: -0.135818 | ay: 0.457947 | az: -0.179321
ax: 0.183243 | ay: 0.19249 | az: -0.347687
ax: 0.558289 | ay: -0.0725861 | az: -0.305878
ax: 0.432083 | ay: 1.0209 | az: 0.01474
ax: 0.732697 | ay: 1.05713 | az: 0.015152
ax: 0.665802 | ay: 1.17499 | az: 0.0333405
ax: 0.593811 | ay: 0.859406 | az: 0.0248566
ax: 0.495102 | ay: 0.644974 | az: 0.013443
ax: 0.415283 | ay: 0.40799 | az: 0.0691986
ax: 0.339233 | ay: 0.42131 | az: 0.0279083
ax: 0.0751495 | ay: 0.277466 | az: -0.00422668
ax: -0.198654 | ay: 0.0388184 | az: 0.00190735
ax: -0.413681 | ay: -0.0286865 | az: 0.145035
ax: -0.772934 | ay: -0.306061 | az: 0.1642
ax: -1.06961 | ay: -0.572083 | az: 0.218872
ax: -1.09979 | ay: -0.887482 | az: 0.196625
ax: -1.12614 | ay: -1.29744 | az: 0.11673
ax: -0.781555 | ay: -1.44856 | az: 0.141541
ax: -0.643753 | ay: -1.8428 | az: 0.329971
ax: -0.500702 | ay: -1.96423 | az: 0.559937
ax: -0.380814 | ay: -1.37071 | az: 0.122284
ax: -0.134781 | ay: -1.59245 | az: 0.114182
ax: -0.330414 | ay: 0.401871 | az: -0.262573
ax: -0.243652 | ay: 1.66566 | az: 0.659775
ax: -0.649323 | ay: -0.838394 | az: 0.181793
ax: -0.379715 | ay: -0.139191 | az: 0.20961
ax: -0.150558 | ay: -0.0479431 | az: 0.197723
ax: 0.103836 | ay: -0.0305786 | az: -0.296051
ax: -0.0102844 | ay: -0.225143 | az: -0.191513
ax: -0.21286 | ay: -0.518356 | az: -0.104538
ax: -0.114243 | ay: -0.0529633 | az: 0.148544
ax: -0.0716248 | ay: -0.013092 | az: 0.0453186
ax: -0.0607147 | ay: 0.117935 | az: -0.0331268
ax: -0.0454865 | ay: 0.184006 | az: -0.019989
ax: 0.0284271 | ay: 0.139328 | az: -0.107681
ax: 0.00898743 | ay: 0.101028 | az: -0.152298
ax: 0.00578308 | ay: 0.117599 | az: -0.032959
ax: 0.0475464 | ay: 0.145233 | az: 0.0452728
ax: 0.0138245 | ay: 0.111771 | az: 0.0816345
ax: 0.0196838 | ay: 0.0901794 | az: -0.0339508
