ax: -0.0487366 | ay: 0.0435944 | az: 0.0272064
ax: -0.119644 | ay: -0.344467 | az: -0.247406
ax: -0.0604401 | ay: -0.293213 | az: 0.0201263
ax: -0.0606689 | ay: -0.235901 | az: -0.0649414
ax: -0.00814819 | ay: 0.0903778 | az: 0.0371857
ax: -0.0681 | ay: 0.0830536 | az: -0.00582886
ax: 0.01474 | ay: 0.0909729 | az: -0.120697
ax: 0.0616455 | ay: 0.122971 | az: -0.142303
ax: 0.0297546 | ay: 0.116394 | az: -0.174744
ax: 0.0348969 | ay: 0.151474 | az: -0.0390625
ax: 0.0248413 | ay: 0.172729 | az: 0.0236664
ax: 0.0190582 | ay: 0.0695038 | az: 0.00921631
ax: 0.0219879 | ay: 0.0565186 | az: -0.0466156
ax: 0.00537109 | ay: 0.112518 | az: -0.0648651
ax: -0.0229187 | ay: 0.0993042 | az: -0.0291748
ax: 0.00540161 | ay: 0.141693 | az: 0.0312195
ax: -0.0314178 | ay: 0.00332642 | az: -0.00675964
ax: -0.0522919 | ay: 0.0732422 | az: -0.0096283
ax: -0.0684509 | ay: 0.0546722 | az: -0.00946045
ax: -0.0755768 | ay: 0.127655 | az: -0.0350189
ax: -0.133743 | ay: 0.169952 | az: -0.0137177
ax: -0.203827 | ay: 0.133942 | az: -0.0284729
ax: -0.289551 | ay: 0.234634 | az: -0.00514221
ax: -0.40274 | ay: 0.234451 | az: 0.0292358
ax: -0.438705 | ay: 0.314316 | az: 0.0774689
ax: -0.679977 | ay: 0.375977 | az: -0.139587
ax: -1.09395 | ay: 0.226089 | az: -0.484375
ax: -1.11575 | ay: 0.841614 | az: -0.843887
ax: -1.1384 | ay: 1.61777 | az: -0.0508423
ax: -1.14291 | ay: 1.57909 | az: 0.153137
ax: -0.527786 | ay: 1.36836 | az: -0.666794
ax: -0.113373 | ay: 0.926147 | az: -0.656403
ax: 0.473389 | ay: -0.247604 | az: -0.592834
ax: 0.108322 | ay: 0.471985 | az: -0.0220337
ax: 0.457245 | ay: 0.573746 | az: 0.104248
ax: 0.758102 | ay: 1.17642 | az: 0.101532
ax: 0.765213 | ay: 1.08203 | az: 0.0518646
ax: 0.709351 | ay: 0.635178 | az: -0.100922
ax: 0.635361 | ay: 0.426483 | az: -0.0643158
ax: 0.589005 | ay: 0.386063 | az: 0.0268097
ax: 0.509506 | ay: 0.37796 | az: 0.0766296
ax: 0.381378 | ay: 0.35643 | az: -0.0470886
ax: 0.0612793 | ay: 0.190628 | az: -0.181625
